Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Комплект Ballu Machine BLC_CF-60HN1_21Y полупромышленной сплит-системы напольно-потолочного типа,BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1300966,BLC_CF-60HN1_21Y,182800.0,182800.0,109680.0,231,"{'ррц Костерево (Владимирская обл.)': '197', 'ррц Орехово-Зуево (Московская обл.)': '5', 'ррц Петушки (Владимирская обл.)': '16', 'ррц Екатеринбург LV NEW': '7', 'фрц Киржач': '6'}"
"Комплект Ballu Machine BLCI_CF-60HN8/EU_23Y инверторной сплит-системы, напольно-потолочного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480664,BLCI_CF-60HN8/EU_23Y,265800.0,265800.0,159480.0,47,"{'ррц Петушки (Владимирская обл.)': '16', 'фрц Киржач': '31'}"
"Комплект Ballu Machine BLCI_D-36HN8/EU_23Y инверторной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480587,BLCI_D-36HN8/EU_23Y,214100.0,214100.0,128460.0,13,{'фрц Киржач': '13'}
Воздуховод Ballu MACHINE теплоизолир. ISOBFA 102ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036309,ISOBFA 102ммх10м,2400.0,2400.0,1248.0,58,"{'ррц Екатеринбург LV NEW': '16', 'фрц Киржач': '42'}"
Модуль коммуникационный Ballu Machine BLC_MB_20Y для централизованного управления,BALLU MACHINE,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Пульты управления",НС-1290292,BLC_MB_20Y,16300.0,16300.0,9780.0,32,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '30'}"
"Насос дренажный Ballu MACHINE DС Tank (моноблочный, 28 л/ч)",BALLU MACHINE,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Дренажные помпы",НС-1248313,"Tank (моноблочный, 28 л/ч)",2767.0,2767.0,2490.0,ожидается поставка,{}
"Комплект Ballu Machine BLCI_C-60HN8/EU_23Y инверторной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480643,BLCI_C-60HN8/EU_23Y,264100.0,264100.0,158460.0,15,{'фрц Киржач': '15'}
"Комплект Ballu Machine BLCI_CF-18HN8/EU_23Y инверторной сплит-системы, напольно-потолочного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480652,BLCI_CF-18HN8/EU_23Y,121100.0,121100.0,72660.0,30,"{'ррц Петушки (Владимирская обл.)': '20', 'фрц Киржач': '10'}"
"Комплект Ballu Machine BLCI_CF-24HN8/EU_23Y инверторной сплит-системы, напольно-потолочного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480656,BLCI_CF-24HN8/EU_23Y,148600.0,148600.0,89160.0,21,"{'ррц Петушки (Владимирская обл.)': '19', 'фрц Киржач': '2'}"
"Комплект Ballu Machine BLC_C-12HN1_21Y (compact) полупромышленной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1407539,BLC_C-12HN1_21Y,71400.0,71400.0,42840.0,140,"{'ррц Лакинск': '10', 'ррц Орехово-Зуево (Московская обл.)': '4', 'ррц Петушки (Владимирская обл.)': '41', 'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '82'}"
Воздуховод Ballu MACHINE звукоизолированный SONOBFA-H 315ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036333,SONOBFA-H 315ммх10м,10270.0,10270.0,5340.4,44,"{'ррц Екатеринбург LV NEW': '9', 'фрц Киржач': '35'}"
Вентилятор круглый канальный VIKING 125,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1579704,VIKING 125,6350.0,9420.0,4560.4,более 500,"{'ррц Лакинск': '432', 'ррц Екатеринбург LV NEW': '8', 'фрц Киржач': '359'}"
"Комплект Ballu Machine BLCI_C-24HN8/EU_23Y инверторной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480628,BLCI_C-24HN8/EU_23Y,153100.0,153100.0,91860.0,6,{'фрц Киржач': '6'}
Вентилятор круглый канальный VIKING 250,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1579711,VIKING 250,9550.0,14930.0,7227.48,более 500,"{'ррц Лакинск': '240', 'ррц Екатеринбург LV NEW': '22', 'фрц Киржач': '248'}"
Воздуховод Ballu MACHINE неизолир. BFA 160ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036298,BFA 160ммх10м,870.0,870.0,452.4,283,"{'ррц Екатеринбург LV NEW': '46', 'фрц Киржач': '237'}"
Комплект Ballu Machine BLC_CF-24HN1_21Y полупромышленной сплит-системы напольно-потолочного типа,BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1300962,BLC_CF-24HN1_21Y,103500.0,103500.0,62100.0,27,"{'ррц Лакинск': '4', 'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '21'}"
"Комплект Ballu Machine BLC_C-18HN1_21Y (compact) полупромышленной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1407540,BLC_C-18HN1_21Y,80600.0,80600.0,48360.0,324,"{'ррц Лакинск': '120', 'ррц Костерево (Владимирская обл.)': '29', 'ррц Петушки (Владимирская обл.)': '118', 'фрц Киржач': '57'}"
"Комплект Ballu Machine BLC_C-48HN1_21Y полупромышленной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1407543,BLC_C-48HN1_21Y,168200.0,168200.0,100920.0,97,"{'ррц Лакинск': '54', 'ррц Костерево (Владимирская обл.)': '33', 'ррц Петушки (Владимирская обл.)': '10'}"
Вентилятор круглый канальный VIKING 100,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1579700,VIKING 100,5950.0,8580.0,4154.8,более 500,"{'ррц Лакинск': '576', 'ррц Екатеринбург LV NEW': '5', 'фрц Киржач': '441'}"
"Комплект Ballu Machine BLCI_C-36HN8/EU_23Y инверторной сплит-системы, кассетного типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1480633,BLCI_C-36HN8/EU_23Y,209400.0,209400.0,125640.0,ожидается поставка,{}
Воздуховод Ballu MACHINE теплоизолир. ISOBFA 127ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036311,ISOBFA 127ммх10м,2740.0,2740.0,1424.8,85,"{'ррц Екатеринбург LV NEW': '19', 'фрц Киржач': '66'}"
Воздуховод Ballu MACHINE звукоизолированный SONOBFA-H 254ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036332,SONOBFA-H 254ммх10м,8100.0,8100.0,4212.0,37,"{'ррц Екатеринбург LV NEW': '9', 'фрц Киржач': '28'}"
Вентилятор круглый канальный VIKING 160,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1579708,VIKING 160,7590.0,10420.0,5044.0,более 500,"{'ррц Лакинск': '780', 'ррц Екатеринбург LV NEW': '20', 'фрц Киржач': '441'}"
"Комплект Ballu Machine BLC_D-100HN1_21Y полупромышленной сплит-системы, канального типа",BALLU MACHINE,Кондиционирование/Полупромышленные сплит-системы,НС-1422846,BLC_D-100HN1_21Y,602200.0,602200.0,361320.0,49,"{'ррц Лакинск': '12', 'ррц Петушки (Владимирская обл.)': '10', 'фрц Киржач': '27'}"
Воздуховод Ballu MACHINE теплоизолир. ISOBFA 160ммх10м,BALLU MACHINE,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1036315,ISOBFA 160ммх10м,3700.0,3700.0,1924.0,173,"{'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '170'}"
