Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Конвектор электрический Ballu Ettore BEC/ETER-2000,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1135155,BEC/ETER-2000,7990.0,7990.0,6551.8,более 500,"{'ррц Лакинск': '509', 'ррц Костерево (Владимирская обл.)': '5', 'ррц Екатеринбург LV NEW': '47', 'фрц Киржач': '496'}"
"Блок внутренний Ballu BSEI-FM/in-09HN8/LP_EU мульти сплит-системы, инверторного типа",BALLU,Кондиционирование/Мульти сплит-системы/Мульти сплит-системы свободной компоновки,НС-1486945,BSEI-FM/in-09HN8/LP_EU,18200.0,18200.0,12558.0,ожидается поставка,{}
Штатив стальной телескопический Ballu BIH-LS-220,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические полупромышленные инфракрасные обогреватели,НС-1136148,BIH-LS-220,2190.0,2190.0,1817.7,1,{'екатеринбург склад': '1'}
Завеса тепловая Ballu BHC-M10T06-PS,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Промышленные,НС-1111923,BHC-M10T06-PS,35490.0,35490.0,28392.0,2,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '1'}"
Завеса тепловая Ballu BHC-L10-S06 (пульт BRC-E),BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Компактные,НС-1073913,BHC-L10-S06 (BRC-E),19990.0,19990.0,16591.7,ожидается поставка,{}
Конвектор электрический Ballu BEC/HMM-2000,BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1075723,BEC/HMM-2000,5990.0,5990.0,5091.5,1,{'фрц Киржач': '1'}
"Шланг дренажный Ballu 16 x 30000 (мм), бухта",BALLU,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для систем кондиционирования/Дренажный шланг",НС-1088882,НС-1088882,700.0,700.0,644.0,10,{'ррц Петушки (Владимирская обл.)': '10'}
Узел смесительный Ballu BMU-16,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Аксессуары для воздушных завес,НС-1446433,BMU-16,59990.0,59990.0,50991.5,ожидается поставка,{}
Обогреватель конвективно-инфракрасный Ballu Red Evolution BIHP/R-2000,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Электрические инфракрасные обогреватели,НС-1052006,BIHP/R-2000,9590.0,9590.0,8151.5,ожидается поставка,{}
Фильтр-картридж для ультразвукового увлажнителя Ballu FC-103,BALLU,"Увлажнение, осушение и очистка воздуха/Аксессуары и фильтры для увлажнителей и очистителей/Аксессуары и фильтры для увлажнителей и очистителей",НС-1508944,FC-103,310.0,310.0,248.0,более 500,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': 'более 500'}"
Комплект Ballu Transformer с блоком управления и шасси BEC/EVU-1500-4E (электронный),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1584110,BEC/EVU-1500-4E-BFT/EVUR,11170.0,11170.0,8936.0,482,{'фрц Киржач': '482'}
Комплект Ballu Transformer с блоком управления и шасси BEC/EVU-2000-4I (инверторный),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1584113,BEC/EVU-2000-4I-BFT/EVUR,12470.0,12470.0,9976.0,более 500,"{'ррц Екатеринбург LV NEW': '15', 'фрц Киржач': 'более 500'}"
Обогреватель инфракрасный газовый Ballu BIGH-55 H,BALLU,Тепловое оборудование/Инфракрасные обогреватели/Газовые инфракрасные обогреватели,НС-1076544,BIGH-55 H,15990.0,15990.0,12792.0,40,"{'ррц Костерево (Владимирская обл.)': '11', 'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '27'}"
Масляный радиатор Ballu Classic black BOH/CL-07BRN 1500 (7 секций),BALLU,Тепловое оборудование/Бытовые электрические обогреватели/Маслонаполненные радиаторы,НС-1050895,BOH/CL-07BRN 1500,4590.0,4290.0,3626.1,более 500,"{'ррц Орехово-Зуево (Московская обл.)': '439', 'ррц Екатеринбург LV NEW': '27', 'фрц Киржач': '119'}"
Увлажнитель традиционный Ballu UCC-260,BALLU,"Увлажнение, осушение и очистка воздуха/Увлажнители воздуха/Бытовые увлажнители воздуха",НС-1516170,UCC-260,8590.0,8590.0,7216.0,3,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '2'}"
Завеса тепловая Ballu BHC-D25-T24-BS,BALLU,Тепловое оборудование/Воздушные и тепловые завесы/Интерьерные,НС-1050760,BHC-D25-T24-BS,489990.0,489990.0,391992.0,ожидается поставка,{}
Пушка тепловая Ballu BHP-ME-3,BALLU,Тепловое оборудование/Тепловые пушки и теплогенераторы/Электрические тепловые пушки,НС-1069378,BHP-ME-3,5290.0,5290.0,4496.5,436,"{'ррц Петушки (Владимирская обл.)': '250', 'фрц Киржач': '186'}"
