Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Вентилятор вытяжной серии Argentum EAFA-120T с таймером,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1126777,EAFA-120T,6790.0,6790.0,4753.0,42,{'фрц Киржач': '42'}
Настенный тепловентилятор Electrolux EFH/W-9020,Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Тепловентиляторы,НС-1029008,EFH/W-9020,6990.0,6990.0,5592.0,ожидается поставка,{}
Вентилятор вытяжной серии Basic EAFB-120T с таймером,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1126786,EAFB-120T,4790.0,4790.0,3353.0,4,{'фрц Киржач': '4'}
Комплект Electrolux Rapid Transformer с блоком управления ECH/R-1000 T-TUM3 (механический),Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1290463,ECH/R-1000-TUM3,6980.0,6980.0,5375.6,ожидается поставка,{}
Сплит-система инверторного типа Electrolux EACS/I-18HSK/N3 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1491478,EACS/I-18HSK/N3,93990.0,93990.0,63913.2,ожидается поставка,{}
Водонагреватель Electrolux EWH 10 Genie ECO O,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1248434,EWH 10 Genie ECO O,6890.0,6890.0,5857.0,33,"{'ррц Екатеринбург LV NEW': '7', 'фрц Киржач': '26'}"
"Комплект Electrolux EACC-24H/UP4-DC/N8 инверторной сплит-системы, кассетного типа",Electrolux,Кондиционирование/Полупромышленные сплит-системы,НС-1483664,EACC-24H/UP4-DC/N8,205200.0,205200.0,125172.0,35,{'фрц Киржач': '35'}
Вентилятор вытяжной серии Premium EAF-150,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1135952,EAF - 150,5090.0,5090.0,3563.0,26,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '25'}"
Комплект Electrolux Air Gate Transformer с блоком управления и шасси ECH/AG2-2500 T-TUM3 (мех),Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Электрические конвекторы,НС-1295005,ECH/AG2-2500 T-TUM3,11570.0,11570.0,8909.9,2,{'фрц Киржач': '2'}
Комплект опор AIR PLINTH PRO EFP для напольной установки конвектора AIR PLINTH,Electrolux,Тепловое оборудование/Бытовые электрические обогреватели/Ножки для электрических конвекторов,НС-1270737,EFP,590.0,590.0,501.5,29,{'фрц Киржач': '29'}
Кабель Electrolux ETC 2-17-1200 (комплект теплого пола),Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Нагревательный кабель для теплого пола,НС-1073703,ETC 2-17-1200 комплект,16005.0,16005.0,9123.0,ожидается поставка,{}
Картридж Electrolux iS CarbonBlock,Electrolux,Отопление и водоснабжение/Водоочистка/Картриджи для фильтров,НС-1300146,Cartridge iS CarbonBlock,930.0,930.0,725.0,461,"{'ррц Лакинск': '386', 'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '72'}"
Вентилятор безлопастной Electrolux EFB-1200W,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы бытовые,НС-1602092,EFB-1200W,16990.0,16990.0,0.0,ожидается поставка,{}
Водонагреватель Electrolux EWH 100 Royal Flash Silver,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1064863,EWH 100 Royal Flash S,34090.0,34090.0,28977.0,ожидается поставка,{}
Водонагреватель Electrolux EWH 15 Q-bic O,Electrolux,Отопление и водоснабжение/Водонагреватели/Водонагреватели накопительные,НС-1147764,EWH 15 Q-bic O,8490.0,8490.0,7217.0,257,"{'ррц Лакинск': '182', 'ррц Петушки (Владимирская обл.)': '52', 'фрц Киржач': '23'}"
Вентилятор вытяжной серии Magic EAFM-120,Electrolux,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы вытяжные бытовые,НС-1127167,EAFM - 120,4290.0,4290.0,3003.0,более 500,"{'ррц Екатеринбург LV NEW': '12', 'фрц Киржач': 'более 500'}"
Терморегулятор Electrolux ETS-16W,Electrolux,Тепловое оборудование/Электрические теплые полы и системы антиобледенения/Терморегуляторы,НС-1432045,ETS-16W,7599.0,7599.0,4331.0,ожидается поставка,{}
Сплит-система инверторная Electrolux EACS/I-09HAL/N8 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1428406,EACS/I-09HAL/N8,46490.0,46490.0,31613.2,ожидается поставка,{}
Сплит-система инверторного типа Electrolux EACS/I-12HF2/N8 комплект,Electrolux,Кондиционирование/Бытовые кондиционеры/Сплит-системы настенного типа,НС-1481662,EACS/I-12HF2/N8,59990.0,59990.0,43792.7,24,"{'ррц Петушки (Владимирская обл.)': '20', 'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '2'}"
