Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
Конвектор внутрипольный Royal Thermo ATRIUM-110/200/900-DG-U-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477262,RT-A-110/200/900-DG-U-NA,17749.0,17749.0,12069.32,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL COMPACT VC21-500-1400 Silver Satin,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1239293,VC21-500-1400/SS,12927.0,12927.0,9824.52,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-75/400/2000-DG-U-DB,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477822,RT-A-75/400/2000-DG-U-DB,50288.0,50288.0,34195.84,ожидается поставка,{}
Радиатор панельный Royal Thermo VENTIL COMPACT VC11-500-500 Silver Satin,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1239257,VC11-500-500/SS,5538.0,5538.0,4208.88,ожидается поставка,{}
Радиатор панельный Royal Thermo HYGIENE H10-500-400 RAL9016,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1190246,H10-500-400/9016,2922.0,2922.0,2220.72,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-90/200/1600-DG-U-BL,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1493532,RT-A-90/200/1600-DG-U-BL,27150.0,27150.0,18462.0,ожидается поставка,{}
Радиатор Royal Thermo PianoForte Tower new/Noir Sable - 22 секц.,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы биметаллические секционные,НС-1176346,RTPFTNNS50022,52000.0,52000.0,41080.0,95,"{'ррц Екатеринбург LV NEW': '2', 'фрц Киржач': '93'}"
Радиатор панельный Royal Thermo VENTIL COMPACT VC11-500-1200 Noir Sable,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1238904,VC11-500-1200/NS,8900.0,8900.0,6764.0,ожидается поставка,{}
Конвектор внутрипольный Royal Thermo ATRIUM-75/250/2000-DG-U-NA,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Конвекторы внутрипольные без вентилятора,НС-1477746,RT-A-75/250/2000-DG-U-NA,34293.0,34293.0,23319.24,11,{'фрц Киржач': '11'}
Радиатор панельный Royal Thermo COMPACT C21-500-900 Noir Sable,Royal Thermo,Отопление и водоснабжение/Радиаторы и полотенцесушители/Радиаторы стальные панельные,НС-1238819,C21-500-900/NS,7980.0,7980.0,6064.8,ожидается поставка,{}
