Наименование,Бренд,Категория,Код товара,Артикул,Цена РРЦ,Цена РИЦ,Цена для клиентов,Суммарный остаток,Остаток по складам
"Болт-скоба U-образный SHUFT оцинкованный 4"" М12 (упак.50шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425394,UBZ1161SH,4780.8,4780.8,4541.76,2,{'фрц Киржач': '2'}
Фильтр карманный (материал) FRr (F7-EU7) 500*300,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-0077146,FRr (F7-EU7) 500*300,4710.0,4710.0,2449.2,16,{'фрц Киржач': '16'}
RHPr 600x350 Рекуператор пластинчатый,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Рекуператоры,НС-1039513,RHPr 600x350,87370.0,87370.0,45432.4,6,"{'ррц Екатеринбург LV NEW': '1', 'фрц Киржач': '5'}"
Фанкойл настенный Shuft SFH-600 V2 (без клапана),SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517680,SFH-600 V2 (без клапана),82415.76,,30658.29,ожидается поставка,{}
"Уголок (цинк) для сборки воздуховодов SHUFT УГФ-0 (65х18х1,8/2,5), упак_300",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425450,"УГФ0(65/18/1,8)SH",1300.0,1300.0,1196.0,более 500,"{'екатеринбург склад': '3', 'ррц Екатеринбург LV NEW': '27', 'фрц Киржач': 'более 500'}"
"Хомут спринклерный без гайки SHUFT 3/4"" (d=30мм) (упак.60шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425485,PCK0201SH,470.0,470.0,446.5,9,{'фрц Киржач': '9'}
Установка приточно-вытяжная SHUFT UniMAX-P 850 SW EC,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1085389,UniMAX-P 850SW EC,533190.0,533190.0,357237.3,под заказ,{}
Водяной нагреватель WHC 200*200-3,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-0006992,WHC 200*200-3,20340.0,20340.0,10576.8,73,"{'ррц Екатеринбург LV NEW': '3', 'фрц Киржач': '70'}"
Водяной нагреватель WHC 400*400-2,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-0006994,WHC 400*400-2,29480.0,29480.0,15329.6,55,"{'ррц Екатеринбург LV NEW': '7', 'фрц Киржач': '48'}"
Преобразователь влажности и температуры канальный SHUFT TUC 3T,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Частотные преобразователи,НС-1428470,TUC3T,29767.0,,15627.68,2,{'фрц Киржач': '2'}
Осушитель канальный Shuft SHA-D90,SHUFT,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Полупромышленные осушители воздуха",НС-1442255,SHA-D90,670725.96,628080.0,335362.98,10,{'фрц Киржач': '10'}
"Электронагреватель для круглого канала EHC 100-1,8/1",SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Нагреватели,НС-1166646,"EHC 100-1,8/1",8590.0,8590.0,4466.8,100,{'фрц Киржач': '100'}
FRKr (G3) 500x300/100 Фильтр кассетный,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Фильтры,НС-1033168,FRKr (G3) 500x300/100,6030.0,6030.0,3135.6,под заказ,{}
"Установка приточная ECO 315/1-6,0/ 2-A",SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные установки,НС-1084922,"ECO 315/1-6,0/ 2-A",142990.0,142990.0,95803.3,63,{'фрц Киржач': '63'}
Вентилятор прямоугольный канальный SHUFT RFE-B 500х300-2 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1060618,RFE-B 500х300-2 VIM,45080.0,45080.0,23441.6,20,{'фрц Киржач': '20'}
Сантехнический винт SHUFT М8X80 (уп. 100шт),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425441,SS08080SH,345.0,345.0,317.4,8,"{'екатеринбург склад': '1', 'ррц Екатеринбург LV NEW': '7'}"
Наружная решетка SA 500*300,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0006878,SA  500*300,2980.8,,2086.56,12,"{'ррц Екатеринбург LV NEW': '9', 'фрц Киржач': '3'}"
Наружная решетка SA 600*300,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0006879,SA  600*300,3485.38,,2439.77,18,"{'ррц Екатеринбург LV NEW': '10', 'фрц Киржач': '8'}"
Наружная решетка SA 1000*500,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0006883,SA 1000*500,8662.06,,6063.44,3,{'ррц Екатеринбург LV NEW': '3'}
Настенная двухрядная решетка 2 WA 150*100,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-0006886,2_WA  150*100,710.16,660.0,497.11,ожидается поставка,{}
Установка приточно-вытяжная SHUFT UniMAX-R 1400 SW EC,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1082964,UniMAX-R 1400SW EC,550278.0,550270.0,368686.26,под заказ,{}
Комплект Shuft SFLC_CF-36HN1 полупромышленной сплит-системы напольно-потолочного типа,SHUFT,Кондиционирование/Полупромышленные сплит-системы,НС-1597882,SFLC_CF-36HN1,129600.0,129600.0,76464.0,44,"{'ррц Лакинск': '28', 'фрц Киржач': '16'}"
"Болт оцинкованный SHUFT класс прочности 5,8 DIN933 М8x25 (упак_1кг/62шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425385,BL08251SH,180.0,180.0,165.6,37,"{'екатеринбург склад': '16', 'ррц Екатеринбург LV NEW': '21'}"
"Заклепка SHUFT комбинированная 4,8х12 алюминий/сталь (упак.500шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425422,RCAS48121SH,0.0,,0.0,3,{'фрц Киржач': '3'}
DCGAr 355 Воздушный клапан,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-1033999,DCGAr 355,4220.0,4220.0,2194.4,19,{'фрц Киржач': '19'}
"ATRD-3,0 Пятиступенчатый автотрансформатор",SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Оборудование КиП и А,НС-0076646,"ATRD-3,0",17551.85,17551.85,9214.72,ожидается поставка,{}
Анкер забивной SHUFT оцинкованный M8 (упак. 100шт),SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425374,DA0810301SH,330.0,330.0,303.6,86,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '9', 'фрц Киржач': '75'}"
RSK-100 Обратный клапан,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Сетевые элементы,НС-0081412,GSKRSK001_,540.0,540.0,280.8,более 500,"{'екатеринбург склад': '3', 'ррц Екатеринбург LV NEW': '45', 'фрц Киржач': 'более 500'}"
Реле давления дифференциальное PS-500-L,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Сенсоры и датчики,НС-1059322,PS-500-L,2522.93,2505.0,1325.01,более 500,"{'екатеринбург склад': '2', 'ррц Екатеринбург LV NEW': '148', 'фрц Киржач': 'более 500'}"
Осушитель настенный Shuft SBW 150A,SHUFT,"Увлажнение, осушение и очистка воздуха/Осушители воздуха/Полупромышленные осушители воздуха",НС-1442246,SBW 150A,644749.11,603750.0,322374.56,27,{'фрц Киржач': '27'}
Установка приточно-вытяжная SHUFT UniMAX-P 1500 VWL-A,SHUFT,Вентиляция и кондиционирование зданий/Моноблочные вентиляционные установки/Компактные моноблочные приточные-вытяжные установки,НС-1061969,UniMAX-P 1500 VWL-A,539280.0,539280.0,361317.6,ожидается поставка,{}
Вентилятор крышный SHUFT RMVD 311/440-4 VIM,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Вентиляторы для модульных систем,НС-1064687,RMVD 311/440-4 VIM,60450.0,60450.0,31434.0,7,{'фрц Киржач': '7'}
"Шина монтажная SHUFT без герметика 20х0,5, 3м",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Крепежные изделия",НС-1425496,FP201SH,133.0,133.0,122.36,более 500,"{'екатеринбург склад': '22', 'ррц Екатеринбург LV NEW': '1436', 'фрц Киржач': 'более 500'}"
ALTF1-PT1000 Контактный датчик температуры с хомутом,SHUFT,Автоматизация и диспетчеризация зданий/Элементы системы диспетчеризации и автоматизации/Сенсоры и датчики,НС-0007647,ALTF1-PT1000,2420.0,1620.0,1270.5,более 500,"{'ррц Екатеринбург LV NEW': '22', 'фрц Киржач': 'более 500'}"
"Заклепка SHUFT комбинированная 4,0х10 алюминий/сталь, (упак.1000шт)",SHUFT,"Расходные материалы, аксессуары и инструменты для ОВК/Расходные материалы для вентиляции/Метизы",НС-1425418,RCAS40101SH,0.0,,0.0,1,{'ррц Екатеринбург LV NEW': '1'}
Фанкойл канальный Shuft SFF-1200G50 4T,SHUFT,Вентиляция и кондиционирование зданий/Системы чиллер фанкойл/Фанкойлы,НС-1517759,SFF-1200G50 4T,115774.51,,43068.31,под заказ,{}
"Узел смесительный обратный MST 25-40-2,5-C24-F с гибкими подводками",SHUFT,Отопление и водоснабжение/Коллекторы/Узлы смесительные,НС-1134960,"MST 25-40-2,5-C24-F с ГП подводками",107300.0,92500.0,56332.5,под заказ,"{'ррц Екатеринбург LV NEW': 'под заказ', 'фрц Киржач': 'под заказ'}"
JETA 450 Декоративный струйно-сопловый диффузор,SHUFT,Вентиляция и кондиционирование зданий/Общеобменные системы вентиляции/Воздухораспределительные устройства,НС-1030697,JETA 450,13848.09,,9693.66,14,{'фрц Киржач': '14'}
