Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Количество нагревательных элементов,Режим Smart Memory,Предохранительный клапан давления,Сетевой кабель,Управление c мобильного приложения по Wi-Fi,Система самодиагностики неисправности,Тип термостата,Инверторная технология,Вес товара с упаковкой (брутто),Демо режим,Форма корпуса,Мин. температура воды,Тип подключения,Высота упаковки товара,Время нагрева воды от 10°С до 75°С,Таймер на включение,Расчетное количество человек для принятия душа (при среднем расходе),Гарантийный документ,Глубина упаковки товара,Гарантия на внутренний бак,Резьба входного патрубка,Ширина упаковки товара,Поворот дисплея,Резьба выходного патрубка,Аудио колонка,Макс. потребляемая мощность,Тип нагревательного элемента,Режим ЭКО,Материал нагревательного элемента,Гарантийный срок,Серия,Встроенные часы,Высота товара,Wi-Fi модуль,Количество баков,Глубина товара,Разъем для подключения аудио колонки,Внутреннее покрытие бака,Объем внутреннего бака,Ширина товара,Количество режимов нагрева,USB-разъем для Wi-Fi модуля,Режим антизамерзания,Регулировка температуры,Точность установки температуры,Диэлектрические переходники,Вес товара (нетто),Дренажная трубка,Защита от коррозии,Регулировка яркости дисплея,Макс. температура воды,Мин. рабочее давление,Индикация включения,Толщина теплоизоляции,Защита кнопок управления от детей,Номинальный объём,Индикация температуры нагрева,Система сухих ТЭНов,Набор крепежных элементов в комплекте,Материал внешнего корпуса,Подсветка дисплея,Защита от включения без воды,Индикация текущей температуры,Макс. рабочее давление,УЗО (устройство защитного отключения),Защита от перегрева,Время нагрева воды от 10°С до 65°С,Термометр на корпусе,Время нагрева воды от 10°С до 70°С,Класс пылевлагозащищенности,Длина кабеля,Материал внутреннего бака,Индикация мощности нагрева,Обратный клапан,Время нагрева воды от 10°С до 60°С,Страна производства,Функция 'быстрый нагрев',Система санитарной обработки воды,Работает с Марусей,Работает с Алисой,Работает с HOMMYN,Цифровой дисплей,Работает с Салют,Материал бака,Работа с умным домом,Инверторная технология,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Водонагреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Накопительные водонагреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWH/S 15 Omnium Uni O Водонагреватель  BALLU,,RUB,7790.0,1,1,,"<p>Купить BWH/S 15 Omnium Uni O Водонагреватель  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BWH/S 15 Omnium Uni O Водонагреватель  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BWH/S 15 Omnium Uni O Водонагреватель  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Водонагреватели Ballu серии Omnium Uni с баком из нержавеющей стали отличаются компактным размером, высокой технологичностью, удобным управлением и надежностью.</p>
<ul>
<li>с помощью механической панели управления легко и удобно настроить работу прибора;</li>
<li>индикатор наглядно демонстрирует процесс нагрева воды;</li>
<li>ЭКО режим увеличивает ресурс работы нагревательного элемента и защищает от накипи;</li>
<li>многоуровневая система безопасности включает защиту от коррозии и от перегрева.</li>
</ul>
<p>Идеально для установки в малогабаритных помещениях и нишах, а благодаря возможности выбора моделей, как с нижним, так и с верхним подключением, прибор можно установить вне зависимости от места подвода воды.</p>",,1,,Купить BWH/S 15 Omnium Uni O Водонагреватель  BALLU с доставкой на uralenergotel.ru,Купить BWH/S 15 Omnium Uni O Водонагреватель  BALLU по низкой цене у официального дилера ТД УЭТ,bwh_s_15_omnium_uni_o,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Omnium Uni,BWH/S 15 Omnium Uni O,1,Нет,Да,Да (с вилкой),Нет,Нет,Механический,Нет,6.7,Нет,Круглая,30,Нижнее,56,42,Нет,1,Гарантийный талон,32,84,1/2,32.5,Нет,1/2,Нет,1.5,Трубчатый электронагреватель (ТЭН),Да,Медь,2 года,Omnium Uni,Нет,29,Нет,1,27,нет,Нержавеющая сталь,15,48,1,Нет,Нет,Да,Механическая регулировка,Нет,5.8,0.5,Магниевый анод увеличенного размера,Нет,75,"0,8",Да,20,Нет,15,Да,Нет,Да,Пластик,Нет,Нет,Нет,6,Нет,Да,,Нет,,IPX4,,Нержавеющая сталь,Нет,В комплекте,,РОССИЯ,,,,,,,,,,Нет,https://rkcdn.ru/products/b2a8f76f-ba9a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/1a54755b-ba9b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/372c6a9b-ba9b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/9fb675aa-ba9b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/b55282bb-ba9b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/cb6d7187-ba9a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/fa3b2f55-ba9b-11ee-b8d6-00505601218a/src.jpg,
BWH/S 30 Legacy Водонагреватель  BALLU,,RUB,7990.0,1,1,,"<p>Купить BWH/S 30 Legacy Водонагреватель  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BWH/S 30 Legacy Водонагреватель  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BWH/S 30 Legacy Водонагреватель  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить BWH/S 30 Legacy Водонагреватель  BALLU с доставкой на uralenergotel.ru,Купить BWH/S 30 Legacy Водонагреватель  BALLU по низкой цене у официального дилера ТД УЭТ,bwh_s_30_legacy,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Legacy,BWH/S 30 Legacy,1,Нет,Да,Да (с вилкой),Нет,Нет,Механический,Нет,16.3,Нет,Круглая,30,Нижнее,61,96,Нет,1,Гарантийный талон,41,60,1/2,37,Нет,1/2,Нет,1.5,Трубчатый электронагреватель (ТЭН),Да,Медь,24 мес,Legacy,Нет,57.8,Нет,1,35.8,нет,Эмаль,27,34,2,Нет,Нет,Да,Механическая регулировка,Нет,14.4,0.8,Магниевый анод увеличенного размера,Нет,75,"0,2",Да,20,Нет,30,Да,Нет,Нет,Металл+Пластик,Нет,Нет,Нет,"7,5",Доп.опция,Да,,Нет,,IPX4,,Сталь с эмалированным покрытием,Нет,В комплекте,,КНР,Нет,Нет,,,,,,,,Нет,https://rkcdn.ru/products/8980bcad-b50a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/1e1c6f18-b50b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/113cd0b8-b50b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/113cd0b6-b50b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/b14c439c-b50a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/e6f1652d-b50a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/a539df8a-b50a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/96ffdc48-b50a-11ee-b8d6-00505601218a/src.jpg
BWH/S 100 Rodon SP Водонагреватель  BALLU,,RUB,21990.0,1,1,,"<p>Купить BWH/S 100 Rodon SP Водонагреватель  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BWH/S 100 Rodon SP Водонагреватель  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BWH/S 100 Rodon SP Водонагреватель  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить BWH/S 100 Rodon SP Водонагреватель  BALLU с доставкой на uralenergotel.ru,Купить BWH/S 100 Rodon SP Водонагреватель  BALLU по низкой цене у официального дилера ТД УЭТ,bwh_s_100_rodon_sp,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Rodon SP,BWH/S 100 Rodon SP,1,Нет,Да,Да (с вилкой),Нет,Нет,Механический,Нет,23,Нет,Прямоугольная,35,Боковое/Нижнее,62.5,186,Нет,4,Гарантийный талон,105,96,1/2,37,Нет,1/2,Нет,2,Трубчатый электронагреватель (ТЭН),Да,Медь,2 года,Rodon SP,Нет,99.5,Нет,2,33.5,нет,Нержавеющая сталь,83,55.5,3,Нет,Нет,Да,Механическая регулировка,Нет,21.1,,Магниевый анод увеличенного размера,Нет,75,"0,8",Да,20,Нет,100,Нет,Нет,Нет,Металл,Нет,Нет,Нет,6,Доп.опция,Да,,Нет,,IPX4,,Нержавеющая сталь,Нет,В комплекте,,РОССИЯ,Да,Нет,,,,,,,,Нет,https://rkcdn.ru/products/156ba9ee-9e51-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/2458a9dc-9e6c-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/3047d567-9e51-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/27f14d08-9e51-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/27f14d06-9e51-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/20ba46f5-9e51-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/0a090b2f-9e51-11ee-b8d6-00505601218a/src.jpg,
BWH/S 30 Orfeus DH Водонагреватель  BALLU,,RUB,9290.0,1,1,,"<p>Купить BWH/S 30 Orfeus DH Водонагреватель  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BWH/S 30 Orfeus DH Водонагреватель  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BWH/S 30 Orfeus DH Водонагреватель  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить BWH/S 30 Orfeus DH Водонагреватель  BALLU с доставкой на uralenergotel.ru,Купить BWH/S 30 Orfeus DH Водонагреватель  BALLU по низкой цене у официального дилера ТД УЭТ,bwh_s_30_orfeus_dh,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Orfeus DH,BWH/S 30 Orfeus DH,1,Нет,Да,Да (с вилкой),Нет,Нет,Механический,Нет,15.8,Нет,Круглая,30,Нижнее,66,104,Нет,1,Гарантийный талон,41,60,1/2,41,Нет,1/2,Нет,1.5,Сухой ТЭН,Да,Сталь,24 мес,Orfeus DH,Нет,57.9,Нет,1,38.7,нет,Эмаль,27,35,3,Нет,Нет,Да,Механическая регулировка,В комплекте,13.7,0.8,Магниевый анод увеличенного размера,Нет,75,"0,8",Да,20,Нет,30,Нет,Да,Да,Металл+Пластик,Нет,Нет,Да,6,Доп.опция,Да,,Да,,IPX4,,Сталь с эмалированным покрытием,Нет,В комплекте,,КНР,Да,Нет,Нет,Нет,Нет,Нет,Нет,,,Нет,https://rkcdn.ru/products/539bbbd8-8a02-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/59aea0a9-8a02-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/5c416587-8a04-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/608c6f6e-8a02-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/608c6f70-8a02-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/bc8e1b7d-8a02-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/ef65308e-8a02-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/f5b50281-8a02-11ee-b737-005056941658/src.jpg
BWH/S 15 Omnium Uni U Водонагреватель  BALLU,,RUB,7790.0,1,1,,"<p>Купить BWH/S 15 Omnium Uni U Водонагреватель  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BWH/S 15 Omnium Uni U Водонагреватель  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BWH/S 15 Omnium Uni U Водонагреватель  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Водонагреватели Ballu серии Omnium Uni с баком из нержавеющей стали отличаются компактным размером, высокой технологичностью, удобным управлением и надежностью.</p>
<ul>
<li>с помощью механической панели управления легко и удобно настроить работу прибора;</li>
<li>индикатор наглядно демонстрирует процесс нагрева воды;</li>
<li>ЭКО режим увеличивает ресурс работы нагревательного элемента и защищает от накипи;</li>
<li>многоуровневая система безопасности включает защиту от коррозии и от перегрева.</li>
</ul>
<p>Идеально для установки в малогабаритных помещениях и нишах, а благодаря возможности выбора моделей, как с нижним, так и с верхним подключением, прибор можно установить вне зависимости от места подвода воды.</p>",,1,,Купить BWH/S 15 Omnium Uni U Водонагреватель  BALLU с доставкой на uralenergotel.ru,Купить BWH/S 15 Omnium Uni U Водонагреватель  BALLU по низкой цене у официального дилера ТД УЭТ,bwh_s_15_omnium_uni_u,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Omnium Uni,BWH/S 15 Omnium Uni U,1,Нет,Да,Да (с вилкой),Нет,Нет,Механический,Нет,6.7,Нет,Круглая,30,Верхнее,56,42,Нет,1,Гарантийный талон,32,84,1/2,32.5,Нет,1/2,Нет,1.5,Трубчатый электронагреватель (ТЭН),Да,Медь,2 года,Omnium Uni,Нет,29,Нет,1,27,нет,Нержавеющая сталь,15,48,1,Нет,Нет,Да,Механическая регулировка,Нет,5.8,0.5,Магниевый анод увеличенного размера,Нет,75,"0,8",Да,20,Нет,15,Да,Нет,Да,Пластик,Нет,Нет,Нет,6,Нет,Да,,Нет,,IPX4,,Нержавеющая сталь,Нет,В комплекте,,РОССИЯ,,,,,,,,,,Нет,https://rkcdn.ru/products/b2a8f76d-ba9a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/9fb675a8-ba9b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/372c6a9d-ba9b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/1a547559-ba9b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/fa3b2f53-ba9b-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/cb6d7189-ba9a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/b55282bd-ba9b-11ee-b8d6-00505601218a/src.jpg,
BWH/S 80 Primex Водонагреватель  BALLU,,RUB,10990.0,1,1,,"<p>Купить BWH/S 80 Primex Водонагреватель  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BWH/S 80 Primex Водонагреватель  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BWH/S 80 Primex Водонагреватель  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Элегантный дизайн, экономичный режим работы и высокий уровень безопасности соединились в новом электрическом накопительном водонагревателе PRIMЕX. Корпус прибора покрыт жемчужно-белым полуматовым напылением. Безупречный комфорт и удобство в эксплуатации обеспечивают мощный нагревательный элемент, технология защиты от накипи CA FREE, термометр и механический регулятор управления, расположенный на нижней части корпуса.</p>

<h4>Характеристики:</h4>
<ul class=""ul"">
<li> Регулировка температуры от 30 до 75&deg;С</li>
 <li> Уникальное цветовое решение — жемчужно-белый полуматовый корпус</li></li>
 <li> Защита от коррозии: мелкодисперсное эмалевое покрытие и магниевый анод увеличенной массы</li>
 <li> Эффективная увеличенная теплоизоляция - 22 мм</li>
 <li> Многоуровневая система безопасности: защита от перегрева, защита от сухого нагрева, предохранительный клапан</li>
 <li> Простое управление</li>
 <li> Индикатор нагрева</li>
 <li> Круглый дизайн корпуса</li>
 <li> Класс пылевлагозащищенности IPX4</li>
 <li> Гарантия - 5 лет</li>
</ul>",,1,,Купить BWH/S 80 Primex Водонагреватель  BALLU с доставкой на uralenergotel.ru,Купить BWH/S 80 Primex Водонагреватель  BALLU по низкой цене у официального дилера ТД УЭТ,bwh_s_80_primex,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Primex,BWH/S 80 Primex,1,Нет,Да,Да (с вилкой),Нет,Нет,Механический,Нет,25.4,Нет,Круглая,30,Нижнее,80.5,260,Нет,3,Гарантийный талон,50,60,1/2,51,Нет,1/2,Нет,1.5,Трубчатый электронагреватель (ТЭН),Да,Сталь,2 года,Primex,Нет,75,Нет,1,45,нет,Эмаль,72,45,1,Нет,Нет,Да,Механическая регулировка,Нет,22.3,,Магниевый анод увеличенного размера,Нет,75,0.8,Нет,20,Нет,80,Нет,Нет,Нет,Металл+Пластик,Нет,Нет,Нет,6,Доп.опция,Да,,Нет,,IPX4,,Сталь с эмалированным покрытием,Да,В комплекте,,КНР,Нет,Нет,,,,Нет,,Эмалированное покрытие бака,,Нет,https://rkcdn.ru/products/5659b763-193b-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/66096e7e-18b7-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/7891bb58-ccdf-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/7fbc2b46-18b7-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/95f8f535-18b7-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/aafed870-18b7-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/018cf68a-18b7-11ed-b732-005056013a69/src.jpg,
BWH/S 80 Level PRO Водонагреватель  BALLU,,RUB,18790.0,1,1,,"<p>Купить BWH/S 80 Level PRO Водонагреватель  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BWH/S 80 Level PRO Водонагреватель  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BWH/S 80 Level PRO Водонагреватель  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Премьера в линейке накопительных эмалированных водонагревателей Ballu — серия Level Pro. Плоский дизайн с возможностью универсального монтажа завоевывает все большую популярность, благодаря привлекательному внешнему виду и эргономичной конструкции. Прибор глубиной всего от 25 см можно легко разместить в небольшом пространстве. Внутренние баки выполнены из стали с прочным и долговечным эмалевым покрытием, которое защищает бак от коррозии. Удобная ручка регулировки температуры, расположенная на нижней крышке бака, индикатор нагрева воды, магниевый анод, эко-режим и гарантия 5 лет на внутренний бак делают использование водонагревателя необычайно комфортным долгие годы.</p>",,1,,Купить BWH/S 80 Level PRO Водонагреватель  BALLU с доставкой на uralenergotel.ru,Купить BWH/S 80 Level PRO Водонагреватель  BALLU по низкой цене у официального дилера ТД УЭТ,bwh_s_80_level_pro,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Level PRO,BWH/S 80 Level PRO,1,Нет,Да,Да (с вилкой),Нет,Нет,Механический,Нет,31.8,Нет,Прямоугольная,35,Боковое/Нижнее,62,144,Нет,3,Гарантийный талон,37,60,1/2,94,Нет,1/2,Нет,2,Трубчатый электронагреватель (ТЭН),Да,Медь,2 года,Level PRO,Нет,89,Нет,2,33.5,нет,Эмаль,70,55.5,1,Нет,Нет,Да,Механическая регулировка,Нет,29.6,0.8,Магниевый анод увеличенного размера,Нет,75,0.8,Да,18,Нет,80,Нет,Нет,Нет,Металл,Нет,Нет,Нет,6,Да,Да,,Нет,,IPX4,,Сталь с эмалированным покрытием,Нет,В комплекте,,КНР,Нет,Нет,,,,Нет,,,,Нет,https://rkcdn.ru/products/63eb298b-a150-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/89932aef-a150-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/7b84ed40-a150-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/73a1be5d-a150-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6abe03eb-a150-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5a3b3704-a150-11ed-b733-005056013a69/src.jpg,,
