Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Макс. производительность,Вес товара с упаковкой (брутто),Нагрев воздуха (дельта температуры),Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Резьба входного патрубка,Ширина упаковки товара,Резьба выходного патрубка,Макс. потребляемая мощность,Гарантийный срок,Макс. давление в водопроводе,Серия,Высота товара,Глубина товара,Режим 'без нагрева',Ширина товара,Тепловая мощность (90/70/15 ⁰С),Точность установки температуры,Вес товара (нетто),Длина воздушной струи,Макс. температура воды,Индикация включения,Рекомендованная высота установки,Набор крепежных элементов в комплекте,Пульт управления в комплекте,Макс. тепловая мощность,Класс пылевлагозащищенности,Страна производства,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Вентиляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Вентиляторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Тепловентиляторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHP-W4-100-S Тепловентилятор водяной  BALLU,,RUB,60290.0,0,1,,"<p>Купить BHP-W4-100-S Тепловентилятор водяной  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHP-W4-100-S Тепловентилятор водяной  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHP-W4-100-S Тепловентилятор водяной  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
	Серия W4-S - универсальные тепловентиляторы в металлическом корпусе с широким диапазоном тепловых мощностей для отопления помещений с высотой потолков от 3 до 12 метров.
</p>
<p>
    Модельный ряд состоит из компактных и промышленных моделей. Компактные модели - для отопления коммерческих помещений высотой до 4 метров - с двух- и трехрядным теплообменником с номинальной тепловой мощностью 12 и 15 кВт.<br>
    Промышленные модели - для отопления для отопления промышленных и складских объектов высотой более 6 метров - с одно-, двух- и трехрядным теплообменником с номинальной мощностью 25, 41 и 56 кВт.
</p>
<p>
    Монтаж тепловентиляторов осуществляется на стены и колонны при помощи универсального кронштейна (входит в комплект), либо на потолок через резьбовые шпильки М6.
</p>",,1,,Купить BHP-W4-100-S Тепловентилятор водяной  BALLU с доставкой на uralenergotel.ru,Купить BHP-W4-100-S Тепловентилятор водяной  BALLU по низкой цене у официального дилера ТД УЭТ,bhp_w4_100_s,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,W4-S,BHP-W4-100-S,5500,40.8,35.6,85,Паспорт,31,3/4,72,3/4,0.345,3 года,16,W4-S,81.5,70,Да,28,55.9,-,36.6,25,150,Нет,более 6 метров,Да,Доп. опция,95,IP54,РОССИЯ,https://rkcdn.ru/products/2100c77a-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/f7640e16-0060-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/dfd721ba-0060-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/7f1ba874-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/7f1ba872-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/4749f8da-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/35173909-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/0d5f677a-0061-11ee-b736-005056013a69/src.jpg
BHP-W2-100-LN Тепловентилятор водяной  BALLU,,RUB,57590.0,1,1,,"<p>Купить BHP-W2-100-LN Тепловентилятор водяной  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHP-W2-100-LN Тепловентилятор водяной  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHP-W2-100-LN Тепловентилятор водяной  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Водяной тепловентилятор Ballu BHP-W2-100-LN – прибор для обогрева складских и промышленных помещений большой площади с высотой потолков более 6 метров.</p>
<p>Тепловая мощность прибора от 40 до 89 кВт в зависимости от режима производительности и температуры теплоносителя. Максимальная рабочая температура теплоносителя 130&deg;С при давлении 15 бар, что позволяет использовать в качестве теплоносителя пар и перегретую воду.</p>
<p>Осевой вентилятор диаметром 450 мм создает воздушный поток длиной 22 метра и обеспечивает максимальную производительность до 4400 м&sup3;/ч.</p>
<p>В летнее время года водяной тепловентилятор можно использовать в качестве файнкола, для этого необходимо подключить его к источнику холодной воды.</p>

<h4>Преимущества</h4>
<ul>
<li>Три режима работы вентилятора</li>
<li>Прочный корпус из промышленного ABS пластика, не требующий ухода и консервации</li>
<li>Возможность работы в режиме охлаждения</li>
<li>Индивидуальная регулировка каждой ламели</li>
<li>Кронштейн для монтажа в комплекте</li>
</ul>",,1,,Купить BHP-W2-100-LN Тепловентилятор водяной  BALLU с доставкой на uralenergotel.ru,Купить BHP-W2-100-LN Тепловентилятор водяной  BALLU по низкой цене у официального дилера ТД УЭТ,bhp_w2_100_ln,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,W2-LN,BHP-W2-100-LN,4400,27,38,64,Гарантийный талон,35,3/4,61.5,3/4,300,3 года,15,W2-LN,59,33,Да,61,59.6,Механическая регулировка,26,22,130,Нет,более 6 метров,Да,Доп. опция,89,IP54,РОССИЯ,https://rkcdn.ru/products/798c4071-4b09-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/8408c9fa-4b09-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/914f3b4f-4b09-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/9fb0f40e-4b09-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/aa40b2d5-4b09-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/b729ff20-4b09-11ee-b737-005056941658/src.jpg,,
BHP-W3-15-LN Тепловентилятор водяной  BALLU,,RUB,31490.0,1,1,,"<p>Купить BHP-W3-15-LN Тепловентилятор водяной  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHP-W3-15-LN Тепловентилятор водяной  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHP-W3-15-LN Тепловентилятор водяной  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Водяной тепловентилятор Ballu BHP-W3-15-LN – прибор для обогрева коммерческих помещений высотой более 3 метров. </p>

<p>Тепловая мощность прибора от 8 до 18 кВт в зависимости от режима производительности и температуры теплоносителя. Максимальная рабочая температура теплоносителя  150&deg;С при давлении 16 бар, что позволяет использовать в качестве теплоносителя пар и перегретую воду.</p>

<p>Благодаря шести полюсному двигателю водяной тепловентилятор обладает низким уровнем шума и не требует больших затрат на регулировку режимов работы.</p>

<p>Осевой вентилятор диаметром 400 мм. создает воздушный поток длиной 12 метров и обеспечивает максимальную производительность до 2800 м3/ч.  </p>

<p>Корпус прибора изготавливают из вспененного полипропилена, что делает его легким и ударопрочным. При этом за счет пористой структуры он блокирует шум работающего двигателя. </p>

<p>Водяной тепловентилятор устанавливается на стены, колонны или потолок при помощи кронштейна, который входит в комплект поставки. Кронштейн позволяет регулировать угол наклона тепловентилятор в горизонтальной и вертикальной плоскости.</p>",,1,,Купить BHP-W3-15-LN Тепловентилятор водяной  BALLU с доставкой на uralenergotel.ru,Купить BHP-W3-15-LN Тепловентилятор водяной  BALLU по низкой цене у официального дилера ТД УЭТ,bhp_w3_15_ln,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,W3-LN,BHP-W3-15-LN,2800,22,19.6,32,Гарантийный талон,64,3/4,58.5,3/4,0.1,3 года,16,W3-LN,64,30,Да,58,10.3,Механическая регулировка,11,12,150,Нет,от 4 до 6 метров,Да,Доп. опция,18.3,IP54,РОССИЯ,https://rkcdn.ru/products/9efba249-4b0a-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/aa07a666-4b0a-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/b521e0d6-4b0a-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/bd3b897d-4b0a-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/c4d01c8c-4b0a-11ee-b737-005056941658/src.jpg,,,
BHP-W2-40-SF Тепловентилятор водяной  BALLU,,RUB,46790.0,0,1,,"<p>Купить BHP-W2-40-SF Тепловентилятор водяной  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHP-W2-40-SF Тепловентилятор водяной  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHP-W2-40-SF Тепловентилятор водяной  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Серия W2-SF применяется для отопления помещений с повышенной концентрацией химически активных веществ, таких как аммиак и сера. Основные места применения: химические и пищевые производства, тепличные и животноводческие комплексы, морские порты и станции водоподготовки.</p>

<p>Полимерное покрытие на основе кремния значительно увеличивает срок службы теплообменника и при этом не снижает тепловой мощности и расхода воздуха. Модельный ряд состоит из двух приборов с одно- и двухрядным теплообменником номинальной тепловой мощностью 22 и 45&nbsp;кВт соответственно.</p>

<p>Монтаж тепловентиляторов осуществляется на стены и колонны при помощи универсального кронштейна (входит в комплект), либо на потолок через резьбовые шпильки М6.</p>",,1,,Купить BHP-W2-40-SF Тепловентилятор водяной  BALLU с доставкой на uralenergotel.ru,Купить BHP-W2-40-SF Тепловентилятор водяной  BALLU по низкой цене у официального дилера ТД УЭТ,bhp_w2_40_sf,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,W2-SF,BHP-W2-40-SF,5400,25,12,35.5,Гарантийный талон,61.5,3/4,64,3/4,0.3,3 года,15,W2-SF,33,59,Да,61,22,Нет,24,25,130,Нет,более 6 метров,Да,Нет,39,IP54,РОССИЯ,https://rkcdn.ru/products/48bdd4b5-1d37-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/5f5101ac-1d37-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/6863be0f-1d37-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/5530931f-1d37-11ed-b732-005056013a69/src.jpg,,,,
BHP-W2-110-XL Тепловентилятор водяной  BALLU,,RUB,62990.0,0,1,,"<p>Купить BHP-W2-110-XL Тепловентилятор водяной  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHP-W2-110-XL Тепловентилятор водяной  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHP-W2-110-XL Тепловентилятор водяной  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
	Серия W2-XL - тепловентиляторы увеличенной мощности для отопления промышленных помещений высотой более 6 метров. Теплообменники с увеличенным фронтом и рядностью обеспечивают высокую тепловую мощность даже при низкотемпературном теплоносителе. А вентиляторы диаметром 550 мм создают мощный воздушный поток с максимальной длиной струи до 30 метров.
</p>
<p>
    Модельный ряд состоит из трех приборов с двух-, трех- и четырехрядным теплообменником с номинальной тепловой мощностью 61, 70 и 81 кВт соответственно.
</p>
<p>
    Монтаж тепловентиляторов осуществляется на стены и колонны при помощи универсального кронштейна (входит в комплект), либо на потолок через резьбовые шпильки М6.
</p>",,1,,Купить BHP-W2-110-XL Тепловентилятор водяной  BALLU с доставкой на uralenergotel.ru,Купить BHP-W2-110-XL Тепловентилятор водяной  BALLU по низкой цене у официального дилера ТД УЭТ,bhp_w2_110_xl,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,W2-XL,BHP-W2-110-XL,6000,26.6,30,37,Паспорт,84,3/4,80,3/4,0.5,3 года,15,W2-XL,83,74.5,Да,35.6,61.8,-,26.6,30,130,Нет,более 6 метров,Да,Доп. опция,104.9,IP54,РОССИЯ,https://rkcdn.ru/products/7b5ecd79-0054-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/98e4cfd3-0054-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/abc32452-0054-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/bb932af1-0054-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/cb5c06f3-0054-11ee-b736-005056013a69/src.jpg,,,
BHP-W4-40-S Тепловентилятор водяной  BALLU,,RUB,42290.0,1,1,,"<p>Купить BHP-W4-40-S Тепловентилятор водяной  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHP-W4-40-S Тепловентилятор водяной  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHP-W4-40-S Тепловентилятор водяной  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
	Серия W4-S - универсальные тепловентиляторы в металлическом корпусе с широким диапазоном тепловых мощностей для отопления помещений с высотой потолков от 3 до 12 метров.
</p>
<p>
    Модельный ряд состоит из компактных и промышленных моделей. Компактные модели - для отопления коммерческих помещений высотой до 4 метров - с двух- и трехрядным теплообменником с номинальной тепловой мощностью 12 и 15 кВт.<br>
    Промышленные модели - для отопления для отопления промышленных и складских объектов высотой более 6 метров - с одно-, двух- и трехрядным теплообменником с номинальной мощностью 25, 41 и 56 кВт.
</p>
<p>
    Монтаж тепловентиляторов осуществляется на стены и колонны при помощи универсального кронштейна (входит в комплект), либо на потолок через резьбовые шпильки М6.
</p>",,1,,Купить BHP-W4-40-S Тепловентилятор водяной  BALLU с доставкой на uralenergotel.ru,Купить BHP-W4-40-S Тепловентилятор водяной  BALLU по низкой цене у официального дилера ТД УЭТ,bhp_w4_40_s,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,W4-S,BHP-W4-40-S,6000,35.6,13.8,85,Паспорт,31,3/4,72,3/4,0.31,3 года,16,W4-S,81.5,70,Да,28,24.9,-,31.4,30,150,Нет,более 6 метров,Да,Доп. опция,41.8,IP54,РОССИЯ,https://rkcdn.ru/products/3517390b-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/4d76c486-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/0d5f677c-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/2100c77c-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/f7640e18-0060-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/e68f99c8-0060-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/55757210-0061-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/5575720e-0061-11ee-b736-005056013a69/src.jpg
BHP-W2-70-SF Тепловентилятор водяной  BALLU,,RUB,60290.0,0,1,,"<p>Купить BHP-W2-70-SF Тепловентилятор водяной  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHP-W2-70-SF Тепловентилятор водяной  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHP-W2-70-SF Тепловентилятор водяной  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Серия W2-SF применяется для отопления помещений с повышенной концентрацией химически активных веществ, таких как аммиак и сера. Основные места применения: химические и пищевые производства, тепличные и животноводческие комплексы, морские порты и станции водоподготовки.</p>

<p>Полимерное покрытие на основе кремния значительно увеличивает срок службы теплообменника и при этом не снижает тепловой мощности и расхода воздуха. Модельный ряд состоит из двух приборов с одно- и двухрядным теплообменником номинальной тепловой мощностью 22 и 45&nbsp;кВт соответственно.</p>

<p>Монтаж тепловентиляторов осуществляется на стены и колонны при помощи универсального кронштейна (входит в комплект), либо на потолок через резьбовые шпильки М6.</p>",,1,,Купить BHP-W2-70-SF Тепловентилятор водяной  BALLU с доставкой на uralenergotel.ru,Купить BHP-W2-70-SF Тепловентилятор водяной  BALLU по низкой цене у официального дилера ТД УЭТ,bhp_w2_70_sf,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,W2-SF,BHP-W2-70-SF,4800,26,28,35.5,Гарантийный талон,61.5,3/4,64,3/4,300,3 года,15,W2-SF,33,59,Да,61,45.7,Нет,25,24,130,Нет,более 6 метров,Да,Нет,70,IP54,РОССИЯ,https://rkcdn.ru/products/a6698fe5-1d37-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/b10302ee-1d37-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/b96e7b33-1d37-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/c3498746-1d37-11ed-b732-005056013a69/src.jpg,,,,
