Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Сетевой кабель,Тип термостата,Вес товара с упаковкой (брутто),Ручка для перемещения,Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Ширина упаковки товара,Отсек для сетевого кабеля,Макс. потребляемая мощность,Степень защиты / Класс защиты,Количество секций,Тип нагревательного элемента,Гарантийный срок,Серия,Высота товара,Глубина товара,Ширина товара,Количество режимов нагрева,Эффективен для помещ. площадью до,Регулировка температуры,Вес товара (нетто),Сертификат пожаробезопасности,МОЩНОСТЬ ПОТРЕБЛЕНИЯ до,Индикация включения,Защита от замерзания,ПЛОЩАДЬ ПОМЕЩЕНИЯ до,Защита от перегрева,Класс пылевлагозащищенности,Длина кабеля,Страна производства,Колесики для перемещения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Ра­ди­ато­ры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Маслонаполненные радиаторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOH/CL-09BRN 2000 Масляный радиатор Classic black (9 секций) BALLU,,RUB,5290.0,1,1,,"<p>Купить BOH/CL-09BRN 2000 Масляный радиатор Classic black (9 секций) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BOH/CL-09BRN 2000 Масляный радиатор Classic black (9 секций) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BOH/CL-09BRN 2000 Масляный радиатор Classic black (9 секций) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>
    Маслонаполненные радиаторы BALLU – это мобильные и современные приборы, выполненные в эксклюзивном дизайнерском решении. Антикоррозийный состав защищает модели от негативных воздействий внешней среды, матовое текстурное покрытие увеличивает теплоотдачу на 20&deg;, а высокоточный термостат нового поколения автоматически поддерживает температуру в помещении.
</p>
<h4>Отличительные особенности:</h4>
<ul>
    <li>Модель выполнена в современном матово-черном цветовом исполнении</li>
    <li>Защитный антикоррозийный состав &laquo;Protective coating&raquo; - защищает масляный радиатор от негативных воздействий внешней среды и увеличивает срок службы</li>
    <li>Термостат нового поколения &laquo;Opti-Heat&raquo; - с функцией автоматического поддержания температуры и удобным эргономичным управлением</li>
    <li>Конструкция ножек &laquo;High Stability&raquo; - благодаря специальной конструкции ножек, полностью исключается возможность опрокидывания</li>
    <li>Оптимальная перфорация на фронтальной стенке радиатора – увеличивает эффективность обогрева на 20% и срок службы масляного радиатора</li>
</ul>
<h4>Функциональные особенности:</h4>
<ul>
    <li>Полная свобода перемещения с комплексом &laquo;Easy moving&raquo;</li>
    <li>Три режима мощности обогрева</li>
    <li>Универсальная система хранения шнура</li>
</ul>
<h4>Режимы работы:</h4>
<ul>
    <li>Мощность обогрева 800Вт</li>
    <li>Мощность обогрева 1200Вт</li>
    <li>Мощность обогрева 2000Вт</li>
</ul>
<h4>Гарантия качества:</h4>
<p>
    Современные технологии и новейшие разработки Ballu гарантируют высокое качество и надежную эксплуатацию масляных радиаторов.
</p>",,1,,Купить BOH/CL-09BRN 2000 Масляный радиатор Classic black (9 секций) BALLU с доставкой на uralenergotel.ru,Купить BOH/CL-09BRN 2000 Масляный радиатор Classic black (9 секций) BALLU по низкой цене у официального дилера ТД УЭТ,boh_cl_09brn_2000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Classic Black,BOH/CL-09BRN 2000,Да (с вилкой),Механический,7.3,Да,63,Гарантийный талон,13.5,43.5,true,2,I,9,Трубчатый электронагреватель (ТЭН),2 года,Classic Black,60,40.5,25,3,25,Да,6.5,Да,2,Да,true,25,Да,IP20,1.6,КНР,Да,https://rkcdn.ru/products/20711ae1-2d47-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/0f8ce01f-2d47-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/b2ec4015-2d50-11ee-b736-005056013a69/src.jpg,,,,
BOH/LV-09 Радиатор масляный Level 2000 (9 секций) BALLU,,RUB,4250.0,0,1,,"<p>Купить BOH/LV-09 Радиатор масляный Level 2000 (9 секций) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BOH/LV-09 Радиатор масляный Level 2000 (9 секций) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BOH/LV-09 Радиатор масляный Level 2000 (9 секций) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Маслонаполненные радиаторы Ballu серии Level – это эффективные отопительные приборы в классическом белом корпусе. Радиаторы серии Level имеют от 5 до 11 секций и идеально подходят для помещений площадью от 15 до 27 метров. Высокоточный термостат Opti-Heat позволяет поддерживать необходимую температуру автоматически.  Срок службы прибора «Long Life» увеличен, благодаря оптимальной форме перфорации прибора. Антикоррозийный состав Protective Coating защищает корпус масляного радиатора от негативных воздействий. Для высокой безопасности серия оборудована датчиком защиты от перегрева и ножками конструкции High Stability, которая повышает устойчивость прибора и исключает его опрокидывание. Приборы серии легко перемещать, благодаря комплексу Easy Moving, который включает специальную удобную ручку, шасси и шнур длиной 1,6 метра с местом для хранения. </p>

<p>Продукция сертифицирована по системе противопожарной безопасности. Гарантия прибора 2 года.</p>",,1,,Купить BOH/LV-09 Радиатор масляный Level 2000 (9 секций) BALLU с доставкой на uralenergotel.ru,Купить BOH/LV-09 Радиатор масляный Level 2000 (9 секций) BALLU по низкой цене у официального дилера ТД УЭТ,boh_lv_09,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,LEVEL,BOH/LV-09,Да (с вилкой),Механический,7.3,Да,63,Гарантийный талон,43.5,15,true,2,I,9,Трубчатый электронагреватель (ТЭН),2 года,LEVEL,60,40.5,25,3,25,Да,7.3,Да,2,Да,false,25,Да,IP20,1.6,КНР,Да,https://rkcdn.ru/products/9831dfef-40d9-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/9831dff9-40d9-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/9831dff7-40d9-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/9831dff5-40d9-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/9831dff1-40d9-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/9831dfed-40d9-11ee-b737-005056941658/src.jpg,
BOH/CM-07WDN 1500 Радиатор масляный Comfort (7 секций) BALLU,,RUB,4290.0,1,1,,"<p>Купить BOH/CM-07WDN 1500 Радиатор масляный Comfort (7 секций) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BOH/CM-07WDN 1500 Радиатор масляный Comfort (7 секций) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BOH/CM-07WDN 1500 Радиатор масляный Comfort (7 секций) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Маслонаполненные радиаторы BALLU – это мобильные и современные приборы, выполненные в эксклюзивном дизайнерском решении. Антикоррозийный состав защищает модели от негативных воздействий внешней среды, а высокоточный термостат нового поколения автоматически поддерживает температуру в помещении.</p>

<h4>Отличительные особенности:</h4>
<ul class=""ul"">
<li>Новое слово в дизайне масляных радиаторов</li>
<li>Защитный антикоррозийный состав «Protective coating» - защищает масляный радиатор от негативных воздействий внешней среды и увеличивает срок службы</li>
<li>Термостат нового поколения «Opti-Heat» - с функцией автоматического поддержания температуры и удобным эргономичным управлением.</li>
<li>Конструкция ножек «High Stability» - благодаря специальной конструкции ножек, полностью исключается возможность опрокидывания</li>
</ul>

<h4>Функциональные особенности:</h4>
<ul class=""ul"">
<li>Полная свобода перемещения с комплексом «Easy moving»</li>
<li>Три режима мощности обогрева</li>
<li>Универсальная система хранения шнура</li>
</ul>

<h4>Режимы работы:</h4>
<ul class=""ul"">
<li>Мощность обогрева 600 Вт</li>
<li>Мощность обогрева 900 Вт</li>
<li>Мощность обогрева 1500Вт</li>
</ul>

<h4>Гарантия качества:</h4>
<p>Современные технологии и новейшие разработки Ballu гарантируют высокое качество и надежную эксплуатацию масляных радиаторов.</p>",,1,,Купить BOH/CM-07WDN 1500 Радиатор масляный Comfort (7 секций) BALLU с доставкой на uralenergotel.ru,Купить BOH/CM-07WDN 1500 Радиатор масляный Comfort (7 секций) BALLU по низкой цене у официального дилера ТД УЭТ,boh_cm_07wdn_1500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Comfort,BOH/CM-07WDN 1500,Да (с вилкой),Механический,6.1,Да,63,Гарантийный талон,38,14,true,1.5,I,7,Трубчатый электронагреватель (ТЭН),2 года,Comfort,60,33,25,3,20,Да,5.4,Да,1.5,Да,false,20,Да,IP20,1.6,КНР,Да,https://rkcdn.ru/products/b8f4af24-2646-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c8c5ebbc-2646-11ee-b736-005056013a69/src.jpg,,,,,
BOH/CM-09WDN 2000 Радиатор масляный Comfort (9 секций) BALLU,,RUB,5290.0,1,1,,"<p>Купить BOH/CM-09WDN 2000 Радиатор масляный Comfort (9 секций) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BOH/CM-09WDN 2000 Радиатор масляный Comfort (9 секций) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BOH/CM-09WDN 2000 Радиатор масляный Comfort (9 секций) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Маслонаполненные радиаторы BALLU – это мобильные и современные приборы, выполненные в эксклюзивном дизайнерском решении. Антикоррозийный состав защищает модели от негативных воздействий внешней среды, а высокоточный термостат нового поколения автоматически поддерживает температуру в помещении.</p>

<h4>Отличительные особенности:</h4>
<ul class=""ul"">
<li>Новое слово в дизайне масляных радиаторов</li>
<li>Защитный антикоррозийный состав «Protective coating» - защищает масляный радиатор от негативных воздействий внешней среды и увеличивает срок службы</li>
<li>Термостат нового поколения «Opti-Heat» - с функцией автоматического поддержания температуры и удобным эргономичным управлением.</li>
<li>Конструкция ножек «High Stability» - благодаря специальной конструкции ножек, полностью исключается возможность опрокидывания</li>
</ul>

<h4>Функциональные особенности:</h4>
<ul class=""ul"">
<li>Полная свобода перемещения с комплексом «Easy moving»</li>
<li>Три режима мощности обогрева</li>
<li>Универсальная система хранения шнура</li>
</ul>

<h4>Режимы работы:</h4>
<ul class=""ul"">
<li>Мощность обогрева 800 Вт</li>
<li>Мощность обогрева 1200 Вт</li>
<li>Мощность обогрева 2000 Вт</li>
</ul>

<h4>Гарантия качества:</h4>
<p>Современные технологии и новейшие разработки Ballu гарантируют высокое качество и надежную эксплуатацию масляных радиаторов.</p>",,1,,Купить BOH/CM-09WDN 2000 Радиатор масляный Comfort (9 секций) BALLU с доставкой на uralenergotel.ru,Купить BOH/CM-09WDN 2000 Радиатор масляный Comfort (9 секций) BALLU по низкой цене у официального дилера ТД УЭТ,boh_cm_09wdn_2000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Comfort,BOH/CM-09WDN 2000,Да (с вилкой),Механический,7.3,Да,63,Гарантийный талон,44,13.5,true,2,I,9,Трубчатый электронагреватель (ТЭН),2 года,Comfort,60,40.5,25,3,25,Да,6.5,Да,2,Да,false,25,Да,IP20,1.6,КНР,Да,https://rkcdn.ru/products/b8f4af20-2646-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c8c5ebb8-2646-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c07bcb4f-2646-11ee-b736-005056013a69/src.jpg,,,,
BOH/CL-07BRN 1500 Масляный радиатор Classic black (7 секций) BALLU,,RUB,4290.0,1,1,,"<p>Купить BOH/CL-07BRN 1500 Масляный радиатор Classic black (7 секций) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BOH/CL-07BRN 1500 Масляный радиатор Classic black (7 секций) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BOH/CL-07BRN 1500 Масляный радиатор Classic black (7 секций) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>
    Маслонаполненные радиаторы BALLU – это мобильные и современные приборы, выполненные в эксклюзивном дизайнерском решении. Антикоррозийный состав защищает модели от негативных воздействий внешней среды, матовое текстурное покрытие увеличивает теплоотдачу на 20&deg;, а высокоточный термостат нового поколения автоматически поддерживает температуру в помещении.
</p>
<h4>Отличительные особенности:</h4>
<ul>
    <li>Модель выполнена в современном матово-черном цветовом исполнении</li>
    <li>Защитный антикоррозийный состав &laquo;Protective coating&raquo; - защищает масляный радиатор от негативных воздействий внешней среды и увеличивает срок службы</li>
    <li>Термостат нового поколения &laquo;Opti-Heat&raquo; - с функцией автоматического поддержания температуры и удобным эргономичным управлением</li>
    <li>Конструкция ножек &laquo;High Stability&raquo; - благодаря специальной конструкции ножек, полностью исключается возможность опрокидывания</li>
    <li>Оптимальная перфорация на фронтальной стенке радиатора – увеличивает эффективность обогрева на 20% и срок службы масляного радиатора</li>
</ul>
<h4>Функциональные особенности:</h4>
<ul>
    <li>Полная свобода перемещения с комплексом &laquo;Easy moving&raquo;</li>
    <li>Три режима мощности обогрева</li>
    <li>Универсальная система хранения шнура</li>
</ul>
<h4>Режимы работы:</h4>
<ul>
    <li>Мощность обогрева 600Вт</li>
    <li>Мощность обогрева 900Вт</li>
    <li>Мощность обогрева 1500Вт</li>
</ul>
<h4>Гарантия качества:</h4>
<p>
    Современные технологии и новейшие разработки Ballu гарантируют высокое качество и надежную эксплуатацию масляных радиаторов.
</p>",,1,,Купить BOH/CL-07BRN 1500 Масляный радиатор Classic black (7 секций) BALLU с доставкой на uralenergotel.ru,Купить BOH/CL-07BRN 1500 Масляный радиатор Classic black (7 секций) BALLU по низкой цене у официального дилера ТД УЭТ,boh_cl_07brn_1500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Classic Black,BOH/CL-07BRN 1500,Да (с вилкой),Механический,6.1,Да,63,Гарантийный талон,37,13.5,true,1.5,I,7,Трубчатый электронагреватель (ТЭН),2 года,Classic Black,60,33,25,3,20,Да,5.4,Да,1.5,Да,true,20,Да,IP20,1.6,КНР,Да,https://rkcdn.ru/products/2b82d8cc-2d47-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/fee51dc5-2d46-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/959f0d60-2d50-11ee-b736-005056013a69/src.jpg,,,,
BOH/CL-05WRN 1000 Масляный радиатор Classic (5 секций) BALLU,,RUB,3590.0,1,1,,"<p>Купить BOH/CL-05WRN 1000 Масляный радиатор Classic (5 секций) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BOH/CL-05WRN 1000 Масляный радиатор Classic (5 секций) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BOH/CL-05WRN 1000 Масляный радиатор Classic (5 секций) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Маслонаполненные радиаторы BALLU – это мобильные и современные приборы, выполненные в эксклюзивном дизайнерском решении. Антикоррозийный состав защищает модели от негативных воздействий внешней среды, а высокоточный термостат нового поколения автоматически поддерживает температуру в помещении.</p>

<h4>Отличительные особенности:</h4>
<ul class=""ul"">
<li>Гармоничное сочетание классического дизайнерского решения и эксклюзивного цвета «Snow white» корпуса прибора</li>
<li>Защитный антикоррозийный состав «Protective coating» - защищает масляный радиатор от негативных воздействий внешней среды и увеличивает срок службы</li>
<li>Термостат нового поколения «Opti-Heat» - с функцией автоматического поддержания температуры и удобным эргономичным управлением.</li>
<li>Конструкция ножек «High Stability» - благодаря специальной конструкции ножек, полностью исключается возможность опрокидывания</li>
</ul>

<h4>Функциональные особенности:</h4>
<ul class=""ul"">
<li>Полная свобода перемещения с комплексом «Easy moving»</li>
<li>Три режима мощности обогрева</li>
<li>Универсальная система хранения шнура</li>
</ul>

<h4>Режимы работы:</h4>
<ul class=""ul"">
<li>Мощность обогрева 400Вт</li>
<li>Мощность обогрева 600Вт</li>
<li>Мощность обогрева 1000Вт</li>
</ul>

<h4>Гарантия качества:</h4>
<p>Современные технологии и новейшие разработки Ballu гарантируют высокое качество и надежную эксплуатацию масляных радиаторов.</p>

",,1,,Купить BOH/CL-05WRN 1000 Масляный радиатор Classic (5 секций) BALLU с доставкой на uralenergotel.ru,Купить BOH/CL-05WRN 1000 Масляный радиатор Classic (5 секций) BALLU по низкой цене у официального дилера ТД УЭТ,boh_cl_05wrn_1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Classic,BOH/CL-05WRN 1000,Да (с вилкой),Механический,5,Да,63,Гарантийный талон,32,14,true,1,I,5,Трубчатый электронагреватель (ТЭН),2 года,Classic,60,25,25,3,15,Да,4.4,Да,1,Да,false,15,Да,IP20,1.6,КНР,Да,https://rkcdn.ru/products/980da737-5e70-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/0c769a52-5e71-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/27c941f9-5e71-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/a2607a27-5e70-11ed-b732-005056013a69/src.jpg,,,
BOH/CB-11W Радиатор масляный CUBE 2200 (11 секций) BALLU,,RUB,5890.0,1,1,,"<p>Купить BOH/CB-11W Радиатор масляный CUBE 2200 (11 секций) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BOH/CB-11W Радиатор масляный CUBE 2200 (11 секций) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BOH/CB-11W Радиатор масляный CUBE 2200 (11 секций) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>
    Маслонаполненные радиаторы BALLU – это мобильные и современные приборы, выполненные в эксклюзивном дизайнерском решении. Антикоррозийный состав защищает модели от негативных воздействий внешней среды, матовое текстурное покрытие увеличивает теплоотдачу на 20&deg;, а высокоточный термостат нового поколения автоматически поддерживает температуру в помещении.
</p>
<h4>Отличительные особенности:</h4>
<ul>
    <li>Модель выполнена в современном прямоугольном корпусе</li>
    <li>Защитный антикоррозийный состав &laquo;Protective coating&raquo; - защищает масляный радиатор от негативных воздействий внешней среды и увеличивает срок службы</li>
    <li>Термостат нового поколения &laquo;Opti-Heat&raquo; - с функцией автоматического поддержания температуры и удобным эргономичным управлением</li>
    <li>Конструкция ножек &laquo;High Stability&raquo; - благодаря специальной конструкции ножек, полностью исключается возможность опрокидывания</li>
    <li>Оптимальная перфорация на фронтальной стенке радиатора – увеличивает эффективность обогрева на 20% и срок службы масляного радиатора</li>
</ul>
<h4>Функциональные особенности:</h4>
<ul>
    <li>Полная свобода перемещения с комплексом &laquo;Easy moving&raquo;</li>
    <li>Три режима мощности обогрева</li>
    <li>Универсальная система хранения шнура</li>
</ul>
<h4>Режимы работы:</h4>
<ul>
    <li>Мощность обогрева 1000Вт</li>
    <li>Мощность обогрева 1200Вт</li>
    <li>Мощность обогрева 2200Вт</li>
</ul>
<h4>Гарантия качества:</h4>
<p>
    Современные технологии и новейшие разработки Ballu гарантируют высокое качество и надежную эксплуатацию масляных радиаторов.
</p>",,1,,Купить BOH/CB-11W Радиатор масляный CUBE 2200 (11 секций) BALLU с доставкой на uralenergotel.ru,Купить BOH/CB-11W Радиатор масляный CUBE 2200 (11 секций) BALLU по низкой цене у официального дилера ТД УЭТ,boh_cb_11w,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,CUBE,BOH/CB-11W,Да (с вилкой),Механический,8.5,Да,63,Гарантийный талон,51,15,true,2.2,I,11,Трубчатый электронагреватель (ТЭН),2 года,CUBE,60,48,25,3,27,Да,8.5,Да,2.2,Да,false,27,Да,IP20,1.6,КНР,Да,https://rkcdn.ru/products/5771afc4-40d8-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/5771afc6-40d8-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/5771afca-40d8-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/5771afcc-40d8-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/62234904-40d8-11ee-b737-005056941658/src.jpg,,
