Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Сетевой кабель,Управление c мобильного приложения по Wi-Fi,Система самодиагностики неисправности,Макс. производительность осушения,Вес товара с упаковкой (брутто),Таймер на отключение,Высота упаковки товара,Таймер на включение,Гарантийный документ,Ручки,Индикация заполнения емкости,Глубина упаковки товара,Ширина упаковки товара,Диаметр воздуховода для вывода горячего воздуха,Авторестарт при отключении питания,Макс. потребляемая мощность,Макс. производительность охлаждения,Воздуховод для вывода горячего воздуха,Гарантийный срок,Регулировка положения жалюзи с пульта,Индикация температуры воздуха (вблизи устройства),Индикация температуры воздуха (вблизи пульта управления),Шланг для удаления конденсата в комплекте,Серия,Высота товара,Хладагент,Wi-Fi модуль,Макс. поддерживаемая температура,Глубина товара,Мин. поддерживаемая температура,Объем емкости для конденсата,Ширина товара,Оконный переходник,Эффективен для помещ. площадью до,Моющийся воздушный фильтр в комплекте,"Макс. поток отработанного воздуха, м³/час",Класс энергоэффективности,Функция ионизации воздуха,Количество ступеней фильтрации,Точность установки температуры,Длина воздуховода для вывода горячего воздуха,Инверторная технология,Автоматическое отключение при заполнении емкости конденсатом,Вес товара (нетто),Режим обогрева,Режим осушения,Количество скоростей воздушного потока,Макс. производительность охлаждения,Функция интенсивного охлаждения,Цифровой дисплей,Режим SLEEP,Автоматический режим,Макс. производительность обогрева,Производительность по воздуху,Вес фреона,Функция автоматического удаления конденсата с теплым воздухом,Номинальный ток,Шасси,Индикация включения,Заглушка,Индикация режимов работы,ЭНЕРГОЭФФЕКТИВНОСТЬ,Режим вентиляции,Пульт управления в комплекте,Режим защиты от замерзания,Работает с Tuya Smart Life,ПЛОЩАДЬ ПОМЕЩЕНИЯ до,Макс. уровень шума,Класс пылевлагозащищенности,Длина кабеля,Длина шланга для удаления конденсата,Страна производства,Подсветка пульта,Управление голосом,Работает с Марусей,Работает с Алисой,Работает с HOMMYN,"Базовая мощность кондиционера (охлаждение),BTU",Поддержание температуры вблизи пульта управления,Работает с Салют,Работа с умным домом,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Кондиционирование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Кондиционеры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Мобильные кондиционеры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPHS-11H Кондиционер мобильный  BALLU,,RUB,35990.0,1,1,,"<p>Купить BPHS-11H Кондиционер мобильный  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BPHS-11H Кондиционер мобильный  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BPHS-11H Кондиционер мобильный  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Мобильный кондиционер BPHS-11H мощностью 3,06 кВт эффективен для помещений площадью до 25м&sup2;. Модель работает как на охлаждение, так и на обогрев. Прибор также оснащен функцией осушения, производительностью до 38 литров в сутки, что позволяет поддерживать комфортный микроклимат в межсезонье, когда нужен дополнительный обогрев и осушение помещения. Дополнительные режимы и функции делают управление прибором максимально удобным. Функция автоматического покачивания жалюзи и три возможные скорости вентилятора позволяют эффективно управлять воздушным потоком. А с помощью 24-часового таймера возможно задать удобное время отключения и начала работы прибора.</p>

<p>Стильный и функциональный прибор обладает улучшенной эргономикой – сенсорная панель управления и держатель для пульта делают прибор максимально удобным в эксплуатации.</p>

<h4>Преимущества:</h4>
<ul>
<li>Класс энергоэффективности &quot;А&quot;;</li>
<li>4 режима работы: охлаждение/обогрев/осушение/вентиляция;</li>
<li>Сенсорное управление;</li>
<li>3 скорости воздушного потока;</li>
<li>Автоматический режим работы жалюзи;</li>
<li>Ночной режим работы;</li>
<li>Программируемый таймер 24 часа;</li>
<li>Производительность по осушению – до 38 л/сут.;</li>
<li>Автоматическое испарение конденсата;</li>
<li>Информативный дисплей;</li>
<li>Пульт ДУ в комплекте, удобная ниша на корпусе;</li>
<li>Противопылевой моющийся фильтр;</li>
<li>Удобные шасси для перемещения;</li>
<li>Увеличенная гарантия 3 года;</li>
</ul>",,1,,Купить BPHS-11H Кондиционер мобильный  BALLU с доставкой на uralenergotel.ru,Купить BPHS-11H Кондиционер мобильный  BALLU по низкой цене у официального дилера ТД УЭТ,bphs_11h,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Platinum Comfort,BPHS-11H,Да (с вилкой),Нет,Да,38,30,Да,86.5,Да,Гарантийный талон,true,Да,48,38,136,Да,1.189,3.05,Да,3 года,Да,Нет,Нет,Да,Platinum Comfort,70,R410a,Нет,,32,,0.25,42,В комплекте,25,Да,430,A,Нет,1,"1,0 °С",2,Нет,Да,26,Да,Да,3,3.05,Нет,Да,Да,Нет,"2,49",330,,Да,5.5,Да,Да,В комплекте,Да,A,Да,Да,Да,Нет,25,45,IPX0,1,,КНР,,,,,,,,,,https://rkcdn.ru/products/e95adbde-fada-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/195d796a-fadb-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/035785a7-fadb-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/076ea29a-027c-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/dfb0eaec-fada-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/59f4b6e9-027c-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/45de8ec0-027c-11ed-b732-005056013a69/src.jpg,
BPAC-18 CE_20Y Кондиционер мобильный  BALLU,,RUB,57590.0,1,1,,"<p>Купить BPAC-18 CE_20Y Кондиционер мобильный  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BPAC-18 CE_20Y Кондиционер мобильный  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BPAC-18 CE_20Y Кондиционер мобильный  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>BALLU Smart Pro профессиональная серия сверхмощных мобильных кондиционеров, предназначенных для охлаждения бытовых и коммерческих помещений от 44 до 55м&sup2;.</p>

<p>Мобильный кондиционер BPAC-18 CE_20Y мощностью 5,7 кВт эффективен для помещений площадью до 50м&sup2;. Высокая производительность в сочетании с А-классом энергоэффективности – оптимальное решение для охлаждения или осушения в офисе, магазине, жилом помещении.</p>

<p>Функция автоматического покачивания жалюзи и три возможные скорости вентилятора позволят создать комфортный микроклимат одновременно для всех пользователей.</p>

<p>А системы защиты от протечки и фильтрации воздуха STOP DUST сделают использование прибора удобным и максимально полезным.</p>

<h4>Преимущества:</h4>
<ul>
<li>Максимальная мощность;</li>
<li>Класс энергоэффективности &quot;А&quot;;</li>
<li>Автоматический режим работы жалюзи;</li>
<li>3 режима работы: охлаждение/осушение/вентиляция;</li>
<li>Производительность по осушению – до 50 л/сут;</li>
<li>3 скорости воздушного потока;</li>
<li>Ночной режим работы;</li>
<li>Программируемый таймер 24 часа;</li>
<li>Автоматическое испарение конденсата;</li>
<li>Защита от протечки;</li>
<li>Информативный ЖК-дисплей;</li>
<li>Пульт ДУ в комплекте;</li>
<li>Противопылевой моющийся фильтр Dust stop;</li>
<li>Удобные шасси для перемещения;</li>
</ul>",,1,,Купить BPAC-18 CE_20Y Кондиционер мобильный  BALLU с доставкой на uralenergotel.ru,Купить BPAC-18 CE_20Y Кондиционер мобильный  BALLU по низкой цене у официального дилера ТД УЭТ,bpac_18_ce_20y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Smart Pro,BPAC-18 CE_20Y,Да (с вилкой),Нет,Да,50,49,Да,87.9,Да,Гарантийный талон,true,Да,70.9,42.9,136,Да,2.18,5.7,Да,2 года,Да,Нет,Нет,Да,Smart Pro,77.5,R410a,Нет,,56.8,,0.25,36.5,В комплекте,50,Да,580,A,Нет,1,"1,0 °С",2,Нет,Да,42,Нет,Да,3,5.7,Нет,Да,Да,Нет,,450,,Да,9.8,Да,Да,В комплекте,Да,A,Да,Да,Да,,50,54,IPX0,1,,КНР,,,,,,,,,,https://rkcdn.ru/products/c9aa0e15-09f6-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/5e438311-09f4-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/732e319e-f8ad-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/82c3e451-09f4-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/96b9421c-09f4-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/263d0e01-09f4-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/267058a6-011e-11ed-b732-005056013a69/src.jpg,
BGK15 Кондиционер промышленный мобильный  BALLU,,RUB,465950.0,0,1,,"<p>Купить BGK15 Кондиционер промышленный мобильный  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BGK15 Кондиционер промышленный мобильный  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BGK15 Кондиционер промышленный мобильный  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Кондиционер промышленный мобильный BALLU BGK15</h4>

<p>Решить вопрос комфортной работы в сложных условиях легко с профессиональным оборудованием Ballu Heavy Pro. </p>

<p>Мобильный кондиционер BGK15 с мощностью охлаждения 51&nbsp;000&nbsp;BTU будет эффективен для охлаждения помещений площадью до 110&nbsp;м&sup2;. Это модульные конструкции, каркасные дома, палатки и бытовки, мобильные дачные домики, серверные и коммутаторные, горячие цеха и пищевые блоки, производственные площадки.</p>

<p>Ballu Heavy Pro предназначен для работы в экстремальных условиях и обеспечивает комфорт и прохладу даже там, где стандартное климатическое оборудование не проходит порог высоких нагрузок. Прибор автоматически возобновит свою работу в случае перебоев с электроэнергией, а мощный компрессор GREE оснащен функцией защиты от перегрузок, благодаря чему увеличивается срок службы кондиционера.</p>

<p>Промышленный мобильный кондиционер выполнен в металлическом ударопрочном корпусе, оснащен шасси и ручками для перемещения. Диапазон рабочих температур для такого оборудования – от +18 до +45&deg;C.</p>

<p>В моделях BGK установлены плотные противопылевые фильтры, надежно защищающие внутреннюю часть приборов от загрязнений.</p>

<h4>Преимущества:</h4>
<ul>
    <li>Промышленная мощность до 51 000 BTU;</li>
    <li>Охлаждение помещений до 110м2;</li>
    <li>Производительность по воздухообмену – 2 500 м куб/час;</li>
    <li>Автоматический режим работы;</li>
    <li>Регулировка скорости воздушного потока;</li>
    <li>Работа при температуре до от +18 до +45С;</li>
    <li>Металлический ударопрочный корпус;</li>
    <li>Защита компрессора от перегрузки;</li>
    <li>Функция авторестарт;</li>
    <li>«А» класс энергоэфективности;</li>
    <li>Противопылевой моющийся фильтр;</li>
    <li>Прочные шасси и ручки для перемещения.</li>
</ul>
",,1,,Купить BGK15 Кондиционер промышленный мобильный  BALLU с доставкой на uralenergotel.ru,Купить BGK15 Кондиционер промышленный мобильный  BALLU по низкой цене у официального дилера ТД УЭТ,bgk15,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Heavy Pro,BGK15,Да (с вилкой),,Да,,210,Нет,132,Нет,Гарантийный талон,false,Нет,91,146,250,Да,5,15,Нет,2 года,Нет,Нет,Нет,Нет,Heavy Pro,103,R410a,,,82,,,136,Нет,110,Да,,A,Нет,1,"1,0 °С",30,Нет,Нет,200,Нет,Нет,2,15,Нет,Да,Нет,Да,,2500,,Да,,Да,Да,,Да,A,Да,Нет,Да,,110,75,IPX0,,,КНР,Нет,,,,,,,,,https://rkcdn.ru/products/118fc0f4-34d2-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/f9c2375d-fbbe-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/0e23bace-fbbf-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/6ecea98c-34d0-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/78b98244-ee0b-11ec-b732-005056013a69/src.jpg,,,
BPHS-13H Кондиционер мобильный  BALLU,,RUB,40990.0,1,1,,"<p>Купить BPHS-13H Кондиционер мобильный  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BPHS-13H Кондиционер мобильный  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BPHS-13H Кондиционер мобильный  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Мобильный кондиционер BPHS-13H мощностью 3,55 кВт эффективен для помещений площадью до 30м&sup2;. Модель работает как на охлаждение, так и на обогрев. Прибор также оснащен функцией осушения, производительностью до 43 литров в сутки, что позволяет поддерживать комфортный микроклимат в межсезонье, когда нужен дополнительный обогрев и осушение помещения. Дополнительные режимы и функции делают управление прибором максимально удобным. Функция автоматического покачивания жалюзи и три возможные скорости вентилятора позволяют эффективно управлять воздушным потоком. А с помощью 24-часового таймера возможно задать удобное время отключения и начала работы прибора.</p>

<p>Стильный и функциональный прибор обладает улучшенной эргономикой – сенсорная панель управления и держатель для пульта делают прибор максимально удобным в эксплуатации.</p>

<h4>Преимущества:</h4>
<ul>
<li>Класс энергоэффективности &quot;А&quot;;</li>
<li>4 режима работы: охлаждение/обогрев/осушение/вентиляция;</li>
<li>Сенсорное управление;</li>
<li>3 скорости воздушного потока;</li>
<li>Автоматический режим работы жалюзи;</li>
<li>Ночной режим работы;</li>
<li>Программируемый таймер 24 часа;</li>
<li>Производительность по осушению – до 43 л/сут.;</li>
<li>Автоматическое испарение конденсата;</li>
<li>Информативный дисплей;</li>
<li>Пульт ДУ в комплекте, удобная ниша на корпусе;</li>
<li>Противопылевой моющийся фильтр;</li>
<li>Удобные шасси для перемещения;</li>
<li>Увеличенная гарантия 3 года;</li>
</ul>",,1,,Купить BPHS-13H Кондиционер мобильный  BALLU с доставкой на uralenergotel.ru,Купить BPHS-13H Кондиционер мобильный  BALLU по низкой цене у официального дилера ТД УЭТ,bphs_13h,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Platinum Comfort,BPHS-13H,Да (с вилкой),Нет,Да,43,34,Да,87,Да,Гарантийный талон,true,Да,40,46,136,Да,1.205,3.55,Да,3 года,Да,Нет,Нет,Да,Platinum Comfort,72,R410a,Нет,,36,,0.25,43.5,В комплекте,30,Да,455,A,Нет,1,"1,0 °С",2,Нет,Да,30,Да,Да,3,3.55,Нет,Да,Да,Нет,"2,93",350,,Да,5.4,Да,Да,В комплекте,Да,A,Да,Да,Да,Нет,30,48,IPX0,1,,КНР,,,,,,,,,,https://rkcdn.ru/products/dfb0eaee-fada-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/45de8ec2-027c-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/59f4b6eb-027c-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/e95adbdc-fada-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/0ff26193-027c-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/10854cf0-fadb-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/195d7968-fadb-11ed-b736-005056013a69/src.jpg,
BPAC-07 EPB/N6 black Кондиционер мобильный Eclipse BALLU,,RUB,28990.0,1,1,,"<p>Купить BPAC-07 EPB/N6 black Кондиционер мобильный Eclipse BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BPAC-07 EPB/N6 black Кондиционер мобильный Eclipse BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BPAC-07 EPB/N6 black Кондиционер мобильный Eclipse BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить BPAC-07 EPB/N6 black Кондиционер мобильный Eclipse BALLU с доставкой на uralenergotel.ru,Купить BPAC-07 EPB/N6 black Кондиционер мобильный Eclipse BALLU по низкой цене у официального дилера ТД УЭТ,bpac_07_epb_n6_black,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Eclipse Black,BPAC-07 EPB/N6 black,Да (с вилкой),Да,Да,17,22.7,Да,88,Да,Гарантийный талон,true,Да,41,36,150,,0.78,2,Да,2 года,Да,Нет,Нет,Да,Eclipse Black,69.6,R290,Встроенный,,33,,0.3,36.9,В комплекте,18,Да,320,A,Нет,1,"1,0 °С",1.5,Нет,Да,18.8,Нет,Да,3,2,Нет,Да,Да,Да,,250,170,Да,3.4,Да,Да,Доп.опция,Да,A,Да,Да,Да,Да,18,50,IPX0,1,0.5,КНР,Нет,Нет,Нет,Нет,Нет,7000,Нет,Нет,,https://rkcdn.ru/products/60abb9a8-d4a0-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/cb00ae2c-d4a0-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/bfb49aef-d542-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/ba07427a-d4a0-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/a2ee7bae-d4a0-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/8b015f00-d4a0-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/80425e7a-d4a0-11ee-b8d6-00505601218a/src.jpg,
BPAC-12 EW/N6 Кондиционер мобильный Velure BALLU,,RUB,40990.0,0,1,,"<p>Купить BPAC-12 EW/N6 Кондиционер мобильный Velure BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BPAC-12 EW/N6 Кондиционер мобильный Velure BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BPAC-12 EW/N6 Кондиционер мобильный Velure BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить BPAC-12 EW/N6 Кондиционер мобильный Velure BALLU с доставкой на uralenergotel.ru,Купить BPAC-12 EW/N6 Кондиционер мобильный Velure BALLU по низкой цене у официального дилера ТД УЭТ,bpac_12_ew_n6,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Velure,BPAC-12 EW/N6,Да (с вилкой),Да,Да,,34,Да,88,Да,Гарантийный талон,false,Да,49,38,150,Да,1.33,3.5,Да,2 года,Да,Нет,Нет,Да,Velure,70,R290,Встроенный,,35,,0.3,43.4,В комплекте,30,Да,520,A,Нет,1,"1,0 °С",1.5,Нет,Да,29,Нет,Да,3,3.5,Нет,Да,Да,Нет,Нет,400,195,Да,5.8,Да,Да,Доп.опция,Да,A,Да,Да,Да,Да,30,50,IPX1,1,0.5,КНР,Нет,Нет,Нет,Нет,Нет,12000,Нет,Нет,,https://rkcdn.ru/products/e7341bc2-eb84-11ee-b8d7-00505601218a/src.jpg,https://rkcdn.ru/products/e7341bc4-eb84-11ee-b8d7-00505601218a/src.jpg,https://rkcdn.ru/products/e7341bc6-eb84-11ee-b8d7-00505601218a/src.jpg,https://rkcdn.ru/products/e7341bc8-eb84-11ee-b8d7-00505601218a/src.jpg,https://rkcdn.ru/products/e7341bca-eb84-11ee-b8d7-00505601218a/src.jpg,https://rkcdn.ru/products/ed6aefe9-eb84-11ee-b8d7-00505601218a/src.jpg,https://rkcdn.ru/products/ed6aefeb-eb84-11ee-b8d7-00505601218a/src.jpg,https://rkcdn.ru/products/ed6aefed-eb84-11ee-b8d7-00505601218a/src.jpg
BPHS-15H Кондиционер мобильный  BALLU,,RUB,45990.0,1,1,,"<p>Купить BPHS-15H Кондиционер мобильный  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BPHS-15H Кондиционер мобильный  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BPHS-15H Кондиционер мобильный  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Мобильный кондиционер BPHS-15H мощностью 4,12 кВт эффективен для помещений площадью до 35м&sup2;. Модель работает как на охлаждение, так и на обогрев. Прибор также оснащен функцией осушения, производительностью до 54 литров в сутки, что позволяет поддерживать комфортный микроклимат в межсезонье, когда нужен дополнительный обогрев и осушение помещения. Дополнительные режимы и функции делают управление прибором максимально удобным. Функция автоматического покачивания жалюзи и три возможные скорости вентилятора позволяют эффективно управлять воздушным потоком. А с помощью 24-часового таймера возможно задать удобное время отключения и начала работы прибора.</p>

<p>Стильный и функциональный прибор обладает улучшенной эргономикой – сенсорная панель управления и держатель для пульта делают прибор максимально удобным в эксплуатации.</p>

<h4>Преимущества:</h4>
<ul>
<li>Класс энергоэффективности &quot;А&quot;;</li>
<li>4 режима работы: охлаждение/обогрев/осушение/вентиляция;</li>
<li>Сенсорное управление;</li>
<li>3 скорости воздушного потока;</li>
<li>Автоматический режим работы жалюзи;</li>
<li>Ночной режим работы;</li>
<li>Программируемый таймер 24 часа;</li>
<li>Производительность по осушению – до 54 л/сут.;</li>
<li>Автоматическое испарение конденсата;</li>
<li>Информативный дисплей;</li>
<li>Пульт ДУ в комплекте, удобная ниша на корпусе;</li>
<li>Противопылевой моющийся фильтр;</li>
<li>Удобные шасси для перемещения;</li>
<li>Увеличенная гарантия 3 года;</li>
</ul>",,1,,Купить BPHS-15H Кондиционер мобильный  BALLU с доставкой на uralenergotel.ru,Купить BPHS-15H Кондиционер мобильный  BALLU по низкой цене у официального дилера ТД УЭТ,bphs_15h,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Platinum Comfort,BPHS-15H,Да (с вилкой),Нет,Да,54,36,Да,89,Да,Гарантийный талон,true,Да,48.5,43,136,Да,1.599,4.12,Да,3 года,Да,Нет,Нет,Да,Platinum Comfort,72,R410a,Нет,,36,,0.25,43.5,В комплекте,35,Да,430,A,Нет,1,"1,0 °С",1.5,Нет,Да,32,Да,Да,3,4.12,Нет,Да,Да,Нет,"3,39",330,,Да,7.3,Да,Да,В комплекте,Да,A,Да,Да,Да,Нет,35,48,IPX0,1,,КНР,,,,,,,,,,https://rkcdn.ru/products/035785a5-fadb-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/0ff26195-027c-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/226bea74-fadb-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/2305758c-027c-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/507cab18-027c-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/632fee12-027c-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/c2023206-fada-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/f24712f3-fada-11ed-b736-005056013a69/src.jpg
