Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Номинальная производительность охлаждения,Управление c мобильного приложения по Wi-Fi,Система самодиагностики неисправности,Вес товара с упаковкой (брутто),Мин. рабочая температура воздуха для внешнего блока,Подсветка пульта,Высота упаковки товара,Гарантийный документ,Высота внутр. блока,Глубина упаковки товара,Высота внешнего блока,Макс. рабочая температура воздуха для внешнего блока,Ширина упаковки товара,Память заданных параметров работы,Глубина внешнего блока,Макс. потребляемая мощность,Тип блока,Глубина внутр. блока,"Мощность кондиционера (охлаждение),BTU",Гарантийный срок,Ширина внешнего блока,Ширина внутр. блока,Регулировка положения жалюзи с пульта,Индикация температуры воздуха (вблизи устройства),Индикация температуры воздуха (вблизи пульта управления),Серия,Высота товара,Уровень шума внутр. блока,Ширина декоративной панели,Глубина товара,Макс. уровень шума внешнего блока,Ширина товара,Эффективен для помещ. площадью до,Моющийся воздушный фильтр в комплекте,Макс. длина магистрали (трассы),Регулировка температуры охлаждения,Длина декоративной панели,Вес декоративной панели (нетто),Режим автоочистки,Количество ступеней фильтрации,Макс. перепад высот между внутр. и внешним блоками,Точность установки температуры,Инверторная технология,Вес товара (нетто),Режим обогрева,Режим осушения,Макс. производительность охлаждения,Функция интенсивного охлаждения,Режим SLEEP,Макс. производительность обогрева,Производительность по воздуху,Вес фреона,Вес внутр. блока (нетто),Pre Filter (фильтр предварительной очистки),Индикация режимов работы,Потребляемая мощность в режиме нагрева,Номинальная средняя потребляемая мощность,Вес внешнего блока (нетто),Режим вентиляции,Пульт управления в комплекте,Потребляемая мощность в режиме охлаждения,Номинальная производительность обогрева,Длина кабеля,Регулировка температуры обогрева,Страна производства,Таймер на отключение,Таймер на включение,Хладагент,Антибактериальный фильтр,Установка реального времени,Деодорирующий фильтр в комплекте,Класс энергоэффективности,Функция ионизации воздуха,"Базовая мощность кондиционера (охлаждение),BTU",Подмес воздуха с улицы,Поддержание температуры вблизи пульта управления,Подсветка дисплея,Авторестарт при отключении питания,Необходим блок-распределитель,Макс. количество подключаемых внутр. блоков,Режим размораживания внешнего блока,Коэффициент энергоэффективности EER/COP,Набор крепежных элементов в комплекте,Цифровой дисплей,Изображения,Изображения,Изображения,Изображения
Кондиционирование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Сплит-системы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Мульти сплит-системы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BSEI-FM/in-09HN8/LP_EU Блок внутренний  мульти сплит-системы, инверторного типа BALLU",,RUB,18200.0,0,1,,"<p>Купить BSEI-FM/in-09HN8/LP_EU Блок внутренний  мульти сплит-системы, инверторного типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSEI-FM/in-09HN8/LP_EU Блок внутренний  мульти сплит-системы, инверторного типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSEI-FM/in-09HN8/LP_EU Блок внутренний  мульти сплит-системы, инверторного типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить BSEI-FM/in-09HN8/LP_EU Блок внутренний  мульти сплит-системы, инверторного типа BALLU с доставкой на uralenergotel.ru","Купить BSEI-FM/in-09HN8/LP_EU Блок внутренний  мульти сплит-системы, инверторного типа BALLU по низкой цене у официального дилера ТД УЭТ",bsei_fm_in_09hn8_lp_eu,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Free Match ERP LONG PIPE,BSEI-FM/in-09HN8/LP_EU,2.6,Нет,Да,10.5,,Да,27,Гарантийный талон,0.27,34,,,90,Да,,0.042,Настенный,0.208,8871,3 года,,0.85,Да,Да,Да,Free Match ERP LONG PIPE,27,21,,85,,20.8,25,Да,,Да,,,Да,1,,"1,0 °С",Да,8.5,Да,Да,2.6,Да,Да,2.8,500,,8.5,В комплекте,Да,42,,,Да,Да,42,2.8,,Да,КНР,,,,,,,,,,,,,,,,,,,,https://rkcdn.ru/products/8b8a21d9-4743-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/d81784a5-4743-11ee-b737-005056941658/src.jpg,,
BSUI-FM/in-07HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU,,RUB,16700.0,1,1,,"<p>Купить BSUI-FM/in-07HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSUI-FM/in-07HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSUI-FM/in-07HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внутренние блоки Platinum Evolution обладают элегантным современным дизайном, в корпуса лежит технологичный матовый пластик. Сами блоки обладают рекордными параметрами по уровню шума от 21 дБ(А). Поток воздуха в настенных блоках возможно регулировать в 4-х направлениях.</p>",,1,,Купить BSUI-FM/in-07HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU с доставкой на uralenergotel.ru,Купить BSUI-FM/in-07HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU по низкой цене у официального дилера ТД УЭТ,bsui_fm_in_07hn8_eu,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Free Match ERP R32,BSUI-FM/in-07HN8/EU,2.05,Опция доступна при подключении съемного Wi-Fi модуля,Да,10,-20,,28,Гарантийный талон,0.292,37,,52,89,Да,,0.04,Настенный,0.21,7000,3 года,,0.792,Да,Да,Да,Free Match ERP R32,29.2,21,,21,,79.2,20,Да,,Да,,,Да,1,,"1,0 °С",Да,8,Да,Да,2.7,Да,Да,"2,5",600,,8,В комплекте,Да,40,,,Да,Да,40,2.15,,Да,КНР,Да,Да,R32,Нет,Да,Нет,A++,Нет,7000,Нет,Да,Да,,,,,,,,https://rkcdn.ru/products/067563f4-ba73-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/4ffe24eb-40fc-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/57057dbb-40fd-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/b4ee1550-40fd-11ee-b737-005056941658/src.jpg
"B4OI-FM/out-27HN8/LP_EU Блок наружный  мульти сплит-системы, инверторного типа BALLU",,RUB,117400.0,0,1,,"<p>Купить B4OI-FM/out-27HN8/LP_EU Блок наружный  мульти сплит-системы, инверторного типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на B4OI-FM/out-27HN8/LP_EU Блок наружный  мульти сплит-системы, инверторного типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим B4OI-FM/out-27HN8/LP_EU Блок наружный  мульти сплит-системы, инверторного типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить B4OI-FM/out-27HN8/LP_EU Блок наружный  мульти сплит-системы, инверторного типа BALLU с доставкой на uralenergotel.ru","Купить B4OI-FM/out-27HN8/LP_EU Блок наружный  мульти сплит-системы, инверторного типа BALLU по низкой цене у официального дилера ТД УЭТ",b4oi_fm_out_27hn8_lp_eu,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Free Match ERP LONG PIPE,B4OI-FM/out-27HN8/LP_EU,8,,Да,78,0,,72,Гарантийный талон,,45,0.67,43,99,,0.31,3.95,,,27296,3 года,0.86,,,,,Free Match ERP LONG PIPE,67,,,31,51,86,,,110,,,,,,10,,Да,73,,,8,,,9,3150,1750,,,,3950,,48,,,3950,9,,,КНР,,,R32,,,,A++,,,,,,Да,Нет,4,Да,,,,https://rkcdn.ru/products/6442f0be-509f-11ee-b737-005056941658/src.jpg,,,
BSUI-FM/in-12HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU,,RUB,18400.0,1,1,,"<p>Купить BSUI-FM/in-12HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSUI-FM/in-12HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSUI-FM/in-12HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внутренние блоки Platinum Evolution обладают элегантным современным дизайном, в корпуса лежит технологичный матовый пластик. Сами блоки обладают рекордными параметрами по уровню шума от 21 дБ(А). Поток воздуха в настенных блоках возможно регулировать в 4-х направлениях.</p>",,1,,Купить BSUI-FM/in-12HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU с доставкой на uralenergotel.ru,Купить BSUI-FM/in-12HN8/EU Блок внутренний  инверторной мульти сплит-системы BALLU по низкой цене у официального дилера ТД УЭТ,bsui_fm_in_12hn8_eu,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Free Match ERP R32,BSUI-FM/in-12HN8/EU,3.5,Опция доступна при подключении съемного Wi-Fi модуля,Да,10.5,-20,,29,Гарантийный талон,0.292,37,,52,89,Да,,0.04,Настенный,0.201,12000,3 года,,0.792,Да,Да,Да,Free Match ERP R32,29.2,21,,20.1,,79.2,35,Да,,Да,,,Да,1,,"1,0 °С",Да,8.5,Да,Да,3.7,Да,Да,"3,7",600,,8.5,В комплекте,Да,40,,,Да,Да,40,3.5,,Да,КНР,Да,Да,R32,Нет,Да,Нет,A++,Нет,12000,Нет,Да,Да,,,,,,,,https://rkcdn.ru/products/038a1961-b6a1-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/ca5eb9ea-40fd-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/6acbe446-40fd-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/a332b71e-40fc-11ee-b737-005056941658/src.jpg
BSUI-FM/in-09HN8/EU_BL Блок внутренний  инверторной мульти сплит-системы BALLU,,RUB,17400.0,0,1,,"<p>Купить BSUI-FM/in-09HN8/EU_BL Блок внутренний  инверторной мульти сплит-системы BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSUI-FM/in-09HN8/EU_BL Блок внутренний  инверторной мульти сплит-системы BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSUI-FM/in-09HN8/EU_BL Блок внутренний  инверторной мульти сплит-системы BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внутренние блоки Platinum Noir обладают элегантным современным дизайном, передняя панель выполнена в черном глянцевом стиле. Сами блоки обладают рекордными параметрами по уровню шума от 21 дБ(А). Поток воздуха в настенных блоках возможно регулировать в 4-х направлениях. Блоки Wi-Fi Ready, что означает возможность управления по Wi-Fi при покупке Wi-Fi донгла HOMMYN.</p>",,1,,Купить BSUI-FM/in-09HN8/EU_BL Блок внутренний  инверторной мульти сплит-системы BALLU с доставкой на uralenergotel.ru,Купить BSUI-FM/in-09HN8/EU_BL Блок внутренний  инверторной мульти сплит-системы BALLU по низкой цене у официального дилера ТД УЭТ,bsui_fm_in_09hn8_eu_bl,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Free Match ERP R32,BSUI-FM/in-09HN8/EU_BL,2.58,Опция доступна при подключении съемного Wi-Fi модуля,Да,10,-20,,28,Гарантийный талон,0.292,36,,52,87,Да,,0.04,Настенный,0.201,9000,3 года,,0.792,Да,Да,Да,Free Match ERP R32,29.2,21,,20.1,,79.2,25,Да,,Да,,,Да,1,,"1,0 °С",Да,8,Да,Да,3.3,Да,Да,3,600,,8,В комплекте,Да,40,,,Да,Да,40,2.7,,Да,КНР,Да,Да,R32,Нет,Да,Нет,A++,Нет,9000,Нет,Да,Да,,,,,,,,https://rkcdn.ru/products/6f20cc99-ac77-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/78b22708-40fc-11ee-b737-005056941658/src.jpg,,
"BADI-FM/in-09HN8/EU Блок внутренний  инверторной мульти сплит-системы, канального типа BALLU",,RUB,35400.0,1,1,,"<p>Купить BADI-FM/in-09HN8/EU Блок внутренний  инверторной мульти сплит-системы, канального типа BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BADI-FM/in-09HN8/EU Блок внутренний  инверторной мульти сплит-системы, канального типа BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BADI-FM/in-09HN8/EU Блок внутренний  инверторной мульти сплит-системы, канального типа BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внутренние блоки канального типа будут идеальным решением для любых помещений с возможностью скрытого монтажа. Высота блока составляет всего 20 см. Данные блоки обладают высокими характеристиками по уровню шума. А также имеют возможность регулирования напора воздуха.</p>",,1,,"Купить BADI-FM/in-09HN8/EU Блок внутренний  инверторной мульти сплит-системы, канального типа BALLU с доставкой на uralenergotel.ru","Купить BADI-FM/in-09HN8/EU Блок внутренний  инверторной мульти сплит-системы, канального типа BALLU по низкой цене у официального дилера ТД УЭТ",badi_fm_in_09hn8_eu,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Free Match ERP R32,BADI-FM/in-09HN8/EU,2.6,Нет,Да,22,-20,,27,Гарантийный талон,0.2,57,,52,101,Да,,0.055,Канальный,0.47,9000,3 года,,0.7,,,Да,Free Match ERP R32,20,28,,47,,70,25,Да,,Да,,,Да,1,,"1,0 °С",Да,18.5,Да,Да,3.55,Да,Да,"3,65",600,,18.5,В комплекте,,44,,,Да,Да,44,2.9,,Да,КНР,Да,Да,R32,Нет,Да,Нет,A++,Нет,9000,Да,Да,,,,,Да,,,,https://rkcdn.ru/products/b7c2500e-b6a0-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/193e5972-40fc-11ee-b737-005056941658/src.jpg,,
BA5OI-FM/out-42HN8/EU Блок наружный  инверторной мульти сплит-системы BALLU,,RUB,186600.0,1,1,,"<p>Купить BA5OI-FM/out-42HN8/EU Блок наружный  инверторной мульти сплит-системы BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BA5OI-FM/out-42HN8/EU Блок наружный  инверторной мульти сплит-системы BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BA5OI-FM/out-42HN8/EU Блок наружный  инверторной мульти сплит-системы BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Серия Free Match представляет наружные блоки для создания мульти-сплит-систем, которые способны поддерживать комфортный микроклимат в коттеджах большой площади, нескольких офисах сразу, гостиницах, кафе. В мульти сплит-системе используется инновационный хладагент R32, он обладает лучшими техническими характеристиками, а также на 40% снижает вредное воздействие на окружающую среду. Энергоэффективность системы соответствует высочайшему классу А++ согласно европейской классификации. Внутренние блоки системы отличаются компактными размерами, низким уровнем шума и современным дизайном. По принципу конструктора к одному внешнему можно подключить до пяти внутренних блоков различного типа и мощности. Подобное техническое решение позволяет собрать более 400 индивидуальных комбинаций. </p>",,1,,Купить BA5OI-FM/out-42HN8/EU Блок наружный  инверторной мульти сплит-системы BALLU с доставкой на uralenergotel.ru,Купить BA5OI-FM/out-42HN8/EU Блок наружный  инверторной мульти сплит-системы BALLU по низкой цене у официального дилера ТД УЭТ,ba5oi_fm_out_42hn8_eu,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Free Match ERP R32,BA5OI-FM/out-42HN8/EU,12,Опция доступна при подключении съемного Wi-Fi модуля,Да,79,-20,,87,Гарантийный талон,,48,0.808,52,110,Да,0.395,5.45,Внешний,,42000,3 года,0.985,,,,,Free Match ERP R32,80.8,,,39.5,61,100,120,,80,Да,,,Да,,15,"1,0 °С",Да,75,Да,Да,12.7,Да,Да,"13,1",4200,,,,,3750,,75,,Да,4450,13,,Да,КНР,,,R32,,,,A++,Нет,42000,,,,Да,Нет,5,Да,"2,7/3,47",Нет,,https://rkcdn.ru/products/4e3b58c5-b1b6-11ec-b732-005056013a69/src.jpg,,,
