Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Подключение к электросети,Макс. производительность,Вес товара с упаковкой (брутто),Макс. температура теплоносителя,Нагрев воздуха (дельта температуры),Высота упаковки товара,Гарантийный документ,Уровень шума на расстоянии 5м,Глубина упаковки товара,Макс. высота установки,Ширина упаковки товара,Макс. потребляемая мощность,Тип нагревательного элемента,Гарантийный срок,Мощность двигателей вентилятора,Серия,Высота товара,Глубина товара,Регулировка скорости вращения вентилятора,Режим 'без нагрева',Ширина товара,Количество режимов нагрева,Тепловая мощность (90/70/15 ⁰С),Регулировка температуры,Точность установки температуры,Вес товара (нетто),Рекомендованная ширина проема,Присоединительный диаметр патрубков,Количество режимов вентиляции,МОЩНОСТЬ ПОТРЕБЛЕНИЯ до,Индикация включения,Набор крепежных элементов в комплекте,Пульт управления в комплекте,Макс. тепловая мощность,Защита от перегрева,Класс пылевлагозащищенности,Страна производства,Макс. давление в водопроводе,Макс. температура воды,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Тепловые завесы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Пылевлагозащищенные тепловые завесы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHC-U15T12-PS Завеса тепловая  BALLU,,RUB,98990.0,0,1,,"<p>Купить BHC-U15T12-PS Завеса тепловая  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHC-U15T12-PS Завеса тепловая  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHC-U15T12-PS Завеса тепловая  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Тепловая водяная завеса BALLU BHC-U15Т12-PS c максимальной производительностью 4500&nbsp;м&sup3;/ч и высотой установки до 6&nbsp;метров, используется для защиты помещений с высоким уровнем влажности и загрязнения от проникновения холодного воздуха.</p>

<p>Высокая степень защиты электрических компонентов (IP54) обеспечивается в заводских условиях, именно поэтому при монтаже завесы не требуется проведение дополнительных работ по герметизации электрических соединений.</p>
<p>В качестве нагревательного элемента используются ТЭНы со спиральным оребрением, которое существенно увеличивает площадь теплоотдачи.</p>

<p>Непревзойденную надежность завесы обеспечивают внешнероторные двигатели со сроком наработки на отказ от 30&nbsp;000&nbsp;часов.</p>

<p>Поворотное сопло позволяет менять угол наклона воздушной струи в диапазоне ±15&deg;, для обеспечения лучшей защиты помещения даже при сильных порывах ветра, направленных перпендикулярно к плоскости проема.</p>

<p>Управление завесой осуществляется при помощи автоматических выключателей или интуитивно понятного пульта со встроенным термостатом, без необходимости приобретения дополнительных дорогостоящих шкафов коммутации.</p>

<h4>Сделано в России</h4>",,1,,Купить BHC-U15T12-PS Завеса тепловая  BALLU с доставкой на uralenergotel.ru,Купить BHC-U15T12-PS Завеса тепловая  BALLU по низкой цене у официального дилера ТД УЭТ,bhc_u15t12_ps,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,ULTRA,BHC-U15T12-PS,Кабельный ввод на корпусе,4500,68.3,,8,75.7,Гарантийный талон,60,67,6,150,12,ТЭН с оребрением,2 года,830,ULTRA,65,57,Ступенчатая,Да,142,3,,Да (механический регулятор),"0,5 °С",48.3,1.5,,3,12,Доп. опция,Да,Доп. опция,12,Да,IP54,РОССИЯ,,,https://rkcdn.ru/products/f27bf0f8-5174-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/011ecc1f-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/6e18a97a-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/89002509-5175-11ee-b737-005056941658/src.jpg,,,,
BHC-U20W55-PS2 Завеса тепловая  BALLU,,RUB,159990.0,1,1,,"<p>Купить BHC-U20W55-PS2 Завеса тепловая  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHC-U20W55-PS2 Завеса тепловая  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHC-U20W55-PS2 Завеса тепловая  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить BHC-U20W55-PS2 Завеса тепловая  BALLU с доставкой на uralenergotel.ru,Купить BHC-U20W55-PS2 Завеса тепловая  BALLU по низкой цене у официального дилера ТД УЭТ,bhc_u20w55_ps2,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,ULTRA 2,BHC-U20W55-PS2,Кабельный ввод на корпусе,9900,83,150,27,60,Гарантийный талон,62,50,6,210,0.56,Медно-алюминиевый теплообменник,24 мес,560,ULTRA 2,,,Ступенчатая,Да,,1,50,Да,"0,5 °С",65,2,3/4,3,,Нет,Да,Нет,62.5,Нет,IP54,РОССИЯ,16,150,https://rkcdn.ru/products/20fa8f83-fbf3-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/f01ab809-fbf2-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/485d9bc8-fbf3-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/a11b9944-fbf3-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/95844be6-fbf2-11ee-b8d8-00505601218a/src.jpg,,,
BHC-U20T18-PS Завеса тепловая  BALLU,,RUB,139990.0,1,1,,"<p>Купить BHC-U20T18-PS Завеса тепловая  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHC-U20T18-PS Завеса тепловая  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHC-U20T18-PS Завеса тепловая  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Тепловая водяная завеса BALLU BHC-U20Т18-PS c максимальной производительностью 6200&nbsp;м&sup3;/ч и высотой установки до 6&nbsp;метров, используется для защиты помещений с высоким уровнем влажности и загрязнения от проникновения холодного воздуха.</p>

<p>Высокая степень защиты электрических компонентов (IP54) обеспечивается в заводских условиях, именно поэтому при монтаже завесы не требуется проведение дополнительных работ по герметизации электрических соединений.</p>

<p>В качестве нагревательного элемента используются ТЭНы со спиральным оребрением, которое существенно увеличивает площадь теплоотдачи.</p>

<p>Непревзойденную надежность завесы обеспечивают внешнероторные двигатели со сроком наработки на отказ от 30&nbsp;000&nbsp;часов.</p>

<p>Поворотное сопло позволяет менять угол наклона воздушной струи в диапазоне ±15&deg;, для обеспечения лучшей защиты помещения даже при сильных порывах ветра, направленных перпендикулярно к плоскости проема.</p>

<p>Управление завесой осуществляется при помощи автоматических выключателей или интуитивно понятного пульта со встроенным термостатом, без необходимости приобретения дополнительных дорогостоящих шкафов коммутации.</p>

<h4>Сделано в России</h4>",,1,,Купить BHC-U20T18-PS Завеса тепловая  BALLU с доставкой на uralenergotel.ru,Купить BHC-U20T18-PS Завеса тепловая  BALLU по низкой цене у официального дилера ТД УЭТ,bhc_u20t18_ps,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,ULTRA,BHC-U20T18-PS,Кабельный ввод на корпусе,6200,135,,"8,5",67.7,Гарантийный талон,62,75,6,210,18,ТЭН с оребрением,2 года,1280,ULTRA,65.7,57.7,Ступенчатая,Да,202.4,3,,Да (механический регулятор),"0,5 °С",76.5,2,,2,18,Доп. опция,Доп.опция,Доп. опция,18,Да,IP54,РОССИЯ,,,https://rkcdn.ru/products/f27bf0fa-5174-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/d6c82436-5174-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/011ecc1d-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/6e18a97c-5175-11ee-b737-005056941658/src.jpg,,,,
BHC-U15A-PS Завеса воздушная  BALLU,,RUB,84990.0,0,1,,"<p>Купить BHC-U15A-PS Завеса воздушная  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHC-U15A-PS Завеса воздушная  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHC-U15A-PS Завеса воздушная  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Пылевлагозащищенная завеса BALLU BHC-U15A-PS c максимальной производительностью 4700 м3/ч и высотой установки до 6 метров, используется  для защиты помещений с высоким уровнем влажности и загрязнения от проникновения холодного воздуха.</p>

<p>Высокая степень защиты электрических компонентов (IP54) обеспечивается в заводских условиях, именно поэтому при монтаже завесы не требуется проведение дополнительных работ по герметизации электрических соединений. </p>

<p>Непревзойденную надежность завесы обеспечивают внешнероторные двигатели со сроком наработки на отказ от 30&nbsp;000 часов.</p>

<p>Поворотное сопло позволяет менять угол наклона воздушной струи в диапазоне &plusmn;15&deg;, для обеспечения лучшей защиты помещения даже при сильных порывах ветра направленных перпендикулярно к плоскости проема.</p>

<p>Управление завесой осуществляется при помощи автоматических выключателей или интуитивно понятного пульта со встроенным термостатом, без необходимости приобретения дополнительных дорогостоящих шкафов коммутации.  </p> 

<p>6 вариантов монтажа, подключение к однофазной сети и минимальные затраты на управление   делают завесу BALLU BHC-U15A-PS абсолютным лидером с точки зрения удобства подключения и использования, среди промышленных завес российского производства.</p>",,1,,Купить BHC-U15A-PS Завеса воздушная  BALLU с доставкой на uralenergotel.ru,Купить BHC-U15A-PS Завеса воздушная  BALLU по низкой цене у официального дилера ТД УЭТ,bhc_u15a_ps,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,ULTRA,BHC-U15A-PS,Кабельный ввод на корпусе,4700,62,,0,77,Гарантийный талон,60,83,6,172,0.77,Без нагрева,2 года,830,ULTRA,142,58,Ступенчатая,Да,66,Без нагрева,,Нет,-,47,1.5,,3,0.77,Доп. опция,Доп.опция,Доп. опция,,Да,IP54,РОССИЯ,,,https://rkcdn.ru/products/f27bf0f0-5174-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/d6c82432-5174-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/074065c0-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/594d95b9-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/9885fdb1-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/a600b0a3-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/b072fdeb-5175-11ee-b737-005056941658/src.jpg,
BHC-U20A-PS Завеса воздушная  BALLU,,RUB,109990.0,0,1,,"<p>Купить BHC-U20A-PS Завеса воздушная  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHC-U20A-PS Завеса воздушная  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHC-U20A-PS Завеса воздушная  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Пылевлагозащищенная завеса BALLU BHC-U20A-PS c максимальной производительностью 6400 м3/ч и высотой установки до 6 метров, используется  для защиты помещений с высоким уровнем влажности и загрязнения от проникновения холодного воздуха.</p>

<p>Высокая степень защиты электрических компонентов (IP54) обеспечивается в заводских условиях, именно поэтому при монтаже завесы не требуется проведение дополнительных работ по герметизации электрических соединений.</p>

<p>Непревзойденную надежность завесы обеспечивают внешнероторные двигатели со сроком наработки на отказ от 30 000 часов.</p>

<p>Поворотное сопло позволяет менять угол наклона воздушной струи в диапазоне &plusmn;15&deg;, для обеспечения лучшей защиты помещения даже при сильных порывах ветра направленных перпендикулярно к плоскости проема.</p>

<p>Управление завесой осуществляется при помощи автоматических выключателей или интуитивно понятного пульта со встроенным термостатом, без необходимости приобретения дополнительных дорогостоящих шкафов коммутации.</p>

<p>6 вариантов монтажа, подключение к однофазной сети и минимальные затраты на управление   делают завесу BALLU BHC-U20A-PS абсолютным лидером с точки зрения удобства подключения и использования, среди промышленных завес российского производства.</p>",,1,,Купить BHC-U20A-PS Завеса воздушная  BALLU с доставкой на uralenergotel.ru,Купить BHC-U20A-PS Завеса воздушная  BALLU по низкой цене у официального дилера ТД УЭТ,bhc_u20a_ps,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,ULTRA,BHC-U20A-PS,Кабельный ввод на корпусе,6400,77,,0,75.7,Гарантийный талон,62,67,6,210,1.166,Без нагрева,2 года,1280,ULTRA,202,58,Ступенчатая,Да,66,Без нагрева,,Нет,-,59,2,,3,1.166,Доп. опция,Доп.опция,Доп. опция,,Да,IP54,РОССИЯ,,,https://rkcdn.ru/products/f27bf0f6-5174-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/d6c8242e-5174-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/be81d230-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/b072fde5-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/a600b0a9-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/9885fdab-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/594d95bf-5175-11ee-b737-005056941658/src.jpg,
BHC-U15T12-PS Завеса тепловая  BALLU,,RUB,98990.0,0,1,,"<p>Купить BHC-U15T12-PS Завеса тепловая  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHC-U15T12-PS Завеса тепловая  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHC-U15T12-PS Завеса тепловая  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Тепловая водяная завеса BALLU BHC-U15Т12-PS c максимальной производительностью 4500&nbsp;м&sup3;/ч и высотой установки до 6&nbsp;метров, используется для защиты помещений с высоким уровнем влажности и загрязнения от проникновения холодного воздуха.</p>

<p>Высокая степень защиты электрических компонентов (IP54) обеспечивается в заводских условиях, именно поэтому при монтаже завесы не требуется проведение дополнительных работ по герметизации электрических соединений.</p>
<p>В качестве нагревательного элемента используются ТЭНы со спиральным оребрением, которое существенно увеличивает площадь теплоотдачи.</p>

<p>Непревзойденную надежность завесы обеспечивают внешнероторные двигатели со сроком наработки на отказ от 30&nbsp;000&nbsp;часов.</p>

<p>Поворотное сопло позволяет менять угол наклона воздушной струи в диапазоне ±15&deg;, для обеспечения лучшей защиты помещения даже при сильных порывах ветра, направленных перпендикулярно к плоскости проема.</p>

<p>Управление завесой осуществляется при помощи автоматических выключателей или интуитивно понятного пульта со встроенным термостатом, без необходимости приобретения дополнительных дорогостоящих шкафов коммутации.</p>

<h4>Сделано в России</h4>",,1,,Купить BHC-U15T12-PS Завеса тепловая  BALLU с доставкой на uralenergotel.ru,Купить BHC-U15T12-PS Завеса тепловая  BALLU по низкой цене у официального дилера ТД УЭТ,bhc_u15t12_ps,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,ULTRA,BHC-U15T12-PS,Кабельный ввод на корпусе,4500,68.3,,8,75.7,Гарантийный талон,60,67,6,150,12,ТЭН с оребрением,2 года,830,ULTRA,65,57,Ступенчатая,Да,142,3,,Да (механический регулятор),"0,5 °С",48.3,1.5,,3,12,Доп. опция,Да,Доп. опция,12,Да,IP54,РОССИЯ,,,https://rkcdn.ru/products/f27bf0f8-5174-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/d6c82434-5174-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/89002509-5175-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/6e18a97a-5175-11ee-b737-005056941658/src.jpg,,,,
BHC-U20W55-PS2 Завеса тепловая  BALLU,,RUB,159990.0,1,1,,"<p>Купить BHC-U20W55-PS2 Завеса тепловая  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BHC-U20W55-PS2 Завеса тепловая  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BHC-U20W55-PS2 Завеса тепловая  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить BHC-U20W55-PS2 Завеса тепловая  BALLU с доставкой на uralenergotel.ru,Купить BHC-U20W55-PS2 Завеса тепловая  BALLU по низкой цене у официального дилера ТД УЭТ,bhc_u20w55_ps2,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,ULTRA 2,BHC-U20W55-PS2,Кабельный ввод на корпусе,9900,83,150,27,60,Гарантийный талон,62,50,6,210,0.56,Медно-алюминиевый теплообменник,24 мес,560,ULTRA 2,,,Ступенчатая,Да,,1,50,Да,"0,5 °С",65,2,3/4,3,,Нет,Да,Нет,62.5,Нет,IP54,РОССИЯ,16,150,https://rkcdn.ru/products/f01ab809-fbf2-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/99235958-fbf3-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/95844be6-fbf2-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/485d9bc8-fbf3-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/20fa8f83-fbf3-11ee-b8d8-00505601218a/src.jpg,https://rkcdn.ru/products/a11b9944-fbf3-11ee-b8d8-00505601218a/src.jpg,,
