Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Номинальная производительность охлаждения,Сетевой кабель,Управление c мобильного приложения по Wi-Fi,Система самодиагностики неисправности,Вес товара с упаковкой (брутто),Мин. рабочая температура воздуха для внешнего блока,Подсветка пульта,Таймер на отключение,Высота упаковки товара,Таймер на включение,Гарантийный документ,Высота внутр. блока,Глубина упаковки товара,Высота внешнего блока,Макс. рабочая температура воздуха для внешнего блока,Макс. расход воздуха,Ширина упаковки товара,Память заданных параметров работы,Глубина внешнего блока,Авторестарт при отключении питания,Макс. потребляемая мощность,Глубина внутр. блока,"Мощность кондиционера (охлаждение),BTU",Гарантийный срок,Ширина внешнего блока,Ширина внутр. блока,Регулировка положения жалюзи с пульта,Серия,Уровень шума внутр. блока,Хладагент,Генератор холодной плазмы,Макс. поддерживаемая температура,Мин. производительность обогрева,Макс. уровень шума внешнего блока,Мин. поддерживаемая температура,Мин. производительность охлаждения,Установка реального времени,Эффективен для помещ. площадью до,Автоматическое покачивание жалюзи,Макс. длина магистрали (трассы),Регулировка температуры охлаждения,Класс энергоэффективности,Функция ионизации воздуха,Режим автоочистки,Макс. перепад высот между внутр. и внешним блоками,Точность установки температуры,Инверторная технология,Режим обогрева,Режим осушения,Количество скоростей воздушного потока,"Базовая мощность кондиционера (охлаждение),BTU",Макс. производительность охлаждения,Функция интенсивного охлаждения,Цифровой дисплей,Режим SLEEP,Автоматический режим,Макс. производительность обогрева,Тепловые насосы,Функция 'Теплый старт',Вес фреона,Вес внутр. блока (нетто),Отключение дисплея,Дизайнерские,Набор крепежных элементов в комплекте,Подсветка дисплея,Потребляемая мощность в режиме нагрева,ЭНЕРГОЭФФЕКТИВНОСТЬ,Вес внешнего блока (нетто),Режим вентиляции,Пульт управления в комплекте,Потребляемая мощность в режиме охлаждения,ПЛОЩАДЬ ПОМЕЩЕНИЯ до,Номинальная производительность обогрева,Длина кабеля,Режим размораживания внешнего блока,Регулировка температуры обогрева,Страна производства,Работает с Марусей,Работает с Алисой,Работает с HOMMYN,Индикация температуры воздуха (вблизи пульта управления),Работа с умным домом,Wi-Fi модуль,Индикация режимов работы,Номинальная средняя потребляемая мощность,Класс пылевлагозащищенности,Поддержание температуры вблизи пульта управления,Память положения жалюзи,Управление голосом,УФ-обеззараживание,"Класс энергоэффективности, обогрев",Работает с Салют,Приток воздуха,Индикация температуры воздуха (вблизи устройства),Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Кондиционирование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Сплит-системы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Сплит-системы настенного типа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAG-12HN8 Сплит-система  комплект BALLU,,RUB,38990.0,1,1,,"<p>Купить BSAG-12HN8 Сплит-система  комплект BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSAG-12HN8 Сплит-система  комплект BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSAG-12HN8 Сплит-система  комплект BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
	Обновленная серия iGreen – элегантное решение для любого интерьера, которое позволит реализовать ваши смелые идеи!<br>
	В новой версии используется экологичный и энергоэффективный фреон, который позволяет повысить производительность ситемы, снизив потребление энергии.
</p>
<p>
	Для эффективной очистки воздуха система комплектуется современным генератором Cold Plasma, который не только очищает, но и ионизирует воздух.<br>
	Надежная и производительная сплит-система iGreen Pro позволяет управлять потоком воздуха в 4-х направлениях с пульта дистанционного управления.
</p>",,1,,Купить BSAG-12HN8 Сплит-система  комплект BALLU с доставкой на uralenergotel.ru,Купить BSAG-12HN8 Сплит-система  комплект BALLU по низкой цене у официального дилера ТД УЭТ,bsag_12hn8,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,iGreen Pro,BSAG-12HN8,3.2,Да (с вилкой),Нет,Да,34,-7,Да,Да,22.1,Да,Гарантийный талон,0.27,100,0.482,43,550,100,Да,0.24,Да,0.995,0.217,12000,3 года,0.66,0.818,Да,iGreen Pro,28,R32,Да,30,,52,16,,Нет,32,Да,15,Да,A,Да,Да,8,"1,0 °С",Нет,Да,Да,5,12000,3.2,Да,Да,Да,Да,"3,2",Нет,Да,,8,Да,Нет,Да,Да,885,A,22.5,Да,Да,995,32,3.2,,Да,Да,КНР,,,,,,,,,,,,,,,,,,https://rkcdn.ru/products/76a49c1f-abd4-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/fdb781da-abd4-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f5691db0-8771-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/811eeb4f-abd5-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/c2557b6c-abd4-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/de4e486b-8771-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/e989b987-8771-11ed-b732-005056013a69/src.jpg,
BSNI-10HN8 Сплит-система инверторного типа  комплект BALLU,,RUB,57990.0,0,1,,"<p>Купить BSNI-10HN8 Сплит-система инверторного типа  комплект BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSNI-10HN8 Сплит-система инверторного типа  комплект BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSNI-10HN8 Сплит-система инверторного типа  комплект BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Серия Boho идеально гармонирует с любым интерьером благодаря сменной поверхности из ткани.</p>
<p>Ткань надежно закреплена магнитами, при необходимости она легко снимается и меняется на новую другого цвета.</p>
<p>Для обеспечения максимального комфорта была разработана уникальная форма жалюзи с поворотом на 180&deg;, которая обеспечивает мягкий обдув вдоль потолка или пола.</p>
<p>Наличие функции ионизации и низкий уровень шума создают в доме идеальную атмосферу круглый год.</p>",,1,,Купить BSNI-10HN8 Сплит-система инверторного типа  комплект BALLU с доставкой на uralenergotel.ru,Купить BSNI-10HN8 Сплит-система инверторного типа  комплект BALLU по низкой цене у официального дилера ТД УЭТ,bsni_10hn8,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Boho DC,BSNI-10HN8,2.64,Да (без вилки),Опция доступна при подключении съемного Wi-Fi модуля,Да,42.96,-15,Да,Да,29.6,Да,Гарантийный талон,0.321,100,0.303,50,700,100,Да,0.555,Да,1.4,0.211,10000,5 лет,0.765,0.92,Да,Boho DC,19,R32,,30,0.88,53.5,16,1.32,Нет,26,Да,25,Да,A+++,Да,Да,10,"1,0 °С",Да,Да,Да,10,10000,3.81,Да,Да,Да,Да,"4,39",Нет,Да,700,11.3,Да,Да,Нет,Да,614,A+++,26.4,Да,Да,567,26,2.93,,Да,Да,КНР,Да,Да,Да,Да,Да,Доп.опция,Да,,IPX0/IPX4,,,,,,,,,https://rkcdn.ru/products/c7271f80-047f-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/2edb55d1-cb69-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/a2202d90-32cc-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/aebf7164-32cc-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/bd06629c-32cc-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c7271f82-047f-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c8d7f2b8-32cc-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/df32b34b-7f9b-11ed-b732-005056013a69/src.jpg
BSO-18HN8_22Y Сплит-система  комплект BALLU,,RUB,60490.0,1,1,,"<p>Купить BSO-18HN8_22Y Сплит-система  комплект BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSO-18HN8_22Y Сплит-система  комплект BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSO-18HN8_22Y Сплит-система  комплект BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>On/off сплит-система Olimpio Edge – идеальное решение для создания комфортного климата. Уровень энергоэффективности кондиционера – &laquo;А&raquo;. Кондиционер производит минимальный уровень шума – 23&nbsp;дБ. Настройки Olympio Edge включают функцию iFeel. Прибор охлаждает воздух до заданной температуры в том месте, где находится пульт дистанционного управления. Расширенная гарантия на прибор – 5&nbsp;лет. Выбрать кондиционер по лучшей стоимости, познакомиться с отзывами – удобно в официальном интернет-магазине.</p>",,1,,Купить BSO-18HN8_22Y Сплит-система  комплект BALLU с доставкой на uralenergotel.ru,Купить BSO-18HN8_22Y Сплит-система  комплект BALLU по низкой цене у официального дилера ТД УЭТ,bso_18hn8_22y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Olympio Edge,BSO-18HN8_22Y,5.28,Да (без вилки),Нет,Да,52.3,-7,Да,Да,31.1,Да,Гарантийный талон,0.319,100,0.555,43,818,100,Да,0.303,Да,1.643,0.215,18000,3 года,0.765,0.965,Да,Olympio Edge,30,R32,,30,,59,16,,Нет,52,Да,25,Да,A,Нет,Да,10,"1,0 °С",Нет,Да,Да,3,18000,5.28,Да,Да,Да,Да,"5,57",Нет,Да,,12.1,Да,Нет,Да,Да,1542,A,34.5,Да,Да,1643,52,5.57,,Да,Да,КНР,,,,,,,,,,Да,Да,,,,,,,https://rkcdn.ru/products/843bd9f0-c88d-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/fc316fe4-3e30-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/f216c010-3e30-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/8b320fea-c88d-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/7ba40585-c88d-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/24f4ef98-047d-11ee-b736-005056013a69/src.jpg,,
BSW-24HN1_23Y Сплит-система  комплект BALLU,,RUB,77990.0,0,1,,"<p>Купить BSW-24HN1_23Y Сплит-система  комплект BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSW-24HN1_23Y Сплит-система  комплект BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSW-24HN1_23Y Сплит-система  комплект BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
    Легендарная серия Olympio Legend воплотила в себе оптимальный набор функций бытовых кондиционеров.<br>
    Функция i-Feel помогает поддерживать нужную температуру в месте вашего нахождения.<br>
    Возможность регулировки широких горизонтальных и вертикальных жалюзи с помощью русифицированного пульта ДУ позволяет
    создавать комфортный угол обдува, предотвращающий продувание.<br>
    Прибор рассчитан на длительный срок службы, что подтверждается 5-летней гарантией на компрессор.
</p>",,1,,Купить BSW-24HN1_23Y Сплит-система  комплект BALLU с доставкой на uralenergotel.ru,Купить BSW-24HN1_23Y Сплит-система  комплект BALLU по низкой цене у официального дилера ТД УЭТ,bsw_24hn1_23y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Olympio Legend,BSW-24HN1_23Y,,Да (с вилкой),Опция доступна при подключении съемного Wi-Fi модуля,Да,69.5,-7,Нет,Да,42.5,Да,Гарантийный талон,0.315,100,0.655,43,1020,100,Да,0.31,Да,2.15,0.225,24000,3 года,0.825,0.986,Да,Olympio Legend,39,R410a,,32,,55,16,,Нет,70,,25,Да,A,Нет,Да,15,"1,0 °С",Нет,Да,Да,3,24000,7,Да,Да,Да,Да,"7,2",Нет,Да,,13.5,Да,Нет,Да,Да,2150,A,45,Да,Да,1970,70,,,Да,Да,КНР,Да,Да,Да,,Да,Доп.опция,,,,,,,,,,,,https://rkcdn.ru/products/f7953382-a860-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/44a0023a-c180-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/38707baa-c180-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/fe81cc65-a861-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5423f2bb-c180-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/48df1c76-a861-11ed-b733-005056013a69/src.jpg,,
BSW-07HN1_23Y Сплит-система  комплект BALLU,,RUB,25990.0,1,1,,"<p>Купить BSW-07HN1_23Y Сплит-система  комплект BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSW-07HN1_23Y Сплит-система  комплект BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSW-07HN1_23Y Сплит-система  комплект BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
    Легендарная серия Olympio Legend воплотила в себе оптимальный набор функций бытовых кондиционеров.<br>
    Функция i-Feel помогает поддерживать нужную температуру в месте вашего нахождения.<br>
    Возможность регулировки широких горизонтальных и вертикальных жалюзи с помощью русифицированного пульта ДУ позволяет
    создавать комфортный угол обдува, предотвращающий продувание.<br>
    Прибор рассчитан на длительный срок службы, что подтверждается 5-летней гарантией на компрессор.
</p>",,1,,Купить BSW-07HN1_23Y Сплит-система  комплект BALLU с доставкой на uralenergotel.ru,Купить BSW-07HN1_23Y Сплит-система  комплект BALLU по низкой цене у официального дилера ТД УЭТ,bsw_07hn1_23y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Olympio Legend,BSW-07HN1_23Y,,Да (с вилкой),Опция доступна при подключении съемного Wi-Fi модуля,Да,36,-7,Нет,Да,21.9,Да,Гарантийный талон,0.285,100,0.42,43,450,100,Да,0.28,Да,0.654,0.2,7000,3 года,0.665,0.75,Да,Olympio Legend,23,R410a,,32,,52,16,,Нет,21,,20,Да,A,Нет,Да,10,"1,0 °С",Нет,Да,Да,3,7000,2.1,Да,Да,Да,Да,"2,2",Нет,Да,,7.5,Да,Нет,Да,Да,654,A,23.5,Да,Да,609,21,,,Да,Да,КНР,Да,Да,Да,,Да,Доп.опция,,,,,,,,,,,,https://rkcdn.ru/products/48df1c7c-a861-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/44a00240-c180-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/38707bae-c180-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2893c742-c180-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/fe81cc69-a861-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f7953388-a860-11ed-b733-005056013a69/src.jpg,,
BSAG-18HN8 Сплит-система  комплект BALLU,,RUB,62990.0,1,1,,"<p>Купить BSAG-18HN8 Сплит-система  комплект BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSAG-18HN8 Сплит-система  комплект BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSAG-18HN8 Сплит-система  комплект BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
	Обновленная серия iGreen – элегантное решение для любого интерьера, которое позволит реализовать ваши смелые идеи!<br>
	В новой версии используется экологичный и энергоэффективный фреон, который позволяет повысить производительность ситемы, снизив потребление энергии.
</p>
<p>
	Для эффективной очистки воздуха система комплектуется современным генератором Cold Plasma, который не только очищает, но и ионизирует воздух.<br>
	Надежная и производительная сплит-система iGreen Pro позволяет управлять потоком воздуха в 4-х направлениях с пульта дистанционного управления.
</p>",,1,,Купить BSAG-18HN8 Сплит-система  комплект BALLU с доставкой на uralenergotel.ru,Купить BSAG-18HN8 Сплит-система  комплект BALLU по низкой цене у официального дилера ТД УЭТ,bsag_18hn8,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,iGreen Pro,BSAG-18HN8,5.2,Да (без вилки),Нет,Да,51.5,-7,Да,Да,32.8,Да,Гарантийный талон,0.315,100,0.54,43,950,100,Да,0.26,Да,1.62,0.238,18000,3 года,0.78,1.002,Да,iGreen Pro,34,R32,Да,30,,53,16,,Нет,52,Да,20,Да,A,Да,Да,10,"1,0 °С",Нет,Да,Да,5,18000,5.2,Да,Да,Да,Да,"5,2",Нет,Да,,12.5,Да,Нет,Да,Да,1440,A,34,Да,Да,1620,52,5.2,,Да,Да,КНР,,,,,,,,,,,,,,,,,,https://rkcdn.ru/products/070ebb95-abd7-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5304bec4-abd7-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/7f57ad35-abd7-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/de4e486d-8771-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/e989b989-8771-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/f5691db2-8771-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/fb61bd6e-abd7-11ed-b733-005056013a69/src.jpg,
BSNI-13HN8 Сплит-система инверторного типа  комплект BALLU,,RUB,62990.0,1,1,,"<p>Купить BSNI-13HN8 Сплит-система инверторного типа  комплект BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BSNI-13HN8 Сплит-система инверторного типа  комплект BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BSNI-13HN8 Сплит-система инверторного типа  комплект BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Серия Boho идеально гармонирует с любым интерьером благодаря сменной поверхности из ткани.</p>
<p>Ткань надежно закреплена магнитами, при необходимости она легко снимается и меняется на новую другого цвета.</p>
<p>Для обеспечения максимального комфорта была разработана уникальная форма жалюзи с поворотом на 180&deg;, которая обеспечивает мягкий обдув вдоль потолка или пола.</p>
<p>Наличие функции ионизации и низкий уровень шума создают в доме идеальную атмосферу круглый год.</p>",,1,,Купить BSNI-13HN8 Сплит-система инверторного типа  комплект BALLU с доставкой на uralenergotel.ru,Купить BSNI-13HN8 Сплит-система инверторного типа  комплект BALLU по низкой цене у официального дилера ТД УЭТ,bsni_13hn8,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Boho DC,BSNI-13HN8,3.52,Да (без вилки),Опция доступна при подключении съемного Wi-Fi модуля,Да,42.96,-15,Да,Да,29.6,Да,Гарантийный талон,0.321,100,0.303,50,700,100,Да,0.555,Да,1.65,0.211,13000,5 лет,0.765,0.92,Да,Boho DC,21,R32,,30,0.88,53.5,16,1.32,Нет,35,Да,25,Да,A+++,Да,Да,10,"1,0 °С",Да,Да,Да,10,13000,4.31,Да,Да,Да,Да,"4,39",Нет,Да,700,11.3,Да,Да,Нет,Да,950,A+++,26.4,Да,Да,900,35,3.81,,Да,Да,КНР,Да,Да,Да,Да,Да,Доп.опция,Да,,IPX0/IPX4,,,,,,,,,https://rkcdn.ru/products/a2202d92-32cc-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/aebf7162-32cc-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/bd06629e-32cc-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c7271f7e-047f-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c7271f84-047f-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c8d7f2b6-32cc-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/df32b34d-7f9b-11ed-b732-005056013a69/src.jpg,
