Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Сетевой кабель,Управление c мобильного приложения по Wi-Fi,Тип термостата,Вес товара с упаковкой (брутто),Объединение в инверторную систему отопления,Таймер на отключение,Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Ширина упаковки товара,Макс. потребляемая мощность,Тип нагревательного элемента,Кабель для подключения к системе отопления,Гарантийный срок,Серия,Высота товара,Возможность использования в ванной комнате,Блок управления,Сохранение настроек при отключении электричества,Глубина товара,Срок службы,Ширина товара,Количество режимов нагрева,Эффективен для помещ. площадью до,Регулировка температуры,Аварийное отключение при сильном наклоне или опрокидывании,Точность установки температуры,Индивидуальное программирование,Инверторная технология,Вес товара (нетто),Комплект настенного крепления,Цифровой дисплей,МОЩНОСТЬ ПОТРЕБЛЕНИЯ до,Индикация включения,Защита кнопок управления от детей,Индикация температуры нагрева,Индикация режимов работы,Набор крепежных элементов в комплекте,Подсветка дисплея,Комплект напольной установки,Пульт управления в комплекте,ПЛОЩАДЬ ПОМЕЩЕНИЯ до,Защита от перегрева,Класс пылевлагозащищенности,Длина кабеля,Страна производства,Режим защиты от замерзания,Работает с Марусей,Работает с Алисой,Работает с HOMMYN,Работа с умным домом,Wi-Fi модуль,Режим проветривания,Работает с Салют,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Конвекторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Электрические конвекторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEC/ETER-2000 Конвектор электрический Ettore BALLU,,RUB,7990.0,1,1,,"<p>Купить BEC/ETER-2000 Конвектор электрический Ettore BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BEC/ETER-2000 Конвектор электрический Ettore BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BEC/ETER-2000 Конвектор электрический Ettore BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Электрические конвекторы серии Ettore отличаются оригинальным дизайном. Помимо равномерного обогрева помещения, в приборе реализован ионизатор воздуха. Насыщенный ионами воздух чище, свежее, он полезен для здоровья и помогает бороться с распространением вирусных инфекций. Максимальное удобство обеспечивает функция Auto Restart, которая позволяет после незапланированного отключения электроэнергии автоматически перезапустить прибор с сохраненными настройками. Это особенно актуально для районов с нестабильной подачей электроэнергии. Эффективен для помещений, площадью до&nbsp;25&nbsp;м&sup2;.</p>",,1,,Купить BEC/ETER-2000 Конвектор электрический Ettore BALLU с доставкой на uralenergotel.ru,Купить BEC/ETER-2000 Конвектор электрический Ettore BALLU по низкой цене у официального дилера ТД УЭТ,bec_eter_2000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Ettore,BEC/ETER-2000,Да (с вилкой),Нет,Электронный,6.2,Нет,Нет,45,Гарантийный талон,12,85,2,Х-образный монолитный нагревательный элемент,Нет,3 года,Ettore,40,Да,Встроенный,Да,11.3,10,83,2,25,Да,Да,"1,0 °С",Нет,Нет,5.3,Да,Да,2,Да,Да,Да,Да,Да,Да,Да,Нет,25,Да,IP24,1.2,РОССИЯ,,,,,,,,,https://rkcdn.ru/products/30117bd2-f3f6-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/382b2625-f3f6-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/994d7889-5bb3-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/382b2629-f3f6-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/382b2627-f3f6-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/382b2623-f3f6-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/30117bd4-f3f6-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/30117bd0-f3f6-11ed-b736-005056013a69/src.jpg
BEC/HMM-2000 Конвектор электрический  BALLU,,RUB,5990.0,1,1,,"<p>Купить BEC/HMM-2000 Конвектор электрический  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BEC/HMM-2000 Конвектор электрический  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BEC/HMM-2000 Конвектор электрический  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Электрические конвекторы серии Heat Max неслучайно обладают трапециевидной формой корпуса, ведь именно она способствует повышенной скорости конвекции и повышает эффективность обогрева. Широкие в основании, с плавным сужением в верхней части, конвекторы серии Heat Max осуществляют конвекцию воздуха с увеличенной скоростью, основанной на технологии Homogeneous flow, за&nbsp;счет которой поток горячего воздуха равномерно распределяется внутри конвекционной камеры. Эффективен для помещений, площадью до&nbsp;25&nbsp;м&sup2;.</p>",,1,,Купить BEC/HMM-2000 Конвектор электрический  BALLU с доставкой на uralenergotel.ru,Купить BEC/HMM-2000 Конвектор электрический  BALLU по низкой цене у официального дилера ТД УЭТ,bec_hmm_2000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Heat Max,BEC/HMM-2000,Да (с вилкой),Нет,Механический,6.3,Нет,Нет,45,Гарантийный талон,14,90,2,Х-образный монолитный нагревательный элемент,Нет,3 года,Heat Max,41.3,Да,Встроенный,Да,11.1,10,80,2,25,Да,Да,"1,0 °С",Нет,Нет,5.16,Да,Нет,2,Да,Нет,Нет,Нет,Да,Нет,Да,Нет,25,Да,IP24,1.2,КНР,Нет,,,,,,,,https://rkcdn.ru/products/f5c06ed2-f487-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/f5c06ed6-f487-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/fd18068e-f487-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/fd18068c-f487-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/f5c06ed4-f487-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/f5c06ed8-f487-11ed-b736-005056013a69/src.jpg,,
BEC/EVU-1500-4E-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-1500-4E (электронный) BALLU,,RUB,11170.0,1,1,,"<p>Купить BEC/EVU-1500-4E-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-1500-4E (электронный) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BEC/EVU-1500-4E-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-1500-4E (электронный) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BEC/EVU-1500-4E-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-1500-4E (электронный) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
    Представляем вам уникальную новинку – Конвектор электрический, блок управления Transformer Electronic - BEC/EVU-1500-4E.
</p>
<p>
    <b>Отопительные модули EVOLUTION TRANSFORMER SYSTEM</b> оснащены уникальным, запатентованным нагревательным элементом нового поколения, изготовленным по технологии HEDGEHOG.
</p>
<p>
    Благодаря специально разработанной ребристой поверхности нагревательного элемента, площадь теплоотдачи увеличена на 20&percnt;, что дает более высокую производительность и более быстрый обогрев, по сравнению с типовыми нагревательными элементами аналогичной мощности.
</p>
<p>
    Трапециевидная форма корпуса и выносная конструкция крепления блоков управления, позволяет равномерно распределять нагретый воздух внутри конвекционной камеры, прогревая помещение на 30&percnt; быстрее.
</p>
<p>
    Специальная аэродинамическая форма жалюзи разработана с учетом физики конвективных процессов и увеличивает скорость конвективного потока, снижая температуру нагрева внешнего корпуса отопительного модуля.
</p>
<p>Безопасность подтверждена сертификатом МЧС.</p>
<p>Кронштейны для настенного крепления и шасси в комплекте.</p>
<h4>Блок управления Transformer Electronic Ballu BCT/EVU-4E</h4>
<p>Функционал блока управления:</p>
<ul>
    <li>ВСТРОЕННЫЙ Wi-Fi</li>
    <li>
        Три температурных режима работы:
        <ul>
            <li>Комфортный (от &plus;5 &deg;C до +35 &deg;C);</li>
            <li>Экономичный (на 4 &deg;C ниже, чем Комфортный);</li>
            <li>Антизамерзание (поддержание &plus;5 &deg;C).</li>
        </ul>
    </li>
    <li>Два режима мощности</li>
</ul>
<p>Дополнительные функции:</p>
<ul>
    <li>Индивидуальное программирование 24/7</li>
    <li>Функция &laquo;Родительский контроль&raquo;</li>
    <li>Функция &laquo;Таймер&raquo; на отключение (до 24 часов)</li>
</ul>",,1,,Купить BEC/EVU-1500-4E-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-1500-4E (электронный) BALLU с доставкой на uralenergotel.ru,Купить BEC/EVU-1500-4E-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-1500-4E (электронный) BALLU по низкой цене у официального дилера ТД УЭТ,bec_evu_1500_4e_bft_evur,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Серия Evolution Transformer,BEC/EVU-1500-4E-BFT/EVUR,Да (с вилкой),Да,Электронный,5.26,,Да,44.5,,12,59,1.5,HEDGEHOG,,3 года,Серия Evolution Transformer,40.4,,В комплекте,,56,10,9.1,3,20,Да,Да,,,Да,5.13,Да,Да,1.5,Да,,,,Да,,Да,,20,Да,IP24,1,КНР,,Да,Да,Да,Да,Встроенный,,,https://rkcdn.ru/products/1622c921-31f0-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/1622c923-31f0-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/1622c925-31f0-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/22267744-31f0-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/22267746-31f0-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/4471917d-31f0-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/f54978df-31f3-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/f54978e1-31f3-11ee-b736-005056013a69/src.jpg
BEC/EVU-2000-4I-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-2000-4I (инверторный) BALLU,,RUB,12470.0,1,1,,"<p>Купить BEC/EVU-2000-4I-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-2000-4I (инверторный) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BEC/EVU-2000-4I-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-2000-4I (инверторный) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BEC/EVU-2000-4I-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-2000-4I (инверторный) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
	Представляем вам уникальную новинку – Конвектор электрический, блок управления с технологией digital INVERTER - BEC/EVU-2000-4I.
</p>
<p>
	<b>Отопительные модули EVOLUTION TRANSFORMER SYSTEM</b> оснащены уникальным, запатентованным нагревательным элементом нового поколения, изготовленным по технологии HEDGEHOG.
</p>
<p>
	Благодаря специально разработанной ребристой поверхности нагревательного элемента, площадь теплоотдачи увеличена на 20&percnt;, что дает более высокую производительность и более быстрый обогрев, по сравнению с типовыми нагревательными элементами аналогичной мощности.
</p>
<p>
	Трапециевидная форма корпуса и выносная конструкция крепления блоков управления, позволяет равномерно распределять нагретый воздух внутри конвекционной камеры, прогревая помещение на 30&percnt; быстрее.
</p>
<p>
	Специальная аэродинамическая форма жалюзи разработана с учетом физики конвективных процессов и увеличивает скорость конвективного потока, снижая температуру нагрева внешнего корпуса отопительного модуля.
</p>
<p>Безопасность подтверждена сертификатом МЧС.</p>
<p>Кронштейны для настенного крепления и шасси в комплекте.</p>
<h4>Блок управления Transformer Digital Inverter Ballu BCT/EVU-4I</h4>
<p>
	Технология digital INVERTER позволяет экономить электроэнергию до 70&percnt;*. Инверторный блок управления плавно изменяет мощность нагревательного элемента и очень точно поддерживает заданную температуру.
</p>
<p>Функционал блока управления:</p>
<ul>
	<li>ВСТРОЕННЫЙ Wi-Fi</li>
	<li>
		Три температурных режима работы:
		<ul>
			<li>Комфортный (от &plus;5 &deg;C до &plus;35 &deg;C);</li>
			<li>Экономичный (на 4 &deg;C ниже, чем Комфортный);</li>
			<li>Антизамерзание (поддержание &plus;5 &deg;C).</li>
		</ul>
	</li>
	<li>
		Две настройки режимов работы:
		<ul>
			<li>Автоматический</li>
			<li>Пользовательский</li>
		</ul>
	</li>
	<li>Индивидуальное программирование 24/7</li>
</ul>
<p>Дополнительные функции:</p>
<ul>
	<li>Функция &laquo;Родительский контроль&raquo;</li>
	<li>Функция &laquo;Таймер&raquo; на отключение (до 24 часов)</li>
</ul>
<p><small>*по сравнению с обычным конвектором с механическим термостатом аналогичной мощности.</small></p>",,1,,Купить BEC/EVU-2000-4I-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-2000-4I (инверторный) BALLU с доставкой на uralenergotel.ru,Купить BEC/EVU-2000-4I-BFT/EVUR Комплект Transformer с блоком управления и шасси BEC/EVU-2000-4I (инверторный) BALLU по низкой цене у официального дилера ТД УЭТ,bec_evu_2000_4i_bft_evur,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Серия Evolution Transformer,BEC/EVU-2000-4I-BFT/EVUR,Да (с вилкой),Да,Электронный,6.39,,Да,44.5,,12,67,2,HEDGEHOG,,3 года,Серия Evolution Transformer,40.4,,В комплекте,,64,10,9.1,3,25,Да,Да,,,Да,4.95,Да,Да,2,Да,,,,Да (ножки с колесами + набор для настенной установки),,Да,,25,Да,IP24,1,КНР,,Да,Да,Да,Да,Встроенный,,,https://rkcdn.ru/products/f560f2b3-31e5-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/ef431060-31e5-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/da7a366e-31e6-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/9918aa50-31f4-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/9918aa4e-31f4-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/986ae131-31e5-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/986ae12d-31e5-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/ef431062-31e5-11ee-b736-005056013a69/src.jpg
BEC/EVU-2000-4E Комплект Transformer с блоком управления (электронный) BALLU,,RUB,10780.0,1,1,,"<p>Купить BEC/EVU-2000-4E Комплект Transformer с блоком управления (электронный) BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BEC/EVU-2000-4E Комплект Transformer с блоком управления (электронный) BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BEC/EVU-2000-4E Комплект Transformer с блоком управления (электронный) BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
    Представляем вам уникальную новинку – Конвектор электрический, блок управления Transformer Electronic - BEC/EVU-2000-4E.
</p>
<p>
    <b>Отопительные модули EVOLUTION TRANSFORMER SYSTEM</b> оснащены уникальным, запатентованным нагревательным элементом нового поколения, изготовленным по технологии HEDGEHOG.
</p>
<p>
    Благодаря специально разработанной ребристой поверхности нагревательного элемента, площадь теплоотдачи увеличена на 20&percnt;, что дает более высокую производительность и более быстрый обогрев, по сравнению с типовыми нагревательными элементами аналогичной мощности.
</p>
<p>
    Трапециевидная форма корпуса и выносная конструкция крепления блоков управления, позволяет равномерно распределять нагретый воздух внутри конвекционной камеры, прогревая помещение на 30&percnt; быстрее.
</p>
<p>
    Специальная аэродинамическая форма жалюзи разработана с учетом физики конвективных процессов и увеличивает скорость конвективного потока, снижая температуру нагрева внешнего корпуса отопительного модуля.
</p>
<p>Безопасность подтверждена сертификатом МЧС.</p>
<p>Кронштейны для настенного крепления в комплекте, шасси дополнительная опция.</p>
<h4>Блок управления Transformer Electronic Ballu BCT/EVU-4E</h4>
<p>Функционал блока управления:</p>
<ul>
    <li>ВСТРОЕННЫЙ Wi-Fi</li>
    <li>
        Три температурных режима работы:
        <ul>
            <li>Комфортный (от &plus;5 &deg;C до +35 &deg;C);</li>
            <li>Экономичный (на 4 &deg;C ниже, чем Комфортный);</li>
            <li>Антизамерзание (поддержание &plus;5 &deg;C).</li>
        </ul>
    </li>
    <li>Два режима мощности</li>
</ul>
<p>Дополнительные функции:</p>
<ul>
    <li>Индивидуальное программирование 24/7</li>
    <li>Функция &laquo;Родительский контроль&raquo;</li>
    <li>Функция &laquo;Таймер&raquo; на отключение (до 24 часов)</li>
</ul>",,1,,Купить BEC/EVU-2000-4E Комплект Transformer с блоком управления (электронный) BALLU с доставкой на uralenergotel.ru,Купить BEC/EVU-2000-4E Комплект Transformer с блоком управления (электронный) BALLU по низкой цене у официального дилера ТД УЭТ,bec_evu_2000_4e,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Серия Evolution Transformer,BEC/EVU-2000-4E,Да (с вилкой),Да,Электронный,5.94,,Да,44.5,,12,67,1.5,HEDGEHOG,,3 года,Серия Evolution Transformer,40.4,,В комплекте,,64,10,9.1,3,25,Да,Да,,,Нет,4.6,Да,Да,1.5,Да,,,,Да,,Доп.опция,,25,Да,IP24,1,КНР,,Да,Да,Да,Да,Встроенный,,,https://rkcdn.ru/products/33a94e8c-31f7-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/26a83efe-31f7-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/3a37e28e-31f7-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/3a37e28c-31f7-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/33a94e8e-31f7-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/2cce17fd-31f7-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/2cce17fb-31f7-11ee-b736-005056013a69/src.jpg,
BEC/EZMR-1500 Конвектор электрический Enzo BALLU,,RUB,5010.0,1,1,,"<p>Купить BEC/EZMR-1500 Конвектор электрический Enzo BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BEC/EZMR-1500 Конвектор электрический Enzo BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BEC/EZMR-1500 Конвектор электрический Enzo BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Дизайнерские электрические конвекторы серии ENZO равномерно нагревают воздух в помещении. Монолитный нагревательный элемент нового поколения Double G-Force X-образной формы увеличивает температуру воздуха всего за&nbsp;75&nbsp;секунд. Многоуровневая система защиты: влагозащита IP24, родительский контроль, датчик защиты от опрокидывания и перегрева обеспечивают безопасную эксплуатацию прибора. Конвектор мобилен, его можно устанавливать там, где удобно, ведь в комплекте поставляются шасси и кронштейн. Максимальное удобство обеспечивает функция Auto Restart, которая позволяет после незапланированного отключения электроэнергии автоматически перезапустить прибор с сохраненными настройками. Эффективен для помещений, площадью до&nbsp;20&nbsp;м&sup2;.</p>",,1,,Купить BEC/EZMR-1500 Конвектор электрический Enzo BALLU с доставкой на uralenergotel.ru,Купить BEC/EZMR-1500 Конвектор электрический Enzo BALLU по низкой цене у официального дилера ТД УЭТ,bec_ezmr_1500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Enzo,BEC/EZMR-1500,Да (с вилкой),Нет,Механический,4.8,Нет,Нет,46,Гарантийный талон,13,63,1.5,Х-образный монолитный нагревательный элемент,Нет,3 года,Enzo,40,Да,Встроенный,Да,11.3,10,59,2,20,Да,Да,"1,0 °С",Нет,Нет,4.8,Да,Нет,1.5,Да,Нет,Нет,Нет,Да,Нет,Да,Нет,20,Да,IP24,1.2,РОССИЯ,,,,,,Нет,,,https://rkcdn.ru/products/5957640c-f3ca-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/e8d01611-f3e2-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/cd7889a7-f3e2-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/ba03c645-f3e2-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/a6bd9520-5bb4-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/9e02c34b-f3e2-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/680a759f-f3e2-11ed-b736-005056013a69/src.jpg,
BEC/EMT-2500 Конвектор электрический Camino Eco Turbo BALLU,,RUB,5570.0,1,1,,"<p>Купить BEC/EMT-2500 Конвектор электрический Camino Eco Turbo BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BEC/EMT-2500 Конвектор электрический Camino Eco Turbo BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BEC/EMT-2500 Конвектор электрический Camino Eco Turbo BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Электрический конвектор Ballu серий Camino Eco Turbo — революционные технологии по доступной цене. В конвекторах используется монолитный нагревательный элемент, произведенный по запатентованной технологии Hedgehog. За счёт увеличенной на&nbsp;20% площади теплопередачи нагревательного элемента, время разогрева становится на&nbsp;20% быстрее. Благодаря уникальной форме нагревательного элемента достигается повышенная мощность в компактном размере: размер конвектора уменьшен без ущерба для мощности. Мягкое комфортное тепло достигается за счет пониженной на&nbsp;15% температуры нагревательного элемента и корпуса. Абсолютно бесшумный обогрев достигается благодаря специальному улучшенному сплаву нагревательного элемента. Эффективен для помещений, площадью до&nbsp;30&nbsp;м&sup2;.</p>",,1,,Купить BEC/EMT-2500 Конвектор электрический Camino Eco Turbo BALLU с доставкой на uralenergotel.ru,Купить BEC/EMT-2500 Конвектор электрический Camino Eco Turbo BALLU по низкой цене у официального дилера ТД УЭТ,bec_emt_2500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,Camino Eco Turbo,BEC/EMT-2500,Да (с вилкой),Нет,Механический,5.9,Нет,Нет,45,Гарантийный талон,12,85,2.5,HEDGEHOG,Нет,3 года,Camino Eco Turbo,40,Да,Встроенный,Нет,8.9,10,83,1,30,Да,Да,"1,0 °С",Нет,Нет,5,Доп.опция,Нет,2.5,Да,Нет,Нет,Нет,Да,Нет,Да,Нет,30,Да,IP24,1.2,РОССИЯ,,,,,,Нет,,,https://rkcdn.ru/products/eb129919-40da-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/78f7acb2-5ba2-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/690f7f54-f403-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/690f7f52-f403-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/690f7f50-f403-11ed-b736-005056013a69/src.jpg,,,
