Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Сетевой кабель,Вес товара с упаковкой (брутто),Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Макс. высота установки,Ширина упаковки товара,Макс. потребляемая мощность,Гарантийный срок,Серия,Высота товара,Глубина товара,Ширина товара,Эффективен для помещ. площадью до,Вес товара (нетто),Набор крепежных элементов в комплекте,Длина кабеля,Страна производства,Длина волны,Тип термостата,Крепление на штатив,Тип нагревательного элемента,Регулировка угла наклона,Количество режимов нагрева,Регулировка температуры,Защитная решетка,МОЩНОСТЬ ПОТРЕБЛЕНИЯ до,Индикация включения,Пульт управления в комплекте,ПЛОЩАДЬ ПОМЕЩЕНИЯ до,Защита от перегрева,Класс пылевлагозащищенности,Поворотный кронштейн,Выносной термостат,Управление c мобильного приложения по Wi-Fi,Таймер на отключение,Аварийное отключение при сильном наклоне или опрокидывании,Точность установки температуры,Цифровой дисплей,Штатив для обогревателя,Блок управления,Комплект настенного крепления,Комплект напольной установки,Материал защитной решетки,Ручка для перемещения,Прорезиненные ножки,Архивная модель,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Обогреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Инфракрасные обогреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!!Полупромышленные инфракрасные обогреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH-LS-220 Штатив стальной телескопический  BALLU,,RUB,2190.0,1,1,,"<p>Купить BIH-LS-220 Штатив стальной телескопический  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BIH-LS-220 Штатив стальной телескопический  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BIH-LS-220 Штатив стальной телескопический  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить BIH-LS-220 Штатив стальной телескопический  BALLU с доставкой на uralenergotel.ru,Купить BIH-LS-220 Штатив стальной телескопический  BALLU по низкой цене у официального дилера ТД УЭТ,bih_ls_220,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,L,BIH-LS-220,Нет,3.6,12.5,Гарантийный талон,12,,101,,12 мес,L,100,12,12,,3.4,Да,,КНР,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://rkcdn.ru/products/5401238c-270a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/8d895e17-2709-11ee-b736-005056013a69/src.jpg,,,,,,
BIH-GSW-1.3 Обогреватель инфракрасный  BALLU,,RUB,11990.0,1,1,,"<p>Купить BIH-GSW-1.3 Обогреватель инфракрасный  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BIH-GSW-1.3 Обогреватель инфракрасный  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BIH-GSW-1.3 Обогреватель инфракрасный  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
    Эксклюзивная серия - стеклянные инфракрасные обогреватели. Интерьерное исполнение для локального обогрева в жилых помещениях. Ультратонкие приборы имеют толщину всего 10 мм, благодаря чему незаметны под потолком.
</p>
<p>
    Обогреватели серии выполнены по уникальной запатентованной технологии «греющего стекла» - нагревательный элемент отличается высокой надежностью и практически неограниченным сроком службы.
</p>
<p>
    Повышенная степень пылевлагозащиты IP54 допускает применение обогревателей даже во влажных помещениях (ванные комнаты, бани, бассейны). Подвес на тонких незаметных тросах в комплекте.
</p>
<p>
    Модельный ряд серии GSW представлен моделями с белоснежными панелями с термостойким керамическим покрытием.
На все модели предоставляется расширенная гарантия 3 года.
</p>
<h4>Назначение</h4>
<p>Основное: основной и дополнительный обогрев помещений, локальный обогрев жилых и зон в помещениях.</p>
 <h4>Сфера применения</h4>
<p>
    Обогреватели оптимально подходят для обогрева зон жилых помещений, квартир, дач, внутренних помещений кафе, баров, ресторанов, гостиниц и отелей.
</p>
<h4>Отличительные особенности</h4>
<ul>
    <li>Ультратонкие стеклянные панели с толщиной корпуса всего 10 мм</li>
    <li>Высокотехнологическое керамическое покрытие усиливает теплоотдачу в инфракрасном спектре</li>
    <li>Уникальная, запатентованная технология &laquo;греющее стекло&raquo;</li>
    <li>В комплекте всё необходимое для быстрого и удобного монтажа</li>
    <li>Подвес на декоративных тросах диаметром 1,5 мм выполняется при помощи удобных фиксаторов</li>
    <li>Для незаметного монтажа на удалении от потолка обогреватели поставляются с декоративными проводами со стальной оплёткой</li>
    <li>Индивидуальная упаковка изготовлена из экологичного гофрокартона с удобной ручкой для переноски и усилена силовыми вставками для безопасной транспортировки</li>
    <li>Увеличенная гарантия 3 года</li>
</ul>
<h4>Сделано в России</h4>",,1,,Купить BIH-GSW-1.3 Обогреватель инфракрасный  BALLU с доставкой на uralenergotel.ru,Купить BIH-GSW-1.3 Обогреватель инфракрасный  BALLU по низкой цене у официального дилера ТД УЭТ,bih_gsw_1_3,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,GSW,BIH-GSW-1.3,Да (без вилки),5.6,6,Гарантийный талон,83,3.5,34,1.3,3 года,GSW,1,79.5,32.5,13,5,Да,1.5,РОССИЯ,Длинные волны,Отсутствует,Нет,Инфракрасный,Нет,1,Нет,Нет,1.3,Нет,Нет,13,Да (при использовании терморегулятора),IP54,Нет,Доп.опция,,,,,,,,,,,,,,https://rkcdn.ru/products/ce59686e-0a96-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/307f8569-1a49-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/38aa64bb-0a97-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/42b78b73-0a97-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/5c9431b5-0a97-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/65358f9d-0a97-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/fd25c046-0a96-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/f4a65069-0a96-11ee-b736-005056013a69/src.jpg
BIH-L- 3.0 Инфракрасный обогреватель BIH-L-3.0 BALLU,,RUB,6790.0,1,1,,"<p>Купить BIH-L- 3.0 Инфракрасный обогреватель BIH-L-3.0 BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BIH-L- 3.0 Инфракрасный обогреватель BIH-L-3.0 BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BIH-L- 3.0 Инфракрасный обогреватель BIH-L-3.0 BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ламповые инфракрасные обогреватели BALLU BIH-L серии Bali – универсальный тип инфракрасных обогревателей, которые прекрасно подходят для обогрева как закрытых, так и полуоткрытых помещений. Данный обогреватель может монтироваться практически на любую поверхность при помощи комплекта кронштейнов (входят в комплект поставки), а так же, с помощью профессионального стального телескопического штатива BIH-LS-210, появляется возможность мобильной установки устройства. Универсальный инфракрасный обогреватель BIH-L идеально подходит для обогрева летних кафе, ресторанов, баров, беседок, дачных домов, гаражей, квартир.</p>

<h4>Отличительные особенности</h4>
<ul>
<li>Мощность обогрева 3&nbsp;кВт</li>
<li>Высота установки до 3,5&nbsp;м</li>
<li>Универсальный монтаж</li>
<li>Отражатель с оребрением для равномерного обогрева</li>
<li>Специальная перфорация для охлаждения корпуса</li>
<li>Универсальные кронштейны в комплекте</li>
<li>Возможна установка на профессиональный стальной телескопический штатив BIH-LS210 (опция)</li>
<li>Прочный стальной корпус не подвержен деформациям</li>
<li>Инновационные кронштейны для удобного и простого монтажа прибора на стену, потолок или любую другую подходящую поверхность</li>
<li>Отражатель с оребрением для 100% равномерного обогрева</li>
<li>Стальная хромированная защитная решетка-гриль для защиты от случайного касания нагревательного элемента</li>
<li>Перфорация корпуса предотвращает чрезмерный нагрев</li>
<li>Барашковые винты для монтажа кронштейнов без использования инструментов</li>
<li>Встроенный термостат для защиты прибора от перегрева и поддержания комфортной температуры в помещении</li>
<li>Гарантия 2&nbsp;года</li>
</ul>",,1,,Купить BIH-L- 3.0 Инфракрасный обогреватель BIH-L-3.0 BALLU с доставкой на uralenergotel.ru,Купить BIH-L- 3.0 Инфракрасный обогреватель BIH-L-3.0 BALLU по низкой цене у официального дилера ТД УЭТ,bih_l__3_0,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,L,BIH-L- 3.0,Да (с вилкой),5.6,23,Гарантийный талон,13,4.5,99.2,3,2 года,L,18,9,94,35,4.1,Да,2,КНР,Короткие волны,Механический,Да,Инфракрасная кварцевая трубка,Да,1,Да,Да,3,Нет,Нет,35,Да,IP24,В комплекте,Нет,,,Нет,,,Доп.опция,Встроенный,Да,Доп.опция,Оцинкованная сталь,,,,https://rkcdn.ru/products/78b992a4-fe25-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/83dfc804-fe24-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/d4776248-fede-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/5da498de-fe25-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/56bec988-fe25-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/4f808a9d-fe25-11ed-b736-005056013a69/src.jpg,https://rkcdn.ru/products/3b01b052-1efe-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/ee31fa0e-fede-11ed-b736-005056013a69/src.jpg
BIH-GSW-0.5 Обогреватель инфракрасный  BALLU,,RUB,6990.0,1,1,,"<p>Купить BIH-GSW-0.5 Обогреватель инфракрасный  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BIH-GSW-0.5 Обогреватель инфракрасный  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BIH-GSW-0.5 Обогреватель инфракрасный  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>
    Эксклюзивная серия - стеклянные инфракрасные обогреватели. Интерьерное исполнение для локального обогрева в жилых помещениях. Ультратонкие приборы имеют толщину всего 10 мм, благодаря чему незаметны под потолком.
</p>
<p>
    Обогреватели серии выполнены по уникальной запатентованной технологии «греющего стекла» - нагревательный элемент отличается высокой надежностью и практически неограниченным сроком службы.
</p>
<p>
    Повышенная степень пылевлагозащиты IP54 допускает применение обогревателей даже во влажных помещениях (ванные комнаты, бани, бассейны). Подвес на тонких незаметных тросах в комплекте.
</p>
<p>
    Модельный ряд серии GSW представлен моделями с белоснежными панелями с термостойким керамическим покрытием.
На все модели предоставляется расширенная гарантия 3 года.
</p>
<h4>Назначение</h4>
<p>Основное: основной и дополнительный обогрев помещений, локальный обогрев жилых и зон в помещениях.</p>
 <h4>Сфера применения</h4>
<p>
    Обогреватели оптимально подходят для обогрева зон жилых помещений, квартир, дач, внутренних помещений кафе, баров, ресторанов, гостиниц и отелей.
</p>
<h4>Отличительные особенности</h4>
<ul>
    <li>Ультратонкие стеклянные панели с толщиной корпуса всего 10 мм</li>
    <li>Высокотехнологическое керамическое покрытие усиливает теплоотдачу в инфракрасном спектре</li>
    <li>Уникальная, запатентованная технология &laquo;греющее стекло&raquo;</li>
    <li>В комплекте всё необходимое для быстрого и удобного монтажа</li>
    <li>Подвес на декоративных тросах диаметром 1,5 мм выполняется при помощи удобных фиксаторов</li>
    <li>Для незаметного монтажа на удалении от потолка обогреватели поставляются с декоративными проводами со стальной оплёткой</li>
    <li>Индивидуальная упаковка изготовлена из экологичного гофрокартона с удобной ручкой для переноски и усилена силовыми вставками для безопасной транспортировки</li>
    <li>Увеличенная гарантия 3 года</li>
</ul>
<h4>Сделано в России</h4>",,1,,Купить BIH-GSW-0.5 Обогреватель инфракрасный  BALLU с доставкой на uralenergotel.ru,Купить BIH-GSW-0.5 Обогреватель инфракрасный  BALLU по низкой цене у официального дилера ТД УЭТ,bih_gsw_0_5,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,GSW,BIH-GSW-0.5,Да (без вилки),2.6,6,Гарантийный талон,83,3.5,15,0.5,3 года,GSW,1,79.5,13,5,2,Да,1.5,РОССИЯ,Длинные волны,Отсутствует,Нет,Инфракрасный,Нет,1,Нет,Нет,0.5,Нет,Нет,5,Да (при использовании терморегулятора),IP54,Нет,Доп.опция,,,,,,,,,,,,,,https://rkcdn.ru/products/4bad2e65-0a97-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/061a43c8-0a97-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/11c5a0fd-0a97-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/1e8793ac-1a49-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/ec290020-0a96-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/e2e5937f-0a96-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/6db50d85-0a97-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/5479bbbf-0a97-11ee-b736-005056013a69/src.jpg
BIH-AP4-1.0 Обогреватель инфракрасный  BALLU,,RUB,5490.0,1,1,,"<p>Купить BIH-AP4-1.0 Обогреватель инфракрасный  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BIH-AP4-1.0 Обогреватель инфракрасный  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BIH-AP4-1.0 Обогреватель инфракрасный  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Новое поколение инфракрасных обогревателей Ballu серии BIH-AP4 – для локального обогрева рабочих зон в помещениях с высокими потолками или плохой теплоизоляцией, где применение традиционных способов отопления малоэффективно. Универсальные поворотные кронштейны в комплекте поставки дают возможность удобного монтажа и регулировки угла обогрева. Обогреватели имеют еще более компактный корпус и стенки с увеличенными углами наклона, благодаря которым прибор под потолком визуально выглядит намного тоньше. Повышенная степень пылевлагозащиты IP54 допускает применение обогревателей даже на открытом воздухе (без навеса). Модельный ряд выполнен в серебристом корпусе, с элементами из нержавеющей стали. На все модели предоставляется расширенная гарантия 3 года.</p>

<h4>Описание</h4>

<p>Инфракрасные обогреватели подобно солнцу испускают тепловую энергию в инфракрасном спектре. Тепло практически без потерь достигает обогреваемых поверхностей (пол, стены, мебель), которые уже нагревают воздух. Это создает мягкий комфортный микроклимат в помещении с минимальной разницей температур по высоте. Кроме того, при нахождении в зоне обогрева инфракрасное тепло поглощается поверхностью тела и одеждой, что создает ощущение комфорта даже при пониженной температуре, причем тепло ощущается даже при сквозняке и на ветру. Инфракрасные обогреватели незаменимы для локального обогрева в помещениях с высокими потолками или плохой теплоизоляцией, где применение обычных способов отопления малоэффективно.</p>

<p>Качественно новый подход к созданию комфортных условий возможен благодаря использованию инфракрасных обогревателей BALLU. Они стали необычайно популярными в последние годы, благодаря их высокой энергоэффективности, безопасности и уникальными преимуществами перед обогревателями других типов.</p>

<h4>Назначение</h4>

<p>Основное: основной и дополнительный обогрев помещений, локальный обогрев жилых и рабочих зон в помещениях.<br />
Дополнительное: разогрев и сушка поверхностей, материалов; очистка поверхностей ото льда и снега и поддержание их в таком состоянии.</p>

<h4>Сфера применения</h4>

<p>Приборы оптимально подходят для обогрева офисных, торговых, общественных помещений, а также квартир, дач, внутренних помещений кафе, баров, ресторанов, гостиниц и отелей, зон ожидания аэропортов и вокзалов.</p>

<h4>Отличительные особенности</h4>

<ul class=""ul"">
<li>Самые компактные и тонкие панельные обогреватели на рынке!</li>
<li>Запатентованная форма корпуса;</li>
<li>Высокая степень пылевлагозащиты IP54;</li>
<li>Долговечное анодирование 25 мкм гарантирует долговечную эффективную работу и сохраняет неизменный внешний вид;</li>
<li>Стальной корпус и элементы из нержавеющей стали;</li>
<li>Универсальные поворотные кронштейны с барашковыми метизами в комплекте;</li>
<li>Возможность подвеса ИК обогревателей на потолок или стену под углом с шагом в 30&deg;;</li>
<li>Возможность прямого подвеса на резьбовые шпили;</li>
<li>Расширенная гарантия 3 года.</li>
</ul>

<h4>Сделано в России</h4>
",,1,,Купить BIH-AP4-1.0 Обогреватель инфракрасный  BALLU с доставкой на uralenergotel.ru,Купить BIH-AP4-1.0 Обогреватель инфракрасный  BALLU по низкой цене у официального дилера ТД УЭТ,bih_ap4_1_0,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,AP4,BIH-AP4-1.0,Нет,3.8,5.5,Гарантийный талон,15,3.5,125,1,3 года,AP4,4,119,13,10,3.4,Да,0.1,РОССИЯ,Длинные волны,Отсутствует,Нет,Панельный нагревательный элемент,Да,1,Да (при использовании терморегулятора),Нет,1,Нет,Нет,10,Да (при использовании терморегулятора),IP54,В комплекте,Доп.опция,Нет,Нет,Нет,Нет,Нет,,,,,,,,,https://rkcdn.ru/products/2cd6a3d2-af92-11e9-9e72-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/78e4f3bc-af92-11e9-9e72-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/3f21ea8b-af93-11e9-9e72-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/e05e92db-af92-11e9-9e72-ac162d7b6f40/src.jpg,,,,
BIH-APL-2.0-M Обогреватель инфракрасный  BALLU,,RUB,7290.0,1,1,,"<p>Купить BIH-APL-2.0-M Обогреватель инфракрасный  BALLU из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на BIH-APL-2.0-M Обогреватель инфракрасный  BALLU актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим BIH-APL-2.0-M Обогреватель инфракрасный  BALLU напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Новые инфракрасные обогреватели с монолитными нагревательными элементами Ballu серии APL-M – инновационные обогреватели, не имеющие аналогов на рынке! Они незаменимы для локального обогрева рабочих зон в помещениях с высокими потолками или плохой теплоизоляцией, где применение традиционных способов отопления малоэффективно. Возможность локальной установки над местом, где находятся люди, обеспечивает экономичность расхода электроэнергии. Это самые компактные панельные инфракрасные обогреватели, которые подходят для офисов, торговых и общественных помещений, кафе, ресторанов, отелей. Удобный монтаж обеспечивается благодаря встроенным кронштейнам с комплектом для подвеса к потолку что позволяет произвести легкий и быстрый монтаж обогревателей к потолку, на трос или даже на резьбовые шпили.</p>

<p><b>Преимущества монолитных ТЭНов панельных ИК нового исполнения:</b></p>
<p>Бесшумная работа. Стандартная конструкция панельного инфракрасного обогревателя включает в себя алюминиевую анодированную излучающую панель и встраиваемый ТЭН, нагревающий панель. Разные температурные коэффициенты расширения металлов панели и ТЭНа приводит к тому, что при работе такие обогревателей могу быть слышны потрескивания или щелчки. Монолитный нагревательный элемент, объединенный с излучающей панелью, не имеет этих недостатков и не издает звуков при нагреве и остывании обогревателя.<br />
Максимальная эффективность. Монолитный нагревательный элемент сильнее и равномернее нагревает инфракрасную панель, что повышает эффективность обогрева. За счет отсутствия стальной оболочки ТЭНа нагрев и выход прибора на рабочую температуру происходит значительно быстрее, чем у обогревателей со стандартной панелью.<br />
Долговечность. Монолитный нагревательный элемент значительно надежнее, и служит дольше стандартного отдельно встраиваемого в панель ТЭНа. </p>

<h4>Назначение</h4>
<p>Основное: основной и дополнительный обогрев помещений, локальный обогрев рабочих зон в помещениях.<br />
Дополнительное: очистка поверхностей ото льда и снега и поддержание их в таком состоянии, разогрев и сушка материалов.</p>

<h4>Сфера применения</h4>
<p>Офисные, торговые, общественные помещения, дачи, кафе, бары, рестораны, гостиницы и отели.</p>

<h4>Отличительные особенности</h4>
<ul>
<li>Форма корпуса защищена патентами Российской Федерации</li>
<li>Возможность локального применения</li>
<li>Высокая экономичность расхода электроэнергии</li>
<li>Монолитный ТЭН</li>
<li>Установка на потолке сохраняет свободной рабочую зону</li>
<li>Долговечные излучающие панели с анодированием 25 мкм, обеспечивают высокую эффективность на всем сроке эксплуатации прибора</li>
<li>Универсальные встроенные кронштейны</li>
<li>Самые компактные панельные ИК обогреватели!</li>
<li>Возможность подключения к терморегулятору</li>
<li>Боковые накладки из шлифованной нержавеющей стали</li>
<li>Модернизированная форма корпуса визуально уменьшает глубину прибора (видна только передняя панель)</li>
<li>Гарантия 2 года</li>
<li>Сделано в России</li>
</ul>",,1,,Купить BIH-APL-2.0-M Обогреватель инфракрасный  BALLU с доставкой на uralenergotel.ru,Купить BIH-APL-2.0-M Обогреватель инфракрасный  BALLU по низкой цене у официального дилера ТД УЭТ,bih_apl_2_0_m,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",BALLU,APL-M,BIH-APL-2.0-M,Нет,5.2,5.5,Гарантийный талон,28,4.5,126,2,2 года,APL-M,4.5,26,120,20,4.6,Да,0.1,РОССИЯ,Длинные волны,Доп.опция,Нет,Панельный монолитный нагревательный элемент,Нет,1,Да (при использовании терморегулятора),Нет,2,Нет,Нет,20,Да (при использовании терморегулятора),IP20,Нет,Нет,Нет,Нет,Нет,Нет,Нет,Не требуется,,,,,,,,https://rkcdn.ru/products/5402c217-e373-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/1a950656-e374-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/b11a0dda-e374-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/bf25a2c7-e373-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/0e539cce-e374-11ed-b733-005056013a69/src.jpg,,,
