Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Сетевой кабель,Макс. производительность,Вес товара с упаковкой (брутто),Регулировка значения относит. влажности,Форма корпуса,Встроенный гигростат,Таймер на отключение,Высота упаковки товара,Посадочный размер вентиляционного канала,Гарантийный документ,Глубина упаковки товара,Уровень шума на расстоянии 3м,Тип конструкции вентилятора,Ширина упаковки товара,Шариковые подшипники,Гарантийный срок,Серия,Высота товара,Частота вращения,Глубина товара,Регулировка скорости вращения вентилятора,Максимальное время установки таймера,Ширина товара,Эффективен для помещ. площадью до,Тип вентилятора,Количество скоростей,Встроенный датчик движения,Вес товара (нетто),"Макс. потребляемая мощность, Вт",Авто включение/отключение по уровню влажности,Датчик контроля влажности,Индикация включения,Набор крепежных элементов в комплекте,ПЛОЩАДЬ ПОМЕЩЕНИЯ до,Защита от перегрева,Съемная передняя панель,Класс пылевлагозащищенности,Длина кабеля,Встроенный клапан обратной тяги,Страна производства,Возможноть монтажа с помощью распорных лапок,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Вентиляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Вентиляторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Вентиляторы вытяжные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAFA-120T Вентилятор вытяжной серии Argentum с таймером Electrolux,,RUB,6790.0,1,1,,"<p>Купить EAFA-120T Вентилятор вытяжной серии Argentum с таймером Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EAFA-120T Вентилятор вытяжной серии Argentum с таймером Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EAFA-120T Вентилятор вытяжной серии Argentum с таймером Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Вентиляторы Electrolux серии ARGENTUM: «Долговечная работа и элегантный вид».  </p>

<p>Отличительная особенность серии Argentum – матовая передняя панель из нержавеющей стали, благодаря чему прибор обладает исключительной эстетикой, не теряя внешний вид долгие годы.  Панель не впитывает жир и запахи, любые загрязнения легко убираются с поверхности. Идеально подходит для кухни.</p>

<p>Все вентиляторы серии оснащены современным энергоэффективным электродвигателем с японскими подшипниками качения; пружинным обратным клапаном для предотвращения попадания пыли и запахов из вентиляционного канала; кабельным выводом с разъемом для удобства монтажа. Корпус вентилятора выполнен из высококачественного АБС-пластика.</p>",,1,,Купить EAFA-120T Вентилятор вытяжной серии Argentum с таймером Electrolux с доставкой на uralenergotel.ru,Купить EAFA-120T Вентилятор вытяжной серии Argentum с таймером Electrolux по низкой цене у официального дилера ТД УЭТ,eafa_120t,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,ARGENTUM,EAFA-120T,Да (без вилки),110,0.85,Нет,Квадратная,Нет,Да,17.6,120,Гарантийный талон,14,34,Осевой,17.6,Да,2 года,ARGENTUM,16.8,2150,13.2,,0.4,16.8,10,Вытяжной,1,Нет,0.8,20,Нет,false,Да,Да,10,Да,Да,IPX4,0.1,Да,КНР,Да,https://rkcdn.ru/products/09f60b34-67f2-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/09f60b3a-67f2-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/951e45aa-fb58-11eb-b72e-000c29ec5a85/src.jpg,https://rkcdn.ru/products/09f60b36-67f2-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/09f60b38-67f2-11eb-b729-005056010604/src.jpg,
EAFB-120T Вентилятор вытяжной серии Basic с таймером Electrolux,,RUB,4790.0,1,1,,"<p>Купить EAFB-120T Вентилятор вытяжной серии Basic с таймером Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EAFB-120T Вентилятор вытяжной серии Basic с таймером Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EAFB-120T Вентилятор вытяжной серии Basic с таймером Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Вентиляторы Electrolux серии Basic: Классика снаружи, инновации внутри.</p>

<p>Отличительная особенность серии Basic – малая монтажная глубина &lt;5см. </p>

<p>Все вентиляторы серии оснащены современным энергоэффективным электродвигателем с японскими подшипниками качения; пружинным обратным клапаном для предотвращения попадания пыли и запахов из вентиляционного канала; кабельным выводом с разъемом для удобства монтажа. Корпус вентилятора выполнен из высококачественного АБС-пластика.</p>",,1,,Купить EAFB-120T Вентилятор вытяжной серии Basic с таймером Electrolux с доставкой на uralenergotel.ru,Купить EAFB-120T Вентилятор вытяжной серии Basic с таймером Electrolux по низкой цене у официального дилера ТД УЭТ,eafb_120t,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,BASIC,EAFB-120T,Да (без вилки),150,0.63,Нет,Квадратная,Нет,Да,18,120,Гарантийный талон,9,35,Осевой,18,Да,2 года,BASIC,18,2150,7.8,,0.4,18,10,Вытяжной,1,Нет,0.63,20,Нет,false,Да,Да,10,Да,Да,IPX4,0.1,Да,КНР,,https://rkcdn.ru/products/8809c56e-3e3d-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/f430808b-686b-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/f430808d-686b-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/f430808f-686b-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/f4308091-686b-11eb-b729-005056010604/src.jpg,
EAF - 150 Вентилятор вытяжной серии Premium EAF-150 Electrolux,,RUB,5090.0,1,1,,"<p>Купить EAF - 150 Вентилятор вытяжной серии Premium EAF-150 Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EAF - 150 Вентилятор вытяжной серии Premium EAF-150 Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EAF - 150 Вентилятор вытяжной серии Premium EAF-150 Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Высокое качество</h4>
<p>Вентиляторы и&nbsp;дополнительные панели изготавливаются из&nbsp;АБС пластика, который отличается высокой прочностью. Вентиляторы оснащены высокоэффективными крыльчаткамии и&nbsp;полностью защищены от&nbsp;проблем с&nbsp;электричеством. Все модели вентиляторов выпускаются в&nbsp;брызгозащищенном исполнении (IPx4) и&nbsp;подходят для работы в&nbsp;помещениях с&nbsp;повышенной влажностью.</p>
<h4>Управление</h4>
<p>Версия стандарт. Работа вентиляторов этих моделей регулируется при помощи выключателя.</p>
<h4>Отличительные особенности</h4>
<ul>
<li>Высокоэффективная и&nbsp;бесшумная работа</li>
<li>Универсальная конструкция </li>
<li>Полная электробезопасность </li>
<li>Современный дизайн </li>
<li>Малый расход энергии </li>
<li>Универсальный монтаж (на&nbsp;стене, в&nbsp;отверстии вентиляционной шахты, в&nbsp;подвесном потолке) </li>
<li>Легкая очистка от&nbsp;пыли</li>
</ul>
<h4>Монтаж</h4>
<p>Установка вентилятора и&nbsp;его демонтаж не&nbsp;занимают много времени, так как все электроузлы жестко прикреплены к&nbsp;съемной передней панели.</p>
<p>Возможна как настенная установка для непосредственного удаления воздуха, так и&nbsp;потолочная установка для удаления воздуха через воздуховод.</p>
<h4>Применение</h4>
<p>Вентилятор EAF-150&nbsp;отлично подходит для периодической или постоянной вентиляции ванной комнаты, туалета, кухни, комнат курильщиков, кладовок и&nbsp;подсобок в&nbsp;жилых и&nbsp;торговых помещениях.</p>
<h4>Гарантия качества</h4>
<p>Вытяжные вентиляторы от&nbsp;Electrolux сертифицированы на&nbsp;территории России и&nbsp;соответствует требованиям нормативных документов по&nbsp;ГОСТ.</p>

<img src=""/upload/medialibrary/838/EAF-100-120-150.jpg"" alt="""" /><br /><br />

<table class=""border"" width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""0"">
  <tbody>
    <tr class=""title"">
      <th width=""30%"" rowspan=""2""><strong>Модель</strong></th>
      <th colspan=""4"">Размеры</th>
    </tr>
    <tr class=""title"">
      <th align=""center"">A</th>
      <th align=""center"">B</th>
      <th align=""center"">C</th>
      <th align=""center"">D</th>
    </tr>
    <tr class=""title"">
      <td colspan=""99"" class=""line"" height=""1""></td>
    </tr>
    <tr class=""stripe0"">
      <td>EAF-150</td>
      <td align=""center"">193x193</td>
      <td align=""center"">31</td>
      <td align=""center"">120</td>
      <td align=""center"">144</td>
    </tr>
  </tbody>
</table>",,1,,Купить EAF - 150 Вентилятор вытяжной серии Premium EAF-150 Electrolux с доставкой на uralenergotel.ru,Купить EAF - 150 Вентилятор вытяжной серии Premium EAF-150 Electrolux по низкой цене у официального дилера ТД УЭТ,eaf___150,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,PREMIUM,EAF - 150,Да (без вилки),325,1.14,Нет,Квадратная,Нет,Нет,20,150,Гарантийный талон,16,35,Осевой,20,Да,2 года,PREMIUM,19.3,2100,13.9,,,19.3,14,Вытяжной,1,Нет,1.06,25,Нет,false,Да,Да,14,Да,Да,IPX4,0.1,Да,КНР,Да,https://rkcdn.ru/products/6a819046-3e44-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/ed3b1d2e-3096-11eb-b727-005056010604/src.jpg,https://rkcdn.ru/products/fb5f666c-3096-11eb-b727-005056010604/src.jpg,https://rkcdn.ru/products/0660358e-3097-11eb-b727-005056010604/src.jpg,https://rkcdn.ru/products/154a7fe2-3097-11eb-b727-005056010604/src.jpg,
EAFM - 120 Вентилятор вытяжной серии Magic EAFM-120 Electrolux,,RUB,4290.0,1,1,,"<p>Купить EAFM - 120 Вентилятор вытяжной серии Magic EAFM-120 Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EAFM - 120 Вентилятор вытяжной серии Magic EAFM-120 Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EAFM - 120 Вентилятор вытяжной серии Magic EAFM-120 Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Вытяжной бытовой вентилятор EAFM предназначен для непосредственного удаления воздуха из помещений по каналам и воздуховодам через отверстия диаметром 100, 120 и 150 мм. Прекрасно подходят для сантехнических помещений, кухонь и др.</p>

<h4>Отличительные особенности</h4>
<ul>
<li>Инновационный дизайн.</li>
<li>Высокоэффективная и бесшумная работа.</li>
<li>Цвет белый.</li>
<li>Оборудованы обратным клапаном.</li>
<li>Три исполнения: стандартное, с регулируемым таймером задержки отключения 1–25 мин, с датчиком влажности 40–100 % и регулируемым таймером 1– 25 мин.</li>
<li>Легкая очистка от пыли.</li>
<li>Универсальный монтаж (на стене, в отверстии вентиляционной шахты, в подвесном потолке).</li>
</ul>

<h4>Монтаж</h4>

<p>Вентиляторы поставляются готовыми к подключению. Монтаж должен выполняться компетентным персоналом. Минимальная высота установки 2,3 м. При установке вентилятора в отверстии наружной стены вентиляционный канал должен иметь небольшой уклон (примерно 3&deg;) наружу во избежание попадания дождевой воды в канал и вентилятор. Также желательно установить наружную решетку. Вытяжной воздух должен выводиться наружу, а не в потолочное или чердачное пространство, для этого используется гибкий воздуховод.<br />
Необходимо предусматривать доступ для обслуживания вентилятора.</p>

<p><b>Не допускается:</b></p>
<ol>
<li>Использовать вентиляторы для транспортировки воздуха, содержащего «тяжелую» пыль, муку и т. п.</li>
<li>Монтировать вентиляторы во взрыво-, пожароопасных помещениях и использовать их для транспортировки воздуха с содержанием паров пожароопасных веществ.</li>
</ol>

<h4>Гарантия 24 месяца</h4>

<h4>Размеры</h4>

<p><img src=""/upload/medialibrary/afc/EAFM_razmer.jpg"" alt="""" /></p>

<table width=""100%"">
<tr class=""title"">
<th>Модель</th>
<th>A</th>
<th>A1</th>
<th>B</th>
<th>C</th>
<th>D</th>
</tr>
<tr align=""center"">
<td>EAFM-120</td>
<td>170</td>
<td>197</td>
<td>21</td>
<td>84</td>
<td>115</td>
</tr>
</table>",,1,,Купить EAFM - 120 Вентилятор вытяжной серии Magic EAFM-120 Electrolux с доставкой на uralenergotel.ru,Купить EAFM - 120 Вентилятор вытяжной серии Magic EAFM-120 Electrolux по низкой цене у официального дилера ТД УЭТ,eafm___120,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,MAGIC,EAFM - 120,Да (без вилки),110,0.753,Нет,Прямоугольная,Нет,Нет,20.2,120,Гарантийный талон,11,31,Осевой,17.3,Да,2 года,MAGIC,19.7,2150,10.5,,,17,10,Вытяжной,1,Нет,0.65,20,Нет,false,Да,Да,10,Да,Да,IPX4,0.1,Да,КНР,,https://rkcdn.ru/products/0e34dc2d-3e42-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/caf5caa2-686e-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/caf5caa4-686e-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/caf5caa0-686e-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/caf5ca9e-686e-11eb-b729-005056010604/src.jpg,
EAFG-150 white Вентилятор вытяжной серии Glass Electrolux,,RUB,6890.0,1,1,,"<p>Купить EAFG-150 white Вентилятор вытяжной серии Glass Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EAFG-150 white Вентилятор вытяжной серии Glass Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EAFG-150 white Вентилятор вытяжной серии Glass Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Вытяжные вентиляторы GLASS — долговечные приборы с&nbsp;стеклянной передней панелью, они эффективно удаляют избыточную влажность и неприятные запахи, отлично подходят даже для самых современных и смелых интерьеров. Кроме того, такую модель можно устанавливать как на стене, так и в отверстии вентиляционной шахты или в подвесном потолке, то есть вы всегда сможете выбрать оптимальный способ установки. Приборы серии оснащены пружинным обратным клапаном, он предотвращает приток воздуха из&nbsp;системы вентиляции здания, не&nbsp;допуская к&nbsp;вам посторонние запахи от&nbsp;соседей по&nbsp;дому или офису. Благодаря высокому классу пылевлагозащищённости вытяжные вентиляторы подойдут для влажных помещений, а надежность приборов подтверждается гарантией 2&nbsp;года. Вентиляторы Electrolux создают идеальный климат. </p>",,1,,Купить EAFG-150 white Вентилятор вытяжной серии Glass Electrolux с доставкой на uralenergotel.ru,Купить EAFG-150 white Вентилятор вытяжной серии Glass Electrolux по низкой цене у официального дилера ТД УЭТ,eafg_150_white,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,GLASS,EAFG-150 white,Да (без вилки),285,1.13,Нет,Квадратная,Нет,Нет,20,150,Гарантийный талон,16,35,Осевой,20,Да,2 года,GLASS,19.3,2100,13.9,,,19.3,14,Вытяжной,1,Нет,1.08,25,Нет,false,Да,Да,14,Да,Да,IPX4,0.1,Да,КНР,Да,https://rkcdn.ru/products/2831a0fe-f6c6-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/58a934c1-f6c6-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/47222664-f6c6-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/5fa71ade-f6c6-11ec-b732-005056013a69/src.jpg,,
EAFR - 120TH white Вентилятор вытяжной серии Rainbow EAFR-120TH white с таймером и гигростатом Electrolux,,RUB,7090.0,1,1,,"<p>Купить EAFR - 120TH white Вентилятор вытяжной серии Rainbow EAFR-120TH white с таймером и гигростатом Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EAFR - 120TH white Вентилятор вытяжной серии Rainbow EAFR-120TH white с таймером и гигростатом Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EAFR - 120TH white Вентилятор вытяжной серии Rainbow EAFR-120TH white с таймером и гигростатом Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Вентиляторы Electrolux серии RAINBOW: «МОЩНЫЙ, НО ТИХИЙ».</p>
<p>Отличительная особенность серии RAINBOW – Благодаря широкой цветовой гамме (8 вариантов цвета панелей), Вы сможете подобрать вентилятор для любого интерьера. А новое поколение электродвигателей с японскими подшипниками качения обеспечивают супертихую работу и долговечность эксплуатации прибора.</p>
<p>Все вентиляторы серии также оснащены пружинным обратным клапаном для предотвращения попадания пыли и запахов из вентиляционного канала; кабельным выводом с разъемом для удобства монтажа. Корпус вентилятора выполнен из высококачественного АБС-пластика.</p>",,1,,Купить EAFR - 120TH white Вентилятор вытяжной серии Rainbow EAFR-120TH white с таймером и гигростатом Electrolux с доставкой на uralenergotel.ru,Купить EAFR - 120TH white Вентилятор вытяжной серии Rainbow EAFR-120TH white с таймером и гигростатом Electrolux по низкой цене у официального дилера ТД УЭТ,eafr___120th_white,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,RAINBOW,EAFR - 120TH white,Да (без вилки),125,0.763,Да,Квадратная,Да,Да,17.5,120,Гарантийный талон,11,31,Осевой,18,Да,2 года,RAINBOW,16.5,2500,10.5,,0.4,17.5,10,Вытяжной,1,Нет,0.6,20,Да,true,Да,Да,10,Да,Нет,IPX4,0.1,Да,КНР,,https://rkcdn.ru/products/bec4e917-6869-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/bec4e91f-6869-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/bec4e919-6869-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/bec4e91b-6869-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/bec4e91d-6869-11eb-b729-005056010604/src.jpg,
EAFV-150 Вентилятор вытяжной серии Move с датчиком движения Electrolux,,RUB,6590.0,0,1,,"<p>Купить EAFV-150 Вентилятор вытяжной серии Move с датчиком движения Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EAFV-150 Вентилятор вытяжной серии Move с датчиком движения Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EAFV-150 Вентилятор вытяжной серии Move с датчиком движения Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Вентиляторы Electrolux серии MOVE: «Максимальная энергоэффективность благодаря датчику движения».  </p>

<p>Отличительная особенность серии MOVE – встроенный датчик движения с настраиваемым таймером автоматического отключения. Идеален для помещений с большим потоком людей – туалетные комнаты ресторанов, офисные переговорные. Вентилятор работает в полностью автоматическом режиме, включаясь по сигналу со встроенного датчика движения, и выключаясь через установленный интервал времени (по умолчанию 3 минуты) после того, как датчик перестает фиксировать движение в помещении.  Таймер может настраиваться в интервале от 3 до 25 минут. </p>

<p>Все вентиляторы серии оснащены современным энергоэффективным электродвигателем с японскими подшипниками качения; пружинным обратным клапаном для предотвращения попадания пыли и запахов из вентиляционного канала; кабельным выводом с разъемом для удобства монтажа. Корпус вентилятора выполнен из высококачественного АБС-пластика.</p>",,1,,Купить EAFV-150 Вентилятор вытяжной серии Move с датчиком движения Electrolux с доставкой на uralenergotel.ru,Купить EAFV-150 Вентилятор вытяжной серии Move с датчиком движения Electrolux по низкой цене у официального дилера ТД УЭТ,eafv_150,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,MOVE,EAFV-150,Да (без вилки),240,0.93,Нет,Квадратная,Нет,Да,21.4,150,Гарантийный талон,11,37,Осевой,21.2,Да,2 года,MOVE,21,2000,9.6,,0.4,21,14,Вытяжной,1,Да,0.88,25,Нет,false,Да,Да,14,Да,Да,IPX4,0.1,Да,КНР,,https://rkcdn.ru/products/23798864-3e40-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/290866ef-67f7-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/290866f1-67f7-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/290866ed-67f7-11eb-b729-005056010604/src.jpg,https://rkcdn.ru/products/290866eb-67f7-11eb-b729-005056010604/src.jpg,
