Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Предохранительный клапан давления,Система самодиагностики неисправности,"Расход природного газа, максимальный",Вес товара с упаковкой (брутто),Форма корпуса,Мин. температура воды,Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Резьба входного патрубка,Ширина упаковки товара,Резьба выходного патрубка,Диаметр дымохода,Розжиг горелки,Номинальное давление природного газа,Макс. потребляемая мощность,Гарантийный срок,Макс. давление в водопроводе,Серия,Мин. давление в водопроводе,Высота товара,Батарейки,Глубина товара,Ширина товара,Количество режимов нагрева,Регулировка температуры,Макс. производительность л/мин,Тип батареек,Точность установки температуры,Вес товара (нетто),Расчетная номинальная мощность,Макс. температура воды,Индикация включения,Индикация температуры нагрева,Датчик тяги дымохода (отключает подачу газа),Индикация уровня заряда батареи,Набор крепежных элементов в комплекте,Материал внешнего корпуса,Подсветка дисплея,Материал горелки,Защита от включения без воды,Материал теплообменника,Защита от перегрева,Контроль наличия пламени (отключает подачу топлива),Тип камеры сгорания,Страна производства,Работает с Алисой,Работает с HOMMYN,Цифровой дисплей,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Водонагреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Проточные водонагреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!!Газовые проточные водонагреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWH 10 NanoPlus 2.0 Колонка газовая  Electrolux,,RUB,14290.0,1,1,,"<p>Купить GWH 10 NanoPlus 2.0 Колонка газовая  Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на GWH 10 NanoPlus 2.0 Колонка газовая  Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим GWH 10 NanoPlus 2.0 Колонка газовая  Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Газовые колонки серии NanoPlus производительностью 10&nbsp;л/мин (также в ассортименте есть модели мощностью 12 и 14&nbsp;л/мин) созданы на основе передовых технологий и обеспечивают бесперебойную подачу горячей воды в течение всего срока службы водонагревателя. Отвечая современным требованиям, колонки Electrolux обладают электронным розжигом, интуитивно понятным управлением, надежной многоуровневой системой контроля безопасности и информативным LED-дисплеем. </p>

<h4>Технология OXYGEN FREE</h4>
<p>Благодаря использованию технологии Oxygen Free теплообменник из бескислородной меди не содержит вредных для здоровья металлов, что делает прибор безопасным для человека и окружающей среды. </p>

<h4>Многоуровневая система безопасности</h4>
<p>Четыре уровня контроля безопасности: датчик тяги, защитный термостат, гидравлический предохранительный клапан и контроль ионизации пламени – обеспечивают надежную и безопасную работу газовой колонки. Для защиты лицевой панели от перегрева и прогорания прибор дополнительно оснащен металлической пластиной. </p>

<h4>Тихая работа</h4>
<p>Технология SilentFlow и специально разработанная конструкция гидравлического узла устраняют возникающие в водопроводе завихрения, обеспечивая бесшумную работу прибора. </p>

<h4>Работа при низком давлении воды и газа</h4>
<p>Газовые колонки Electrolux сконструированы с учетом особенностей работы в России и странах СНГ, где давление газа и воды в магистралях бывает нестабильным. Минимальное давление воды на включение составляет 0,15&nbsp;бар, газа – 6,8&nbsp;мбар. </p>
",,1,,Купить GWH 10 NanoPlus 2.0 Колонка газовая  Electrolux с доставкой на uralenergotel.ru,Купить GWH 10 NanoPlus 2.0 Колонка газовая  Electrolux по низкой цене у официального дилера ТД УЭТ,gwh_10_nanoplus_2_0,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,NanoPlus,GWH 10 NanoPlus 2.0,Да,Нет,2,8.35,Прямоугольная,25,25,Гарантийный талон,39,1/2,65,1/2,110,Электронный,13,,2 года,8,NanoPlus,0.15,55,Нет,19,33,Бесступенчатая регулировка мощности,Да,10,2хD (LR20/R20),"1,0 °С",7.31,20,70,Да,Да,Да,Да,Да,Металл,Да,Нержавеющая сталь,Да,Бескислородная медь,Да,Да,Открытая камера,КНР,Нет,Нет,Да,https://rkcdn.ru/products/133b1d3a-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/230a3df6-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/3eb8249b-d46b-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/301d5c71-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2a2227e9-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/b38ddfd5-3d70-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/454915e2-d46b-11ed-b733-005056013a69/src.jpg,
GWH 11 PRO Inverter Колонка газовая GWH 11 ProInverter Electrolux,,RUB,26790.0,0,1,,"<p>Купить GWH 11 PRO Inverter Колонка газовая GWH 11 ProInverter Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на GWH 11 PRO Inverter Колонка газовая GWH 11 ProInverter Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим GWH 11 PRO Inverter Колонка газовая GWH 11 ProInverter Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Газовая колонка Electrolux серии ProInverter – это оптимальное сочетание передовых технологий, систем безопасности и современного дизайна. Производительность прибора составляет 11&nbsp;л/мин. Отличительной особенностью устройства является возможность его эксплуатации при максимально низком давлении газа и воды в системе. Электронный розжиг позволяет экономить расход газа, включая его подачу только в момент использования воды. </p>

<h4>Автоматическая электронная модуляция</h4>
<p>Технология позволяет поддерживать стабильную температуру горячей воды на выходе на заданном уровне с точностью до&nbsp;0,3&deg;C. Неважно, сколько человек одновременно пользуются горячей водой – умная электроника мгновенно изменит мощность пламени, чтобы сохранить комфорт для каждого пользователя. </p>

<h4>Технология OXYGEN FREE</h4>
<p>Благодаря использованию технологии Oxygen Free теплообменник из бескислородной меди не содержит вредных для здоровья металлов, что делает прибор безопасным для человека и окружающей среды. </p>

<h4>Система самодиагностики</h4>
<p>При возникновении неисправности прибор автоматически отключит подачу газа и покажет код ошибки. </p>

<h4>Безопасное использование</h4>
<p>Наличие многоуровневой системы защиты делает колонку безопасной в использовании. При слабой или обратной тяге подача газа автоматически перекрывается, термостат защищает от перегрева, встроенный клапан – от избыточного давления. Предусмотрен электронный контроль пламени на горелке и защита от сухого старта. Система самодиагностики автоматически отключит устройство от питания в случае любой внештатной ситуации и выведет код ошибки на дисплей колонки. </p>

<h4>Универсальный диаметр дымохода</h4>
<p>Диаметр дымохода прибора составляет 110&nbsp;мм, что делает возможным подключение колонки к любой системе отвода газа. </p>
",,1,,Купить GWH 11 PRO Inverter Колонка газовая GWH 11 ProInverter Electrolux с доставкой на uralenergotel.ru,Купить GWH 11 PRO Inverter Колонка газовая GWH 11 ProInverter Electrolux по низкой цене у официального дилера ТД УЭТ,gwh_11_pro_inverter,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,ProInverter,GWH 11 PRO Inverter,Да,Да,2.2,8.87,Прямоугольная,37,64,Гарантийный талон,38,1/2,25,1/2,110,Электронный,13,,2 года,8,ProInverter,0.15,55,Нет,20.4,33,Бесступенчатая регулировка мощности,Да,11,2хD (LR20/R20),"1,0 °С",7.88,22,70,Да,Да,Да,Да,Да,Металл,Да,Нержавеющая сталь,Да,Бескислородная медь,Да,Да,Открытая камера,КНР,Нет,Нет,Да,https://rkcdn.ru/products/65a04556-f203-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/ecdb3bd8-d46b-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/c0032cf2-d46b-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6005a1e8-3d76-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/4a51c34e-3d76-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/ca10bbb1-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f0e46f33-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/ecdb3bd6-d46b-11ed-b733-005056013a69/src.jpg
GWH 10 High Performance Eco Колонка газовая  Electrolux,,RUB,14290.0,1,1,,"<p>Купить GWH 10 High Performance Eco Колонка газовая  Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на GWH 10 High Performance Eco Колонка газовая  Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим GWH 10 High Performance Eco Колонка газовая  Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Газовая колонка Electrolux GWH&nbsp;10 серии High Performance Eco обладает производительностью 10 л в минуту. Она предназначена для бесперебойной подачи горячей воды в газифицированных квартирах и загородных домах без централизованного горячего водоснабжения. Стильный прибор отвечает всем современным требованиям безопасности и может эффективно работать при низком давлении воды и газа. Гарантийный срок составляет 2&nbsp;года. </p>

<h4>Технология OXYGEN FREE</h4>
<p>Благодаря использованию технологии Oxygen Free теплообменник из бескислородной меди не содержит вредных для здоровья металлов, что делает прибор безопасным для человека и окружающей среды. </p>

<h4>Электрический розжиг</h4>
<p>Розжиг осуществляется автоматически: мягко, без хлопков. Встроенная электроника постоянно отслеживает и контролирует процесс работы водонагревателя, что повышает удобство и безопасность его использования. </p>

<h4>Удобное использование</h4>
<p>Для управления предусмотрены два поворотных переключателя: регулировка мощности горелки и установка температуры воды с точностью до&nbsp;1&deg;С. Они расположены на передней панели прибора. Уровень заряда батарей и температура воды выводятся на информационный дисплей. </p>

<h4>Безопасная эксплуатация</h4>
<p>Установленный комплекс датчиков делает эксплуатацию максимально безопасной. Защита от перегрева, избыточного давления, газ-контроль и датчик тяги – все это позволит пользоваться колонкой без опасений. В любой внештатной ситуации сработает автоматика, которая выключит устройство. Качественный дымоход европейского образца из оцинкованной стали обеспечивает 100% отвод угарного газа. </p>
",,1,,Купить GWH 10 High Performance Eco Колонка газовая  Electrolux с доставкой на uralenergotel.ru,Купить GWH 10 High Performance Eco Колонка газовая  Electrolux по низкой цене у официального дилера ТД УЭТ,gwh_10_high_performance_eco,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,High Perfomance Eco,GWH 10 High Performance Eco,Да,Нет,2,8.3,Прямоугольная,25,64,Гарантийный талон,38,1/2,25,1/2,110,Электронный,13,,2 года,8,High Perfomance Eco,0.15,55,Нет,19,33,Бесступенчатая регулировка мощности,Да,10,2хD (LR20/R20),"1,0 °С",7.28,20,70,Да,Да,Да,Да,Да,Металл,Да,Нержавеющая сталь,Да,Бескислородная медь,Да,Да,Открытая камера,КНР,Нет,Нет,Да,https://rkcdn.ru/products/115d22a0-3d78-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/d2e7c12b-d93f-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d2e7c129-d93f-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/458d5f0a-f202-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/36c4d22f-3d78-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/29da5e7c-3d78-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/2026d16e-3d78-11ed-b732-005056013a69/src.jpg,
GWH 14 NanoPlus 2.0 Колонка газовая  Electrolux,,RUB,20490.0,0,1,,"<p>Купить GWH 14 NanoPlus 2.0 Колонка газовая  Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на GWH 14 NanoPlus 2.0 Колонка газовая  Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим GWH 14 NanoPlus 2.0 Колонка газовая  Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Газовые колонки серии NanoPlus производительностью 14&nbsp;л/мин (также в ассортименте есть модели мощностью 10 и 12&nbsp;л/мин) созданы на основе передовых технологий и обеспечивают бесперебойную подачу горячей воды в течение всего срока службы водонагревателя. Отвечая современным требованиям, колонки Electrolux обладают электронным розжигом, интуитивно понятным управлением, надежной многоуровневой системой контроля безопасности и информативным LED-дисплеем. </p>

<h4>Технология OXYGEN FREE</h4>
<p>Благодаря использованию технологии Oxygen Free теплообменник из бескислородной меди не содержит вредных для здоровья металлов, что делает прибор безопасным для человека и окружающей среды. </p>

<h4>Многоуровневая система безопасности</h4>
<p>Четыре уровня контроля безопасности: датчик тяги, защитный термостат, гидравлический предохранительный клапан и контроль ионизации пламени – обеспечивают надежную и безопасную работу газовой колонки. Для защиты лицевой панели от перегрева и прогорания прибор дополнительно оснащен металлической пластиной. </p>

<h4>Тихая работа</h4>
<p>Технология SilentFlow и специально разработанная конструкция гидравлического узла устраняют возникающие в водопроводе завихрения, обеспечивая бесшумную работу прибора. </p>

<h4>Работа при низком давлении воды и газа</h4>
<p>Газовые колонки Electrolux сконструированы с учетом особенностей работы в России и странах СНГ, где давление газа и воды в магистралях бывает нестабильным. Минимальное давление воды на включение составляет 0,15&nbsp;бар, газа – 6,8&nbsp;мбар. </p>
",,1,,Купить GWH 14 NanoPlus 2.0 Колонка газовая  Electrolux с доставкой на uralenergotel.ru,Купить GWH 14 NanoPlus 2.0 Колонка газовая  Electrolux по низкой цене у официального дилера ТД УЭТ,gwh_14_nanoplus_2_0,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,NanoPlus,GWH 14 NanoPlus 2.0,Да,Нет,2.87,11.95,Прямоугольная,25,74,Гарантийный талон,45,1/2,24.8,1/2,125,Электронный,13,,2 года,8,NanoPlus,0.15,65,Нет,19.6,40,Бесступенчатая регулировка мощности,Да,14,2хD (LR20/R20),"1,0 °С",10.68,28,70,Да,Да,Да,Да,Да,Металл,Да,Нержавеющая сталь,Да,Бескислородная медь,Да,Да,Открытая камера,КНР,Нет,Нет,Да,https://rkcdn.ru/products/1bbb1754-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/454915e0-d46b-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/301d5c73-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2a2227e7-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/230a3df8-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/133b1d3c-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/3eb8249d-d46b-11ed-b733-005056013a69/src.jpg,
GWH 12 NanoPlus 2.0 Колонка газовая  Electrolux,,RUB,16490.0,0,1,,"<p>Купить GWH 12 NanoPlus 2.0 Колонка газовая  Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на GWH 12 NanoPlus 2.0 Колонка газовая  Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим GWH 12 NanoPlus 2.0 Колонка газовая  Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Газовые колонки серии NanoPlus производительностью 12&nbsp;л/мин (также в ассортименте есть модели мощностью 10 и 14&nbsp;л/мин) созданы на основе передовых технологий и обеспечивают бесперебойную подачу горячей воды в течение всего срока службы водонагревателя. Отвечая современным требованиям, колонки Electrolux обладают электронным розжигом, интуитивно понятным управлением, надежной многоуровневой системой контроля безопасности и информативным LED-дисплеем. </p>

<h4>Технология OXYGEN FREE</h4>
<p>Благодаря использованию технологии Oxygen Free теплообменник из бескислородной меди не содержит вредных для здоровья металлов, что делает прибор безопасным для человека и окружающей среды. </p>

<h4>Многоуровневая система безопасности</h4>
<p>Четыре уровня контроля безопасности: датчик тяги, защитный термостат, гидравлический предохранительный клапан и контроль ионизации пламени – обеспечивают надежную и безопасную работу газовой колонки. Для защиты лицевой панели от перегрева и прогорания прибор дополнительно оснащен металлической пластиной. </p>

<h4>Тихая работа</h4>
<p>Технология SilentFlow и специально разработанная конструкция гидравлического узла устраняют возникающие в водопроводе завихрения, обеспечивая бесшумную работу прибора. </p>

<h4>Работа при низком давлении воды и газа</h4>
<p>Газовые колонки Electrolux сконструированы с учетом особенностей работы в России и странах СНГ, где давление газа и воды в магистралях бывает нестабильным. Минимальное давление воды на включение составляет 0,15&nbsp;бар, газа – 6,8&nbsp;мбар. </p>
",,1,,Купить GWH 12 NanoPlus 2.0 Колонка газовая  Electrolux с доставкой на uralenergotel.ru,Купить GWH 12 NanoPlus 2.0 Колонка газовая  Electrolux по низкой цене у официального дилера ТД УЭТ,gwh_12_nanoplus_2_0,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,NanoPlus,GWH 12 NanoPlus 2.0,Да,Нет,2.4,9.73,Прямоугольная,25,70,Гарантийный талон,40,1/2,24.8,1/2,110,Электронный,13,,2 года,8,NanoPlus,0.15,61,Нет,18.3,35,Бесступенчатая регулировка мощности,Да,12,2хD (LR20/R20),"1,0 °С",8.63,24,70,Да,Да,Да,Да,Да,Металл,Да,Нержавеющая сталь,Да,Бескислородная медь,Да,Да,Открытая камера,КНР,Нет,Нет,Да,https://rkcdn.ru/products/133b1d38-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/454915de-d46b-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/3eb8249f-d46b-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2a2227eb-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2a2227e5-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/230a3df4-d46e-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/1bbb1752-d46e-11ed-b733-005056013a69/src.jpg,
GWH 10 Ignition ECO Колонка газовая  Electrolux,,RUB,10990.0,0,1,,"<p>Купить GWH 10 Ignition ECO Колонка газовая  Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на GWH 10 Ignition ECO Колонка газовая  Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим GWH 10 Ignition ECO Колонка газовая  Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Газовая колонка Electrolux GWH&nbsp;10 Ignition&nbsp;ECO – современное комфортное решение для квартир, не имеющих централизованного горячего водоснабжения. Многоуровневая система защиты обеспечивает стабильную и безопасную работу прибора. Дымоход Евростандарта исключает утечку угарного газа в помещение, что гарантируют безопасность использования устройства в доме на протяжении всего срока службы. </p>

<h4>Технология OXYGEN FREE</h4>
<p>Бескислородный, устойчивый к коррозии теплообменник нового поколения OXYGEN FREE изготовлен из высококачественной меди без примесей других металлов. Подобная технология позволяет достичь максимальной теплопередачи и устойчивости к тепловым нагрузкам. </p>

<h4>Электронный розжиг</h4>
<p>Наличие автоматической системы электронного розжига делает процесс пользования горячей водой экономичными и максимально удобным. Продольное расположение форсунок на горелке позволяет равномерно распределять газ, обеспечивая высокую точность температуры нагрева. </p>

<h4>LED-дисплей</h4>
<p>Для комфортной эксплуатации колонка оснащена современным дисплеем, на который выводится информация об уровне температуры воды с точностью до 1&deg;С. </p>

<h4>Дымоход Евростандарта</h4>
<p>В дымоходе серии Ignition ECO используется коллектор отвода дымовых газов, который   исключает попадание угарного газа обратно в помещение. </p>
",,1,,Купить GWH 10 Ignition ECO Колонка газовая  Electrolux с доставкой на uralenergotel.ru,Купить GWH 10 Ignition ECO Колонка газовая  Electrolux по низкой цене у официального дилера ТД УЭТ,gwh_10_ignition_eco,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Ignition ECO,GWH 10 Ignition ECO,Да,Нет,2,8.28,Прямоугольная,25,25,Гарантийный талон,39,1/2,64,1/2,110,Электронный,13,,2 года,8,Ignition ECO,0.15,56.1,Нет,20,34.7,Бесступенчатая регулировка мощности,Да,10,2хD (LR20/R20),"1,0 °С",7.27,20,70,Да,Да,Да,Нет,Да,Металл,Да,Нержавеющая сталь,Да,Бескислородная медь,Да,Да,Открытая камера,,Нет,Нет,Да,https://rkcdn.ru/products/1923505e-4e29-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/21e6e9a0-4e29-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/21e6e9a2-4e29-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/19235060-4e29-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/0e698ccf-4e29-11ed-b732-005056013a69/src.jpg,,,
