Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Сетевой кабель,Система самодиагностики неисправности,Вид исполнения водонагревателя,Нагрев воды (дельта температуры),Вес товара с упаковкой (брутто),Тип подключения,Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Резьба входного патрубка,Ширина упаковки товара,Резьба выходного патрубка,Макс. потребляемая мощность,Тип нагревательного элемента,Материал нагревательного элемента,Гарантийный срок,Серия,Высота товара,Сечение кабеля питания,Глубина товара,Ширина товара,Количество режимов нагрева,Регулировка температуры,Макс. производительность л/мин,Точность установки температуры,Автоматическое включение при подаче воды,Вес товара (нетто),Макс. температура воды,Тип электроподключения,Мин. рабочее давление,МОЩНОСТЬ ПОТРЕБЛЕНИЯ до,Насадки в комплекте,Индикация включения,Индикация температуры нагрева,Набор крепежных элементов в комплекте,Материал внешнего корпуса,Защита от включения без воды,Макс. рабочее давление,УЗО (устройство защитного отключения),Защита от перегрева,Класс пылевлагозащищенности,Страна производства,USB-разъем для Wi-Fi модуля,Цифровой дисплей,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Водонагреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Проточные водонагреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!!Электрические проточные водонагреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP 4 AQUATRONIC 2.0 Водонагреватель проточный  Electrolux,,RUB,7490.0,1,1,,"<p>Купить NP 4 AQUATRONIC 2.0 Водонагреватель проточный  Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на NP 4 AQUATRONIC 2.0 Водонагреватель проточный  Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим NP 4 AQUATRONIC 2.0 Водонагреватель проточный  Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Модель проточных водонагревателей NP 4 Aquatronic сочетает в себе компактность и высокую эффективность и производительность,  достигаемую за счет применения мощных спиральных нагревательных элементов из нержавеющей стали. Водонагреватель NP 4 Aquatronic способен одновременно обеспечивать горячей водой несколько точек водоразбора.</p>

<h4>Система управления</h4>

<p>В водонагревателях NP 4 Aquatronic используется гидравлическая система управления, которая дает возможность поддерживать температуру воды в зависимости от величины потока и регулировок смесителя. Функция  автоматического включения и выключения при открытии и закрытии водопроводного крана делает эксплуатацию прибора еще более удобной.</p>

<h4>Производительность</h4>

<p>Водонагреватель NP 4 Aquatronic отличается своей высокой производительностью по нагреву воды. Это достигается благодаря мощному спиральному нагревательному элементу, который способен производить более 2,5 литров горячей воды в минуту. При этом эффективность нагрева воды достигает 95%.</p>

<h4>Надежность использования</h4>

<p>Нагревательный элемент, установленный в водонагревателе NP 4 Aquatronic, изготовлен из высококачественной нержавеющей стали и находится в специальных колбах. При прохождении воды спираль ТЭНа вибрирует, предотвращая тем самым образование накипи, что значительно увеличивает ресурс работы водонагревателя.</p>

<p>Водонагреватель NP 4 Aquatronic оснащен датчиком холла, который контролирует проток воды в водонагревателе. Специальный термостат обеспечивает защиту от перегрева водонагревателя, отключая его при нагреве воды выше 70&deg;C.</p>

<h4>Дизайн</h4>

<p>Водонагреватель NP 4 Aquatronic является самым компактным в своей категории. Благодаря компактности и элегантности дизайна, он легко и гармонично впишется в помещение даже самой небольшой площади и станет украшением интерьера.</p>

<h4>Гарантия 2 года</h4>

",,1,,Купить NP 4 AQUATRONIC 2.0 Водонагреватель проточный  Electrolux с доставкой на uralenergotel.ru,Купить NP 4 AQUATRONIC 2.0 Водонагреватель проточный  Electrolux по низкой цене у официального дилера ТД УЭТ,np_4_aquatronic_2_0,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,AQUATRONIC,NP 4 AQUATRONIC 2.0,Да (без вилки),Нет,Настенный блок,30° - 48°,1.67,Верхнее,20.5,Гарантийный талон,11,1/2,21.6,1/2,4,Спирально-пружинный,Сталь,2 года,AQUATRONIC,14.1,"2,5",8.5,19.1,1,Нет,2,Механическая регулировка,Да,1.42,80,В электрощит,1,4,Нет,Нет,Нет,Да,Пластик,Да,7,Нет,Да,IPX4,КНР,Нет,Нет,https://rkcdn.ru/products/8f670d2b-f163-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/372bce8a-951c-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/2f0e843e-951c-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/4923dab8-951c-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/124461f2-951c-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/208931d4-951c-11ea-9da0-ac162d7b6f40/src.jpg,,
Taptronic S Водонагреватель проточный  Electrolux,,RUB,4690.0,0,1,,"<p>Купить Taptronic S Водонагреватель проточный  Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на Taptronic S Водонагреватель проточный  Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим Taptronic S Водонагреватель проточный  Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Корпус водонагревателя выполнен из нержавеющей стали и обладает особой дизайнерской формой, что подчеркивает его уникальность, а надежность модели подтверждается гарантией - 2 года.</p>

<p>В Taptronic S впервые применены технологии, многократно повышающие безопасность при использовании:</p>
<ul>
<li>технология AirFuse контролирует уровень воды в камере c нагревательным элементом благодаря особой разработке, в результате чего давление воздуха извне не позволяет камере полностью заполниться водой.</li>
<li>технология SteamDrive, не позволяющая прибору перегреваться – в случае отсутствия подачи воды при включенном приборе горячий пар выпускается через специальные отверстия, в результате чего пар выходит быстрее чем прежде;</li>
<li>Контактные пластины водонагревателя, выполненные из бериллиевой бронзы и покрытые серебром, изготовлены по технологии SilverSafe и имеют увеличенное расстояние между друг другом, что повышает эффективность работы приборов.</li>
</ul>

<h4>Особенности:</h4>
<ul>
<li>Дисплей с индикацией температуры нагрева<br />
Во время работы дисплей отображает температуру нагрева воды.</li>
<li>Высокая мощность для мгновенного нагрева<br />
Прибор обладает мощностью 3.3 кВт, что достаточно для мгновенного нагрева воды и комфортного использования. </li>
</ul>",,1,,Купить Taptronic S Водонагреватель проточный  Electrolux с доставкой на uralenergotel.ru,Купить Taptronic S Водонагреватель проточный  Electrolux по низкой цене у официального дилера ТД УЭТ,taptronic_s,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,TAPTRONIC,Taptronic S,Да (с вилкой),Нет,Кран на раковину,20° - 60°,1.3,Нижнее,33,Гарантийный талон,11,1/2,27.5,1/2,3.3,Трубчатый электронагреватель (ТЭН),Сталь,2 года,TAPTRONIC,22,">=2,5",10.5,18.5,1,Да,1.48,Механическая регулировка,Да,1,60,Стандартная розетка,0.4,3.3,Нет,Да,Да,Да,Металл+Пластик,Да,6,Нет,Да,IPX4,КНР,,,https://rkcdn.ru/products/2266172f-ccf5-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/22661731-ccf5-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/23a3def8-0f55-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/288574de-ccf5-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/33ae8648-ccf5-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/3afebcd2-ccf5-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/9fe18503-9a8c-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/beba374d-cce7-11ed-b733-005056013a69/src.jpg
NPX 12-18 Sensomatic Pro Водонагреватель проточный  Electrolux,,RUB,26490.0,1,1,,"<p>Купить NPX 12-18 Sensomatic Pro Водонагреватель проточный  Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на NPX 12-18 Sensomatic Pro Водонагреватель проточный  Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим NPX 12-18 Sensomatic Pro Водонагреватель проточный  Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>NPX 12-18 Sensomatic Pro — электрический проточный водонагреватель, отличающийся элегантностью дизайна, высокой производительностью, сенсорным управлением с технологией Multi memory и наличием детского режима.</p>

<p>Данный водонагреватель легко обеспечит водой как мойку с умывальником, так и позволит Вам приять душ или ванну.</p>

<h4>Конструкция</h4>

<p>Водонагреватель может обеспечить горячей водой несколько точек водоразбора.<br />
Прибор включается/выключается автоматически при открытии/закрытии водопроводного крана.<br />
Интеллектуальная система управления автоматически регулирует все основные параметры работы прибора и поддерживает температуру нагрева воды в диапазоне 30-60&deg;С.<br /> 
Перегрев водонагревателя исключен благодаря установленному датчику защиты.<br />
Прибор оснащен мощным нержавеющим спиральным нагревательным элементом, изолированным от воды и защищенным от образования накипи.<br />
Перегрев водонагревателя исключен благодаря высокоточному защитному термостату и высокоэффективной системе обнаружения воздушных пробок.<br />
Благодаря элегантному дизайну и сверхкомпактным размерам водонагревателя он станет неотъемлемой частью Вашего интерьера Вашу жизнь более комфортной.</p>

<h4>Отличительные особенности</h4>

<ul class=""ul"">
<li>Автоматическое включение и выключение</li>
<li>LCD-дисплей. Сенсорное управление</li>
<li>Интеллектуальная система управления.</li>
<li>Индикация температуры нагрева</li>
<li>Индикация протока воды</li>
<li>Мощный спиральный нагревательный элемент из нержавеющей стали</li>
<li>Установка температуры с точностью до 1&deg;С (30–60&deg;С)</li>
<li>Программирование 2-х индивидуальных температур нагрева</li>
<li>Детский режим</li>
<li>Защита от образования накипи, датчик протока и защита от перегрева</li>
<li>Электронный контроль температуры на входе и выходе из прибора</li>
<li>Сетчатый фильтр воды</li>
<li>Самодиагностика</li>
<li>Класс пылевлагозащищенности IPX4</li>
<li>Гарантия – 2 года</li>
</ul>

<h4>Применение</h4>
<p>NPX&nbsp;12-18 Sensomatic&nbsp;Pro широко используется в городских квартирах, офисах, загородных коттеджах, на дачах и т.п. для быстрого и надежного решения проблем с горячей водой.</p>

",,1,,Купить NPX 12-18 Sensomatic Pro Водонагреватель проточный  Electrolux с доставкой на uralenergotel.ru,Купить NPX 12-18 Sensomatic Pro Водонагреватель проточный  Electrolux по низкой цене у официального дилера ТД УЭТ,npx_12_18_sensomatic_pro,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Sensomatic Pro,NPX 12-18 Sensomatic Pro,Нет,Да,Настенный блок,20° - 60°,5.4,Нижнее,11.5,Гарантийный талон,24,1/2,49,1/2,18,Спирально-пружинный,Сталь,2 года,Sensomatic Pro,47,4,9.5,22.6,3,Да,8.6,"1,0 °С",Да,4.4,60,В электрощит,1,18,Нет,Да,Да,Да,Пластик,Да,7,Нет,Да,IPX4,КНР,,,https://rkcdn.ru/products/53dba96b-f169-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/b9a5958c-9522-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/b091c218-9522-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/cd867316-6871-11eb-b729-005056010604/src.jpg,,,,
NPX 6 AQUATRONIC DIGITAL 2.0 Водонагреватель проточный  Electrolux,,RUB,10490.0,0,1,,"<p>Купить NPX 6 AQUATRONIC DIGITAL 2.0 Водонагреватель проточный  Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на NPX 6 AQUATRONIC DIGITAL 2.0 Водонагреватель проточный  Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим NPX 6 AQUATRONIC DIGITAL 2.0 Водонагреватель проточный  Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Модель проточных водонагревателей NPX 6 Aquatronic Digital сочетает в себе компактность и высокую эффективность и производительность,  достигаемую за счет применения мощных спиральных нагревательных элементов из нержавеющей стали. Водонагреватель NPX 6 Aquatronic Digital способен одновременно обеспечивать горячей водой несколько точек водоразбора.</p>

<h4>Удобная эксплуатация</h4>

<p>Для регулировки температуры и визуального контроля уровня нагрева воды водонагреватель  NPX 6 Aquatronic Digital снабжен удобными сенсорными кнопками и информативным LCD-дисплеем. Изюминкой этой модели является то, что дисплей скрыт под пластиком панели управления и становится виден только при установке температуры и нагреве воды.</p>

<h4>Система управления</h4>

<p>В водонагревателях NPX 6 Aquatronic Digital используется электронная система управления, которая дает возможность регулировать температуру воды до 1&deg;С.  </p>

<h4>Производительность</h4>

<p>Водонагреватель NPX 6 Aquatronic Digital отличается своей высокой производительностью по нагреву воды. Это достигается благодаря мощному спиральному нагревательному элементу, который способен производить более 2,5 литров горячей воды в минуту. При этом эффективность нагрева воды достигает 95%.</p>

<h4>Надежность использования</h4>

<p>Нагревательный элемент, установленный в водонагревателе NPX 6 Aquatronic Digital, изготовлен из высококачественной нержавеющей стали и находится в специальных колбах. При прохождении воды спираль ТЭНа вибрирует, предотвращая тем самым образование накипи,  что значительно увеличивает ресурс работы водонагревателя.</p>

<p>Водонагреватель NPX 6 Aquatronic Digital оснащен датчиком холла, который контролирует проток воды в водонагревателе. Специальный термостат обеспечивает защиту от перегрева водонагревателя, отключая его при нагреве воды выше 70&deg;C.</p>

<h4>Дизайн</h4>

<p>Водонагреватель NPX 6 Aquatronic Digital является самым компактным в своей категории. Благодаря компактности и элегантности дизайна, он легко и гармонично впишется в помещение даже самой небольшой площади и станет украшением интерьера.</p>

<h4>Гарантия 2 года</h4>

",,1,,Купить NPX 6 AQUATRONIC DIGITAL 2.0 Водонагреватель проточный  Electrolux с доставкой на uralenergotel.ru,Купить NPX 6 AQUATRONIC DIGITAL 2.0 Водонагреватель проточный  Electrolux по низкой цене у официального дилера ТД УЭТ,npx_6_aquatronic_digital_2_0,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,AQUATRONIC,NPX 6 AQUATRONIC DIGITAL 2.0,Да (без вилки),Нет,Настенный блок,30° - 48°,1.94,Верхнее,20.5,Гарантийный талон,11,1/2,21.6,1/2,5.7,Спирально-пружинный,Сталь,2 года,AQUATRONIC,14.1,4,8.5,19.1,1,Да,2.8,"1,0 °С",Да,1.69,80,В электрощит,1,5.7,Нет,Да,Да,Да,Пластик,Да,7,Нет,Да,IPX4,КНР,Нет,Да,https://rkcdn.ru/products/99c13c88-951c-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/ee4724b1-f164-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/be3c1e28-951c-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/a5aeb8e0-951c-11ea-9da0-ac162d7b6f40/src.jpg,https://rkcdn.ru/products/9394dcdc-951c-11ea-9da0-ac162d7b6f40/src.jpg,,,
"SMARTFIX 2.0 TS (5,5 kW) Проточный водонагреватель  - кран+душ Electrolux",,RUB,3190.0,1,1,,"<p>Купить SMARTFIX 2.0 TS (5,5 kW) Проточный водонагреватель  - кран+душ Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SMARTFIX 2.0 TS (5,5 kW) Проточный водонагреватель  - кран+душ Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SMARTFIX 2.0 TS (5,5 kW) Проточный водонагреватель  - кран+душ Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Модель проточных водонагревателей Smartfix 2.0 (5,5 кВт) отличается лаконичным дизайном и высокой производительностью по нагреву воды, которая достигается за счет применения мощных нагревательных элементов из меди. Водонагреватель Smartfix 2.0 (5,5&nbsp;кВт) предназначен для одной точки водоразбора.<br />
У моделей 3,5 кВт сетевой кабель с вилкой входит в комплект. У моделей 5,5 и 6,5 кВт в комплектацию не входит сетевой кабель, кабель докупается отдельно.</p>

<h4>Система управления</h4>
<p>В водонагревателях Smartfix 2.0 (5,5 кВт) используется гидравлическая система управления, которая дает возможность поддерживать температуру воды в зависимости от величины потока и регулировок смесителя.</p>

<p>В модели Smartfix 2.0 (5,5 кВт) предусмотрены три режима мощности, что позволяет экономить электроэнергию и повышать производительность прибора от минимальной до максимальной.</p>

<h4>Производительность</h4>
<p>Водонагреватель Smartfix 2.0 (5,5 кВт) отличается высокой производительностью по нагреву воды. Это достигается благодаря мощному спиральному нагревательному элементу.</p>

<h4>Безопасность</h4>
<p>Водонагреватель Smartfix 2.0 (5,5 кВт) оснащен датчиком давления, а также специальным термостатом, который обеспечивает защиту водонагревателя от перегрева.</p>

<h4>Удобство в эксплуатации</h4>
<p>Модель Smartfix 2.0 (5,5 кВт) примечательна тем, что может легко и быстро подключаться к стационарному смесителю, став отличным решением на время отключений горячей воды. Водонагреватель Smartfix 2.0 (5,5&nbsp;кВт) поставляется в трех вариантах комплектации: кран (T), душ (S), кран + душ (TS).</p>

<h4>Гарантия 2 года</h4>",,1,,"Купить SMARTFIX 2.0 TS (5,5 kW) Проточный водонагреватель  - кран+душ Electrolux с доставкой на uralenergotel.ru","Купить SMARTFIX 2.0 TS (5,5 kW) Проточный водонагреватель  - кран+душ Electrolux по низкой цене у официального дилера ТД УЭТ",smartfix_2_0_ts_5_5_kw,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,SMARTFIX 2.0,"SMARTFIX 2.0 TS (5,5 kW)",Нет,Нет,Настенный блок,20° - 40°,1.5,Нижнее,21.5,Гарантийный талон,11,1/2,29.5,1/2,5.5,Трубчатый электронагреватель (ТЭН),Медь,2 года,SMARTFIX 2.0,13.5,>=4,10,27,3,Да,3.1,Механическая регулировка,Нет,1.3,60,В электрощит,0.7,5.5,Душ+Кран,Да,Нет,Да,Пластик,Нет,6,Нет,Да,IPX4,КНР,,,https://rkcdn.ru/products/e5fe03da-1669-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/0bf29234-166a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/17ef4dc8-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/33d2a9fe-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/4801f8ab-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/5db91349-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/6794c0e3-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c237888a-165a-11ee-b736-005056013a69/src.jpg
"SMARTFIX 2.0 TS (6,5 kW) Проточный водонагреватель  - кран+душ Electrolux",,RUB,3490.0,1,1,,"<p>Купить SMARTFIX 2.0 TS (6,5 kW) Проточный водонагреватель  - кран+душ Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SMARTFIX 2.0 TS (6,5 kW) Проточный водонагреватель  - кран+душ Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SMARTFIX 2.0 TS (6,5 kW) Проточный водонагреватель  - кран+душ Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Модель проточных водонагревателей Smartfix 2.0 (6,5 кВт) отличается лаконичным дизайном и высокой производительностью по нагреву воды, которая достигается за счет применения мощных нагревательных элементов из меди. Водонагреватель Smartfix 2.0 (6,5 кВт) предназначен для одной точки водоразбора.<br />
У моделей 3,5 кВт сетевой кабель с вилкой входит в комплект. У моделей 5,5 и 6,5&nbsp;кВт в комплектацию не входит сетевой кабель, кабель докупается отдельно.</p>

<h4>Система управления</h4>
<p>В водонагревателях Smartfix 2.0 (6,5 кВт) используется гидравлическая система управления, которая дает возможность поддерживать температуру воды в зависимости от величины потока и регулировок смесителя.</p>

<p>В модели Smartfix 2.0 (6,5 кВт) предусмотрены три режима мощности, что позволяет экономить электроэнергию и повышать производительность прибора от минимальной до максимальной.</p>

<h4>Производительность</h4>
<p>Водонагреватель Smartfix 2.0 (6,5 кВт) отличается высокой производительностью по нагреву воды. Это достигается благодаря мощному спиральному нагревательному элементу.</p>

<h4>Безопасность</h4>
<p>Водонагреватель Smartfix 2.0 (6,5 кВт) оснащен датчиком давления, а также специальным термостатом, который обеспечивает защиту водонагревателя от перегрева.</p>

<h4>Удобство в эксплуатации</h4>
<p>Модель Smartfix 2.0 (6,5 кВт) примечательна тем, что может легко и быстро подключаться к стационарному смесителю, став отличным решением на время отключений горячей воды. Водонагреватель Smartfix 2.0 (6,5 кВт) поставляется в трех вариантах комплектации: кран (T), душ (S), кран + душ (TS).</p>

<h4>Гарантия 2 года</h4>",,1,,"Купить SMARTFIX 2.0 TS (6,5 kW) Проточный водонагреватель  - кран+душ Electrolux с доставкой на uralenergotel.ru","Купить SMARTFIX 2.0 TS (6,5 kW) Проточный водонагреватель  - кран+душ Electrolux по низкой цене у официального дилера ТД УЭТ",smartfix_2_0_ts_6_5_kw,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,SMARTFIX 2.0,"SMARTFIX 2.0 TS (6,5 kW)",Нет,Нет,Настенный блок,20° - 40°,1.65,Нижнее,21.5,Гарантийный талон,11,1/2,29.5,1/2,6.5,Трубчатый электронагреватель (ТЭН),Медь,2 года,SMARTFIX 2.0,13.5,>=4,10,27,3,Да,3.7,Механическая регулировка,Нет,1,60,В электрощит,0.7,6.5,Душ+Кран,Да,Нет,Да,Пластик,Нет,6,Нет,Да,IPX4,КНР,,,https://rkcdn.ru/products/df20d9e5-1669-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/6794c0e7-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/5db91345-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/4801f8af-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/33d2a9fa-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/17ef4dcc-165a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/0bf29236-166a-11ee-b736-005056013a69/src.jpg,https://rkcdn.ru/products/c2378888-165a-11ee-b736-005056013a69/src.jpg
