Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Номинальная производительность охлаждения,Управление c мобильного приложения по Wi-Fi,Система самодиагностики неисправности,Вес товара с упаковкой (брутто),Мин. рабочая температура воздуха для внешнего блока,Подсветка пульта,Высота упаковки товара,Гарантийный документ,Высота внутр. блока,Глубина упаковки товара,Высота внешнего блока,Макс. рабочая температура воздуха для внешнего блока,Ширина упаковки товара,Память заданных параметров работы,Глубина внешнего блока,Макс. потребляемая мощность,Тип блока,Глубина внутр. блока,"Мощность кондиционера (охлаждение),BTU",Гарантийный срок,Ширина внешнего блока,Ширина внутр. блока,Регулировка положения жалюзи с пульта,Индикация температуры воздуха (вблизи устройства),Индикация температуры воздуха (вблизи пульта управления),Серия,Высота товара,Уровень шума внутр. блока,Ширина декоративной панели,Глубина товара,Мин. производительность обогрева,Макс. уровень шума внешнего блока,Ширина товара,Мин. производительность охлаждения,Эффективен для помещ. площадью до,Моющийся воздушный фильтр в комплекте,Макс. длина магистрали (трассы),Регулировка температуры охлаждения,Вес декоративной панели (нетто),Режим автоочистки,Количество ступеней фильтрации,Макс. перепад высот между внутр. и внешним блоками,Точность установки температуры,Инверторная технология,Вес товара (нетто),Режим обогрева,Режим осушения,Макс. производительность охлаждения,Функция интенсивного охлаждения,Режим SLEEP,Макс. производительность обогрева,Производительность по воздуху,Вес внутр. блока (нетто),Pre Filter (фильтр предварительной очистки),Индикация режимов работы,Потребляемая мощность в режиме нагрева,Вес внешнего блока (нетто),Режим вентиляции,Пульт управления в комплекте,Потребляемая мощность в режиме охлаждения,Номинальная производительность обогрева,Длина кабеля,Регулировка температуры обогрева,Страна производства,Таймер на отключение,Таймер на включение,Хладагент,Антибактериальный фильтр,Деодорирующий фильтр в комплекте,Класс энергоэффективности,Функция ионизации воздуха,"Базовая мощность кондиционера (охлаждение),BTU",Подмес воздуха с улицы,Поддержание температуры вблизи пульта управления,Авторестарт при отключении питания,Необходим блок-распределитель,Макс. количество подключаемых внутр. блоков,Режим размораживания внешнего блока,Коэффициент энергоэффективности EER/COP,Набор крепежных элементов в комплекте,Цифровой дисплей,Класс пылевлагозащищенности,Сетевой кабель,Wi-Fi модуль,Изображения,Изображения,Изображения
Кондиционирование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Сплит-системы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Мульти сплит-системы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EACW/I-12 FMI/N8_ERP Блок внутренний  Free match сплит-системы, консольного типа Electrolux",,RUB,52700.0,1,1,,"<p>Купить EACW/I-12 FMI/N8_ERP Блок внутренний  Free match сплит-системы, консольного типа Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACW/I-12 FMI/N8_ERP Блок внутренний  Free match сплит-системы, консольного типа Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACW/I-12 FMI/N8_ERP Блок внутренний  Free match сплит-системы, консольного типа Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внутренние блоки консольного типа позволяют создать идеальный микроклимат в помещении. Блоки позволяют обеспечить поток воздуха вдоль пола для идеальной конвекции в помещении, а непрямой поток воздуха является идеальным решением для спален и детский. Также блоки в составе имеют специальный титановый фотокаталитический фильтр, который обеспечит дополнительную очистку и дезинфекцию воздуха.</p>",,1,,"Купить EACW/I-12 FMI/N8_ERP Блок внутренний  Free match сплит-системы, консольного типа Electrolux с доставкой на uralenergotel.ru","Купить EACW/I-12 FMI/N8_ERP Блок внутренний  Free match сплит-системы, консольного типа Electrolux по низкой цене у официального дилера ТД УЭТ",eacw_i_12_fmi_n8_erp,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACW/I-12 FMI/N8_ERP,3.5,Нет,Да,18.5,-22,,68,Гарантийный талон,0.6,29,,43,78,Да,,0.03,Консольный,0.215,12000,3 года,,0.7,Да,,Да,Super Match ERP R32,60,25,,21.5,,,70,,35,Да,,Да,,Да,1,,"1,0 °С",Да,15.5,Да,Да,3.5,Да,Да,"3,75",600,15.5,В комплекте,Да,30,,Да,Да,30,3.75,,Да,КНР,Да,Да,R32,Да,Нет,A++,Нет,12000,,Да,Да,,,Да,,Нет,Да,IPX0,,,https://rkcdn.ru/products/81a4f7e8-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/3d63c9b6-4192-11ee-b737-005056941658/src.jpg,
EACO/I-18 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux,,RUB,110300.0,1,1,,"<p>Купить EACO/I-18 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACO/I-18 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACO/I-18 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внешние блоки Electrolux — это возможность подключения до пяти внутренних блоков, свобода в выборе типов внутренних блоков и надежная работа, даже когда за окном минусовая температура.</p>",,1,,Купить EACO/I-18 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACO/I-18 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eaco_i_18_fmi_2_n8_erp,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACO/I-18 FMI-2/N8_ERP,5.3,Нет,Да,34.5,-22,,62,Гарантийный талон,,39,0.55,43,87.2,Да,0.3,1.48,Внешний,,18000,3 года,0.745,,,,,Super Match ERP R32,55,,,30,"2,58",50,74.5,2.14,55,,40,Да,,Да,,15,"1,0 °С",Да,32,Да,Да,5.8,Да,Да,"6,5",2300,,,,1250,32,,Да,1480,5.65,,Да,КНР,,,R32,,,A++,Нет,18000,,,Да,Нет,2,Да,"4,58/4,53",Нет,,IPX0,Нет,Нет,https://rkcdn.ru/products/77f9b119-e80b-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/e671f6b0-e809-11ec-b732-005056013a69/src.jpg,
EACS/I-24 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux,,RUB,58800.0,0,1,,"<p>Купить EACS/I-24 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACS/I-24 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACS/I-24 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Бесшумные внутренние блоки настенного типа станут вашим помощником в создании комфортных условий даже в спальне или детской, а полезные функции, такие как память положения жалюзи или функция &quot;I-feel&quot;, сделают управление системой простым и удобным.</p>",,1,,Купить EACS/I-24 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACS/I-24 HM FMI/N8_ERP/in Блок внутренний  сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eacs_i_24_hm_fmi_n8_erp_in,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACS/I-24 HM FMI/N8_ERP/in,6.15,Нет,Да,20.5,-22,Да,31,Гарантийный талон,0.3,104,,43,39,Да,,0.035,Настенный,0.224,24000,3 года,,0.97,Да,Да,Да,Super Match ERP R32,30,34,,22.4,,,97,,60,Да,,Да,,Да,1,,"1,0 °С",Да,17,Да,Да,6.4,Да,Да,"6,6",850,13.5,В комплекте,Да,35,,Да,Да,35,6.45,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,24000,,Да,,,,,,,,,,,https://rkcdn.ru/products/7247913b-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/0594e2af-4192-11ee-b737-005056941658/src.jpg,
EACO/I-36 FMI-4/N8_ERP Блок внешний  Free match сплит-системы Electrolux,,RUB,241000.0,1,1,,"<p>Купить EACO/I-36 FMI-4/N8_ERP Блок внешний  Free match сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACO/I-36 FMI-4/N8_ERP Блок внешний  Free match сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACO/I-36 FMI-4/N8_ERP Блок внешний  Free match сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внешние блоки Electrolux — это возможность подключения до пяти внутренних блоков, свобода в выборе типов внутренних блоков и надежная работа, даже когда за окном минусовая температура.</p>",,1,,Купить EACO/I-36 FMI-4/N8_ERP Блок внешний  Free match сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACO/I-36 FMI-4/N8_ERP Блок внешний  Free match сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eaco_i_36_fmi_4_n8_erp,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACO/I-36 FMI-4/N8_ERP,10.5,Нет,Да,79,-22,,88.5,Гарантийный талон,,49,0.826,43,109.3,Да,0.427,3.1,Внешний,,36000,3 года,1.02,,,,,Super Match ERP R32,82.6,,,42.7,"2,6",60,102,2.6,105,,80,Да,,Да,,25,"1,0 °С",Да,72,Да,Да,12,Да,Да,"13,5",7200,,,,3200,72,,Да,3100,12,,Да,КНР,,,R32,,,A++,Нет,36000,,,Да,Нет,4,Да,"3,39/3,75",Нет,,IPX0,Нет,Нет,https://rkcdn.ru/products/165ad6bd-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/8deeb49e-e80b-11ec-b732-005056013a69/src.jpg,
"EACD/I-12 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux",,RUB,46900.0,1,1,,"<p>Купить EACD/I-12 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACD/I-12 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACD/I-12 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Благодаря компактному дизайну и системе свободной компоновки вы можете устанавливать систему там, где удобно именно вам. Более того, моющиеся фильтры и высокая эффективность помогут вам сэкономить на электроэнергии и расходных материалах.</p>",,1,,"Купить EACD/I-12 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux с доставкой на uralenergotel.ru","Купить EACD/I-12 FMI/N8_ERP Free match Блок внутренний  сплит-системы, канального типа Electrolux по низкой цене у официального дилера ТД УЭТ",eacd_i_12_fmi_n8_erp_free_match,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACD/I-12 FMI/N8_ERP Free match,3.5,Нет,Да,29,-22,,29,Гарантийный талон,0.2,101,,43,56.5,Да,,0.025,Канальный,0.615,12000,3 года,,0.7,,,Да,Super Match ERP R32,20,32,,61.5,,,70,,35,Да,,Да,,Да,1,,"1,0 °С",Да,23,Да,Да,3.5,Да,Да,"3,85",620,22,В комплекте,,25,,Да,Да,25,3.85,,Да,КНР,Да,Да,R32,Нет,Нет,A++,Нет,12000,Да,Да,,,,,,,Да (выносной пульт управления),,,,https://rkcdn.ru/products/3c238b1a-e80a-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/d0953957-4191-11ee-b737-005056941658/src.jpg,
EACO/I-24 FMI-3/N8_ERP Блок внешний  Free match сплит-системы Electrolux,,RUB,147900.0,1,1,,"<p>Купить EACO/I-24 FMI-3/N8_ERP Блок внешний  Free match сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACO/I-24 FMI-3/N8_ERP Блок внешний  Free match сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACO/I-24 FMI-3/N8_ERP Блок внешний  Free match сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внешние блоки Electrolux — это возможность подключения до пяти внутренних блоков, свобода в выборе типов внутренних блоков и надежная работа, даже когда за окном минусовая температура.</p>",,1,,Купить EACO/I-24 FMI-3/N8_ERP Блок внешний  Free match сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACO/I-24 FMI-3/N8_ERP Блок внешний  Free match сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eaco_i_24_fmi_3_n8_erp,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACO/I-24 FMI-3/N8_ERP,7.1,Нет,Да,52,-22,,73.7,Гарантийный талон,,45,0.654,43,103.2,Да,0.34,1.88,Внешний,,24000,3 года,0.889,,,,,Super Match ERP R32,65.4,,,34,"3,66",57,88.9,2.3,70,,60,Да,,Да,,15,"1,0 °С",Да,47.5,Да,Да,9.2,Да,Да,"9,2",3800,,,,2230,47.5,,Да,1880,8.6,,Да,КНР,,,R32,,,A++,Нет,24000,,,Да,Нет,3,Да,"3,77/3,86",Нет,,IPX0,Нет,Нет,https://rkcdn.ru/products/f7c7c3d0-e809-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/809b8e51-e80b-11ec-b732-005056013a69/src.jpg,
EACO/I-14 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux,,RUB,99700.0,1,1,,"<p>Купить EACO/I-14 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на EACO/I-14 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим EACO/I-14 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Внешние блоки Electrolux — это возможность подключения до пяти внутренних блоков, свобода в выборе типов внутренних блоков и надежная работа, даже когда за окном минусовая температура.</p>",,1,,Купить EACO/I-14 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux с доставкой на uralenergotel.ru,Купить EACO/I-14 FMI-2/N8_ERP Блок внешний  Free match сплит-системы Electrolux по низкой цене у официального дилера ТД УЭТ,eaco_i_14_fmi_2_n8_erp,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Electrolux,Super Match ERP R32,EACO/I-14 FMI-2/N8_ERP,4.1,Нет,Да,32.5,-22,,62,Гарантийный талон,,39,0.55,43,87.2,Да,0.3,1.1,Внешний,,14000,3 года,0.745,,,,,Super Match ERP R32,55,,,30,"2,49",50,74.5,2.05,40,,40,Да,,Да,,15,"1,0 °С",Да,30,Да,Да,5,Да,Да,"5,4",2300,,,,970,30,,Да,1100,4.4,,Да,КНР,,,R32,,,A++,Нет,14000,,,Да,Нет,2,Да,"3,72/4,54",Нет,,IPX0,Нет,Нет,https://rkcdn.ru/products/6e20431f-e80b-11ec-b732-005056013a69/src.jpg,https://rkcdn.ru/products/d8fab29f-e809-11ec-b732-005056013a69/src.jpg,
