Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Потребительский класс,Макс. температура теплоносителя,Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Максимальное рабочее давление,Ширина упаковки товара,Артикул,Гарантийный срок,Мин. рабочая температура,Макс. рабочая температура,Высота товара,Глубина товара,Срок службы,Комплект поставки,Ширина товара,Количество выходов коллектора,Вес товара (нетто),Макс. температура окружающей среды,Межосевое расстояние,Набор крепежных элементов в комплекте,Макс. рабочее давление,Диаметр трубы,Страна производства,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Коллекторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Группы быстрого монтажа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RTE 54.117 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами Royal Thermo",,RUB,13122.0,1,1,,"<p>Купить RTE 54.117 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.117 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.117 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.117 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.117 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_117,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.117,RTE 54.117,8.3,Премиум,110,8,Гарантийный талон,63,10,30,,5 лет,5,150,8,63,,Блок с кронштейнами,30,2-3,8.3,50,125,Да,10,1 НР,РОССИЯ,https://rkcdn.ru/products/2f497ca2-4621-11ed-b732-005056013a69/src.jpg
"RTE 54.213 Коллектор на 3 (4) отопительных контура, в комплекте с кронштейнами, 150 кВт Royal Thermo",,RUB,12060.0,1,1,,"<p>Купить RTE 54.213 Коллектор на 3 (4) отопительных контура, в комплекте с кронштейнами, 150 кВт Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.213 Коллектор на 3 (4) отопительных контура, в комплекте с кронштейнами, 150 кВт Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.213 Коллектор на 3 (4) отопительных контура, в комплекте с кронштейнами, 150 кВт Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.213 Коллектор на 3 (4) отопительных контура, в комплекте с кронштейнами, 150 кВт Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.213 Коллектор на 3 (4) отопительных контура, в комплекте с кронштейнами, 150 кВт Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_213,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.213,RTE 54.213,13.15,Премиум,110,11,Гарантийный талон,91,10,30,,5 лет,5,150,8,81.5,,Коллектор с кронштейнами,27.5,3-4,13.15,50,125,Да,10,,РОССИЯ,https://rkcdn.ru/products/5e82c999-4621-11ed-b732-005056013a69/src.jpg
"RTE 54.103 Группа насосная 1"" с термостатическим смесительным клапаном (без насоса) Royal Thermo",,RUB,26087.0,1,1,,"<p>Купить RTE 54.103 Группа насосная 1"" с термостатическим смесительным клапаном (без насоса) Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.103 Группа насосная 1"" с термостатическим смесительным клапаном (без насоса) Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.103 Группа насосная 1"" с термостатическим смесительным клапаном (без насоса) Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.103 Группа насосная 1"" с термостатическим смесительным клапаном (без насоса) Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.103 Группа насосная 1"" с термостатическим смесительным клапаном (без насоса) Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_103,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.103,RTE 54.103,4.79,,,25,,42,10,31,,5 лет,,110,23,40,,,29,,4.25,,,,10,,ИТАЛИЯ,https://rkcdn.ru/products/fee09024-6fdf-11ed-b732-005056013a69/src.jpg
"RTE 54.214 Блок коллекторный на 4-5 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo",,RUB,16740.0,1,1,,"<p>Купить RTE 54.214 Блок коллекторный на 4-5 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.214 Блок коллекторный на 4-5 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.214 Блок коллекторный на 4-5 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.214 Блок коллекторный на 4-5 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.214 Блок коллекторный на 4-5 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_214,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.214,RTE 54.214,8.67,Премиум,110,10.5,Гарантийный талон,63,10,27,,5 лет,5,150,10.5,63,,Блок с кронштейнами,27,4-5,8.67,50,125,Да,10,1 НР,РОССИЯ,https://rkcdn.ru/products/809b4059-4621-11ed-b732-005056013a69/src.jpg
"RTE 54.119 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo",,RUB,29565.0,1,1,,"<p>Купить RTE 54.119 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.119 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.119 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.119 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.119 Блок коллекторный на 2(3) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_119,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.119,RTE 54.119,8.5,,,13,,65,10,32,,5 лет,,150,13,65,,Блок с кронштейнами,32,,8.4,,,,10,,РОССИЯ,https://rkcdn.ru/products/669f042e-4621-11ed-b732-005056013a69/src.jpg
"RTE 54.216 Блок коллекторный на 6-7 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo",,RUB,21213.0,1,1,,"<p>Купить RTE 54.216 Блок коллекторный на 6-7 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.216 Блок коллекторный на 6-7 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.216 Блок коллекторный на 6-7 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.216 Блок коллекторный на 6-7 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.216 Блок коллекторный на 6-7 выходов (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_216,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.216,RTE 54.216,11.57,Премиум,110,10.5,Гарантийный талон,88,10,28,,5 лет,5,150,10.5,88,,Блок с кронштейнами,28,6-7,11.57,50,125,Да,10,1 НР,РОССИЯ,https://rkcdn.ru/products/380ee4ae-4621-11ed-b732-005056013a69/src.jpg
"RTE 54.102 Группа насосная 1"" смесительная (без насоса) Royal Thermo",,RUB,22134.0,1,1,,"<p>Купить RTE 54.102 Группа насосная 1"" смесительная (без насоса) Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.102 Группа насосная 1"" смесительная (без насоса) Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.102 Группа насосная 1"" смесительная (без насоса) Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.102 Группа насосная 1"" смесительная (без насоса) Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.102 Группа насосная 1"" смесительная (без насоса) Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_102,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.102,RTE 54.102,4.78,,,24,,42,10,31,,5 лет,,110,22,40,,,29,,4.24,,,,10,,ИТАЛИЯ,https://rkcdn.ru/products/f676367a-6fdf-11ed-b732-005056013a69/src.jpg
"RTE 54.112 Коллектор на 2 (3) отопительных контура, Ду 25 с кронштейнами Royal Thermo",,RUB,9212.0,1,1,,"<p>Купить RTE 54.112 Коллектор на 2 (3) отопительных контура, Ду 25 с кронштейнами Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.112 Коллектор на 2 (3) отопительных контура, Ду 25 с кронштейнами Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.112 Коллектор на 2 (3) отопительных контура, Ду 25 с кронштейнами Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.112 Коллектор на 2 (3) отопительных контура, Ду 25 с кронштейнами Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.112 Коллектор на 2 (3) отопительных контура, Ду 25 с кронштейнами Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_112,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.112,RTE 54.112,6.15,Премиум,110,11,Гарантийный талон,64,10,30,,5 лет,5,150,10,54.5,,Коллектор с кронштейнами,23,2-3,6.06,50,125,Да,10,,РОССИЯ,https://rkcdn.ru/products/43c9645d-4621-11ed-b732-005056013a69/src.jpg
"RTE 54.120 Блок коллекторный на 3(4) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo",,RUB,39780.0,1,1,,"<p>Купить RTE 54.120 Блок коллекторный на 3(4) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.120 Блок коллекторный на 3(4) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.120 Блок коллекторный на 3(4) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.120 Блок коллекторный на 3(4) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.120 Блок коллекторный на 3(4) выхода, стрелка 60 кВт, в комплекте с кронштейнами, AISI 304 Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_120,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.120,RTE 54.120,11.5,Премиум,110,13,Гарантийный талон,88,10,31,,5 лет,5,150,13,88,,Блок с кронштейнами,31,3-4,11.3,50,125,Да,10,1 НР,РОССИЯ,https://rkcdn.ru/products/4a0fc194-4621-11ed-b732-005056013a69/src.jpg
"RTE 54.215 Блок коллекторный на 2-3 выхода (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo",,RUB,12708.0,1,1,,"<p>Купить RTE 54.215 Блок коллекторный на 2-3 выхода (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 54.215 Блок коллекторный на 2-3 выхода (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 54.215 Блок коллекторный на 2-3 выхода (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,"Купить RTE 54.215 Блок коллекторный на 2-3 выхода (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 54.215 Блок коллекторный на 2-3 выхода (вверх-вниз), стрелка 60 кВт, с кронштейнами Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_54_215,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 54.215,RTE 54.215,4.27,Премиум,110,10.5,Гарантийный талон,41,10,27,,5 лет,5,150,10.5,41,,Блок с кронштейнами,27,2-3,4.27,50,125,Да,10,1 НР,РОССИЯ,https://rkcdn.ru/products/f98c109c-4620-11ed-b732-005056013a69/src.jpg
