Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Потребительский класс,Макс. температура теплоносителя,Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Максимальное рабочее давление,Ширина упаковки товара,Условная пропускная способность встроенного термостатического вентиля Kvs,Гарантийный срок,Условная пропускная способность регулировочного вентиля Kvs,Высота товара,Глубина товара,Диаметр коллектора,Ширина товара,Количество выходов коллектора,Количество в упаковке,Диаметр отвода коллектора,Вес товара (нетто),Макс. температура окружающей среды,Тип коллектора,Страна производства,Материал уплотнителей o-ring,Мин. рабочая температура,Серия,Макс. рабочая температура,Межосевое расстояние,Набор крепежных элементов в комплекте,Макс. рабочее давление,Диаметр трубы,Комплект поставки,Изображения,Изображения,Изображения,Изображения,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Коллекторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Коллекторы распределительные,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RTE 51.103 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 3 выхода Royal Thermo",,RUB,12600.0,1,1,,"<p>Купить RTE 51.103 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 3 выхода Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.103 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 3 выхода Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.103 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 3 выхода Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.103 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 3 выхода Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.103 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 3 выхода Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_103,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.103,RTE 51.103,2.1,Стандарт,100,10,Паспорт,37,10,26,2.5,5 лет,3.8,8.5,22.9,1,26.9,3,1,3/4,2.1,50,Универсальный,ИТАЛИЯ,,,RTE 51.103,,,,,,,https://rkcdn.ru/products/bbaaf7ae-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e103-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3ab-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e2705228-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/9970e659-9b23-11ed-b733-005056013a69/src.jpg
"RTE 52.105 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 5 выходов Royal Thermo",,RUB,19800.0,1,1,,"<p>Купить RTE 52.105 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 5 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 52.105 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 5 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 52.105 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 5 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в контуры теплого пола. Для удобства балансировки системы напольного отопления на коллектор установлены расходомеры для визуального контроля и необходимой регулировки расхода теплоносителя в отдельных контурах теплого пола.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 52.105 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 5 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 52.105 Коллектор нерж. в сборе с расходомерами 1"" ВР-3/4"" НР, 5 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_52_105,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 52.105,RTE 52.105,2.9,Стандарт,70,10,Паспорт,37,6,26,2.5,5 лет,1.24,8.5,32.9,1,26.9,5,1,3/4,2.9,50,С расходомерами,ИТАЛИЯ,,,RTE 52.105,,,,,,,https://rkcdn.ru/products/4382de05-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/2cc463a0-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6c8bb820-9b22-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/5e2ce059-9b22-11ed-b733-005056013a69/src.jpg,
"RTE 51.102 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 2 выхода Royal Thermo",,RUB,10350.0,1,1,,"<p>Купить RTE 51.102 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 2 выхода Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.102 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 2 выхода Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.102 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 2 выхода Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.102 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 2 выхода Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.102 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 2 выхода Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_102,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.102,RTE 51.102,1.7,Стандарт,100,10,Паспорт,37,10,26,2.5,5 лет,3.8,8.5,17.9,1,26.9,2,1,3/4,1.7,50,Универсальный,ИТАЛИЯ,,,RTE 51.102,,,,,,,https://rkcdn.ru/products/bbaaf7b4-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/9970e65f-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3a5-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e270522e-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e0fd-9b23-11ed-b733-005056013a69/src.jpg
"RTE 51.112 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 12 выходов Royal Thermo",,RUB,33750.0,1,1,,"<p>Купить RTE 51.112 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 12 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.112 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 12 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.112 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 12 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.112 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 12 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.112 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 12 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_112,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.112,RTE 51.112,5.5,Стандарт,100,10,Паспорт,73,10,26,2.5,5 лет,3.8,8.5,67.9,1,26.9,12,1,3/4,5.5,50,Универсальный,ИТАЛИЯ,,,RTE 51.112,,,,,,,https://rkcdn.ru/products/9970e655-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3af-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e2705224-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e105-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/bbaaf7ac-9b23-11ed-b733-005056013a69/src.jpg
"RTE 51.104 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 4 выхода Royal Thermo",,RUB,14850.0,1,1,,"<p>Купить RTE 51.104 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 4 выхода Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.104 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 4 выхода Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.104 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 4 выхода Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.104 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 4 выхода Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.104 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 4 выхода Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_104,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.104,RTE 51.104,0.1,Стандарт,100,10,Паспорт,10,10,10,2.5,5 лет,3.8,8.5,27.9,1,26.9,4,1,3/4,2.4,50,Универсальный,ИТАЛИЯ,,,RTE 51.104,,,,,,,https://rkcdn.ru/products/9970e653-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/bbaaf7a8-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3b1-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e2705222-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e109-9b23-11ed-b733-005056013a69/src.jpg
"RTO 62.004 Коллектор с регулировочными вентилями 3/4""×1/2"", 4 выхода Royal Thermo",,RUB,2500.0,0,1,,"<p>Купить RTO 62.004 Коллектор с регулировочными вентилями 3/4""×1/2"", 4 выхода Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTO 62.004 Коллектор с регулировочными вентилями 3/4""×1/2"", 4 выхода Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTO 62.004 Коллектор с регулировочными вентилями 3/4""×1/2"", 4 выхода Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Коллекторы применяются для распределения и регулировки расхода потока на трубопроводах систем холодного и горячего водоснабжения. Преимуществом использования коллекторов со встроенными регулировочными вентилями является то, что с их помощью можно легко и быстро перекрыть контур подачи воды и установить или заменить приборы без отключения или опорожнения всей системы.</p>",,1,,"Купить RTO 62.004 Коллектор с регулировочными вентилями 3/4""×1/2"", 4 выхода Royal Thermo с доставкой на uralenergotel.ru","Купить RTO 62.004 Коллектор с регулировочными вентилями 3/4""×1/2"", 4 выхода Royal Thermo по низкой цене у официального дилера ТД УЭТ",rto_62_004,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,OPTIMAL,RTO 62.004,0.64,Стандарт,110,7.5,Паспорт,6,10,17,,5 лет,,8.5,16,,3.3,4,8,,0.61,50,Сантехнический,КНР,EPDM,5,OPTIMAL,110,36,Да,10,3/4ВРх1/2НР,,https://rkcdn.ru/products/e95c9bfe-3825-11ee-b736-005056013a69/src.jpg,,,,
"RTE 51.105 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 5 выходов Royal Thermo",,RUB,17100.0,1,1,,"<p>Купить RTE 51.105 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 5 выходов Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTE 51.105 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 5 выходов Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTE 51.105 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 5 выходов Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются в качестве распределителя теплоносителя в системах отопления и водоснабжения. Их применение позволяет доставлять теплоноситель в каждый отопительный прибор напрямую без дополнительных соединений. Это значительно упрощает процесс монтажа.</p>

<ul class=""ul"">
<li>Нержавеющая сталь</li>
<li>Межосевое расстояние 200 мм</li>
<li>Максимальная рабочая температура 100&deg;С</li>
<li>Рабочее давление 10 Бар</li>
</ul>",,1,,"Купить RTE 51.105 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 5 выходов Royal Thermo с доставкой на uralenergotel.ru","Купить RTE 51.105 Коллектор нерж. в сборе универсальный 1"" ВР-3/4"" НР, 5 выходов Royal Thermo по низкой цене у официального дилера ТД УЭТ",rte_51_105,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,RTE 51.105,RTE 51.105,2.8,Стандарт,100,10,Паспорт,37,10,26,2.5,5 лет,3.8,8.5,32.9,1,26.9,5,1,3/4,2.8,50,Универсальный,ИТАЛИЯ,,,RTE 51.105,,,,,,,https://rkcdn.ru/products/9970e663-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/bbaaf7b6-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/d021d3a3-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/e2705230-9b23-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f422e0fb-9b23-11ed-b733-005056013a69/src.jpg
