Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Объем воды в радиаторе,Вес товара с упаковкой (брутто),Потребительский класс,Макс. температура теплоносителя,Тип подключения,Высота упаковки товара,Гарантийный документ,Глубина упаковки товара,Максимальное рабочее давление,Ширина упаковки товара,Монтажный набор,Количество секций,Резьба присоединения радиатора,Гарантийный срок,Предельное давление,Тип радиатора,Серия,Высота товара,Теплоотдача при Δt 70,Глубина товара,МЕЖОСЕВОЕ РАССТОЯНИЕ,Ширина товара,Эффективен для помещ. площадью до,Вес товара (нетто),Масса секции,Теплоотдача при Δt 60,Теплоотдача при Δt 50,Защита от протечек,Межосевое расстояние,Расчетное рабочее давление в системе водоснабжения,Набор крепежных элементов в комплекте,Давление опрессовки,Цвет радиатора,ПЛОЩАДЬ ПОМЕЩЕНИЯ до,Технический каталог,Страна производства,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Отопление,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Ра­ди­ато­ры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Биметаллические секционные радиаторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTPFTSS20022 Радиатор PianoForte Tower 200 /Silver Satin - 22 секц. Royal Thermo,,RUB,37000.0,1,1,,"<p>Купить RTPFTSS20022 Радиатор PianoForte Tower 200 /Silver Satin - 22 секц. Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTPFTSS20022 Радиатор PianoForte Tower 200 /Silver Satin - 22 секц. Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTPFTSS20022 Радиатор PianoForte Tower 200 /Silver Satin - 22 секц. Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить RTPFTSS20022 Радиатор PianoForte Tower 200 /Silver Satin - 22 секц. Royal Thermo с доставкой на uralenergotel.ru,Купить RTPFTSS20022 Радиатор PianoForte Tower 200 /Silver Satin - 22 секц. Royal Thermo по низкой цене у официального дилера ТД УЭТ,rtpftss20022,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,Pianoforte Tower,RTPFTSS20022,3.52,22,,110,Боковое,12,Паспорт,30,25,178,,22,1,25 лет,200,Секционный,Pianoforte Tower,28,1010,10,200,176,11,22,,828.2,657,,200,25,Да,37.5,Серебристый,11,,РОССИЯ,https://rkcdn.ru/products/151db26d-fec3-11ed-b736-005056013a69/src.jpg,,,,,,,
RTRBNS250010 Радиатор Revolution Bimetall 500 2.0/Noir Sable – 10 секц. Royal Thermo,,RUB,10600.0,1,1,,"<p>Купить RTRBNS250010 Радиатор Revolution Bimetall 500 2.0/Noir Sable – 10 секц. Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTRBNS250010 Радиатор Revolution Bimetall 500 2.0/Noir Sable – 10 секц. Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTRBNS250010 Радиатор Revolution Bimetall 500 2.0/Noir Sable – 10 секц. Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить RTRBNS250010 Радиатор Revolution Bimetall 500 2.0/Noir Sable – 10 секц. Royal Thermo с доставкой на uralenergotel.ru,Купить RTRBNS250010 Радиатор Revolution Bimetall 500 2.0/Noir Sable – 10 секц. Royal Thermo по низкой цене у официального дилера ТД УЭТ,rtrbns250010,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,Revolution Bimetall 2.0,RTRBNS250010,3.7,18.6,,110,Боковое,10,Паспорт,58,25,82,,10,1,15 лет,200,Секционный,Revolution Bimetall 2.0,56.4,1600,8,500,80,16,18.4,,1310,1040,Полностью стальной коллектор,500,,Нет,37.5,Черный графитовый,16,,РОССИЯ,https://rkcdn.ru/products/1ef4b087-ed16-11ee-b8d7-00505601218a/src.jpg,https://rkcdn.ru/products/1815b08b-ed16-11ee-b8d7-00505601218a/src.jpg,,,,,,
RTVSVDR8030009 Радиатор Vittoria Super 300 VDR80 - 9 секц. Royal Thermo,,RUB,13000.0,1,1,,"<p>Купить RTVSVDR8030009 Радиатор Vittoria Super 300 VDR80 - 9 секц. Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTVSVDR8030009 Радиатор Vittoria Super 300 VDR80 - 9 секц. Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTVSVDR8030009 Радиатор Vittoria Super 300 VDR80 - 9 секц. Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><strong>Биметаллический радиатор для любых систем отопления&nbsp; с нижним подключением</strong><br /><strong>Уникальная разработка</strong><br />Первый радиатор спроектированный в лаборатории Royal Thermo с применением математического моделирования, что позволило увеличить теплоотдачу прибора на 3%.<br /><strong>Повышенная мощность, технология POWERSHIFT &reg;</strong><br />Дополнительное оребрение на вертикальном коллекторе секции увеличивает теплоотдачу радиатора на 5%. Такое решение способствует более быстрому обогреву помещений при том же размере и весе секций.<br /><strong>100% НАСТОЯЩИЙ БИМЕТАЛЛ</strong><br />Применение полностью стального закладного элемента, выполненного из углеродистой стали марки 20, которая отличается повышенной коррозионной стойкостью и эксплуатационной надежностью. Гарантирует надежную работу в системах, подверженных гидроударам и с химически агрессивными теплоносителями (в том числе антифризами).<br /><strong>Oxsilan&reg; 9807 &ndash; новое поколение экологически чистого покрытия без тяжелых металлов и фосфатов</strong><br />Oxsilan&reg; 9807 наносится на секцию радиатора перед покраской и за счет улучшенной адгезии лакокрасочного покрытия повышает антикоррозийную стойкость и долговечность радиаторов.<br /><strong>Сверхстойкая 7-этапная NANO-покраска TECNOFIRMA&reg;</strong><br />Нанесение экологически чистых нано-красок AkzoNobel (Нидерланды) и FreiLacke (Германия) в семь этапов гарантирует стойкость к механическим повреждениям и обеспечивает долговечность покрытия радиатора в помещениях с повышенной влажностью.</p>",,1,,Купить RTVSVDR8030009 Радиатор Vittoria Super 300 VDR80 - 9 секц. Royal Thermo с доставкой на uralenergotel.ru,Купить RTVSVDR8030009 Радиатор Vittoria Super 300 VDR80 - 9 секц. Royal Thermo по низкой цене у официального дилера ТД УЭТ,rtvsvdr8030009,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,Vittoria Super VD,RTVSVDR8030009,1.53,11.9,,110,"Нижнее, правое",9.5,Паспорт,38,25,92,,9,3/4,15 лет,200,Секционный,Vittoria Super VD,37,1107,72,300,9,12,11.7,,909,720,Полностью стальной коллектор,300,,Нет,37.5,Белый,12,,РОССИЯ,https://rkcdn.ru/products/e82648b9-613d-11ee-b737-005056941658/src.jpg,,,,,,,
RTRB35008 Радиатор Revolution Bimetall 350 - 8 секц. Royal Thermo,,RUB,7840.0,1,1,,"<p>Купить RTRB35008 Радиатор Revolution Bimetall 350 - 8 секц. Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTRB35008 Радиатор Revolution Bimetall 350 - 8 секц. Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTRB35008 Радиатор Revolution Bimetall 350 - 8 секц. Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Полностью биметаллический радиатор с коллектором из высоколегированной стали. Предназначен для использования в центральных системах отопления. Благодаря применению технологии PowerShift – дополнительным ребрам на коллекторе – имеет высочайшую для биметалла теплоотдачу.</p>

<p>Изготавливается методом литья под давлением из специального алюминиевого сплава. Такой способ производства позволяет получить радиатор повышенной прочности и надежности. Радиатор прослужит в несколько раз дольше по сравнению с аналогичными отопительными приборами.</p>

<h4>Особенности модели Revolution Bimetall</h4>

<p><b>Полностью стальной коллектор нового поколения ABSOLUTBIMETALL ®</b></p>
<ul class=""ul"">
<li>Применение только полностью стальных коллекторов гарантирует надежную работу в системах подверженных гидроударам и с химически агрессивными теплоносителями (в том числе антифризами).</li>
</ul>

<p><b>Повышенная мощность, технология POWERSHIFT. Патент №122469</b></p>
<ul class=""ul"">
<li>Дополнительное оребрение на вертикальном коллекторе секции увеличивает теплоотдачу радиатора на 5%.</li>
</ul>

<p><b>Oxsilan R 9807 – новое поколение экологически чистого покрытия без тяжелых металлов и фосфатов</b></p>
<ul class=""ul"">
<li>Oxsilan ® 9807 наносится на секцию радиатора перед покраской и за счет улучшенной адгезии лакокрасочного покрытия повышает антикоррозийную стойкость и долговечность радиаторов</li>
</ul>

<p><b>Сверхстойкая 7-ми этапная NANO покраска TECNOFIRMA®</b></p>
<ul class=""ul"">
<li>Нанесение экологически чистых нано-красок AkzoNobel (Нидерланды) и FreiLacke (Германия) в семь этапов, гарантирует стойкость к механическим повреждениям и обеспечивает  долговечность покрытия радиатора в помещениях с повышенной влажностью.</li>
</ul>

<p><b>Надежная защита от подделок</b></p>
<ul class=""ul"">
<li>Фирменный алюминиевый знак на каждом радиаторе и заводская маркировка каждой секции надежно защищают радиаторы Royal Thermo от подделок.</li>
</ul>

<p><b>Абсолютная гарантия 15 лет</b></p>
<ul class=""ul"">
<li>Высочайшее качество и надежность радиаторов Royal Thermo подтверждены фирменной гарантией 15 лет. Каждый радиатор имеет индивидуальный паспорт и гарантийный талон.</li>
</ul>

<p><b>Страховка 65&nbsp;000&nbsp;000&nbsp;рублей</b></p>
<ul class=""ul"">
<li>Беспрецедентный размер страхового покрытия 65&nbsp;000&nbsp;000&nbsp;рублей на всю продукцию Royal Thermo от ОАО «Ингосстрах» обеспечивает Вашу защиту и спокойствие в течение всего срока службы.</li>
</ul>

<p><b>Изготовлено по ГОСТ России</b></p>
<ul class=""ul"">
<li>Изготовлено по ТУ- 4935-002-14713117-2014 в соответствии с ГОСТ 31311-2005.</li>
</ul>",,1,,Купить RTRB35008 Радиатор Revolution Bimetall 350 - 8 секц. Royal Thermo с доставкой на uralenergotel.ru,Купить RTRB35008 Радиатор Revolution Bimetall 350 - 8 секц. Royal Thermo по низкой цене у официального дилера ТД УЭТ,rtrb35008,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,Revolution Bimetall,RTRB35008,1.4,11.56,Эконом,110,Боковое,10,Паспорт,66,25,43.5,Нет,8,1,15 лет,200,Секционный,Revolution Bimetall,41.5,976,8,350,64,10,11.36,1.42,800,632,Полностью стальной коллектор,350,25,Нет,37.5,Белый,10,,РОССИЯ,https://rkcdn.ru/products/0bad2a43-4d6f-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/0bad2a45-4d6f-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/419c6d50-4d6f-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/5320704c-4d6f-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/635464a9-4d6f-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/6f244457-4d6f-11ee-b737-005056941658/src.jpg,,
RTPNVDR8050008 Радиатор PianoForte 500 Bianco Traffico VDR80 - 8 секц. Royal Thermo,,RUB,15510.0,1,1,,"<p>Купить RTPNVDR8050008 Радиатор PianoForte 500 Bianco Traffico VDR80 - 8 секц. Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTPNVDR8050008 Радиатор PianoForte 500 Bianco Traffico VDR80 - 8 секц. Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTPNVDR8050008 Радиатор PianoForte 500 Bianco Traffico VDR80 - 8 секц. Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><strong>Эксклюзивный биметаллический дизайн-радиатор для любых систем отопления с нижним подключением</strong></p><p><strong>Запатентованный эксклюзивный дизайн PIANOFORTE Патент №144024</strong><br />Примененный в конструкции эффект чередования секций с разными углами наклона идеально подчеркивает индивидуальность владельца и за счет фронтальных конвективных окон увеличивает теплоотдачу радиатора на 5%<br /><strong>Повышенная мощность, технология POWERSHIFT &reg;</strong><br />Дополнительное оребрение на вертикальном коллекторе секции увеличивает теплоотдачу радиатора на 5%. Такое решение способствует более быстрому обогреву помещений при том же размере и весе секций.<br /><strong>100% НАСТОЯЩИЙ БИМЕТАЛЛ</strong><br />Применение полностью стального закладного элемента, выполненного из углеродистой стали марки 20, которая отличается повышенной коррозионной стойкостью и эксплуатационной надежностью. Гарантирует надежную работу в системах, подверженных гидроударам и с химически агрессивными теплоносителями (в том числе антифризами).<br /><strong>Oxsilan&reg; 9807 &ndash; новое поколение экологически чистого покрытия без тяжелых металлов и фосфатов</strong><br />Oxsilan&reg; 9807 наносится на секцию радиатора перед покраской и за счет улучшенной адгезии лакокрасочного покрытия повышает антикоррозийную стойкость и долговечность радиаторов.<br /><strong>Сверхстойкая 7-этапная NANO-покраска TECNOFIRMA&reg;</strong><br />Нанесение экологически чистых нано-красок AkzoNobel (Нидерланды) и FreiLacke (Германия) в семь этапов гарантирует стойкость к механическим повреждениям и обеспечивает долговечность покрытия радиатора в помещениях с повышенной влажностью.<br /><strong>Цветовые возможности COLORPLUS</strong><br />Три цвета Bianco Traffico, Silver Satin и Noir Sable дизайнерской палитры FUTURA AKZONOBEL (Нидерланды) позволяют создать абсолютно уникальный радиатор.<br /><strong>Нижнее подключение</strong><br />В комплекте: вентильная вставка Danfoss, направляющая потока, кран Маевского в цвет радиатора, гайки с заглушкой в цвет радиатора и адаптеры для узлов нижнего подключения.</p>",,1,,Купить RTPNVDR8050008 Радиатор PianoForte 500 Bianco Traffico VDR80 - 8 секц. Royal Thermo с доставкой на uralenergotel.ru,Купить RTPNVDR8050008 Радиатор PianoForte 500 Bianco Traffico VDR80 - 8 секц. Royal Thermo по низкой цене у официального дилера ТД УЭТ,rtpnvdr8050008,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,Pianoforte VD,RTPNVDR8050008,1.64,18,,110,"Нижнее, правое",12,Паспорт,61,25,66,,8,3/4,25 лет,200,Секционный,Pianoforte VD,59.1,1512,10,500,64,17,17.6,,1240,983,,500,,Нет,37,Bianco Traffico,17,,РОССИЯ,https://rkcdn.ru/products/5d67f015-62ce-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/45c0c184-62c8-11ee-b737-005056941658/src.jpg,https://rkcdn.ru/products/6360873b-77e9-11ee-b737-005056941658/src.jpg,,,,,
RTVSVDR250005 Радиатор Vittoria Super 500 2.0 VDR80 - 5 секц. Royal Thermo,,RUB,9840.0,1,1,,"<p>Купить RTVSVDR250005 Радиатор Vittoria Super 500 2.0 VDR80 - 5 секц. Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTVSVDR250005 Радиатор Vittoria Super 500 2.0 VDR80 - 5 секц. Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTVSVDR250005 Радиатор Vittoria Super 500 2.0 VDR80 - 5 секц. Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить RTVSVDR250005 Радиатор Vittoria Super 500 2.0 VDR80 - 5 секц. Royal Thermo с доставкой на uralenergotel.ru,Купить RTVSVDR250005 Радиатор Vittoria Super 500 2.0 VDR80 - 5 секц. Royal Thermo по низкой цене у официального дилера ТД УЭТ,rtvsvdr250005,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,Vittoria Super 500 VD,RTVSVDR250005,1.03,10.05,,110,"Нижнее, правое",9.5,Паспорт,59,25,50,,5,3/4,15 лет,200,Секционный,Vittoria Super 500 VD,,905,,500,,10,10.05,,745,589,Полностью стальной коллектор,500,,Нет,37.5,Белый,10,,РОССИЯ,https://rkcdn.ru/products/cceaa90c-012b-11ee-b736-005056013a69/src.jpg,,,,,,,
RTVSVDR250012 Радиатор Vittoria Super 500 2.0 VDR80 - 12 секц. Royal Thermo,,RUB,19150.0,1,1,,"<p>Купить RTVSVDR250012 Радиатор Vittoria Super 500 2.0 VDR80 - 12 секц. Royal Thermo из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTVSVDR250012 Радиатор Vittoria Super 500 2.0 VDR80 - 12 секц. Royal Thermo актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTVSVDR250012 Радиатор Vittoria Super 500 2.0 VDR80 - 12 секц. Royal Thermo напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить RTVSVDR250012 Радиатор Vittoria Super 500 2.0 VDR80 - 12 секц. Royal Thermo с доставкой на uralenergotel.ru,Купить RTVSVDR250012 Радиатор Vittoria Super 500 2.0 VDR80 - 12 секц. Royal Thermo по низкой цене у официального дилера ТД УЭТ,rtvsvdr250012,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",Royal Thermo,Vittoria Super 500 VD,RTVSVDR250012,2.46,22.62,Стандарт,110,"Нижнее, правое",9.5,Паспорт,59,25,96,,12,3/4,15 лет,200,Секционный,Vittoria Super 500 VD,56.4,2172,96,500,9,21,22.32,,1788,1412,Полностью стальной коллектор,500,30,Нет,37.5,Белый,21,,РОССИЯ,https://rkcdn.ru/products/68a0bdc8-4add-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/68a0bdc4-4add-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/68a0bdc6-4add-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/705c80e5-4add-11ed-b732-005056013a69/src.jpg,,,,
