Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Сетевой кабель,Макс. производительность,Вес товара с упаковкой (брутто),Высота упаковки товара,Посадочный размер вентиляционного канала,Гарантийный документ,Глубина упаковки товара,Тип конструкции вентилятора,Ширина упаковки товара,Гарантийный срок,Уровень шума на входе,Макс. напор,Максимальный уровень шума на выходе,Серия,Высота товара,Частота вращения,Блок управления,Глубина товара,Регулировка скорости вращения вентилятора,Ширина товара,Эффективен для помещ. площадью до,Вес товара (нетто),"Макс. потребляемая мощность, Вт",Защита от коррозии,Набор крепежных элементов в комплекте,Защита от перегрева,Класс пылевлагозащищенности,Встроенный клапан обратной тяги,Страна производства,Функция реверса направления потока,Потребительский класс,Форма корпуса,Количество режимов работы,Встроенный гигростат,Таймер на отключение,Тип двигателя,Изображения,Изображения,Изображения,Изображения
Вентиляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Вентиляторы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Вентиляторы для модульных систем,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMVD 311/440-4 VIM Вентилятор крышный  SHUFT,,RUB,60450.0,1,1,,"<p>Купить RMVD 311/440-4 VIM Вентилятор крышный  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RMVD 311/440-4 VIM Вентилятор крышный  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RMVD 311/440-4 VIM Вентилятор крышный  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются для перемещения воздуха в системах вытяжной вентиляции жилых, общественных и производственных помещений. Предназначены для установки на кровле.</p> 

<h4>Преимущества:</h4>
<ul> 
<li>Мотор-колёсо MES; Ziehl-Abegg (Германия) защищено металлической сеткой;</li>
<li>Локализовано в России на немецких производственных линиях TRUMPF, RAS, Bollhoff;</li>
<li>Установка как на плоские, так и на косые крыши;</li>
<li>Низкий уровень шума к окружению;</li>
<li>Возможна установка нескольких вентиляторов рядом</li>
</ul> 

<h4>Монтаж</h4>
<p>Вентиляторы поставляются готовыми к подключению. Могут устанавливаться в любом положении, в соответствии с направлением потока воздуха (в соответствии со стрелкой на корпусе вентилятора). Необходимо предусматривать доступ для обслуживания вентилятора.</p> 

<h4>Подключение электропитания</h4>
<p>На корпусе вентиляторов находится клеммная коробка для подключения к электрической сети. Необходимо, чтобы подключение вентиляторов выполнял только квалифицированный персонал и в соответствии со схемой подключения.</p> 

<h4>Уход</h4>
<p>Вентиляторы не требуют специального технического ухода. Единственное требование — чистка крыльчатки.</p> 

<h4>Сертификат</h4>
<p>Декларация о соответствии ТР ТС.</p>	
",,1,,Купить RMVD 311/440-4 VIM Вентилятор крышный  SHUFT с доставкой на uralenergotel.ru,Купить RMVD 311/440-4 VIM Вентилятор крышный  SHUFT по низкой цене у официального дилера ТД УЭТ,rmvd_311_440_4_vim,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P  VWL-A,RMVD 311/440-4 VIM,,1880,12.5,41.5,440*440,,66.5,Осевой,66.5,3 года,,300,,UniMAX-P  VWL-A,41.5,,,66.5,,66.5,,12,150,,,,,,РОССИЯ,,,,,,,,https://rkcdn.ru/products/9f3fdf3d-e1c2-11ed-b733-005056013a69/src.jpg,,,
CMFE 315 S Вентилятор диагональный канальный энергосберегающий SHUFT,,RUB,102860.0,1,1,,"<p>Купить CMFE 315 S Вентилятор диагональный канальный энергосберегающий SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на CMFE 315 S Вентилятор диагональный канальный энергосберегающий SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим CMFE 315 S Вентилятор диагональный канальный энергосберегающий SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Энергосберегающий канальный вентилятор CMFE 315 S применяется для перемещения воздуха в круглых каналах систем приточной и вытяжной вентиляции жилых, общественных и производственных помещений.</p>

<h4>Отличительные особенности</h4>
<ul>
<li>Повышенный КПД вентилятора гарантирует низкое энергопотребление.</li>
<li>Высокоэффективное диагональное мотор-колесо со спрямляющим механизмом.</li>
<li>Степень защиты клеммной колодки электродвигателя IP44.</li>
<li>Двигатель отделен от воздушного потока.</li>
<li>Встроенные термоконтакты.</li>
<li>Регулирование скорости 0–100% путем изменением частоты питания (частотные регуляторы).</li>
<li>Высококачественные шариковые подшипники, не требующие обслуживания.</li>
<li>На корпусе вентилятора имеется устойчивая опора для монтажа.</li>
<li>Корпус из оцинкованной стали у однофазных вентиляторов и из алюминия у трехфазных.</li>
<li>Степень защиты IPX4.</li>
</ul>

<h4>Монтаж</h4>

<p>Вентиляторы поставляются готовыми к подключению. Могут устанавливаться в любом положении, в соответствии с направлением потока воздуха (в соответствии со стрелкой на корпусе вентилятора). Необходимо предусматривать доступ для обслуживания вентилятора.</p>

<p>Не допускается:</p>
<ol>
<li>Монтировать в помещениях, где воздух содержит &laquo;тяжелую&raquo; пыль, муку и т. п.</li>
<li>Монтировать во взрыво- и пожароопасных помещениях. </li>
</ol>

<!--h4>Размеры</h4>
<p><img src=""/images/items-pict/vent/CMF_razmer_2.jpg"" width=""400"" alt="""" /></p>

<table>
<tr class=""title"">
<th>Модель</th>
<th>W</th>
<th>L</th>
<th>H</th>
<th>D</th>
</tr>
<tr align=""center"">
<td>CMFE 315 S</td>
<td>335,5</td>
<td>307,6</td>
<td>318,5</td>
<td>315</td>
</tr>
</table-->",,1,,Купить CMFE 315 S Вентилятор диагональный канальный энергосберегающий SHUFT с доставкой на uralenergotel.ru,Купить CMFE 315 S Вентилятор диагональный канальный энергосберегающий SHUFT по низкой цене у официального дилера ТД УЭТ,cmfe_315_s,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CMF,CMFE 315 S,Нет,3510,15.7,39,315,Гарантийный талон,36,Центробежный,34,3 года,76,760,81,CMF,31.9,2750,,30.8,Да,33.6,,15,530,,Нет,Да (при использовании терморегулятора),IP44,Нет,ГЕРМАНИЯ,Нет,Премиум,Цилиндрическая,,,,,https://rkcdn.ru/products/037e27bf-c268-11ed-b733-005056013a69/src.jpg,,,
RMVE 190/300-2 VIM Вентилятор крышный  SHUFT,,RUB,33280.0,1,1,,"<p>Купить RMVE 190/300-2 VIM Вентилятор крышный  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RMVE 190/300-2 VIM Вентилятор крышный  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RMVE 190/300-2 VIM Вентилятор крышный  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Применяются для перемещения воздуха в системах вытяжной вентиляции жилых, общественных и производственных помещений. Предназначены для установки на кровле.</p> 

<h4>Преимущества:</h4>
<ul> 
<li>Мотор-колёсо MES; Ziehl-Abegg (Германия) защищено металлической сеткой;</li>
<li>Локализовано в России на немецких производственных линиях TRUMPF, RAS, Bollhoff;</li>
<li>Установка как на плоские, так и на косые крыши;</li>
<li>Низкий уровень шума к окружению;</li>
<li>Возможна установка нескольких вентиляторов рядом</li>
</ul> 

<h4>Монтаж</h4>
<p>Вентиляторы поставляются готовыми к подключению. Могут устанавливаться в любом положении, в соответствии с направлением потока воздуха (в соответствии со стрелкой на корпусе вентилятора). Необходимо предусматривать доступ для обслуживания вентилятора.</p> 

<h4>Подключение электропитания</h4>
<p>На корпусе вентиляторов находится клеммная коробка для подключения к электрической сети. Необходимо, чтобы подключение вентиляторов выполнял только квалифицированный персонал и в соответствии со схемой подключения.</p> 

<h4>Уход</h4>
<p>Вентиляторы не требуют специального технического ухода. Единственное требование — чистка крыльчатки.</p> 

<h4>Сертификат</h4>
<p>Декларация о соответствии ТР ТС.</p>	
",,1,,Купить RMVE 190/300-2 VIM Вентилятор крышный  SHUFT с доставкой на uralenergotel.ru,Купить RMVE 190/300-2 VIM Вентилятор крышный  SHUFT по низкой цене у официального дилера ТД УЭТ,rmve_190_300_2_vim,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,CMF,RMVE 190/300-2 VIM,,480,5.5,51,300*300,,45,Осевой,43,3 года,,300,,CMF,51,,,45,,43,,5,70,,,,,,РОССИЯ,,,,,,,,https://rkcdn.ru/products/871e33bd-4999-11ea-9da0-ac162d7b6f40/src.jpg,,,
RMVE-HT-450 RMVE-HT 450 Вентилятор центробежный крышный высокотемпературный SHUFT,,RUB,200120.0,0,1,,"<p>Купить RMVE-HT-450 RMVE-HT 450 Вентилятор центробежный крышный высокотемпературный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RMVE-HT-450 RMVE-HT 450 Вентилятор центробежный крышный высокотемпературный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RMVE-HT-450 RMVE-HT 450 Вентилятор центробежный крышный высокотемпературный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Корпус вентиляторов SHUFT серии RMVE-HT изготовлен из сплава AlMg3, стойкого к воздействю морской воды. Двигатель, управляемый по напряжению, находится вне воздушного потока. Вентилятор откидывается для проведения визуального контроля. Сетевой выключатель, расположенный непосредственно на корпусе вентилятора, предназначен для обеспечения безопасности при техническом обслуживании. Лоток для сбора жира с отверстием для удаления жира, предназначен для защиты поверхности крыши от загрязнения частицами жира, содержащимися в удаляемом воздухе. Регулирование скорости вентиляторов осуществляется путем изменения напряжения за счет использования пятиступенчатых трансформаторов TRT или однофазных плавных регуляторов скорости SRE. К одному регулятору можно подключить несколько вентиляторов при условии, что общий ток вентиляторов не превышает номинальный ток регулятора. В двигатели вентиляторов встроены защитные термоконтакты, требующие подключения внешнего защитного термореле. В случае применения пятиступенчатых регуляторов скорости TRT дополнительное защитное термореле не нужно.</p>",,1,,Купить RMVE-HT-450 RMVE-HT 450 Вентилятор центробежный крышный высокотемпературный SHUFT с доставкой на uralenergotel.ru,Купить RMVE-HT-450 RMVE-HT 450 Вентилятор центробежный крышный высокотемпературный SHUFT по низкой цене у официального дилера ТД УЭТ,rmve_ht_450,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Star,RMVE-HT-450,,6130,58.23,110,450,,110,Центробежный,110,3 года,,650,,Star,110,,,110,,110,,51.23,811,,,,,,ГЕРМАНИЯ,,,,,,,,https://rkcdn.ru/products/10aa2ccd-e81b-11ee-b8d7-00505601218a/src.jpg,,,
AXW 710-6D Вентилятор осевой SHUFT,,RUB,97400.0,0,1,,"<p>Купить AXW 710-6D Вентилятор осевой SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на AXW 710-6D Вентилятор осевой SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим AXW 710-6D Вентилятор осевой SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Осевой вентилятор AXW 710-6D оснащен высокоэффективной крыльчаткой с серповидными лопатками, двигателем с внешним ротором и встроенной системой термозащиты.<br />
Его применение является оптимальным решением в тех случаях, когда необходимо обеспечить высокий расход воздуха при минимальном сопротивлении сети воздуховодов. Вентилятор оснащен квадратной монтажной пластиной, благодаря чему их установка осуществляется максимально просто. <br />
Детали вентилятора окрашены в стандартный черный цвет. <br />
Осевой вентилятор AXW 710-6D отлично подходит для применения в производственных, складских и крупных торговых помещениях.</p>
<h4>Отличительные особенности</h4>
<ul>
<li>Все вентиляторы серии AXW оснащены квадратной монтажной пластиной. Детали вентиляторов стандартно окрашены в черный цвет.</li>
<li>Двигатель с внешним ротором. </li>
<li>Рабочее колесо металлическое, установлено методом напрессовки непосредственно на ротор электродвигателя. </li>
<li>Электродвигатель с рабочим колесом статически и динамически сбалансированы. </li>
<li>Шариковые подшипники двигателя не требуют техобслуживания. </li>
</ul>

<h4>Монтаж</h4>
<p>Вентиляторы поставляются готовыми к подключению. Могут устанавливаться в любом положении, в соответствии с направлением потока воздуха (в соответствии со стрелкой на корпусе вентилятора). Необходимо предусматривать доступ для обслуживания вентилятора.</p>
<p><b>Не допускается:</b>
<ul>
<li>Монтировать в помещениях, где воздух содержит «тяжелую» пыль, муку и т. п.</li>
<li>Монтировать во взрыво- и пожароопасных помещениях.</li>
</ul></p>
<p><b>Гарантия - 12 месяцев</b></p>",,1,,Купить AXW 710-6D Вентилятор осевой SHUFT с доставкой на uralenergotel.ru,Купить AXW 710-6D Вентилятор осевой SHUFT по низкой цене у официального дилера ТД УЭТ,axw_710_6d,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,AXW,AXW 710-6D,Нет,15122,30,35,710,Кассовый или товарный чек,93.5,Осевой,93.5,3 года,,220,,AXW,35,900,,93.5,Да,93.5,,29,900,,Нет,,IPX4,Нет,КНР,Нет,Стандарт,Прямоугольная,,,,,https://rkcdn.ru/products/d6251f3b-67ee-11eb-b729-005056010604/src.jpg,,,
AXW 300-4E Вентилятор осевой SHUFT,,RUB,14620.0,1,1,,"<p>Купить AXW 300-4E Вентилятор осевой SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на AXW 300-4E Вентилятор осевой SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим AXW 300-4E Вентилятор осевой SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Осевой вентилятор AXW 300-4E оснащен высокоэффективной крыльчаткой с серповидными лопатками, двигателем с внешним ротором и встроенной системой термозащиты.
Его применение является оптимальным решением в тех случаях, когда необходимо обеспечить высокий расход воздуха при минимальном сопротивлении сети воздуховодов. Вентилятор оснащен квадратной монтажной пластиной, благодаря чему их установка осуществляется максимально просто. 
Детали вентилятора окрашены в стандартный черный цвет. 
Осевой вентилятор AXW 300-4E отлично подходит для применения в производственных, складских и крупных торговых помещениях.
<h4>Отличительные особенности</h4>
<ul>
<li>Все вентиляторы серии AXW оснащены квадратной монтажной пластиной. Детали вентиляторов стандартно окрашены в черный цвет.</li>
<li>Двигатель с внешним ротором. </li>
<li>Рабочее колесо металлическое, установлено методом напрессовки непосредственно на ротор электродвигателя. </li>
<li>Электродвигатель с рабочим колесом статически и динамически сбалансированы. </li>
<li>Шариковые подшипники двигателя не требуют техобслуживания. </li>
</ul>

<h4>Монтаж</h4>
Вентиляторы поставляются готовыми к подключению. Могут устанавливаться в любом положении, в соответствии с направлением потока воздуха (в соответствии со стрелкой на корпусе вентилятора). Необходимо предусматривать доступ для обслуживания вентилятора.
<b>Не допускается:</b>
<ul>
<li>Монтировать в помещениях, где воздух содержит «тяжелую» пыль, муку и т. п.</li>
<li>Монтировать во взрыво- и пожароопасных помещениях.</li>
</ul>
<b>Гарантия - 12 месяцев</b>
",,1,,Купить AXW 300-4E Вентилятор осевой SHUFT с доставкой на uralenergotel.ru,Купить AXW 300-4E Вентилятор осевой SHUFT по низкой цене у официального дилера ТД УЭТ,axw_300_4e,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,AXW,AXW 300-4E,Нет,1549,7.1,20,315,Кассовый или товарный чек,44.5,Осевой,44.5,3 года,,80,,AXW,20,1400,,44.5,Да,44.5,,6.2,75,,Нет,,IPX4,Нет,КНР,Нет,Стандарт,Прямоугольная,,,,,https://rkcdn.ru/products/489c26cb-686d-11eb-b729-005056010604/src.jpg,,,
TORNADO 900x500-40-4-2 Вентилятор cо свободным колесом SHUFT,,RUB,150000.0,1,1,,"<p>Купить TORNADO 900x500-40-4-2 Вентилятор cо свободным колесом SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на TORNADO 900x500-40-4-2 Вентилятор cо свободным колесом SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим TORNADO 900x500-40-4-2 Вентилятор cо свободным колесом SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Вентиляторы SHUFT TORNADO обладают конструкцией со свободным колесом, двигателем с увеличенным ресурсом и повышенным КПД.</p>


<p>Корпус вентиляторов серии TORNADO изготовлен из оцинкованной стали толщиной до&nbsp;1,5&nbsp;мм. Электродвигатель с рабочим колесом статически и динамически сбалансированы в двух плоскостях.</p>


<h4>Преимущества:</h4>
<ul>
<li>Передовая конструкция со свободным рабочим колесом</li>
<li>Высочайший напор до 2000&nbsp;Па</li>
<li>Расход воздуха до 10&nbsp;000&nbsp;м&sup3;/ч</li>
<li>Усиленный монолитный корпус из 1,5&nbsp;мм оцинкованной стали</li>
<li>Встроенный быстросъемный сервисный люк</li>
<li>Электродвигатель с увеличенным эксплуатационным ресурсом</li>
<li>Компактные габариты</li>
<li>Низкий уровень шума</li>
</ul>",,1,,Купить TORNADO 900x500-40-4-2 Вентилятор cо свободным колесом SHUFT с доставкой на uralenergotel.ru,Купить TORNADO 900x500-40-4-2 Вентилятор cо свободным колесом SHUFT по низкой цене у официального дилера ТД УЭТ,tornado_900x500_40_4_2,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,TORNADO,TORNADO 900x500-40-4-2,Нет,9500,98.5,79.5,900*500,Гарантийный талон,77,Центробежный,107,3 года,,1800,,TORNADO,79.5,2840,,107,Да,77,,98,4000,,Нет,Нет,IPX4,Нет,РОССИЯ,Нет,Стандарт,,,,,,https://rkcdn.ru/products/5a744fbf-e81d-11ee-b8d7-00505601218a/src.jpg,,,
