Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,Гарантийный срок,"Диаметр воздуховода, мм",Макс. напор,Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Вид,Диаметр,Форма корпуса,Изображения
Вентиляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Автоматика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Воздухораспределительные устройства,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_WA 150*100 Настенная двухрядная решетка 2 WA 150*100 SHUFT,,RUB,660.0,0,1,,"<p>Купить 2_WA 150*100 Настенная двухрядная решетка 2 WA 150*100 SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на 2_WA 150*100 Настенная двухрядная решетка 2 WA 150*100 SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим 2_WA 150*100 Настенная двухрядная решетка 2 WA 150*100 SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Решетка предназначена для использования в&nbsp;приточно вытяжных системах вентиляции и&nbsp;кондиционирования. Решетка применяется для монтажа в&nbsp;воздуховоды или строительные проемы помещений различных типов, изготовлена из&nbsp;высококачественного алюминиевого профиля и&nbsp;окрашена методом порошкового напыления в&nbsp;белый цвет (RAL9016). Решетка снабжена индивидуально регулируемыми жалюзи, что позволяет изменять направление воздушной струи, также может комплектоваться клапаном расхода воздуха&nbsp;D.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить 2_WA 150*100 Настенная двухрядная решетка 2 WA 150*100 SHUFT с доставкой на uralenergotel.ru,Купить 2_WA 150*100 Настенная двухрядная решетка 2 WA 150*100 SHUFT по низкой цене у официального дилера ТД УЭТ,2_wa__150x100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,2_WA  150*100,0.19,5,150*100,20,16,12 мес,,,5,20,15,,Решетка двухрядная,,,https://rkcdn.ru/products/e055762e-e1c0-11ed-b733-005056013a69/src.jpg
DVK-S 200 Диффузор универсальный SHUFT,,RUB,410.0,1,1,,"<p>Купить DVK-S 200 Диффузор универсальный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DVK-S 200 Диффузор универсальный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DVK-S 200 Диффузор универсальный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Диффузоры серии DVK-S применяются в системах приточной и вытяжной вентиляции и кондиционирования. Представляют собой потолочные воздухораспределительные элементы с плавным регулированием расхода воздуха, которое осуществляется с помощью вращения центрального диска. Изготовлен из полипропилена. Для удобства монтажа снабжены крепежной муфтой с демфирующим кольцом. Цвет белый (RAL-9016).</p>

<h4>Гарантия — 1 год</h4>",,1,,Купить DVK-S 200 Диффузор универсальный SHUFT с доставкой на uralenergotel.ru,Купить DVK-S 200 Диффузор универсальный SHUFT по низкой цене у официального дилера ТД УЭТ,dvk_s_200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Star,DVK-S 200,0.4,7,200,23,23,12 мес,200,,6.5,23,23,0.32,Диффузор,,Круглая,https://rkcdn.ru/products/8022ea8e-f10b-11ee-b8d8-00505601218a/src.jpg
PG 200 Решетка SHUFT,,RUB,1060.0,1,1,,"<p>Купить PG 200 Решетка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PG 200 Решетка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PG 200 Решетка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Защитная решетка применяется для защиты круглых канальных вентиляторов и&nbsp;систем вентиляции от&nbsp;попадания посторонних предметов. Решетки изготавливаются из&nbsp;оцинкованной стали. Крепятся при помощи саморезов.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить PG 200 Решетка SHUFT с доставкой на uralenergotel.ru,Купить PG 200 Решетка SHUFT по низкой цене у официального дилера ТД УЭТ,pg_200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P SW EC,PG 200,0.2,2,200,20,20,12 мес,,,2,20,20,,Решетка,200,,https://rkcdn.ru/products/c90e83c3-e1be-11ed-b733-005056013a69/src.jpg
DVS E 160 Диффузор SHUFT,,RUB,510.0,1,1,,"<p>Купить DVS E 160 Диффузор SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DVS E 160 Диффузор SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DVS E 160 Диффузор SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Диффузор применяется для систем вентиляции и&nbsp;кондиционирования. Он&nbsp;представляет собой воздухораспределительное устройство с&nbsp;регулируемым расходом воздуха, который осуществляется с&nbsp;помощью вращения центрального диска. </p>

<p>Диффузор изготовлен из&nbsp;высококачественной стали с&nbsp;последующей порошковой окраской. Цвет окраски&nbsp;&mdash; &laquo;кристально-белый&raquo; (RAL 9016).&nbsp;Фактура&nbsp;&mdash; глянцевая.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить DVS E 160 Диффузор SHUFT с доставкой на uralenergotel.ru,Купить DVS E 160 Диффузор SHUFT по низкой цене у официального дилера ТД УЭТ,dvs_e_160,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RHPr,DVS E 160,0.99,9,160,21,21,12 мес,160,,6.04,21,20.9,,Диффузор,,Круглая,https://rkcdn.ru/products/e5bc2a86-e011-11ed-b733-005056013a69/src.jpg
DVS E 200 Диффузор SHUFT,,RUB,630.0,1,1,,"<p>Купить DVS E 200 Диффузор SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DVS E 200 Диффузор SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DVS E 200 Диффузор SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Диффузор применяется для систем вентиляции и&nbsp;кондиционирования. Он&nbsp;представляет собой воздухораспределительное устройство с&nbsp;регулируемым расходом воздуха, который осуществляется с&nbsp;помощью вращения центрального диска. </p>

<p>Диффузор изготовлен из&nbsp;высококачественной стали с&nbsp;последующей порошковой окраской. Цвет окраски&nbsp;&mdash; &laquo;кристально-белый&raquo; (RAL 9016).&nbsp;Фактура&nbsp;&mdash; глянцевая.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год</strong></p>",,1,,Купить DVS E 200 Диффузор SHUFT с доставкой на uralenergotel.ru,Купить DVS E 200 Диффузор SHUFT по низкой цене у официального дилера ТД УЭТ,dvs_e_200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RHPr,DVS E 200,1.13,12,200,26,26,12 мес,200,,6.2,26,24.85,,Диффузор,,Круглая,https://rkcdn.ru/products/e5bc2a8c-e011-11ed-b733-005056013a69/src.jpg
2_WA_ 700*150 Настенная двухрядная решетка 2 WA 700*150 SHUFT,,RUB,1750.0,1,1,,"<p>Купить 2_WA_ 700*150 Настенная двухрядная решетка 2 WA 700*150 SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на 2_WA_ 700*150 Настенная двухрядная решетка 2 WA 700*150 SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим 2_WA_ 700*150 Настенная двухрядная решетка 2 WA 700*150 SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Решетка предназначена для использования в&nbsp;приточно вытяжных системах вентиляции и&nbsp;кондиционирования. Решетка применяется для монтажа в&nbsp;воздуховоды или строительные проемы помещений различных типов, изготовлена из&nbsp;высококачественного алюминиевого профиля и&nbsp;окрашена методом порошкового напыления в&nbsp;белый цвет (RAL9016). Решетка снабжена индивидуально регулируемыми жалюзи, что позволяет изменять направление воздушной струи, также может комплектоваться клапаном расхода воздуха&nbsp;D.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить 2_WA_ 700*150 Настенная двухрядная решетка 2 WA 700*150 SHUFT с доставкой на uralenergotel.ru,Купить 2_WA_ 700*150 Настенная двухрядная решетка 2 WA 700*150 SHUFT по низкой цене у официального дилера ТД УЭТ,2_wa__700x150,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,EHR,2_WA_ 700*150,0.81,5,700*150,75,20,12 мес,,,5,75,20,,Решетка двухрядная,,,https://rkcdn.ru/products/e6a767bf-e1c0-11ed-b733-005056013a69/src.jpg
2_WA 600*250 Настенная двухрядная решетка 2 WA 600*250 SHUFT,,RUB,2080.0,1,1,,"<p>Купить 2_WA 600*250 Настенная двухрядная решетка 2 WA 600*250 SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на 2_WA 600*250 Настенная двухрядная решетка 2 WA 600*250 SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим 2_WA 600*250 Настенная двухрядная решетка 2 WA 600*250 SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Решетка предназначена для использования в&nbsp;приточно вытяжных системах вентиляции и&nbsp;кондиционирования. Решетка применяется для монтажа в&nbsp;воздуховоды или строительные проемы помещений различных типов, изготовлена из&nbsp;высококачественного алюминиевого профиля и&nbsp;окрашена методом порошкового напыления в&nbsp;белый цвет (RAL9016). Решетка снабжена индивидуально регулируемыми жалюзи, что позволяет изменять направление воздушной струи, также может комплектоваться клапаном расхода воздуха&nbsp;D.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить 2_WA 600*250 Настенная двухрядная решетка 2 WA 600*250 SHUFT с доставкой на uralenergotel.ru,Купить 2_WA 600*250 Настенная двухрядная решетка 2 WA 600*250 SHUFT по низкой цене у официального дилера ТД УЭТ,2_wa__600x250,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,IEF,2_WA  600*250,1.5,5,600*250,65,30,12 мес,,,5,65,30,,Решетка двухрядная,,,https://rkcdn.ru/products/ecfabd33-e1c0-11ed-b733-005056013a69/src.jpg
