Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Макс. производительность,Управление c мобильного приложения по Wi-Fi,Вес товара с упаковкой (брутто),Работает с Марусей,Высота упаковки товара,Работает с Алисой,Глубина упаковки товара,Макс. расход воздуха,Ширина упаковки товара,Высота товара,Wi-Fi модуль,Глубина товара,Ширина товара,Вес товара (нетто),"Макс. потребляемая мощность, Вт",Макс. уровень шума,Мощность нагревателя,Мин. уровень шума,Мощность преднагревателя,Страна производства,Система самодиагностики неисправности,Таймер на отключение,Гарантийный срок,Серия,Регулировка скорости вращения вентилятора,Индикация включения,Пульт управления в комплекте,Защита от перегрева,Охладитель,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Вентиляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Вентиляционные установки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Приточные установки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!!Компактные моноблочные приточно-вытяжные установки,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UniMAX-P 850SW EC Установка приточно-вытяжная UniMAX-P 850 SW EC SHUFT,,RUB,533190.0,0,1,,"<p>Купить UniMAX-P 850SW EC Установка приточно-вытяжная UniMAX-P 850 SW EC SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-P 850SW EC Установка приточно-вытяжная UniMAX-P 850 SW EC SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-P 850SW EC Установка приточно-вытяжная UniMAX-P 850 SW EC SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><b>Установки SHUFT серии UniMAX-R SW EC</b> предназначены для очистки, подогрева и подачи свежего воздуха в жилые, общественные и производственные помещения небольших и средних объемов: офисы, магазины, квартиры и т.п. В процессе работы установки удаляют из помещения загрязненный воздух, очищая его и извлекая из него тепло, и передают это тепло поступающему воздуху. Тем самым установки позволяют экономить энергоресурсы и эффективно вентилировать помещения при имеющихся ограничениях на энергоресурсы.</p>

<p> Установки изготавливаются в корпусе из листовой оцинкованной стали со звукотеплоизоляцией 50 мм из базальтовой минеральной ваты. Стандартно установки комплектуются приточным и вытяжным вентиляторами, водяным нагревателем (свыше типоразмера 1500 включительно), приточным и вытяжным фильтрами, роторным регенератором, системой автоматического управления с пультом дистанционного управления (UniMAX-R 450/750/1500 SW-EC-A). Установки UniMAX-R 450/750 SW EC-A подготовлены для подключения канального водяного нагревателя. </p>

<p>Вентиляторы установок оборудованы высокоэффективными крыльчатками с назад загнутыми лопатками и асинхронными двигателями с внешним ротором. Уплотненные шариковые подшипники двигателей не требуют техобслуживания и имеют увеличенный срок службы. </p>

<p>Защита двигателей вентиляторов осуществляется встроенными термоконтактами с автоматическим перезапуском. В установках регулируются скорость и температура приточного воздуха. </p>

<p>Установки предназначены для монтажа непосредственно к круглым воздуховодам (кроме UniMAX-R 5500 SW EC ). Присоединительные патрубки имеют резиновые уплотнения. Установки UniMAX-R 5500 SW EC монтируются к прямоугольным воздуховодам.</p>			
",,1,,Купить UniMAX-P 850SW EC Установка приточно-вытяжная UniMAX-P 850 SW EC SHUFT с доставкой на uralenergotel.ru,Купить UniMAX-P 850SW EC Установка приточно-вытяжная UniMAX-P 850 SW EC SHUFT по низкой цене у официального дилера ТД УЭТ,unimax_p_850sw_ec,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P SW EC,UniMAX-P 850SW EC,,,105.5,,91,,68,700,140,91,,140,68,105,6.2,,23,,,ЛИТВА,Да,,3 года,UniMAX-P SW EC,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/f29fa3f0-b672-11ed-b733-005056013a69/src.jpg,,,,,,,
UniMAX-R 1400SW EC Установка приточно-вытяжная UniMAX-R 1400 SW EC SHUFT,,RUB,550270.0,0,1,,"<p>Купить UniMAX-R 1400SW EC Установка приточно-вытяжная UniMAX-R 1400 SW EC SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-R 1400SW EC Установка приточно-вытяжная UniMAX-R 1400 SW EC SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-R 1400SW EC Установка приточно-вытяжная UniMAX-R 1400 SW EC SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><b>Установки SHUFT серии UniMAX-R SW EC</b> предназначены для очистки, подогрева и подачи свежего воздуха в жилые, общественные и производственные помещения небольших и средних объемов: офисы, магазины, квартиры и т.п. В процессе работы установки удаляют из помещения загрязненный воздух, очищая его и извлекая из него тепло, и передают это тепло поступающему воздуху. Тем самым установки позволяют экономить энергоресурсы и эффективно вентилировать помещения при имеющихся ограничениях на энергоресурсы.</p>

<p> Установки изготавливаются в корпусе из листовой оцинкованной стали со звукотеплоизоляцией 50 мм из базальтовой минеральной ваты. Стандартно установки комплектуются приточным и вытяжным вентиляторами, водяным нагревателем (свыше типоразмера 1500 включительно), приточным и вытяжным фильтрами, роторным регенератором, системой автоматического управления с пультом дистанционного управления (UniMAX-R 450/750/1500 SW-EC-A). Установки UniMAX-R 450/750 SW EC-A подготовлены для подключения канального водяного нагревателя. </p>

<p>Вентиляторы установок оборудованы высокоэффективными крыльчатками с назад загнутыми лопатками и асинхронными двигателями с внешним ротором. Уплотненные шариковые подшипники двигателей не требуют техобслуживания и имеют увеличенный срок службы. </p>

<p>Защита двигателей вентиляторов осуществляется встроенными термоконтактами с автоматическим перезапуском. В установках регулируются скорость и температура приточного воздуха. </p>

<p>Установки предназначены для монтажа непосредственно к круглым воздуховодам (кроме UniMAX-R 5500 SW EC ). Присоединительные патрубки имеют резиновые уплотнения. Установки UniMAX-R 5500 SW EC монтируются к прямоугольным воздуховодам.</p>			
",,1,,Купить UniMAX-R 1400SW EC Установка приточно-вытяжная UniMAX-R 1400 SW EC SHUFT с доставкой на uralenergotel.ru,Купить UniMAX-R 1400SW EC Установка приточно-вытяжная UniMAX-R 1400 SW EC SHUFT по низкой цене у официального дилера ТД УЭТ,unimax_r_1400sw_ec,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-R SW EC,UniMAX-R 1400SW EC,,,160.5,,112,,86,1400,135,112,,135,86,160,7.1,,8,,,РОССИЯ,Да,,3 года,UniMAX-R SW EC,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/f8ea5b11-b672-11ed-b733-005056013a69/src.jpg,,,,,,,
UniMAX-P 1500 VWL-A Установка приточно-вытяжная  SHUFT,,RUB,539280.0,0,1,,"<p>Купить UniMAX-P 1500 VWL-A Установка приточно-вытяжная  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-P 1500 VWL-A Установка приточно-вытяжная  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-P 1500 VWL-A Установка приточно-вытяжная  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><b>Установки SHUFT серии UniMAX-P VW</b> предназначены для очистки, подогрева и подачи свежего воздуха в жилые, общественные и производственные помещения небольших объемов: офисы, магазины, квартиры и т.д. В процессе работы установки удаляют из помещения загрязненный воздух, очищая его и извлекая из него тепло, и передают это тепло поступающему воздуху. Тем самым установки позволяют экономить энергоресурсы и эффективно вентилировать помещения при существовании ограничения на энергоресурсы. Установки можно легко монтировать непосредственно в обслуживаемом помещении.</p> 

<p>Установки изготавливаются в корпусе из листовой оцинкованной стали со звуко- и теплоизоляцией из базальтовой минеральной ваты. Стандартно установки комплектуются приточным и вытяжным вентиляторами, водяным нагревателем (UniMAX-P 1000/1500/2000VW), электрическим предварительным нагревателем (UniMAX-P 300/450/800VW), приточным и вытяжным фильтрами, пластинчатым рекуператором, байпасом (UniMAX-P 1000/1500/2000VW) с приводом заслонки и системой автоматического управления с пультом дистанционного управления.</p>

<p>Вентиляторы установок оборудованы высокоэффективными крыльчатками с назад загнутыми лопатками и асинхронными двигателями с внешним ротором. Уплотненные шариковые подшипники двигателей не требуют техобслуживания и обеспечивают увеличенный срок службы.</p>

<p>Защита двигателей вентиляторов осуществляется встроенными термоконтактами с автоматическим перезапуском. Предварительный электронагреватель имеет двухступенчатую защиту от перегрева. Первая ступень настроена на 60&deg;С и перезапускается автоматически, вторая ступень настроена на 120&deg;С и перезапускается вручную. Поставляемый отдельно водяной нагреватель монтируется в приточный канал. Система управления позволяет защитить водяной нагреватель от обмерзания.</p>

<p>В установке регулируется скорость и температура приточного воздуха. Пластинчатый рекуператор защищен от обмерзания. Установка предназначена для монтажа непосредственно к круглым воздуховодам. Присоединительные патрубки имеют резиновые уплотнения. Диапазон изменения температуры составляет -20&hellip;+40&deg;С.</p>",,1,,Купить UniMAX-P 1500 VWL-A Установка приточно-вытяжная  SHUFT с доставкой на uralenergotel.ru,Купить UniMAX-P 1500 VWL-A Установка приточно-вытяжная  SHUFT по низкой цене у официального дилера ТД УЭТ,unimax_p_1500_vwl_a,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P  VWL-A,UniMAX-P 1500 VWL-A,,,150.5,,122,,68,1500,143,122,,143,68,150,0.73,,0.7,,,ЛИТВА,Да,,3 года,UniMAX-P  VWL-A,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/529b5c9c-b673-11ed-b733-005056013a69/src.jpg,,,,,,,
PVS-1100 Установка приточно-вытяжная Shuft Star SHUFT,,RUB,149700.0,0,1,,"<p>Купить PVS-1100 Установка приточно-вытяжная Shuft Star SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PVS-1100 Установка приточно-вытяжная Shuft Star SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PVS-1100 Установка приточно-вытяжная Shuft Star SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить PVS-1100 Установка приточно-вытяжная Shuft Star SHUFT с доставкой на uralenergotel.ru,Купить PVS-1100 Установка приточно-вытяжная Shuft Star SHUFT по низкой цене у официального дилера ТД УЭТ,pvs_1100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Star,PVS-1100,1100,Опция доступна при подключении съемного Wi-Fi модуля,74.3,,44,,127,1100,137,44,,137,127,66.5,450,43,,,,КНР,,,3 года,Star,Ступенчатая,,Да,Да,,https://rkcdn.ru/products/56617e03-df7a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/56617e05-df7a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/605fa11e-df7a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/605fa120-df7a-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/68d1fb1e-df7a-11ee-b8d6-00505601218a/src.jpg,,,
UniMAX-P 2200 SW EC Установка приточно-вытяжная  SHUFT,,RUB,856280.0,0,1,,"<p>Купить UniMAX-P 2200 SW EC Установка приточно-вытяжная  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-P 2200 SW EC Установка приточно-вытяжная  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-P 2200 SW EC Установка приточно-вытяжная  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><b>Установки SHUFT серии UniMAX-R SW EC</b> предназначены для очистки, подогрева и подачи свежего воздуха в жилые, общественные и производственные помещения небольших и средних объемов: офисы, магазины, квартиры и т.п. В процессе работы установки удаляют из помещения загрязненный воздух, очищая его и извлекая из него тепло, и передают это тепло поступающему воздуху. Тем самым установки позволяют экономить энергоресурсы и эффективно вентилировать помещения при имеющихся ограничениях на энергоресурсы.</p>

<p> Установки изготавливаются в корпусе из листовой оцинкованной стали со звукотеплоизоляцией 50 мм из базальтовой минеральной ваты. Стандартно установки комплектуются приточным и вытяжным вентиляторами, водяным нагревателем (свыше типоразмера 1500 включительно), приточным и вытяжным фильтрами, роторным регенератором, системой автоматического управления с пультом дистанционного управления (UniMAX-R 450/750/1500 SW-EC-A). Установки UniMAX-R 450/750 SW EC-A подготовлены для подключения канального водяного нагревателя. </p>

<p>Вентиляторы установок оборудованы высокоэффективными крыльчатками с назад загнутыми лопатками и асинхронными двигателями с внешним ротором. Уплотненные шариковые подшипники двигателей не требуют техобслуживания и имеют увеличенный срок службы. </p>

<p>Защита двигателей вентиляторов осуществляется встроенными термоконтактами с автоматическим перезапуском. В установках регулируются скорость и температура приточного воздуха. </p>

<p>Установки предназначены для монтажа непосредственно к круглым воздуховодам (кроме UniMAX-R 5500 SW EC ). Присоединительные патрубки имеют резиновые уплотнения. Установки UniMAX-R 5500 SW EC монтируются к прямоугольным воздуховодам.</p>			
",,1,,Купить UniMAX-P 2200 SW EC Установка приточно-вытяжная  SHUFT с доставкой на uralenergotel.ru,Купить UniMAX-P 2200 SW EC Установка приточно-вытяжная  SHUFT по низкой цене у официального дилера ТД УЭТ,unimax_p_2200_sw_ec,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P SW EC,UniMAX-P 2200 SW EC,,,260.5,,160,,90,2200,200,160,,200,90,260,0.7,,15,,,ЛИТВА,Да,,3 года,UniMAX-P SW EC,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/ec76b232-b672-11ed-b733-005056013a69/src.jpg,,,,,,,
UniMAX-P 800 VWL-A Установка приточно-вытяжная  SHUFT,,RUB,386280.0,0,1,,"<p>Купить UniMAX-P 800 VWL-A Установка приточно-вытяжная  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на UniMAX-P 800 VWL-A Установка приточно-вытяжная  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим UniMAX-P 800 VWL-A Установка приточно-вытяжная  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p><b>Установки SHUFT серии UniMAX-P VW</b> предназначены для очистки, подогрева и подачи свежего воздуха в жилые, общественные и производственные помещения небольших объемов: офисы, магазины, квартиры и т.д. В процессе работы установки удаляют из помещения загрязненный воздух, очищая его и извлекая из него тепло, и передают это тепло поступающему воздуху. Тем самым установки позволяют экономить энергоресурсы и эффективно вентилировать помещения при существовании ограничения на энергоресурсы. Установки можно легко монтировать непосредственно в обслуживаемом помещении.</p> 

<p>Установки изготавливаются в корпусе из листовой оцинкованной стали со звуко- и теплоизоляцией из базальтовой минеральной ваты. Стандартно установки комплектуются приточным и вытяжным вентиляторами, водяным нагревателем (UniMAX-P 1000/1500/2000VW), электрическим предварительным нагревателем (UniMAX-P 300/450/800VW), приточным и вытяжным фильтрами, пластинчатым рекуператором, байпасом (UniMAX-P 1000/1500/2000VW) с приводом заслонки и системой автоматического управления с пультом дистанционного управления.</p>

<p>Вентиляторы установок оборудованы высокоэффективными крыльчатками с назад загнутыми лопатками и асинхронными двигателями с внешним ротором. Уплотненные шариковые подшипники двигателей не требуют техобслуживания и обеспечивают увеличенный срок службы.</p>

<p>Защита двигателей вентиляторов осуществляется встроенными термоконтактами с автоматическим перезапуском. Предварительный электронагреватель имеет двухступенчатую защиту от перегрева. Первая ступень настроена на 60&deg;С и перезапускается автоматически, вторая ступень настроена на 120&deg;С и перезапускается вручную. Поставляемый отдельно водяной нагреватель монтируется в приточный канал. Система управления позволяет защитить водяной нагреватель от обмерзания.</p>

<p>В установке регулируется скорость и температура приточного воздуха. Пластинчатый рекуператор защищен от обмерзания. Установка предназначена для монтажа непосредственно к круглым воздуховодам. Присоединительные патрубки имеют резиновые уплотнения. Диапазон изменения температуры составляет -20&hellip;+40&deg;С.</p>",,1,,Купить UniMAX-P 800 VWL-A Установка приточно-вытяжная  SHUFT с доставкой на uralenergotel.ru,Купить UniMAX-P 800 VWL-A Установка приточно-вытяжная  SHUFT по низкой цене у официального дилера ТД УЭТ,unimax_p_800_vwl_a,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,UniMAX-P VWL-A,UniMAX-P 800 VWL-A,,,82.5,,91,,47,800,97,91,,97,47,82,4.6,,3,,,ЛИТВА,Да,,3 года,UniMAX-P VWL-A,Ступенчатая,Да,Да,,Водяной/Фреоновый,https://rkcdn.ru/products/4be4dd52-b673-11ed-b733-005056013a69/src.jpg,,,,,,,
