Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Режим непрерывного осушения,Сетевой кабель,Система самодиагностики неисправности,Вес товара с упаковкой (брутто),Встроенный гигростат,Таймер на отключение,Высота упаковки товара,Гарантийный документ,Индикация заполнения емкости,Глубина упаковки товара,Ширина упаковки товара,Макс. потребляемая мощность,Гарантийный срок,Серия,Высота товара,Хладагент,Глубина товара,Макс. производительность л/сутки,Ширина товара,Моющийся воздушный фильтр в комплекте,Встроенный гигрометр,Количество режимов осушения,Аварийное отключение при сильном наклоне или опрокидывании,Автоматическое отключение при заполнении емкости конденсатом,Вес товара (нетто),Цифровой дисплей,Уровень шума,Производительность по воздуху,Шасси,Индикация включения,Индикация режимов работы,Функция разморозки теплообменика,Режим сушки одежды,Класс пылевлагозащищенности,Страна производства,Управление c мобильного приложения по Wi-Fi,Ночной режим,Индикация замены фильтра,Бактерицидная УФ-лампа,Автоматический режим,Защита кнопок управления от детей,Изображения,Изображения
Вентиляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Осушители воздуха,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Полупромышленные осушители воздуха,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHA-D90 Осушитель канальный Shuft,,RUB,628080.0,1,1,,"<p>Купить SHA-D90 Осушитель канальный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SHA-D90 Осушитель канальный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SHA-D90 Осушитель канальный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SHA-D90 Осушитель канальный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SHA-D90 Осушитель канальный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sha_d90,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,SHA-D90,Да,Нет,Да,53.5,Да,Да,55,Гарантийный талон,Нет,55,101,1.2,12 мес,SHA-D,55,R410a,101,90,55,Да,Да,-,Да,Да,53,Нет,52,1000,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/49bd7564-82d5-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/9ec97415-82d5-11ed-b732-005056013a69/src.jpg
SBW 150A Осушитель настенный Shuft,,RUB,603750.0,1,1,,"<p>Купить SBW 150A Осушитель настенный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SBW 150A Осушитель настенный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SBW 150A Осушитель настенный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SBW 150A Осушитель настенный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SBW 150A Осушитель настенный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sbw_150a,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SBW,SBW 150A,Да,Нет,Да,64.5,Да,Да,83,Гарантийный талон,Нет,33,100,1.5,12 мес,SBW,83,R410a,100,150,33,Да,Да,-,Да,Да,64,Нет,48,1200,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/7fddd39b-82d4-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/9ec9741b-82d5-11ed-b732-005056013a69/src.jpg
SHA-D140 Осушитель канальный Shuft,,RUB,531560.0,0,1,,"<p>Купить SHA-D140 Осушитель канальный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SHA-D140 Осушитель канальный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SHA-D140 Осушитель канальный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SHA-D140 Осушитель канальный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SHA-D140 Осушитель канальный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sha_d140,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,SHA-D140,Да,Нет,Да,55.5,Да,Да,55,Гарантийный талон,Нет,56,90,1.4,12 мес,SHA-D,55,R410a,90,140,56,Да,Да,-,Да,Да,55,Нет,55,200,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/994dd030-82d4-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/927ccc03-82d5-11ed-b732-005056013a69/src.jpg
SHA-D210 Осушитель канальный Shuft,,RUB,862310.0,1,1,,"<p>Купить SHA-D210 Осушитель канальный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SHA-D210 Осушитель канальный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SHA-D210 Осушитель канальный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SHA-D210 Осушитель канальный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SHA-D210 Осушитель канальный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sha_d210,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,SHA-D210,Да,Нет,Да,130.5,Да,Да,84,Гарантийный талон,Нет,91,115,3.1,12 мес,SHA-D,84,R410a,115,210,91,Да,Да,-,Да,Да,130,Нет,65,2300,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/c0b55bca-82d4-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/989f76de-82d5-11ed-b732-005056013a69/src.jpg
SHA-D38 Осушитель канальный Shuft,,RUB,440390.0,1,1,,"<p>Купить SHA-D38 Осушитель канальный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SHA-D38 Осушитель канальный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SHA-D38 Осушитель канальный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SHA-D38 Осушитель канальный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SHA-D38 Осушитель канальный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sha_d38,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,SHA-D38,Да,Нет,Да,38.5,Да,Да,32,Гарантийный талон,Нет,44,73,0.62,12 мес,SHA-D,32,R410a,73,38,44,Да,Да,-,Да,Да,38,Нет,45,350,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/fa9e6a4c-82d4-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/989f76e8-82d5-11ed-b732-005056013a69/src.jpg
SHA-D26 Осушитель канальный Shuft,,RUB,353760.0,1,1,,"<p>Купить SHA-D26 Осушитель канальный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SHA-D26 Осушитель канальный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SHA-D26 Осушитель канальный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SHA-D26 Осушитель канальный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SHA-D26 Осушитель канальный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sha_d26,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,SHA-D26,Да,Нет,Да,33.5,Да,Да,32,Гарантийный талон,Нет,44,73,0.3,12 мес,SHA-D,32,R410a,73,26,44,Да,Да,-,Да,Да,33,Нет,42,250,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/dd439e62-82d4-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/989f76e2-82d5-11ed-b732-005056013a69/src.jpg
SHA-D50 Осушитель канальный Shuft,,RUB,555890.0,1,1,,"<p>Купить SHA-D50 Осушитель канальный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SHA-D50 Осушитель канальный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SHA-D50 Осушитель канальный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SHA-D50 Осушитель канальный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SHA-D50 Осушитель канальный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sha_d50,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,SHA-D50,Да,Нет,Да,40.5,Да,Да,40,Гарантийный талон,Нет,57,84,0.72,12 мес,SHA-D,40,R410a,84,50,57,Да,Да,-,Да,Да,40,Нет,45,400,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/0c186eb2-82d5-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/9ec9740d-82d5-11ed-b732-005056013a69/src.jpg
SBW 125A Осушитель настенный Shuft,,RUB,560000.0,0,1,,"<p>Купить SBW 125A Осушитель настенный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SBW 125A Осушитель настенный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SBW 125A Осушитель настенный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SBW 125A Осушитель настенный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SBW 125A Осушитель настенный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sbw_125a,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SBW,SBW 125A,Да,Нет,Да,66.5,Да,Да,90,Гарантийный талон,Нет,31,139.5,2,12 мес,SBW,76.5,R410a,139.5,125,31.5,Да,Да,-,Да,Да,66,Нет,50,1200,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/7fddd399-82d4-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/9ec97419-82d5-11ed-b732-005056013a69/src.jpg
SHA-D240 Осушитель канальный Shuft,,RUB,992250.0,0,1,,"<p>Купить SHA-D240 Осушитель канальный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SHA-D240 Осушитель канальный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SHA-D240 Осушитель канальный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SHA-D240 Осушитель канальный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SHA-D240 Осушитель канальный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sha_d240,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,SHA-D240,Да,Нет,Да,146.5,Да,Да,83,Гарантийный талон,Нет,91,114,3.6,12 мес,SHA-D,83,R410a,114,240,91,Да,Да,-,Да,Да,146,Нет,65,2500,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/d4b6c170-82d4-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/989f76e0-82d5-11ed-b732-005056013a69/src.jpg
SBW 300A Осушитель настенный Shuft,,RUB,822500.0,1,1,,"<p>Купить SBW 300A Осушитель настенный Shuft SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SBW 300A Осушитель настенный Shuft SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SBW 300A Осушитель настенный Shuft SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Система осушения приточного воздуха SHUFT для всего дома особенно подходит для тех систем, в которых требуется подача сухого воздуха, или для мест с требованиями к наличию избыточного давления, в этих случаях данная система может заменить традиционную вытяжную систему. Длительная подача приточного воздуха под положительным давлением может предотвратить размножение бактерий и обеспечить достаточное поступление кислорода. Рекомендуемое место установки оборудования - балкон, место установки кондиционера, гараж и комната отдыха.</p>",,1,,Купить SBW 300A Осушитель настенный Shuft SHUFT с доставкой на uralenergotel.ru,Купить SBW 300A Осушитель настенный Shuft SHUFT по низкой цене у официального дилера ТД УЭТ,sbw_300a,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SBW,SBW 300A,Да,Нет,Да,104.5,Да,Да,83,Гарантийный талон,Нет,34,178,3,12 мес,SBW,83,R410a,178,300,34,Да,Да,-,Да,Да,104,Нет,52,3000,Нет,Нет,Нет,Нет,Нет,IP54,КНР,Нет,Нет,Нет,Нет,Да,Нет,https://rkcdn.ru/products/7fddd3a1-82d4-11ed-b732-005056013a69/src.jpg,https://rkcdn.ru/products/a4fd8f30-82d5-11ed-b732-005056013a69/src.jpg
