Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Поддон для отвода конденсата,Ширина упаковки товара,Гарантийный срок,Серия,Высота товара,Глубина товара,"КПД, %",Ширина товара,Вес товара (нетто),Материал теплообменника,Страна производства,Изображения
Вентиляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Нагреватели,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Рекуператоры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHPr 1000x500 Рекуператор пластинчатый SHUFT,,RUB,209310.0,1,1,,"<p>Купить RHPr 1000x500 Рекуператор пластинчатый SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RHPr 1000x500 Рекуператор пластинчатый SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RHPr 1000x500 Рекуператор пластинчатый SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Назначение</h4>

<p>Перенос тепловой энергии между вытяжным и приточным каналами систем вентиляции при почти полном разделении воздушных потоков.</p>

<h4>Применение</h4>

<p>Жилые, общественные и производственные помещения.<br />
Нельзя применять оборудование в системах аспирации, для перемещения воздуха с агрессивными газами,«тяжелой» пылью, мукой, клеящими примесями и т.п., а также во взрыво- и пожароопасных помещениях.</p>

<h4>Конструкция и материалы</h4>
<ul>
<li>Корпус из оцинкованной стали не менее 0,7 мм с фланцевыми соединениями.</li>
<li>Теплообменная кассета из алюминиевых пластин толщиной 0,2 мм специальной структуры и геометрии.</li>
<li>Съемный дренажный поддон из оцинкованной стали.</li>
<li>Патрубок G1/2"" для отвода конденсата с крепежной гайкой (монтируется на месте).</li>
</ul>",,1,,Купить RHPr 1000x500 Рекуператор пластинчатый SHUFT с доставкой на uralenergotel.ru,Купить RHPr 1000x500 Рекуператор пластинчатый SHUFT по низкой цене у официального дилера ТД УЭТ,rhpr_1000x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RHPr,RHPr 1000x500,70,62,1000*500,114,В комплекте,120,12 мес,RHPr,52.2,107.4,70,107.4,69,Алюминий,РОССИЯ,https://rkcdn.ru/products/8dfd763b-e81a-11ee-b8d7-00505601218a/src.jpg
RHPr 600x350 Рекуператор пластинчатый SHUFT,,RUB,87370.0,1,1,,"<p>Купить RHPr 600x350 Рекуператор пластинчатый SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RHPr 600x350 Рекуператор пластинчатый SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RHPr 600x350 Рекуператор пластинчатый SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Назначение</h4>

<p>Перенос тепловой энергии между вытяжным и приточным каналами систем вентиляции при почти полном разделении воздушных потоков.</p>

<h4>Применение</h4>

<p>Жилые, общественные и производственные помещения.<br />
Нельзя применять оборудование в системах аспирации, для перемещения воздуха с агрессивными газами,«тяжелой» пылью, мукой, клеящими примесями и т.п., а также во взрыво- и пожароопасных помещениях.</p>

<h4>Конструкция и материалы</h4>
<ul>
<li>Корпус из оцинкованной стали не менее 0,7 мм с фланцевыми соединениями.</li>
<li>Теплообменная кассета из алюминиевых пластин толщиной 0,2 мм специальной структуры и геометрии.</li>
<li>Съемный дренажный поддон из оцинкованной стали.</li>
<li>Патрубок G1/2"" для отвода конденсата с крепежной гайкой (монтируется на месте).</li>
</ul>",,1,,Купить RHPr 600x350 Рекуператор пластинчатый SHUFT с доставкой на uralenergotel.ru,Купить RHPr 600x350 Рекуператор пластинчатый SHUFT по низкой цене у официального дилера ТД УЭТ,rhpr_600x350,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RHPr,RHPr 600x350,38,49,600*350,77,В комплекте,77,12 мес,RHPr,37.2,67.4,70,67.4,37,Алюминий,РОССИЯ,https://rkcdn.ru/products/8dfd7635-e81a-11ee-b8d7-00505601218a/src.jpg
RHPr 500x250 Рекуператор пластинчатый SHUFT,,RUB,59680.0,1,1,,"<p>Купить RHPr 500x250 Рекуператор пластинчатый SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RHPr 500x250 Рекуператор пластинчатый SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RHPr 500x250 Рекуператор пластинчатый SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Назначение</h4>

<p>Перенос тепловой энергии между вытяжным и приточным каналами систем вентиляции при почти полном разделении воздушных потоков.</p>

<h4>Применение</h4>

<p>Жилые, общественные и производственные помещения.<br />
Нельзя применять оборудование в системах аспирации, для перемещения воздуха с агрессивными газами,«тяжелой» пылью, мукой, клеящими примесями и т.п., а также во взрыво- и пожароопасных помещениях.</p>

<h4>Конструкция и материалы</h4>
<ul>
<li>Корпус из оцинкованной стали не менее 0,7 мм с фланцевыми соединениями.</li>
<li>Теплообменная кассета из алюминиевых пластин толщиной 0,2 мм специальной структуры и геометрии.</li>
<li>Съемный дренажный поддон из оцинкованной стали.</li>
<li>Патрубок G1/2"" для отвода конденсата с крепежной гайкой (монтируется на месте).</li>
</ul>",,1,,Купить RHPr 500x250 Рекуператор пластинчатый SHUFT с доставкой на uralenergotel.ru,Купить RHPr 500x250 Рекуператор пластинчатый SHUFT по низкой цене у официального дилера ТД УЭТ,rhpr_500x250,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RHPr,RHPr 500x250,22,42,500*250,63,В комплекте,63.5,12 мес,RHPr,27.2,57.4,70,57.4,21,Алюминий,РОССИЯ,https://rkcdn.ru/products/8dfd762f-e81a-11ee-b8d7-00505601218a/src.jpg
RHPr 500x300 Рекуператор пластинчатый SHUFT,,RUB,67810.0,1,1,,"<p>Купить RHPr 500x300 Рекуператор пластинчатый SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RHPr 500x300 Рекуператор пластинчатый SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RHPr 500x300 Рекуператор пластинчатый SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Назначение</h4>

<p>Перенос тепловой энергии между вытяжным и приточным каналами систем вентиляции при почти полном разделении воздушных потоков.</p>

<h4>Применение</h4>

<p>Жилые, общественные и производственные помещения.<br />
Нельзя применять оборудование в системах аспирации, для перемещения воздуха с агрессивными газами,«тяжелой» пылью, мукой, клеящими примесями и т.п., а также во взрыво- и пожароопасных помещениях.</p>

<h4>Конструкция и материалы</h4>
<ul>
<li>Корпус из оцинкованной стали не менее 0,7 мм с фланцевыми соединениями.</li>
<li>Теплообменная кассета из алюминиевых пластин толщиной 0,2 мм специальной структуры и геометрии.</li>
<li>Съемный дренажный поддон из оцинкованной стали.</li>
<li>Патрубок G1/2"" для отвода конденсата с крепежной гайкой (монтируется на месте).</li>
</ul>",,1,,Купить RHPr 500x300 Рекуператор пластинчатый SHUFT с доставкой на uralenergotel.ru,Купить RHPr 500x300 Рекуператор пластинчатый SHUFT по низкой цене у официального дилера ТД УЭТ,rhpr_500x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RHPr,RHPr 500x300,24,36.5,500*300,57,В комплекте,61.4,12 мес,RHPr,32.2,57.4,70,57.4,23,Алюминий,РОССИЯ,https://rkcdn.ru/products/8dfd7631-e81a-11ee-b8d7-00505601218a/src.jpg
RHPr 700x400 Рекуператор пластинчатый SHUFT,,RUB,112600.0,1,1,,"<p>Купить RHPr 700x400 Рекуператор пластинчатый SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RHPr 700x400 Рекуператор пластинчатый SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RHPr 700x400 Рекуператор пластинчатый SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Назначение</h4>

<p>Перенос тепловой энергии между вытяжным и приточным каналами систем вентиляции при почти полном разделении воздушных потоков.</p>

<h4>Применение</h4>

<p>Жилые, общественные и производственные помещения.<br />
Нельзя применять оборудование в системах аспирации, для перемещения воздуха с агрессивными газами,«тяжелой» пылью, мукой, клеящими примесями и т.п., а также во взрыво- и пожароопасных помещениях.</p>

<h4>Конструкция и материалы</h4>
<ul>
<li>Корпус из оцинкованной стали не менее 0,7 мм с фланцевыми соединениями.</li>
<li>Теплообменная кассета из алюминиевых пластин толщиной 0,2 мм специальной структуры и геометрии.</li>
<li>Съемный дренажный поддон из оцинкованной стали.</li>
<li>Патрубок G1/2"" для отвода конденсата с крепежной гайкой (монтируется на месте).</li>
</ul>",,1,,Купить RHPr 700x400 Рекуператор пластинчатый SHUFT с доставкой на uralenergotel.ru,Купить RHPr 700x400 Рекуператор пластинчатый SHUFT по низкой цене у официального дилера ТД УЭТ,rhpr_700x400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RHPr,RHPr 700x400,40,49.5,700*400,92,В комплекте,92,12 мес,RHPr,42.2,77.4,70,77.4,39,Алюминий,РОССИЯ,https://rkcdn.ru/products/8dfd7637-e81a-11ee-b8d7-00505601218a/src.jpg
RHPr 800x500 Рекуператор пластинчатый SHUFT,,RUB,164030.0,1,1,,"<p>Купить RHPr 800x500 Рекуператор пластинчатый SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RHPr 800x500 Рекуператор пластинчатый SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RHPr 800x500 Рекуператор пластинчатый SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Назначение</h4>

<p>Перенос тепловой энергии между вытяжным и приточным каналами систем вентиляции при почти полном разделении воздушных потоков.</p>

<h4>Применение</h4>

<p>Жилые, общественные и производственные помещения.<br />
Нельзя применять оборудование в системах аспирации, для перемещения воздуха с агрессивными газами,«тяжелой» пылью, мукой, клеящими примесями и т.п., а также во взрыво- и пожароопасных помещениях.</p>

<h4>Конструкция и материалы</h4>
<ul>
<li>Корпус из оцинкованной стали не менее 0,7 мм с фланцевыми соединениями.</li>
<li>Теплообменная кассета из алюминиевых пластин толщиной 0,2 мм специальной структуры и геометрии.</li>
<li>Съемный дренажный поддон из оцинкованной стали.</li>
<li>Патрубок G1/2"" для отвода конденсата с крепежной гайкой (монтируется на месте).</li>
</ul>",,1,,Купить RHPr 800x500 Рекуператор пластинчатый SHUFT с доставкой на uralenergotel.ru,Купить RHPr 800x500 Рекуператор пластинчатый SHUFT по низкой цене у официального дилера ТД УЭТ,rhpr_800x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RHPr,RHPr 800x500,54,62.5,800*500,92,В комплекте,92.5,12 мес,RHPr,42.2,87.4,70,87.4,53,Алюминий,РОССИЯ,https://rkcdn.ru/products/8dfd7639-e81a-11ee-b8d7-00505601218a/src.jpg
RHPr 400x200 Рекуператор пластинчатый SHUFT,,RUB,47250.0,1,1,,"<p>Купить RHPr 400x200 Рекуператор пластинчатый SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RHPr 400x200 Рекуператор пластинчатый SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RHPr 400x200 Рекуператор пластинчатый SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Назначение</h4>

<p>Перенос тепловой энергии между вытяжным и приточным каналами систем вентиляции при почти полном разделении воздушных потоков.</p>

<h4>Применение</h4>

<p>Жилые, общественные и производственные помещения.<br />
Нельзя применять оборудование в системах аспирации, для перемещения воздуха с агрессивными газами,«тяжелой» пылью, мукой, клеящими примесями и т.п., а также во взрыво- и пожароопасных помещениях.</p>

<h4>Конструкция и материалы</h4>
<ul>
<li>Корпус из оцинкованной стали не менее 0,7 мм с фланцевыми соединениями.</li>
<li>Теплообменная кассета из алюминиевых пластин толщиной 0,2 мм специальной структуры и геометрии.</li>
<li>Съемный дренажный поддон из оцинкованной стали.</li>
<li>Патрубок G1/2"" для отвода конденсата с крепежной гайкой (монтируется на месте).</li>
</ul>",,1,,Купить RHPr 400x200 Рекуператор пластинчатый SHUFT с доставкой на uralenergotel.ru,Купить RHPr 400x200 Рекуператор пластинчатый SHUFT по низкой цене у официального дилера ТД УЭТ,rhpr_400x200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RHPr,RHPr 400x200,20,42,400*200,63,В комплекте,63.5,12 мес,RHPr,22.2,47.4,70,47.4,19,Алюминий,РОССИЯ,https://rkcdn.ru/products/8dfd762d-e81a-11ee-b8d7-00505601218a/src.jpg
