Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Сетевой кабель,Функция реверса направления потока,Вес товара с упаковкой (брутто),Регулировка значения относит. влажности,Встроенный гигростат,Таймер на отключение,Высота упаковки товара,Гарантийный документ,Подключение ТЭНа,Глубина упаковки товара,Беспроводной протокол,Диапазон измерений,Вид элемента,Ширина упаковки товара,Макс. потребляемая мощность,Степень защиты / Класс защиты,Гарантийный срок,Предельное давление,Мин. рабочая температура,Производитель контроллера,Серия,Макс. рабочая температура,Дистанция приема сигнала до,Высота товара,Глубина товара,Срок службы,Регулировка скорости вращения вентилятора,Ширина товара,Диапазон регулирования температуры,Длина капилляра,Тип чувствительного элемента,Вес товара (нетто),Нормативное давление,Номинальный ток,Индикация включения,Время открытия,Набор крепежных элементов в комплекте,Частота,Защита от перегрева,Класс пылевлагозащищенности,Длина кабеля,Макс. мощность основного прибора,Страна производства,Форма корпуса,Сила тока,Диаметр,Датчик контроля влажности,Изображения,Изображения,Изображения,Изображения,Изображения
Автоматизация,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Датчики,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Датчики температуры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTF1-PT1000 Контактный датчик температуры с хомутом SHUFT,,RUB,1620.0,1,1,,"<p>Купить ALTF1-PT1000 Контактный датчик температуры с хомутом SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на ALTF1-PT1000 Контактный датчик температуры с хомутом SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим ALTF1-PT1000 Контактный датчик температуры с хомутом SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Контактные датчики температуры ALTF1-PT1000 предназначены для измерения температуры не агрессивных жидкостей и газов в системах вентиляции, кондиционирования, отопления и холодоснабжения. Разработаны для систем управления и мониторинга.</p>",,1,,Купить ALTF1-PT1000 Контактный датчик температуры с хомутом SHUFT с доставкой на uralenergotel.ru,Купить ALTF1-PT1000 Контактный датчик температуры с хомутом SHUFT по низкой цене у официального дилера ТД УЭТ,altf1_pt1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,ALTF1,ALTF1-PT1000,Нет,Нет,0.3,Нет,Нет,Нет,1.5,Кассовый или товарный чек,Нет,9.5,Нет,-60+140,Датчик температуры,8,,Нет,2 года,,-60,Нет,ALTF1,95,,1.5,9.5,8,Нет,8,Нет,,PT1000,0.2,,,Нет,,Да,,Нет,IP66,,,ГЕРМАНИЯ,,,,,https://rkcdn.ru/products/76a322e5-c265-11ed-b733-005056013a69/src.jpg,,,,
ALTF1-NTC10K Датчик температуры с хомутом контактный  SHUFT,,RUB,1620.0,1,1,,"<p>Купить ALTF1-NTC10K Датчик температуры с хомутом контактный  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на ALTF1-NTC10K Датчик температуры с хомутом контактный  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим ALTF1-NTC10K Датчик температуры с хомутом контактный  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Контактные датчики температуры ALTF1-NTC10K предназначены для измерения температуры не агрессивных жидкостей и газов в системах вентиляции, кондиционирования, отопления и холодоснабжения. Разработаны для систем управления и мониторинга.</p>",,1,,Купить ALTF1-NTC10K Датчик температуры с хомутом контактный  SHUFT с доставкой на uralenergotel.ru,Купить ALTF1-NTC10K Датчик температуры с хомутом контактный  SHUFT по низкой цене у официального дилера ТД УЭТ,altf1_ntc10k,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,ALTF1,ALTF1-NTC10K,Нет,Нет,0.624,Нет,Нет,Нет,1,Кассовый или товарный чек,Нет,12,Нет,-60+140,Датчик температуры,30,,Нет,2 года,,-60,Нет,ALTF1,95,,1,30,8,Нет,12,Нет,,NTC10K,0.124,,,Нет,,Да,,Нет,IP66,,,ГЕРМАНИЯ,,,,,https://rkcdn.ru/products/fb1fe32a-1ef0-11ee-b736-005056013a69/src.jpg,,,,
ATF1-NTC10K Датчик температуры уличный  SHUFT,,RUB,1995.0,1,1,,"<p>Купить ATF1-NTC10K Датчик температуры уличный  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на ATF1-NTC10K Датчик температуры уличный  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим ATF1-NTC10K Датчик температуры уличный  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Датчики температуры ATF1-NTC10K предназначены для измерения температуры уличного воздуха для систем вентиляции, кондиционирования, отопления и холодоснабжения.</p>",,1,,Купить ATF1-NTC10K Датчик температуры уличный  SHUFT с доставкой на uralenergotel.ru,Купить ATF1-NTC10K Датчик температуры уличный  SHUFT по низкой цене у официального дилера ТД УЭТ,atf1_ntc10k,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,ATF1,ATF1-NTC10K,Нет,Нет,0.62,Нет,Нет,Нет,3.6,Кассовый или товарный чек,Нет,6,Нет,-60+140,Датчик температуры,3,,Нет,2 года,,-60,Нет,ATF1,140,,3.6,3,8,Нет,6.2,Нет,,NTC10K,0.12,,,Нет,,Нет,,Нет,IP65,,,ГЕРМАНИЯ,Квадратная,,,,https://rkcdn.ru/products/30ad2401-e9c0-11ed-b736-005056013a69/src.jpg,,,,
RTF1-NTC10K Датчик температуры комнатный  SHUFT,,RUB,1968.0,1,1,,"<p>Купить RTF1-NTC10K Датчик температуры комнатный  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTF1-NTC10K Датчик температуры комнатный  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTF1-NTC10K Датчик температуры комнатный  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Датчики температуры RTF1 предназначены для измерения температуры не агрессивных газов внутри помещений в системах вентиляции, кондиционирования, отопления и холодоснабжения. Разработаны для систем управления и мониторинга.</p>",,1,,Купить RTF1-NTC10K Датчик температуры комнатный  SHUFT с доставкой на uralenergotel.ru,Купить RTF1-NTC10K Датчик температуры комнатный  SHUFT по низкой цене у официального дилера ТД УЭТ,rtf1_ntc10k,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RTF1,RTF1-NTC10K,Нет,Нет,0.01,Нет,Нет,Нет,1,Кассовый или товарный чек,Нет,1,Нет,-50+50,Датчик температуры,1,,Нет,2 года,,-50,Нет,RTF1,70,,1,20,8,Нет,10,Нет,,NTC10K,0.03,,,Нет,,Нет,,Нет,IP20,,,ГЕРМАНИЯ,Круглая,,,,https://rkcdn.ru/products/aec07d55-e9c1-11ed-b736-005056013a69/src.jpg,,,,
ETF-1144/99-AN-NTC Канальный датчик температуры SHUFT,,RUB,3725.03,0,1,,"<p>Купить ETF-1144/99-AN-NTC Канальный датчик температуры SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на ETF-1144/99-AN-NTC Канальный датчик температуры SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим ETF-1144/99-AN-NTC Канальный датчик температуры SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить ETF-1144/99-AN-NTC Канальный датчик температуры SHUFT с доставкой на uralenergotel.ru,Купить ETF-1144/99-AN-NTC Канальный датчик температуры SHUFT по низкой цене у официального дилера ТД УЭТ,etf_1144_99_an_ntc,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,ETF,ETF-1144/99-AN-NTC,Нет,Нет,0.5,Нет,Нет,Нет,4,Кассовый или товарный чек,Нет,24,Нет,нет,Датчик температуры,12,,Нет,12 мес,,-60,Нет,ETF,150,,4,24,8,Нет,12,Нет,,,0.2,,,Нет,,Нет,,Нет,IP66,,,ДАНИЯ,,,,,https://rkcdn.ru/products/2563c618-2c7f-11ee-b736-005056013a69/src.jpg,,,,
PS-500-L Реле давления дифференциальное SHUFT,,RUB,2505.0,1,1,,"<p>Купить PS-500-L Реле давления дифференциальное SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PS-500-L Реле давления дифференциальное SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PS-500-L Реле давления дифференциальное SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Дифференциальные реле давления серии PS-L предназначены для контроля избыточного давления или перепада давления на элементах системы вентиляции и кондиционирования, например, для контроля напора вентилятора, степени загрязнения фильтра и т. д. Рекомендуется устанавливать реле вертикально, патрубками вниз, так как в горизонтальном положении шкала настройки будет иметь дополнительную погрешность.</p>",,1,,Купить PS-500-L Реле давления дифференциальное SHUFT с доставкой на uralenergotel.ru,Купить PS-500-L Реле давления дифференциальное SHUFT по низкой цене у официального дилера ТД УЭТ,ps_500_l,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,PS-500,PS-500-L,Нет,Нет,0.875,Нет,Нет,Нет,10,Кассовый или товарный чек,Нет,11,Нет,30-500,Реле давления,10,,Нет,12 мес,,-20,Нет,PS-500,60,,10,11,,Нет,10,Нет,,,0.375,,,Нет,,Да,,Нет,IP54,,,КНР,Круглая,,,,https://rkcdn.ru/products/6c651213-e9bf-11ed-b736-005056013a69/src.jpg,,,,
ATF1-PT1000 Уличный датчик температуры SHUFT,,RUB,1995.0,1,1,,"<p>Купить ATF1-PT1000 Уличный датчик температуры SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на ATF1-PT1000 Уличный датчик температуры SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим ATF1-PT1000 Уличный датчик температуры SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Датчики температуры ATF1-PT1000 предназначены для измерения температуры уличного воздуха для систем вентиляции, кондиционирования, отопления и холодоснабжения.</p>",,1,,Купить ATF1-PT1000 Уличный датчик температуры SHUFT с доставкой на uralenergotel.ru,Купить ATF1-PT1000 Уличный датчик температуры SHUFT по низкой цене у официального дилера ТД УЭТ,atf1_pt1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,ATF1,ATF1-PT1000,Нет,Нет,0.2,Нет,Нет,Нет,4,Кассовый или товарный чек,Нет,10,Нет,-60+140,Датчик температуры,6.5,,Нет,2 года,,-60,Нет,ATF1,140,,4,10,8,Нет,6.5,Нет,,PT1000,0.12,,,Нет,,Да,,Нет,IP65,,,ГЕРМАНИЯ,Квадратная,,,,https://rkcdn.ru/products/ecb5601a-c265-11ed-b733-005056013a69/src.jpg,,,,
RTF1-PT1000 Комнатный датчик температуры SHUFT,,RUB,1968.0,1,1,,"<p>Купить RTF1-PT1000 Комнатный датчик температуры SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RTF1-PT1000 Комнатный датчик температуры SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RTF1-PT1000 Комнатный датчик температуры SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Датчики температуры RTF1 предназначены для измерения температуры не агрессивных газов внутри помещений в системах вентиляции, кондиционирования, отопления и холодоснабжения. Разработаны для систем управления и мониторинга.</p>",,1,,Купить RTF1-PT1000 Комнатный датчик температуры SHUFT с доставкой на uralenergotel.ru,Купить RTF1-PT1000 Комнатный датчик температуры SHUFT по низкой цене у официального дилера ТД УЭТ,rtf1_pt1000,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RTF1,RTF1-PT1000,Нет,Нет,0.2,Нет,Нет,Нет,4,Кассовый или товарный чек,Нет,10,Нет,-50+50,Датчик температуры,10,,Нет,2 года,,-50,Нет,RTF1,70,,4,10,8,Нет,10,Нет,,,0.03,,,Нет,,Нет,,Нет,IP20,,,ГЕРМАНИЯ,Круглая,,,,https://rkcdn.ru/products/2f3596bd-642f-11ee-b737-005056941658/src.jpg,,,,
PS-2000-L Реле давления дифференциальное SHUFT,,RUB,3098.0,1,1,,"<p>Купить PS-2000-L Реле давления дифференциальное SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на PS-2000-L Реле давления дифференциальное SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим PS-2000-L Реле давления дифференциальное SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Дифференциальные реле давления серии PS-L предназначены для контроля избыточного давления или перепада давления на элементах системы вентиляции и кондиционирования, например, для контроля напора вентилятора, степени загрязнения фильтра и т. д. Рекомендуется устанавливать реле вертикально, патрубками вниз, так как в горизонтальном положении шкала настройки будет иметь дополнительную погрешность.</p>",,1,,Купить PS-2000-L Реле давления дифференциальное SHUFT с доставкой на uralenergotel.ru,Купить PS-2000-L Реле давления дифференциальное SHUFT по низкой цене у официального дилера ТД УЭТ,ps_2000_l,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,PS-2000,PS-2000-L,Нет,Нет,0.874,Нет,Нет,Нет,10,Кассовый или товарный чек,Нет,11,Нет,200-2000,Реле давления,10,,Нет,12 мес,,-20,Нет,PS-2000,60,,10,11,,Нет,10,Нет,,,0.374,,,Нет,,Да,,Нет,IP54,,,КНР,Круглая,,,,https://rkcdn.ru/products/6c651215-e9bf-11ed-b736-005056013a69/src.jpg,,,,
ETF01-NTC10K Датчик температуры погружной  SHUFT,,RUB,4180.0,1,1,,"<p>Купить ETF01-NTC10K Датчик температуры погружной  SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на ETF01-NTC10K Датчик температуры погружной  SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим ETF01-NTC10K Датчик температуры погружной  SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Датчики температуры ETF01-NTC10K предназначены для измерения температуры не агрессивных жидкостей контура теплоснабжения в системах вентиляции и кондиционирования, а также в системах теплоснабжения тепловых пунктов.</p>",,1,,Купить ETF01-NTC10K Датчик температуры погружной  SHUFT с доставкой на uralenergotel.ru,Купить ETF01-NTC10K Датчик температуры погружной  SHUFT по низкой цене у официального дилера ТД УЭТ,etf01_ntc10k,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,ETF01,ETF01-NTC10K,Нет,Нет,0.68,Нет,Нет,Нет,5,Кассовый или товарный чек,Нет,10,Нет,-60+150,Датчик температуры,20,,Нет,2 года,,-60,Нет,ETF01,150,,5,20,8,Нет,10,Нет,,NTC10K,0.18,,,Нет,,Нет,,Нет,IP66,,,ГЕРМАНИЯ,,,,,https://rkcdn.ru/products/c1308f2e-e9bf-11ed-b736-005056013a69/src.jpg,,,,
