Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Посадочный диаметр вентиляционного канала,Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,Длина товара,Гарантийный срок,Температурный диапазон эксплуатации,"Диаметр воздуховода, мм",Серия,Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Изображения
Вентиляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Автоматика,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Сетевые элементы для вентиляции,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCr 315 Воздушный клапан SHUFT,,RUB,2740.0,1,1,,"<p>Купить DCr 315 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCr 315 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCr 315 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Ручные запорно-регулирующие клапаны DCr предназначены для регулирования потока воздуха при пусконаладке или перекрывание воздуховода при остановке системы вентиляции. Применяются в системах вентиляции и кондиционирования круглого сечения при температуре перемещаемого воздуха от -40 до +70&deg;С.</p>

<p>Корпус и заслонка клапана изготовлены из оцинкованной стали. Ручка ручного привода с возможноситью фиксирования её в необходимом положении.Крепление клапана к другим элементам системы вентиляции производится при помощи ниппельного соединения.Клапан может устанавливаться в любом положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить DCr 315 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCr 315 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcr_315,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCr,DCr 315,2.62,315,33.8,315,32,31.5,,12 мес,DCr,315,DCr,33.8,31.5,32.5,2.12,https://rkcdn.ru/products/68efc211-e05c-11ed-b733-005056013a69/src.jpg
FKr 400*200 Гибкая вставка SHUFT,,RUB,2420.0,1,1,,"<p>Купить FKr 400*200 Гибкая вставка SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FKr 400*200 Гибкая вставка SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FKr 400*200 Гибкая вставка SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Гибкая вставка предназначена для соединения различных элементов вентиляционных систем прямоугольного сечения соответствующего типоразмера, выполняет функцию виброгашения для пресечения распространения вибрации отдельных элементов на&nbsp;всю вентиляционную систему. Корпус вставки выполнен из&nbsp;оцинкованной стали в&nbsp;середине закреплена лента ПВХ обеспечивающая герметичность канала.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить FKr 400*200 Гибкая вставка SHUFT с доставкой на uralenergotel.ru,Купить FKr 400*200 Гибкая вставка SHUFT по низкой цене у официального дилера ТД УЭТ,fkr_400200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FKr,FKr 400*200,2.1,,8,400*200,44.5,24,,12 мес,,,FKr,8,40,22,2.1,https://rkcdn.ru/products/37a672ba-e059-11ed-b733-005056013a69/src.jpg
RSK-125 Обратный клапан SHUFT,,RUB,670.0,1,1,,"<p>Купить RSK-125 Обратный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RSK-125 Обратный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RSK-125 Обратный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Обратный клапан с&nbsp;подпружиненными лопастями предназначен для автоматического перекрывания круглых воздуховодов при отключении систем вентиляции.
Корпус клапана выполнен из&nbsp;оцинкованной стали, лопасти из&nbsp;листового алюминия. Крепление клапана к&nbsp;другим элементам системы вентиляции производится при помощи ниппельного соединения. Клапан может быть установлен в&nbsp;вертикальном положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить RSK-125 Обратный клапан SHUFT с доставкой на uralenergotel.ru,Купить RSK-125 Обратный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,rsk_125,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RSK,RSK-125,0.5,,9,125,13,13,,12 мес,,125,RSK,9,13,13,0.27,https://rkcdn.ru/products/6eadff60-e1bb-11ed-b733-005056013a69/src.jpg
RSK-200 Обратный клапан SHUFT,,RUB,1070.0,1,1,,"<p>Купить RSK-200 Обратный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RSK-200 Обратный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RSK-200 Обратный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Обратный клапан с&nbsp;подпружиненными лопастями предназначен для автоматического перекрывания круглых воздуховодов при отключении систем вентиляции.
Корпус клапана выполнен из&nbsp;оцинкованной стали, лопасти из&nbsp;листового алюминия. Крепление клапана к&nbsp;другим элементам системы вентиляции производится при помощи ниппельного соединения. Клапан может быть установлен в&nbsp;вертикальном положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить RSK-200 Обратный клапан SHUFT с доставкой на uralenergotel.ru,Купить RSK-200 Обратный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,rsk_200,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RSK,RSK-200,0.42,,5,200,10,20,,12 мес,,200,RSK,5,20,10,0.399,https://rkcdn.ru/products/6eadff68-e1bb-11ed-b733-005056013a69/src.jpg
RSK-315 Обратный клапан SHUFT,,RUB,1800.0,1,1,,"<p>Купить RSK-315 Обратный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на RSK-315 Обратный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим RSK-315 Обратный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Обратный клапан с&nbsp;подпружиненными лопастями предназначен для автоматического перекрывания круглых воздуховодов при отключении систем вентиляции.
Корпус клапана выполнен из&nbsp;оцинкованной стали, лопасти из&nbsp;листового алюминия. Крепление клапана к&nbsp;другим элементам системы вентиляции производится при помощи ниппельного соединения. Клапан может быть установлен в&nbsp;вертикальном положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить RSK-315 Обратный клапан SHUFT с доставкой на uralenergotel.ru,Купить RSK-315 Обратный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,rsk_315,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RSK,RSK-315,1.31,,13,315,32,32,,12 мес,,315,RSK,15,31,31,0.81,https://rkcdn.ru/products/6eadff6c-e1bb-11ed-b733-005056013a69/src.jpg
DCGAr 355 Воздушный клапан SHUFT,,RUB,4220.0,1,1,,"<p>Купить DCGAr 355 Воздушный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на DCGAr 355 Воздушный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим DCGAr 355 Воздушный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>
<p>Воздушный клапан для круглых воздуховодов с резиновым уплотнением на запорных лопатках подготовлен для установки электропривода и предназначен для настройки расхода воздуха в канале, для регулирования и наладки систем вентиляции, для перекрытия воздушных каналов во время остановки работы системы вентиляции. Корпус и заслонка клапана изготовлены из оцинкованной стали. Клапан может устанавливаться в любом положении. Запорные лопатки оснащены резиновым уплотнением, повышающим степень герметичности в закрытом канале.</p>

<h4>Гарантия — 1 год.</h4>",,1,,Купить DCGAr 355 Воздушный клапан SHUFT с доставкой на uralenergotel.ru,Купить DCGAr 355 Воздушный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,dcgar_355,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,DCGAr,DCGAr 355,2.4,355,26,355,50,37,,12 мес,,355,DCGAr,26,50,37,1.9,https://rkcdn.ru/products/1c3fb538-e05c-11ed-b733-005056013a69/src.jpg
GSKRSK001_ RSK-100 Обратный клапан SHUFT,,RUB,540.0,1,1,,"<p>Купить GSKRSK001_ RSK-100 Обратный клапан SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на GSKRSK001_ RSK-100 Обратный клапан SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим GSKRSK001_ RSK-100 Обратный клапан SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><h4>Описание</h4>

<p>Обратный клапан с&nbsp;подпружиненными лопастями предназначен для автоматического перекрывания круглых воздуховодов при отключении систем вентиляции.
Корпус клапана выполнен из&nbsp;оцинкованной стали, лопасти из&nbsp;листового алюминия. Крепление клапана к&nbsp;другим элементам системы вентиляции производится при помощи ниппельного соединения. Клапан может быть установлен в&nbsp;вертикальном положении.</p>

<p><strong>Гарантия&nbsp;&mdash; 1&nbsp;год.</strong></p>",,1,,Купить GSKRSK001_ RSK-100 Обратный клапан SHUFT с доставкой на uralenergotel.ru,Купить GSKRSK001_ RSK-100 Обратный клапан SHUFT по низкой цене у официального дилера ТД УЭТ,gskrsk001_,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,RSK,GSKRSK001_,0.225,,10,100,11,10,,12 мес,,100,RSK,9,14,13,0.19,https://rkcdn.ru/products/6eadff62-e1bb-11ed-b733-005056013a69/src.jpg
