Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Номинальная производительность охлаждения,Сетевой кабель,Управление c мобильного приложения по Wi-Fi,Система самодиагностики неисправности,Вес товара с упаковкой (брутто),Мин. рабочая температура воздуха для внешнего блока,Подсветка пульта,Таймер на отключение,Высота упаковки товара,Таймер на включение,Гарантийный документ,Высота внутр. блока,Глубина упаковки товара,Высота внешнего блока,Макс. рабочая температура воздуха для внешнего блока,Макс. расход воздуха,Ширина упаковки товара,Память заданных параметров работы,Глубина внешнего блока,Авторестарт при отключении питания,Макс. потребляемая мощность,Глубина внутр. блока,"Мощность кондиционера (охлаждение),BTU",Гарантийный срок,Ширина внешнего блока,Ширина внутр. блока,Регулировка положения жалюзи с пульта,Серия,Уровень шума внутр. блока,Хладагент,Генератор холодной плазмы,Макс. поддерживаемая температура,Мин. производительность обогрева,Макс. уровень шума внешнего блока,Мин. поддерживаемая температура,Мин. производительность охлаждения,Установка реального времени,Эффективен для помещ. площадью до,Автоматическое покачивание жалюзи,Макс. длина магистрали (трассы),Регулировка температуры охлаждения,Класс энергоэффективности,Функция ионизации воздуха,Режим автоочистки,Макс. перепад высот между внутр. и внешним блоками,Точность установки температуры,Инверторная технология,Режим обогрева,Режим осушения,Количество скоростей воздушного потока,"Базовая мощность кондиционера (охлаждение),BTU",Макс. производительность охлаждения,Функция интенсивного охлаждения,Цифровой дисплей,Режим SLEEP,Автоматический режим,Макс. производительность обогрева,Тепловые насосы,Функция 'Теплый старт',Вес фреона,Вес внутр. блока (нетто),Отключение дисплея,Набор крепежных элементов в комплекте,Подсветка дисплея,Потребляемая мощность в режиме нагрева,ЭНЕРГОЭФФЕКТИВНОСТЬ,Вес внешнего блока (нетто),Режим вентиляции,Пульт управления в комплекте,Потребляемая мощность в режиме охлаждения,ПЛОЩАДЬ ПОМЕЩЕНИЯ до,Номинальная производительность обогрева,Длина кабеля,Режим размораживания внешнего блока,Регулировка температуры обогрева,Страна производства,Работает с HOMMYN,Индикация температуры воздуха (вблизи пульта управления),Wi-Fi модуль,Индикация режимов работы,Класс пылевлагозащищенности,УФ-обеззараживание,"Класс энергоэффективности, обогрев",Приток воздуха,Индикация температуры воздуха (вблизи устройства),"Макс. поток воздуха, м³/мин","Класс энергоэффективности, SEER","Класс энергоэффективности, SCOP",Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения,Изображения
Кондиционирование,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Сплит-системы,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!!Сплит-системы настенного типа,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFTOI-18HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT,,RUB,56990.0,1,1,,"<p>Купить SFTOI-18HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SFTOI-18HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SFTOI-18HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить SFTOI-18HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT с доставкой на uralenergotel.ru,Купить SFTOI-18HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT по низкой цене у официального дилера ТД УЭТ,sftoi_18hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Berg DC,SFTOI-18HN1_24Y,5.32,Да (с вилкой),Опция,Да,46,-15,Да,Да,30.13,Да,,0.32,100,0.52,45,990,100,Нет,0.285,Да,2.3,0.23,18000,3 года,0.73,0.91,Горизонтальное,Berg DC,24,R410a,Нет,32,"1,8",53,16,1.6,,50,Да,25,Да,A,Нет,Да,12,"1,0 °С",Да,Да,Да,5,18000,5.7,,Да,Да,Да,6,,Да,640,13,Да,Нет,Да,1482,A,29,Да,Да,1657,50,5.35,1.5,Да,Да,КНР,Да,Нет,Доп.опция,Да,IPX0/IP24,Нет,A,Нет,Да,,A,A,https://rkcdn.ru/products/ca8ccab4-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/ca8ccabc-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/ca8ccab6-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/ca8ccab8-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/ca8ccaba-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/ca8ccabe-e2b1-11ee-b8d6-00505601218a/src.jpg,,
SFTOI-24HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT,,RUB,68990.0,1,1,,"<p>Купить SFTOI-24HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SFTOI-24HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SFTOI-24HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить SFTOI-24HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT с доставкой на uralenergotel.ru,Купить SFTOI-24HN1_24Y Сплит-система инверторного типа Berg DC комплект SHUFT по низкой цене у официального дилера ТД УЭТ,sftoi_24hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Berg DC,SFTOI-24HN1_24Y,7.05,Да (без вилки),Опция,Да,51,-15,Да,Да,35.54,Да,,0.32,100,0.655,45,1100,100,Нет,0.322,Да,2.9,0.23,24000,3 года,0.853,0.91,Горизонтальное,Berg DC,26,R410a,Нет,32,"2,3",54,16,2.7,,70,Да,25,Да,A,Нет,Да,12,"1,0 °С",Да,Да,Да,5,24000,7.8,,Да,Да,Да,"8,7",,Да,1010,14,Да,Нет,Да,1967,A,33,Да,Да,2196,70,7.1,1.5,Да,Да,КНР,Да,Нет,Доп.опция,Да,IPX0/IP24,Нет,A,Нет,Да,,A,A,https://rkcdn.ru/products/ca8ccac0-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/d085e184-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/d085e182-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/d085e180-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/ca8ccac4-e2b1-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/ca8ccac2-e2b1-11ee-b8d6-00505601218a/src.jpg,,
SFTO-09HN1 Сплит-система  комплект SHUFT,,RUB,21490.0,0,1,,"<p>Купить SFTO-09HN1 Сплит-система  комплект SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SFTO-09HN1 Сплит-система  комплект SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SFTO-09HN1 Сплит-система  комплект SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><b>Серия BERG</b> - это удачное сочетание лаконичного дизайна и оптимального набора режимов, что делают серию BERG одним из лучших предложений на рынке сплит-систем. <p>Приборы отличаются низким уровнем шума, надежными системами защиты, длительным сроком службы и расширенной гарантией 3 года.<p/><p>Высокая энергоэффективность, мощные компрессоры GREE и GMCC, функция самоочистки I-Clean и антикоррозийное покрытие Golden Fin, защищающее кондиционер от пагубных воздействий внешней среды, гарантируют долговечность эксплуатации приборов.<p/><p>Режимы Turbo и Sleeр обеспечивают эффективную работу устройства. Для удобного управления кондиционером и контролем за временем его работы предусмотрен эксклюзивный пульт с подсветкой и таймер.<p/><p>Энергоэффективность класса «А» и наличие эко-режима делают эксплуатацию сплит-системы экономичной.</p><p><b>SHUFT BERG</b> – разумное решение для домашнего микроклимата.</p>
<ul>
<li>4 режима работы: охлаждение/обогрев/вентиляция/осушение</li>
<li>3 года гарантии</li>
<li>А класс энергоэффективности</li>
<li>IClean – функция самоочистки внутреннего блока</li>
<li>Режимы Auto, Sleep, Turbo</li>
<li>ECO режим</li>
<li>Вывод дренажа в две стороны</li>
<li>Компрессора GREE и GMCC</li>
<li>Golden Fin – антикоррозийное покрытие теплообменников</li>
<li>Таймер на включение и отключение</li>
<li>Эксклюзивный пульт с подсветкой</li>
<li>Самодиагностика</li>
<ul/>",,1,,Купить SFTO-09HN1 Сплит-система  комплект SHUFT с доставкой на uralenergotel.ru,Купить SFTO-09HN1 Сплит-система  комплект SHUFT по низкой цене у официального дилера ТД УЭТ,sfto_09hn1,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Berg,SFTO-09HN1,,Да (с вилкой),Нет,Да,34,-7,Да,Да,19.871,Да,Гарантийный талон,0.25,100,0.42,43,500,100,Да,0.275,Да,0.856,0.19,9000,3 года,0.68,0.7,Да,Berg,24,R410a,,32,,50,16,,Нет,26,Да,20,Да,A,Нет,Да,8,"1,0 °С",Нет,Да,Да,3,9000,2.73,Да,Да,Да,Да,"2,78",Нет,Да,,7,Да,Да,Да,776,A,23,Да,Да,856,26,,,Да,Да,КНР,,,,,IPX0/IPX4,,,,,500,,,https://rkcdn.ru/products/e9913ce4-b745-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/f8d9dd29-b745-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/09dbfc2d-b746-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/1a124ee9-b746-11ed-b733-005056013a69/src.jpg,,,,
SFTO-18HN1_24Y Сплит-система Berg комплект SHUFT,,RUB,47590.0,1,1,,"<p>Купить SFTO-18HN1_24Y Сплит-система Berg комплект SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SFTO-18HN1_24Y Сплит-система Berg комплект SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SFTO-18HN1_24Y Сплит-система Berg комплект SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить SFTO-18HN1_24Y Сплит-система Berg комплект SHUFT с доставкой на uralenergotel.ru,Купить SFTO-18HN1_24Y Сплит-система Berg комплект SHUFT по низкой цене у официального дилера ТД УЭТ,sfto_18hn1_24y,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Berg 2024,SFTO-18HN1_24Y,5.3,Да (без вилки),Опция доступна при подключении съемного Wi-Fi модуля,Да,48,-7,Да,Да,23.27,Да,,0.23,100,0.52,43,,100,,0.285,Да,1.65,0.32,18000,3 года,0.78,0.91,Горизонтальное,Berg 2024,24,R410a,,32,,53,16,,Да,50,Да,25,Да,A,Нет,Да,12,"1,0 °С",Нет,Да,Да,,18000,5.3,Да,Да,Да,Да,,Нет,Да,700,11,,Нет,Да,1530,A,32,Да,Да,1655,50,5.53,1.5,,Да,КНР,,,Доп.опция,,,,,,Да,850,,,https://rkcdn.ru/products/6e95e4a8-c507-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/014ef1f0-c511-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/f4ce7ff4-c510-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/ef3a9117-c507-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/25db29a4-c507-11ee-b8d6-00505601218a/src.jpg,,,
SFTMI-24HN1 Сплит-система инверторного типа  комплект SHUFT,,RUB,80990.0,0,1,,"<p>Купить SFTMI-24HN1 Сплит-система инверторного типа  комплект SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SFTMI-24HN1 Сплит-система инверторного типа  комплект SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SFTMI-24HN1 Сплит-система инверторного типа  комплект SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>Такие приборы оптимально подойдут для использования в районах с повышенной влажностью.<br>Для предотвращения окисления теплообменник обработан устойчивым антикоррозийным покрытием Golden Fin, которое защищает прибор от разрушительного воздействия влажного воздуха и увеличивает срок эксплуатации кондиционера. <br>Наличие L-образного теплообменника с увеличенной площадью поверхности и режима Turbо помогают в короткие сроки достигать заданных значений температуры. Режим Sleeр и пульт с подсветкой позволяют использовать кондиционер без помех для сна. <br>А инверторные технологии разрешают с максимальной точностью поддерживать в помещении заданную температуру, позволяя снизить нагрузку на электрические сети и значительно сократить расход электроэнергии. Блоки легко установить в здании даже со сложной архитектурой и нестандартной внутренней планировкой. <br>Для этого предусмотрена увеличенная длина трассы до 25 м и возможность перепада высот до 10 м между блоками. <br>Двусторонний вывод дренажа позволяет располагать внутренний блок по обе стороны от окна. <br>TOR DC – мощные технологии для создания комфорта.",,1,,Купить SFTMI-24HN1 Сплит-система инверторного типа  комплект SHUFT с доставкой на uralenergotel.ru,Купить SFTMI-24HN1 Сплит-система инверторного типа  комплект SHUFT по низкой цене у официального дилера ТД УЭТ,sftmi_24hn1,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Tor DC,SFTMI-24HN1,7.03,Нет,Нет,Да,66.8,-15,Да,Да,30.2,Да,Гарантийный талон,0.327,100,0.702,43,980,100,Да,0.363,Да,3.14,0.22,24000,3 года,0.845,1.04,Да,Tor DC,34,R410a,,32,"1,61",60,16,2.67,Нет,70,Да,50,Да,C,Нет,,25,"1,0 °С",Да,Да,Да,3,24000,7.88,Да,Да,Да,Да,"8,79",Нет,Да,,11.9,Да,Да,Да,2282,C,48.4,Да,Да,2344,70,7.33,,Да,Да,КНР,,,,,,,,,,,,,https://rkcdn.ru/products/6fed94fc-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/86404df5-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/7b382a7b-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/649a37ea-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/b462057c-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/a7f38480-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/9d0529ec-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/932b3f28-cf98-11ed-b733-005056013a69/src.jpg
SFTMI-18HN1 Сплит-система инверторного типа  комплект SHUFT,,RUB,65990.0,0,1,,"<p>Купить SFTMI-18HN1 Сплит-система инверторного типа  комплект SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SFTMI-18HN1 Сплит-система инверторного типа  комплект SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SFTMI-18HN1 Сплит-система инверторного типа  комплект SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>Такие приборы оптимально подойдут для использования в районах с повышенной влажностью.<br>Для предотвращения окисления теплообменник обработан устойчивым антикоррозийным покрытием Golden Fin, которое защищает прибор от разрушительного воздействия влажного воздуха и увеличивает срок эксплуатации кондиционера. <br>Наличие L-образного теплообменника с увеличенной площадью поверхности и режима Turbо помогают в короткие сроки достигать заданных значений температуры. Режим Sleeр и пульт с подсветкой позволяют использовать кондиционер без помех для сна. <br>А инверторные технологии разрешают с максимальной точностью поддерживать в помещении заданную температуру, позволяя снизить нагрузку на электрические сети и значительно сократить расход электроэнергии. Блоки легко установить в здании даже со сложной архитектурой и нестандартной внутренней планировкой. <br>Для этого предусмотрена увеличенная длина трассы до 25 м и возможность перепада высот до 10 м между блоками. <br>Двусторонний вывод дренажа позволяет располагать внутренний блок по обе стороны от окна. <br>TOR DC – мощные технологии для создания комфорта.",,1,,Купить SFTMI-18HN1 Сплит-система инверторного типа  комплект SHUFT с доставкой на uralenergotel.ru,Купить SFTMI-18HN1 Сплит-система инверторного типа  комплект SHUFT по низкой цене у официального дилера ТД УЭТ,sftmi_18hn1,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Tor DC,SFTMI-18HN1,5.28,Да (без вилки),Нет,Да,46.6,-15,Да,Да,20.5,Да,Гарантийный талон,0.302,100,0.555,43,835,100,Да,0.3,Да,2.41,0.213,18000,3 года,0.77,0.957,Да,Tor DC,32.5,R410a,,32,"1,29",56.5,16,1.82,Нет,52,Да,30,Да,B,Нет,,20,"1,0 °С",Да,Да,Да,3,18000,6.13,Да,Да,Да,Да,"6,38",Нет,,,10.4,Да,Да,Да,1505,B,29.9,Да,Да,1755,52,5.28,,Да,Да,КНР,,,,,,,,,,,,,https://rkcdn.ru/products/86404def-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/9d0529e6-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/932b3f2e-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/7b382a81-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/6fed94f6-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/649a37e4-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/b4620576-cf98-11ed-b733-005056013a69/src.jpg,https://rkcdn.ru/products/a7f38486-cf98-11ed-b733-005056013a69/src.jpg
SFTH-18HN8 Сплит-система Soturai комплект SHUFT,,RUB,54990.0,1,1,,"<p>Купить SFTH-18HN8 Сплит-система Soturai комплект SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на SFTH-18HN8 Сплит-система Soturai комплект SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим SFTH-18HN8 Сплит-система Soturai комплект SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p>",,1,,Купить SFTH-18HN8 Сплит-система Soturai комплект SHUFT с доставкой на uralenergotel.ru,Купить SFTH-18HN8 Сплит-система Soturai комплект SHUFT по низкой цене у официального дилера ТД УЭТ,sfth_18hn8,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Soturai,SFTH-18HN8,5.51,Да (без вилки),Нет,Да,50.5,-7,,Да,30.91,Да,,0.22,100,0.54,43,2300,100,,0.26,,1.66,0.3,18800,3 года,0.78,0.93,Вертикальное+Горизонтальное,Soturai,33,R32,,30,"5,72",54,16,5.51,,50,,20,Да,A,Нет,Да,10,"1,0 °С",Нет,Да,Да,4,18000,5.51,,Да,Да,,"5,72",,Да,1130,10.5,,Нет,,1525,A,35,Да,Да,1660,50,5.72,,,,КНР,,Да,,Да,IPX0/IP24,,,,,860,,,https://rkcdn.ru/products/785f6f8f-ccd8-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/785f6f93-ccd8-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/785f6f91-ccd8-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/785f6f8d-ccd8-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/785f6f97-ccd8-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/785f6f99-ccd8-11ee-b8d6-00505601218a/src.jpg,https://rkcdn.ru/products/785f6f95-ccd8-11ee-b8d6-00505601218a/src.jpg,
