Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Вес товара с упаковкой (брутто),Высота упаковки товара,Посадочный размер вентиляционного канала,Глубина упаковки товара,Ширина упаковки товара,"Диаметр воздуховода, мм",Макс. напор,Высота товара,Глубина товара,Ширина товара,Вес товара (нетто),Страна производства,Тип фильтра,Тип сечения,Изображения
Вентиляция,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!Фильтры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRr (F7-EU7) 500*300 Фильтр карманный (материал) SHUFT,,RUB,4710.0,1,1,,"<p>Купить FRr (F7-EU7) 500*300 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F7-EU7) 500*300 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F7-EU7) 500*300 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с&nbsp;классом очистки F7&nbsp;(EU7), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F7-EU7.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F7-EU7) 500*300 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F7-EU7) 500*300 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f7_eu7_500x300,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Pianoforte,FRr (F7-EU7) 500*300,1.74,13,500*300,50,30,500,,13,50,30,1.24,,,,https://rkcdn.ru/products/694915b9-e1ce-11ed-b733-005056013a69/src.jpg
FRKr (G3) 500x300/100 Фильтр кассетный SHUFT,,RUB,6030.0,0,1,,"<p>Купить FRKr (G3) 500x300/100 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 500x300/100 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 500x300/100 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 500x300/100 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 500x300/100 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_500x300_100,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRKr (G3) 500x300/100,9,10,,54.4,29.5,500,,10,50,29,8.5,,,,https://rkcdn.ru/products/50660a0f-e1c2-11ed-b733-005056013a69/src.jpg
FBCr 400 Фильтр-бокс (корпус с материалом) SHUFT,,RUB,9130.0,1,1,,"<p>Купить FBCr 400 Фильтр-бокс (корпус с материалом) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBCr 400 Фильтр-бокс (корпус с материалом) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBCr 400 Фильтр-бокс (корпус с материалом) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушный фильтр предназначен для очистки от&nbsp;пыли наружного и&nbsp;рециркуляционного воздуха в&nbsp;системах приточной и&nbsp;вытяжной вентиляции. Фильтруемый воздух не&nbsp;должен содержать агрессивных газов и&nbsp;паров. Корпус фильтра выполнен из&nbsp;оцинкованной стали. В&nbsp;качестве фильтрующих вставок используется синтетический материал с&nbsp;классом очистки G3(EU3). Корпус фильтра снабжен круглыми патрубками с&nbsp;резиновыми уплотнителями для подсоединения к&nbsp;другим элементам системы. Фильтр может устанавливаться вертикально или горизонтально.</p>

<p>Примечание: По&nbsp;запросу может быть изготовлен фильтр для круглых каналов карманного типа, любого класса очистки.</p>

<p>Гарантия&nbsp;&mdash; 12&nbsp;месяцев.</p>",,1,,Купить FBCr 400 Фильтр-бокс (корпус с материалом) SHUFT с доставкой на uralenergotel.ru,Купить FBCr 400 Фильтр-бокс (корпус с материалом) SHUFT по низкой цене у официального дилера ТД УЭТ,fbcr_400,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Berg,FBCr 400,9.5,50,400,54,30,400,,50,54,30,9,РОССИЯ,,,https://rkcdn.ru/products/abdacf54-e1ce-11ed-b733-005056013a69/src.jpg
FRr (F5-EU5) 1000*500 Фильтр карманный (материал) SHUFT,,RUB,6000.0,1,1,,"<p>Купить FRr (F5-EU5) 1000*500 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F5-EU5) 1000*500 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F5-EU5) 1000*500 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с классом очистки F5&nbsp;(EU5), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F5-EU5.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F5-EU5) 1000*500 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F5-EU5) 1000*500 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f5_eu5_1000x500,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,Berg,FRr (F5-EU5) 1000*500,4.14,9,1000*500,100,50,1000,,9,100,50,3.64,,,,https://rkcdn.ru/products/55fcfb2f-e1ce-11ed-b733-005056013a69/src.jpg
FBRr-K 500x250 Фильтр-бокс (корпус) SHUFT,,RUB,7750.0,1,1,,"<p>Купить FBRr-K 500x250 Фильтр-бокс (корпус) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FBRr-K 500x250 Фильтр-бокс (корпус) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FBRr-K 500x250 Фильтр-бокс (корпус) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Воздушные фильтры cерии FBRr-K предназначены для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции.</p>

<p>Применяются в системах вентиляции и кондиционирования прямоугольного сечения.Фильтруемый воздух не должен содержать агрессивных газов и паров. Допустимая температура перемещаемого воздуха от –40 до +70&deg;С.</p>

<p>Корпус изготовлен из оцинкованной стали.Фильтрующие вставки FRKr - рамки с каркасной сеткой из оцинкованной стали и материалом класса очистки (G3-EU3) доступны опционально. Фильтры FBRr-K можно устанавливать в любом положении.</p>",,1,,Купить FBRr-K 500x250 Фильтр-бокс (корпус) SHUFT с доставкой на uralenergotel.ru,Купить FBRr-K 500x250 Фильтр-бокс (корпус) SHUFT по низкой цене у официального дилера ТД УЭТ,fbrr_k_500x250,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,FBRr-K 500x250,FBRr-K 500x250,7.9,29.4,500*250,54.4,24.3,500,,29.4,23.8,54.4,4.8,РОССИЯ,Кассетный,Прямоугольное,https://rkcdn.ru/products/47bc76f0-e1c1-11ed-b733-005056013a69/src.jpg
FRr (F7-EU7) 600*350 Фильтр карманный (материал) SHUFT,,RUB,6160.0,0,1,,"<p>Купить FRr (F7-EU7) 600*350 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F7-EU7) 600*350 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F7-EU7) 600*350 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии&nbsp;FRr представляют из&nbsp;себя фильтрующие вставки, изготовленные из&nbsp;натканного материала с&nbsp;классом очистки F7&nbsp;(EU7), предназначенные для установки в&nbsp;фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:
</h4>
<ul>
<li>Фильтрующая вставка FRr с&nbsp;карманами из&nbsp;синтетического волокна.</li>
<li>
Класс очистки F7-EU7.</li>
<li>Монтаж в горизонтальных каналах. В вертикальных каналах карманами вниз во избежание складывания карманов.
</li>
<li>Фланцевое соединение.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;-40 до&nbsp;+70&deg;С</li>
<li>
Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F7-EU7) 600*350 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F7-EU7) 600*350 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f7_eu7_600x350,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,SHA-D,FRr (F7-EU7) 600*350,2.5,5,600*350,46,23,600,,5,46,23,2,,,,https://rkcdn.ru/products/5c7e752e-e1ce-11ed-b733-005056013a69/src.jpg
FRKr (G3) 300x150/50 Фильтр кассетный SHUFT,,RUB,1120.0,0,1,,"<p>Купить FRKr (G3) 300x150/50 Фильтр кассетный SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRKr (G3) 300x150/50 Фильтр кассетный SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRKr (G3) 300x150/50 Фильтр кассетный SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтр кассетный гофрированный SHUFT FRKr (G3) предназначен для очистки от пыли наружного и рециркуляционного воздуха в системах приточной и вытяжной вентиляции. Применяются в системах вентиляции и кондиционирования прямоугольного сечения. Изделие представляет собой рамку с каркасной сеткой из оцинкованной стали с материалом из синтетического волокна.</p>


<h4>Особенности кассетного фильтра
</h4>
<ul>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.
</li>
<li>Допустимая температура перемещаемого воздуха от&nbsp;–40 до&nbsp;+70&deg;С.
</li>
<li>Толщина рамки фильтра 50&nbsp;мм.
</li>
<li>Устанавливается в фильтр-бокс FBRr-K соответствующего типоразмера, который можно устанавливать в любом положении.</li>
</ul>",,1,,Купить FRKr (G3) 300x150/50 Фильтр кассетный SHUFT с доставкой на uralenergotel.ru,Купить FRKr (G3) 300x150/50 Фильтр кассетный SHUFT по низкой цене у официального дилера ТД УЭТ,frkr_g3_300x150_50,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,WHC,FRKr (G3) 300x150/50,5.5,5,,34.4,19.4,300,,5,30,15,5.1,,,,https://rkcdn.ru/products/50660a13-e1c2-11ed-b733-005056013a69/src.jpg
FRr (F9) 600*350 Фильтр карманный (материал) SHUFT,,RUB,2499.0,0,1,,"<p>Купить FRr (F9) 600*350 Фильтр карманный (материал) SHUFT из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на FRr (F9) 600*350 Фильтр карманный (материал) SHUFT актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>Поставим FRr (F9) 600*350 Фильтр карманный (материал) SHUFT напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p><h3>Описание</h3><p>&nbsp;</p><p>Фильтры карманные SHUFT серии FRr представляют из себя фильтрующие вставки, изготовленные из натканного материала с классом очистки F9, предназначенные для установки в фильтр-боксы соответствующего типоразмера.</p>


<h4>Особенности:</h4>
<ul>
<li>
Фильтрующая вставка FRr с карманами из синтетического волокна.
</li>
<li>Класс очистки F9.
</li>
<li>Монтаж в горизонтальных каналах.</li>
<li>В вертикальных каналах карманами вниз во избежание складывания карманов.</li>
<li>
Фланцевое соединение.</li>
<li>
Допустимая температура перемещаемого воздуха от -40 до +70&deg;С
</li>
<li>Фильтруемый воздух не должен содержать агрессивных газов и паров.</li>
</ul>",,1,,Купить FRr (F9) 600*350 Фильтр карманный (материал) SHUFT с доставкой на uralenergotel.ru,Купить FRr (F9) 600*350 Фильтр карманный (материал) SHUFT по низкой цене у официального дилера ТД УЭТ,frr_f9_600x350,Уточняйте у менеджера,"Доставка со складов: Екатеринбург, Киржач, Орехово-Зеуво, Лакинск, Петушки",SHUFT,EHC,FRr (F9) 600*350,1.2,6,600*350,60,35,600,,6,60,35,0.7,,,,https://rkcdn.ru/products/55fcfb33-e1ce-11ed-b733-005056013a69/src.jpg
